panel,latent_id,m_base,h_base,mask_category,replicate,camera,light,valid_skin_fraction,mask_hash,appearance_seed,attempt_count,retry_exhausted,exposure_ev,canonical_metadata_hash,high_clip_element_fraction,low_clip_element_fraction,nonfinite_count,all_zero,all_one,R_zero_fraction,R_one_fraction,G_zero_fraction,G_one_fraction,B_zero_fraction,B_one_fraction
A,AM4_A_M0.90_H0.02_Full_6,0.9,0.02,Full,6,Canon 500D,A,1.0,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff,15291421414612318408,1,False,-0.28140618796729056,8e6decceef72b76e8ee38fdb0f401f0c,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
A,AM4_A_M0.90_H0.02_Full_6,0.9,0.02,Full,6,Canon 500D,FL2,1.0,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff,5736776852973794476,1,False,0.06712642830599125,f37a33267859358ea2631df7d31fe569,0.0,8.138020833333333e-05,0,False,False,0.0,0.0,0.0,0.0,0.000244140625,0.0
A,AM4_A_M0.90_H0.02_Full_6,0.9,0.02,Full,6,Canon 500D,FL11,1.0,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff,8627630595142007597,1,False,0.08744595059393179,9bb05033812255078dac8a36c400b67e,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
A,AM4_A_M0.90_H0.02_Full_7,0.9,0.02,Full,7,Canon 500D,D65,1.0,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff,13120208064600280278,1,False,-0.26971911005902593,33e3200b79970c1576e6b5897d5efe04,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
A,AM4_A_M0.90_H0.02_Full_7,0.9,0.02,Full,7,Canon 500D,A,1.0,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff,3014350592129031845,1,False,-0.07178060701504357,eb4b04a0936e765daf288005e2ae63d8,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
A,AM4_A_M0.90_H0.02_Full_7,0.9,0.02,Full,7,Canon 500D,FL2,1.0,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff,9834158536884234079,1,False,-0.32549273725979483,4915175ce35fdcadb750d6d4c0d2b561,0.0,0.0003560384114583333,0,False,False,0.0,0.0,0.0,0.0,0.001068115234375,0.0
A,AM4_A_M0.90_H0.02_Full_7,0.9,0.02,Full,7,Canon 500D,FL11,1.0,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff,1311960591359950962,1,False,0.15759799370229,d8d0be31e2f291be740b0cdb8f52c725,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
A,AM4_A_M0.90_H0.02_Mild_0,0.9,0.02,Mild,0,Canon 500D,D65,0.86138916015625,01890d45454c6f004d39663f4b4d43bfffcedcac538d4d4633e6e53d090e6989,7898101733162683813,1,False,0.06574901736522143,3f7f033fbb27fe874f533a3bef6b24ed,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
A,AM4_A_M0.90_H0.02_Mild_0,0.9,0.02,Mild,0,Canon 500D,A,0.86138916015625,01890d45454c6f004d39663f4b4d43bfffcedcac538d4d4633e6e53d090e6989,12662710367807517032,1,False,-0.44492027529684325,5c7714a99af793e6488f2167d59ef4fd,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
A,AM4_A_M0.90_H0.02_Mild_0,0.9,0.02,Mild,0,Canon 500D,FL2,0.86138916015625,01890d45454c6f004d39663f4b4d43bfffcedcac538d4d4633e6e53d090e6989,9565106771652997653,1,False,-0.046687015709926116,c36746807412863bb2e973b48a4cea3a,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
A,AM4_A_M0.90_H0.02_Mild_0,0.9,0.02,Mild,0,Canon 500D,FL11,0.86138916015625,01890d45454c6f004d39663f4b4d43bfffcedcac538d4d4633e6e53d090e6989,118714526291200143,1,False,-0.33979794327219437,109005e1327ea9029096e2feeae5811b,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
A,AM4_A_M0.90_H0.02_Mild_1,0.9,0.02,Mild,1,Canon 500D,D65,0.8950653076171875,73d72186810234e0c3786f62d2d79c6332f748431221fd2e8aadf152628adab6,9254861046416823840,1,False,0.25404822631661894,f88912811b2a5061d8837c7bb1f5f46b,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
A,AM4_A_M0.90_H0.02_Mild_1,0.9,0.02,Mild,1,Canon 500D,A,0.8950653076171875,73d72186810234e0c3786f62d2d79c6332f748431221fd2e8aadf152628adab6,940895532173611787,1,False,0.2752148801141353,fb0a2f3193b067daaa8af91357ccb531,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
A,AM4_A_M0.90_H0.02_Mild_1,0.9,0.02,Mild,1,Canon 500D,FL2,0.8950653076171875,73d72186810234e0c3786f62d2d79c6332f748431221fd2e8aadf152628adab6,3409378710794727033,1,False,0.03547877723863391,873c62d2359c8a01ddbe7d4333bb3415,0.0,0.00022161987077856765,0,False,False,0.0,0.0,0.0,0.0,0.0006648596123357029,0.0
A,AM4_A_M0.90_H0.02_Mild_1,0.9,0.02,Mild,1,Canon 500D,FL11,0.8950653076171875,73d72186810234e0c3786f62d2d79c6332f748431221fd2e8aadf152628adab6,9484067816053748898,1,False,0.09404462688598281,87eb6167009b9d5977f43e3d0088d6ad,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
A,AM4_A_M0.90_H0.02_Mild_2,0.9,0.02,Mild,2,Canon 500D,D65,0.723052978515625,e063cee3371410a3ba4dd57493fa15f4d4b1c1c7a512465cccc52ab39f829647,986649391499236561,1,False,0.22371099901707114,b86fc287e2b2330a782888b608dd39ab,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
A,AM4_A_M0.90_H0.02_Mild_2,0.9,0.02,Mild,2,Canon 500D,A,0.723052978515625,e063cee3371410a3ba4dd57493fa15f4d4b1c1c7a512465cccc52ab39f829647,10467985763497001523,1,False,-0.21574695390480125,39ce5c0e760353bf4d60204f9dca022b,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
A,AM4_A_M0.90_H0.02_Mild_2,0.9,0.02,Mild,2,Canon 500D,FL2,0.723052978515625,e063cee3371410a3ba4dd57493fa15f4d4b1c1c7a512465cccc52ab39f829647,16485592411018363490,1,False,-0.4083980081722496,1aa8d4572b8501ff5ae3d5a116d02b51,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
A,AM4_A_M0.90_H0.02_Mild_2,0.9,0.02,Mild,2,Canon 500D,FL11,0.723052978515625,e063cee3371410a3ba4dd57493fa15f4d4b1c1c7a512465cccc52ab39f829647,10649698964181483350,1,False,0.08499605475591399,a3809983f0a109edeb3adc1d3c6c8f14,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
A,AM4_A_M0.90_H0.02_Mild_3,0.9,0.02,Mild,3,Canon 500D,D65,0.914764404296875,72c1f9cd83108ae5e7f6f691d1e32777e55a97e78d348bfb0cc08dfbc3090fd7,9584897401178796925,1,False,0.26269556014866613,2b95f6c4370a4b070011e3f3500ac2ac,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
A,AM4_A_M0.90_H0.02_Mild_3,0.9,0.02,Mild,3,Canon 500D,A,0.914764404296875,72c1f9cd83108ae5e7f6f691d1e32777e55a97e78d348bfb0cc08dfbc3090fd7,8969676309982812587,1,False,-0.10903087202571865,50386009b003c97c9de07373f95cecdd,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
A,AM4_A_M0.90_H0.02_Mild_3,0.9,0.02,Mild,3,Canon 500D,FL2,0.914764404296875,72c1f9cd83108ae5e7f6f691d1e32777e55a97e78d348bfb0cc08dfbc3090fd7,362128548035599438,1,False,0.25043823498634543,05f4013fdce0262c1032370e2416dac6,0.0,0.0007450653322212956,0,False,False,0.0,0.0,0.0,0.0,0.0022351959966638866,0.0
A,AM4_A_M0.90_H0.02_Mild_3,0.9,0.02,Mild,3,Canon 500D,FL11,0.914764404296875,72c1f9cd83108ae5e7f6f691d1e32777e55a97e78d348bfb0cc08dfbc3090fd7,9091893650833898349,1,False,0.29331038773613227,5359627ca3c9e6346ac0ef960a122d78,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
A,AM4_A_M0.90_H0.02_Mild_4,0.9,0.02,Mild,4,Canon 500D,D65,0.79345703125,05e5ca56727545ef32d8225fff5f083fb44ae8fff2db0de717b6bbb9a7c2ee92,4529658627614794501,1,False,-0.2863474878463208,0af2970cb8f544ccd0339f034e50da78,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
A,AM4_A_M0.90_H0.02_Mild_4,0.9,0.02,Mild,4,Canon 500D,A,0.79345703125,05e5ca56727545ef32d8225fff5f083fb44ae8fff2db0de717b6bbb9a7c2ee92,17804446608825239481,1,False,-0.040666829938181215,6b08c47fc5d868e28731138e3ba3bc7c,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
A,AM4_A_M0.90_H0.02_Mild_4,0.9,0.02,Mild,4,Canon 500D,FL2,0.79345703125,05e5ca56727545ef32d8225fff5f083fb44ae8fff2db0de717b6bbb9a7c2ee92,15494641609938365956,1,False,-0.34796694717835186,66abc3068f39622b72b7b342ab26183f,0.0,0.0006217948717948718,0,False,False,0.0,0.0,0.0,0.0,0.0018653846153846153,0.0
A,AM4_A_M0.90_H0.02_Mild_4,0.9,0.02,Mild,4,Canon 500D,FL11,0.79345703125,05e5ca56727545ef32d8225fff5f083fb44ae8fff2db0de717b6bbb9a7c2ee92,12119160398383704583,1,False,-0.18162656375792474,f506a89d018326b0cd5d14c2e1c1b48b,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
A,AM4_A_M0.90_H0.02_Mild_5,0.9,0.02,Mild,5,Canon 500D,D65,0.841644287109375,10f6a6e956723fecf644b703b8db37da966bf73c3b4cfceb47e8734c011ba42d,4620662373566778562,1,False,-0.39625677712103896,d43468cd943a83b7a2f2d70e1f1db011,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
A,AM4_A_M0.90_H0.02_Mild_5,0.9,0.02,Mild,5,Canon 500D,A,0.841644287109375,10f6a6e956723fecf644b703b8db37da966bf73c3b4cfceb47e8734c011ba42d,1088539250424262819,1,False,-0.20197660418378993,929a1be7086e1b7b2739152e51fd4423,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
A,AM4_A_M0.90_H0.02_Mild_5,0.9,0.02,Mild,5,Canon 500D,FL2,0.841644287109375,10f6a6e956723fecf644b703b8db37da966bf73c3b4cfceb47e8734c011ba42d,10550311502784497183,1,False,-0.1347859124488413,4772109df2cdff8ef62f8332c13681d2,0.0,0.000628497528312605,0,False,False,0.0,0.0,0.0,0.0,0.0018673628485441822,0.0
A,AM4_A_M0.90_H0.02_Mild_5,0.9,0.02,Mild,5,Canon 500D,FL11,0.841644287109375,10f6a6e956723fecf644b703b8db37da966bf73c3b4cfceb47e8734c011ba42d,10202197812485897920,1,False,-0.2739109793823344,e76e7cf35c0bdf0ed7e03c207e67940e,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
A,AM4_A_M0.90_H0.02_Mild_6,0.9,0.02,Mild,6,Canon 500D,D65,0.862274169921875,43538e7a6661aeda6f797eb692eb4447190dab0cd9b59338052d3d01f86b44e4,17360402974787276204,1,False,0.013950813503487591,bd5f98478486f3df10e04650157d282d,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
A,AM4_A_M0.90_H0.02_Mild_6,0.9,0.02,Mild,6,Canon 500D,A,0.862274169921875,43538e7a6661aeda6f797eb692eb4447190dab0cd9b59338052d3d01f86b44e4,4262042419233925053,1,False,-0.08714837568754713,a794f9ee7591ff72b1e5f3167f10f6bf,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
A,AM4_A_M0.90_H0.02_Mild_6,0.9,0.02,Mild,6,Canon 500D,FL2,0.862274169921875,43538e7a6661aeda6f797eb692eb4447190dab0cd9b59338052d3d01f86b44e4,14250562151092239041,1,False,0.15676582683374052,1f97ccb3dd07d8a65ff10307b904bc04,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
A,AM4_A_M0.90_H0.02_Mild_6,0.9,0.02,Mild,6,Canon 500D,FL11,0.862274169921875,43538e7a6661aeda6f797eb692eb4447190dab0cd9b59338052d3d01f86b44e4,2405816168316097042,1,False,-0.24129794417042993,38ab54f98867cb10b6253df49e59c587,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
A,AM4_A_M0.90_H0.02_Mild_7,0.9,0.02,Mild,7,Canon 500D,D65,0.8517913818359375,aa4fb8fb031b2b49b79f81d267eb07f06c518f33e24945f36299d5168253d8bf,15171859817852185774,1,False,0.28648438355850503,59db60d6348e3c73544f4e9f65486fc7,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
A,AM4_A_M0.90_H0.02_Mild_7,0.9,0.02,Mild,7,Canon 500D,A,0.8517913818359375,aa4fb8fb031b2b49b79f81d267eb07f06c518f33e24945f36299d5168253d8bf,16500308839567440182,1,False,-0.02587662995245338,d48c6f25cf8212cf42d3fdebe94d4eab,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
A,AM4_A_M0.90_H0.02_Mild_7,0.9,0.02,Mild,7,Canon 500D,FL2,0.8517913818359375,aa4fb8fb031b2b49b79f81d267eb07f06c518f33e24945f36299d5168253d8bf,16099931900794585388,1,False,-0.011115483677579086,49d8a6941595bca16130266c577e7d7e,0.0,0.0005135278768010796,0,False,False,0.0,0.0,0.0,0.0,0.0015405836304032388,0.0
A,AM4_A_M0.90_H0.02_Mild_7,0.9,0.02,Mild,7,Canon 500D,FL11,0.8517913818359375,aa4fb8fb031b2b49b79f81d267eb07f06c518f33e24945f36299d5168253d8bf,9211252562659241660,1,False,0.2592954972864867,f6a5532dd8a1e74ac02007b8c3929acc,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
A,AM4_A_M0.90_H0.02_Strong_0,0.9,0.02,Strong,0,Canon 500D,D65,0.381134033203125,d5ed0cdf1950120d379fa138a86c2e347a7cfe94932d15c4ebc4467a462a2b3d,4134200656927803310,1,False,-0.47805123595682086,8302dccb584f8cabeeed2da6688de3ab,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
A,AM4_A_M0.90_H0.02_Strong_0,0.9,0.02,Strong,0,Canon 500D,A,0.381134033203125,d5ed0cdf1950120d379fa138a86c2e347a7cfe94932d15c4ebc4467a462a2b3d,13425478743842732978,1,False,0.023535996726924857,21e2682da0591b9a0644dbbe38c0bf25,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
A,AM4_A_M0.90_H0.02_Strong_0,0.9,0.02,Strong,0,Canon 500D,FL2,0.381134033203125,d5ed0cdf1950120d379fa138a86c2e347a7cfe94932d15c4ebc4467a462a2b3d,16049713886297570761,1,False,0.1789578659940002,4e34c31eeeb4b6d0a9bf4dd3a9e60b41,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
A,AM4_A_M0.90_H0.02_Strong_0,0.9,0.02,Strong,0,Canon 500D,FL11,0.381134033203125,d5ed0cdf1950120d379fa138a86c2e347a7cfe94932d15c4ebc4467a462a2b3d,11352131425540818649,1,False,-0.20888633334579226,3c4b4e02a5e0e2e83897450ab1b2a2ee,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
A,AM4_A_M0.90_H0.02_Strong_1,0.9,0.02,Strong,1,Canon 500D,D65,0.6440277099609375,59c2c229e0d9001905109a8e6f6dcbc905f903fc5e6b3aaa8d71cd0fd39c91cc,13340316658243640785,1,False,-0.08634331831393399,058ee5e83ca9fc920805289fccae9b1e,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
A,AM4_A_M0.90_H0.02_Strong_1,0.9,0.02,Strong,1,Canon 500D,A,0.6440277099609375,59c2c229e0d9001905109a8e6f6dcbc905f903fc5e6b3aaa8d71cd0fd39c91cc,888930774032190518,1,False,0.036284869360148186,30d6907a74126eb274ecfb3e8a5f2cad,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
A,AM4_A_M0.90_H0.02_Strong_1,0.9,0.02,Strong,1,Canon 500D,FL2,0.6440277099609375,59c2c229e0d9001905109a8e6f6dcbc905f903fc5e6b3aaa8d71cd0fd39c91cc,14456276932507454080,1,False,0.2604346338726419,bf62f03b8a0d1df173e0967a8c3a7f10,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
A,AM4_A_M0.90_H0.02_Strong_1,0.9,0.02,Strong,1,Canon 500D,FL11,0.6440277099609375,59c2c229e0d9001905109a8e6f6dcbc905f903fc5e6b3aaa8d71cd0fd39c91cc,14934412545302988962,1,False,-0.4718676976299254,732f40a912442c5cf73c21a49ffccf17,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
A,AM4_A_M0.90_H0.02_Strong_2,0.9,0.02,Strong,2,Canon 500D,D65,0.550384521484375,5984f9acc8401d760d78fb881cc53db1e5e65e99bba4c94160d2952d6d93a576,17801672902184914205,1,False,-0.21380009265214284,231b26b38304e258ff0dccb1e324e97d,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
A,AM4_A_M0.90_H0.02_Strong_2,0.9,0.02,Strong,2,Canon 500D,A,0.550384521484375,5984f9acc8401d760d78fb881cc53db1e5e65e99bba4c94160d2952d6d93a576,5160976476654952078,1,False,0.1195615939017004,f43b42f90eb4e47778729fd2ddb89ff0,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
A,AM4_A_M0.90_H0.02_Strong_2,0.9,0.02,Strong,2,Canon 500D,FL2,0.550384521484375,5984f9acc8401d760d78fb881cc53db1e5e65e99bba4c94160d2952d6d93a576,7238260640136307595,1,False,-0.11727607369134274,17b1fa8396492906261ed4415e94492b,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
