panel,latent_id,m_base,h_base,mask_category,replicate,light,camera,valid_skin_fraction,mask_hash,appearance_seed,attempt_count,exposure_ev,p_zero,high_clip_element_fraction,low_clip_element_fraction,nonfinite_count,all_zero,all_one,R_zero_fraction,R_one_fraction,G_zero_fraction,G_one_fraction,B_zero_fraction,B_one_fraction,retry_exhausted
A,AM3_M0.90_H0.02_Full_7,0.9,0.02,Full,7,A,Canon 300D,1.0,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff,3569681142989666068,1,0.19315153846222066,False,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False
A,AM3_M0.90_H0.02_Full_7,0.9,0.02,Full,7,FL2,Canon 300D,1.0,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff,1810435055942044302,1,-0.05089601856791265,False,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False
A,AM3_M0.90_H0.02_Full_7,0.9,0.02,Full,7,FL11,Canon 300D,1.0,916b144867c340614f515c7b0e5415c74832d899c05264ded2a277a6e81d81ff,5400879861219707913,1,-0.2434120631241462,False,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False
A,AM3_M0.90_H0.02_Mild_0,0.9,0.02,Mild,0,D65,Canon 300D,0.923828125,11954ee54738d6071b51732740a676f8b858997db1e9090a4cdb340c8a506017,985111572985683781,1,0.22628490343207897,False,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False
A,AM3_M0.90_H0.02_Mild_0,0.9,0.02,Mild,0,A,Canon 300D,0.923828125,11954ee54738d6071b51732740a676f8b858997db1e9090a4cdb340c8a506017,15388744159963965219,1,-0.07142494780026992,False,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False
A,AM3_M0.90_H0.02_Mild_0,0.9,0.02,Mild,0,FL2,Canon 300D,0.923828125,11954ee54738d6071b51732740a676f8b858997db1e9090a4cdb340c8a506017,5705833172940474260,1,-0.24199441176140601,False,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False
A,AM3_M0.90_H0.02_Mild_0,0.9,0.02,Mild,0,FL11,Canon 300D,0.923828125,11954ee54738d6071b51732740a676f8b858997db1e9090a4cdb340c8a506017,7283809106032921208,1,-0.23996882179413315,False,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False
A,AM3_M0.90_H0.02_Mild_1,0.9,0.02,Mild,1,D65,Canon 300D,0.80584716796875,b85cd58d4dfb64dc92a561a487954c945562a72ffc28ee7eebb0be7d278d6c55,11644452192917121476,1,-0.05794395626538229,False,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False
A,AM3_M0.90_H0.02_Mild_1,0.9,0.02,Mild,1,A,Canon 300D,0.80584716796875,b85cd58d4dfb64dc92a561a487954c945562a72ffc28ee7eebb0be7d278d6c55,16537747987945540464,1,-0.174491305754567,False,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False
A,AM3_M0.90_H0.02_Mild_1,0.9,0.02,Mild,1,FL2,Canon 300D,0.80584716796875,b85cd58d4dfb64dc92a561a487954c945562a72ffc28ee7eebb0be7d278d6c55,3715067114474817403,1,0.18510348850671887,False,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False
