high_clip_element_fraction,low_clip_element_fraction,nonfinite_count,all_zero,all_one,R_zero_fraction,R_one_fraction,G_zero_fraction,G_one_fraction,B_zero_fraction,B_one_fraction,attempt,appearance_seed,exposure_ev,S_mean,P_mean,P_max
0.0,0.16747762863534676,0,False,False,0.0,0.0,0.0,0.0,0.5019714765100671,0.0,78,18057700257378722028,-0.15473065933665242,0.9999999403953552,0.0,0.0
0.0,0.16746364653243848,0,False,False,0.0,0.0,0.0,0.0,0.5019714765100671,0.0,79,967111476536965413,-0.2185739103115638,1.0,0.0,0.0
0.0,0.1373182326621924,0,False,False,0.0,0.0,0.0,0.0,0.4115771812080537,0.0,80,15883667230762833884,-0.22657403345626626,1.0,0.0007832294795662165,0.07433342933654785
0.0,0.16751957494407158,0,False,False,0.0,0.0,0.0,0.0,0.5019714765100671,0.0,81,14459408569008271083,-0.3398017131394542,1.0,0.0,0.0
0.0,0.12904082774049216,0,False,False,0.0,0.0,0.0,0.0,0.38695469798657717,0.0,82,11595306695982870883,0.10215182901918352,1.0,0.00045006658183410764,0.03379136323928833
0.0,0.16753355704697986,0,False,False,0.0,0.0,0.0,0.0,0.5019714765100671,0.0,83,6878339978022729339,-0.4895381824165116,1.0,0.0,0.0
0.0,0.13129194630872484,0,False,False,0.0,0.0,0.0,0.0,0.3933724832214765,0.0,84,12955296336447148475,-0.4257689828377755,1.0,0.0006490099476650357,0.041385967284440994
0.0,0.1553831096196868,0,False,False,0.0,0.0,0.0,0.0,0.46560402684563756,0.0,85,11915510882102504573,-0.31294770303143504,1.0,0.00045779108768329024,0.05364013835787773
0.0,0.16749161073825503,0,False,False,0.0,0.0,0.0,0.0,0.5019714765100671,0.0,86,9977126210351706666,-0.3340263825476461,0.9999999403953552,0.0,0.0
0.0,0.12788031319910514,0,False,False,0.0,0.0,0.0,0.0,0.3832214765100671,0.0,87,4773260630895960208,-0.05455315251318249,1.0,0.0006369510665535927,0.07311956584453583
0.0,0.12439876957494407,0,False,False,0.0,0.0,0.0,0.0,0.3730285234899329,0.0,88,8709931422013958039,0.011193866674253261,1.0000001192092896,0.0005740547203458846,0.054754603654146194
0.0,0.1533417225950783,0,False,False,0.0,0.0,0.0,0.0,0.4596476510067114,0.0,89,1232295544872518704,-0.368711717015344,1.0,0.00034520067856647074,0.0561385452747345
0.0,0.15549496644295302,0,False,False,0.0,0.0,0.0,0.0,0.4660234899328859,0.0,90,481840725357275189,-0.06829191981417293,1.0,0.00015262686065398157,0.018915733322501183
0.0,0.16743568232662193,0,False,False,0.0,0.0,0.0,0.0,0.5019714765100671,0.0,91,17013466993041166320,0.14686283960123248,1.0,0.0,0.0
0.0,0.16743568232662193,0,False,False,0.0,0.0,0.0,0.0,0.5019714765100671,0.0,92,16089846474014071398,-0.00987641137023193,1.0,0.0,0.0
0.0,0.1576062639821029,0,False,False,0.0,0.0,0.0,0.0,0.47248322147651006,0.0,93,2055304086542684710,0.27943911439602054,1.0,0.00011917347001144662,0.02760385349392891
0.0,0.1482662192393736,0,False,False,0.0,0.0,0.0,0.0,0.44442114093959734,0.0,94,4956409505170339978,0.223764096905393,1.0,0.000329493370372802,0.03707404434680939
0.0,0.16743568232662193,0,False,False,0.0,0.0,0.0,0.0,0.5019714765100671,0.0,95,3958759041909473085,0.2955778445021662,1.0,0.0,0.0
0.0,0.14250559284116332,0,False,False,0.0,0.0,0.0,0.0,0.42726510067114093,0.0,96,12405042960866931808,0.21019656057372627,1.0,0.00041228096233680844,0.05891149118542671
0.0,0.16744966442953022,0,False,False,0.0,0.0,0.0,0.0,0.5019714765100671,0.0,97,5529566338375187046,0.07421138320219822,1.0,0.0,0.0
0.0,0.16743568232662193,0,False,False,0.0,0.0,0.0,0.0,0.5019714765100671,0.0,98,16910933389831816929,0.14112859336012085,0.9999999403953552,0.0,0.0
0.0,0.13808724832214764,0,False,False,0.0,0.0,0.0,0.0,0.4139261744966443,0.0,99,15744341506967338346,0.09929761105677704,1.0,0.0008479232201352715,0.07357189804315567
0.0,0.15015380313199106,0,False,False,0.0,0.0,0.0,0.0,0.4500838926174497,0.0,100,14701365102238474282,0.07446793435482313,0.9999999403953552,0.0004108704160898924,0.04254679009318352
0.0,0.16751957494407158,0,False,False,0.0,0.0,0.0,0.0,0.5019714765100671,0.0,101,17540102555284227944,-0.3656392091170232,1.0,0.00046687040594406426,0.06748472899198532
0.0,0.1672678970917226,0,False,False,0.0,0.0,0.0,0.0,0.5014681208053692,0.0,102,16737305745614947825,0.1300288124071014,1.0,0.0002690607216209173,0.044374942779541016
0.0,0.11756152125279642,0,False,False,0.0,0.0,0.0,0.0,0.3524748322147651,0.0,103,5774585154707152985,0.028591012364879487,1.0,0.00039105716859921813,0.0551631785929203
0.0,0.16749161073825503,0,False,False,0.0,0.0,0.0,0.0,0.5019714765100671,0.0,104,6664324910807155473,-0.3149074826305205,1.0,0.0,0.0
0.0,0.13022930648769576,0,False,False,0.0,0.0,0.0,0.0,0.3902265100671141,0.0,105,15148995781960539670,-0.14279312117474313,1.0,0.0007498234626837075,0.06272000074386597
0.0,0.13797539149888144,0,False,False,0.0,0.0,0.0,0.0,0.41317114093959734,0.0,106,4648225013457620930,-0.45374471665118493,1.0,0.00039341376395896077,0.02474503591656685
0.0,0.16750559284116331,0,False,False,0.0,0.0,0.0,0.0,0.5019714765100671,0.0,107,15742026518185307853,-0.49593171727356605,1.0,0.0,0.0
0.0,0.16751957494407158,0,False,False,0.0,0.0,0.0,0.0,0.5019714765100671,0.0,108,16170341867674395723,-0.47023437299145165,1.0,0.0,0.0
0.0,0.1558165548098434,0,False,False,0.0,0.0,0.0,0.0,0.4671140939597315,0.0,109,9550323575243153857,0.3079559180054884,1.0,0.00016317071276716888,0.041088029742240906
0.0,0.1511884787472036,0,False,False,0.0,0.0,0.0,0.0,0.45331375838926175,0.0,110,13456512294698141575,0.2660167030895747,1.0,0.00016124563990160823,0.05767709016799927
0.0,0.16746364653243848,0,False,False,0.0,0.0,0.0,0.0,0.5019714765100671,0.0,111,14591346342166642089,-0.06476922337179358,1.0,0.0,0.0
0.0,0.14442114093959732,0,False,False,0.0,0.0,0.0,0.0,0.4328439597315436,0.0,112,8129147574448182718,-0.13005541112017127,1.0,0.00036084908060729504,0.03300831466913223
0.0,0.16749161073825503,0,False,False,0.0,0.0,0.0,0.0,0.5019714765100671,0.0,113,16339275130239432336,-0.34601682935772815,1.0,0.0,0.0
0.0,0.140170581655481,0,False,False,0.0,0.0,0.0,0.0,0.42026006711409397,0.0,114,18331495919500089146,0.26508519398360875,1.0,0.0005924502038396895,0.04631708562374115
0.0,0.15327181208053692,0,False,False,0.0,0.0,0.0,0.0,0.4593540268456376,0.0,115,8327660216197512626,0.04268700904450762,1.0,0.00038876559119671583,0.07152098417282104
0.0,0.13901006711409397,0,False,False,0.0,0.0,0.0,0.0,0.4166946308724832,0.0,116,2587153732249035218,0.08781979809643314,1.0,0.0010794887784868479,0.07869337499141693
0.0,0.13944351230425056,0,False,False,0.0,0.0,0.0,0.0,0.4178691275167785,0.0,117,7175391500057963686,-0.0566982865940191,1.0,0.0001997915969695896,0.032688602805137634
0.0,0.1388003355704698,0,False,False,0.0,0.0,0.0,0.0,0.4157298657718121,0.0,118,14998841445179514212,-0.39657579899422724,1.0,0.0006585896480828524,0.05676132068037987
0.0,0.16743568232662193,0,False,False,0.0,0.0,0.0,0.0,0.5019714765100671,0.0,119,16398101107079563429,0.0821842501419443,1.0,0.0001868666586233303,0.07015170902013779
0.0,0.16747762863534676,0,False,False,0.0,0.0,0.0,0.0,0.5019714765100671,0.0,120,4614853609714679880,-0.19660776589182927,1.0,0.0,0.0
0.0,0.13656319910514542,0,False,False,0.0,0.0,0.0,0.0,0.4094379194630873,0.0,121,1331516520105163637,0.2448807821770035,1.0,0.000803085567895323,0.05111267417669296
0.0,0.15399888143176735,0,False,False,0.0,0.0,0.0,0.0,0.4615771812080537,0.0,122,2232614330171630257,-0.05849684333512667,1.0,0.0008104836451821029,0.07960868626832962
0.0,0.14447706935123042,0,False,False,0.0,0.0,0.0,0.0,0.43301174496644296,0.0,123,16209104442730790594,-0.48058468638183816,1.0,0.0011300077894702554,0.0715298131108284
0.0,0.14011465324384786,0,False,False,0.0,0.0,0.0,0.0,0.4197147651006711,0.0,124,7029339182825166761,-0.43873051580830735,1.0,0.0007901227800175548,0.06270571053028107
0.0,0.14130313199105146,0,False,False,0.0,0.0,0.0,0.0,0.4234479865771812,0.0,125,9706071597287333447,-0.20077257427870165,1.0,0.00036777439527213573,0.05972139537334442
