variant,fold,split_role,scale,feature,total_n,valid_n,missing_n,statistic_population,mean,std_ddof0,min,median,q1,q3,max,nonfinite,unavailable_filled_zero_n
o_stage2a,3,val,raw,calibrated_cheek_mean_log2_y,100,100,0,all_cases,-1.9773313091693836,0.31727367341682389,-3.0674283839249199,-2.0153431452836585,-2.1545677078543504,-1.7805723429950078,-1.0402264746240233,0,0
o_stage2a,3,val,standardized_model_input,calibrated_cheek_mean_log2_y,100,100,0,all_cases,0.0017709072829779999,0.91269070988375078,-3.1340753868207725,-0.10757648770729,-0.50807919402216406,0.56778093446149247,2.6975094709836323,0,0
o_stage2a,3,val,raw,calibrated_cheek_mean_log2_rg,100,100,0,all_cases,0.96249105977988025,0.13565431293928421,0.56430607437648805,0.96625845728062165,0.87967038424362587,1.0435779522439947,1.2942822072286593,0,0
o_stage2a,3,val,standardized_model_input,calibrated_cheek_mean_log2_rg,100,100,0,all_cases,-0.066785351214703997,1.0003457272536258,-3.0030919099535383,-0.039003706008778102,-0.67752383129555638,0.53116781853859751,2.3799179603085907,0,0
o_stage2a,3,val,raw,calibrated_cheek_mean_log2_bg,100,100,0,all_cases,-0.56951914624533762,0.13391527652690621,-0.93112395652747282,-0.5601746159332418,-0.65142358508987663,-0.46782870373158952,-0.28301863991703452,0,0
o_stage2a,3,val,standardized_model_input,calibrated_cheek_mean_log2_bg,100,100,0,all_cases,0.15077074114264871,1.007060804714913,-2.5685458347996346,0.22104285990193931,-0.46516160228892778,0.91549648062267541,2.3052928982636911,0,0
o_stage2a,3,val,raw,calibrated_forehead_minus_cheek_log2_y,100,99,1,available_only,-0.043234065023828101,0.38095830894135302,-1.3804295901761352,-0.0566976988796353,-0.2185262938366429,0.14445954230787039,1.2403539375971848,0,0
o_stage2a,3,val,standardized_model_input,calibrated_forehead_minus_cheek_log2_y,100,99,0,available_only,-0.14305635898403141,1.2374731176457945,-4.4866904957760756,-0.18679050146457249,-0.71246097832642696,0.46663186142094459,4.0264435839104848,0,1
o_stage2a,3,val,raw,calibrated_forehead_minus_cheek_log2_rg,100,99,1,available_only,-0.048139055917173899,0.1092532196717991,-0.2992566478334201,-0.046128869625428399,-0.1094973489950387,0.029871869079502601,0.2121349722390726,0,0
o_stage2a,3,val,standardized_model_input,calibrated_forehead_minus_cheek_log2_rg,100,99,0,available_only,0.075558382596341095,0.98020421986829798,-2.1774326415483309,0.093593485743044394,-0.47493942405423312,0.77546121481749175,2.4106996396436706,0,1
o_stage2a,3,val,raw,calibrated_forehead_minus_cheek_log2_bg,100,99,1,available_only,-0.1501575502421082,0.1126587997837389,-0.45456381021981063,-0.1416681197078643,-0.22967057113491179,-0.0742590453261643,0.088495958949195805,0,0
o_stage2a,3,val,standardized_model_input,calibrated_forehead_minus_cheek_log2_bg,100,99,0,available_only,-0.101960495058477,1.0271013298325151,-2.8772081901574702,-0.024563031141048901,-0.82687439130776885,0.59000014610856821,2.0738245934576658,0,1
o_stage2a,3,val,raw,forehead_available,100,100,0,all_cases,0.98999999999999999,0.099498743710661905,0,1,1,1,1,0,0
o_stage2a,3,val,standardized_model_input,forehead_available,100,100,0,all_cases,0.98999999999999999,0.099498743710661905,0,1,1,1,1,0,0
