variant,class_index,class_name,feature,is_intercept,fold_count,coefficient_mean,coefficient_std_ddof1,coefficient_median,coefficient_min,coefficient_max,mean_abs_coefficient,positive_fold_count,negative_fold_count,zero_fold_count,sign_consistency_fraction
o_stage2a,0,normal,__intercept__,True,5,0.77053256962236227,0.18121546699730839,0.86107661048353368,0.4989795316634546,0.94156248367691997,0.77053256962236227,5,0,0,1
o_stage2a,0,normal,calibrated_cheek_mean_log2_y,False,5,-0.026257529423959963,0.049675247771394197,-0.043527781288365,-0.0882808765137479,0.025619786580406499,0.046068642156845835,2,3,0,0.59999999999999998
o_stage2a,0,normal,calibrated_cheek_mean_log2_rg,False,5,0.10659306746660797,0.035019443189939513,0.0927145166650028,0.085341671227206997,0.1685304523103057,0.10659306746660797,5,0,0,1
o_stage2a,0,normal,calibrated_cheek_mean_log2_bg,False,5,0.023949435225391759,0.020163101349875135,0.0169769887101438,0.0044320073681369003,0.054213158673296701,0.023949435225391759,5,0,0,1
o_stage2a,0,normal,calibrated_forehead_minus_cheek_log2_y,False,5,-0.06800866182029032,0.073729274176614484,-0.029274388573310599,-0.1954797471068313,-0.0209817095273327,0.06800866182029032,0,5,0,1
o_stage2a,0,normal,calibrated_forehead_minus_cheek_log2_rg,False,5,-0.024974236736782361,0.066793132697811966,0.020598164911783901,-0.1169898718154599,0.0265122814987565,0.052082442502582482,3,2,0,0.59999999999999998
o_stage2a,0,normal,calibrated_forehead_minus_cheek_log2_bg,False,5,0.05881701716233869,0.028955880623952289,0.063657292183668196,0.019751221843993499,0.086885528038920398,0.05881701716233869,5,0,0,1
o_stage2a,0,normal,forehead_available,False,5,-0.79959504964068739,0.19045302050519591,-0.90288226212686862,-0.97225238365335043,-0.51285883661078036,0.79959504964068739,0,5,0,1
o_stage2a,1,mild,__intercept__,True,5,-0.22940128104779114,0.22263627823901705,-0.2333626215361233,-0.45690442453339303,0.1211755190723791,0.27787148867674277,1,4,0,0.80000000000000004
o_stage2a,1,mild,calibrated_cheek_mean_log2_y,False,5,0.047893057636907307,0.0365786943935755,0.061430390441950602,-0.016711691552529901,0.073743835798086799,0.054577734257919265,4,1,0,0.80000000000000004
o_stage2a,1,mild,calibrated_cheek_mean_log2_rg,False,5,0.024282043650542099,0.028746537812211755,0.015937074868186601,-0.010170451604181899,0.057553739385425802,0.02835022429221486,4,1,0,0.80000000000000004
o_stage2a,1,mild,calibrated_cheek_mean_log2_bg,False,5,0.050982738214447022,0.019542225394602285,0.0460650113615911,0.027755945573182301,0.0798859853657478,0.050982738214447022,5,0,0,1
o_stage2a,1,mild,calibrated_forehead_minus_cheek_log2_y,False,5,0.15253204434973022,0.036651222151708338,0.1400855394002597,0.1222607246089374,0.21085833706334811,0.15253204434973022,5,0,0,1
o_stage2a,1,mild,calibrated_forehead_minus_cheek_log2_rg,False,5,0.23303004849270822,0.073229481241876143,0.21833290977634889,0.15534860439264131,0.35130246687523958,0.23303004849270822,5,0,0,1
o_stage2a,1,mild,calibrated_forehead_minus_cheek_log2_bg,False,5,0.045240071184235287,0.015645466239399559,0.041021043185376402,0.028615218917745999,0.063182394440804798,0.045240071184235287,5,0,0,1
o_stage2a,1,mild,forehead_available,False,5,0.24335242314433189,0.22820619357776259,0.24536659790044141,-0.1142587071839106,0.47697010556969199,0.2890559060178961,4,1,0,0.80000000000000004
o_stage2a,2,severe,__intercept__,True,5,-0.54113128857456805,0.2992424273914972,-0.4418701990396669,-1.0627380027492987,-0.3008414526119374,0.54113128857456805,0,5,0,1
