variant,metric,fold_mean,fold_std_ddof1,fold_median,fold_min,fold_max,fold_count
o_raw,recall_severe,0.34505747126436787,0.11835843771376005,0.33333333333333331,0.23333333333333334,0.51724137931034486,5
o_stage2a,accuracy,0.36799999999999999,0.07628892449104259,0.39000000000000001,0.27000000000000002,0.46999999999999997,5
o_stage2a,balanced_accuracy,0.34885731779500317,0.060509297075803894,0.37516658337497916,0.26064343714667487,0.4105252338369822,5
o_stage2a,macro_precision,0.35109009098791594,0.060699416828636853,0.36923076923076925,0.25952380952380955,0.41475795971410001,5
o_stage2a,macro_recall,0.34885731779500317,0.060509297075803894,0.37516658337497916,0.26064343714667487,0.4105252338369822,5
o_stage2a,macro_f1,0.3439523124825587,0.060260053685265193,0.36959753399458073,0.25866067598711712,0.40755735492577599,5
o_stage2a,macro_auc,0.52676118474114131,0.064703688710577939,0.55702788095994948,0.41715103515009261,0.57064929666492004,5
o_stage2a,auc_normal,0.49384528514963294,0.066169977413358255,0.52343308865047988,0.38170525127046867,0.54545454545454541,5
o_stage2a,auc_mild,0.54550693393653038,0.10307260704983587,0.59935768767563224,0.38498594941790437,0.63982371794871795,5
o_stage2a,auc_severe,0.54093133513726033,0.037307428432548327,0.54095238095238096,0.48476190476190478,0.58426420592520634,5
o_stage2a,severe_vs_rest_auc,0.54093133513726033,0.037307428432548327,0.54095238095238096,0.48476190476190478,0.58426420592520634,5
o_stage2a,normal_vs_abnormal_auc,0.49384528514963294,0.066169977413358255,0.52343308865047988,0.38170525127046867,0.54545454545454541,5
o_stage2a,recall_normal,0.28695652173913044,0.095256096957420211,0.21739130434782608,0.21739130434782608,0.39130434782608697,5
o_stage2a,recall_mild,0.43501773049645387,0.15401873109688879,0.42553191489361702,0.2978723404255319,0.68085106382978722,5
o_stage2a,recall_severe,0.32459770114942527,0.058820933627337556,0.33333333333333331,0.26666666666666666,0.41379310344827586,5
o_stage2b,accuracy,0.38,0.046368092477478522,0.37,0.32000000000000001,0.44,5
o_stage2b,balanced_accuracy,0.3617967168897821,0.039034086459826152,0.35809435707678078,0.3047795251310515,0.40859778444111283,5
o_stage2b,macro_precision,0.35802834787458326,0.036441933000007455,0.36792929292929294,0.29999999999999999,0.39761904761904759,5
o_stage2b,macro_recall,0.3617967168897821,0.039034086459826152,0.35809435707678078,0.3047795251310515,0.40859778444111283,5
o_stage2b,macro_f1,0.35271957081947297,0.032884098963486548,0.35103263243276972,0.30055507384927782,0.38426484737164346,5
o_stage2b,macro_auc,0.54915751772818977,0.075589468211457497,0.57571239094531645,0.4361760494502715,0.63023316648638661,5
o_stage2b,auc_normal,0.55798983625070586,0.10387262519185653,0.5731225296442688,0.4110671936758894,0.69734613212874075,5
o_stage2b,auc_mild,0.5513617613150934,0.1197181411385783,0.60176635889201124,0.37936571657968687,0.67708333333333326,5
o_stage2b,auc_severe,0.53812095561877016,0.026065791098101216,0.53619047619047611,0.51627003399708604,0.580952380952381,5
o_stage2b,severe_vs_rest_auc,0.53812095561877016,0.026065791098101216,0.53619047619047611,0.51627003399708604,0.580952380952381,5
o_stage2b,normal_vs_abnormal_auc,0.55798983625070586,0.10387262519185653,0.5731225296442688,0.4110671936758894,0.69734613212874075,5
o_stage2b,recall_normal,0.33043478260869569,0.17553590641901176,0.2608695652173913,0.17391304347826086,0.60869565217391308,5
o_stage2b,recall_mild,0.45150709219858154,0.11608720129892543,0.41666666666666669,0.34042553191489361,0.63829787234042556,5
o_stage2b,recall_severe,0.30344827586206902,0.10307403570782844,0.29999999999999999,0.13793103448275862,0.40000000000000002,5
