camera_name,illuminant_name,m,h,shading,specular,exposure,parameter_name,gradient_min,gradient_max,gradient_mean,gradient_abs_mean,all_finite,all_zero,gradcheck_status,dtype,status
Canon 5DMarkII,FL11,0.8,0.8,1.0,0.03,1.0,shading,0.269748382673,0.269748382673,0.269748382673,0.269748382673,True,False,True,float64,PASS
Canon 5DMarkII,FL11,0.8,0.8,1.0,0.03,1.0,specular,2.98439216252,2.98439216252,2.98439216252,2.98439216252,True,False,True,float64,PASS
Canon 5DMarkII,FL11,0.8,0.8,1.0,0.03,1.0,exposure,0.359280147548,0.359280147548,0.359280147548,0.359280147548,True,False,True,float64,PASS
Canon 5DMarkII,FL11,0.2,0.8,1.0,0.03,1.0,m,-2.13085287653,-2.13085287653,-2.13085287653,2.13085287653,True,False,True,float64,PASS
Canon 5DMarkII,FL11,0.2,0.8,1.0,0.03,1.0,h,-0.147117567425,-0.147117567425,-0.147117567425,0.147117567425,True,False,True,float64,PASS
Canon 5DMarkII,FL11,0.2,0.8,1.0,0.03,1.0,shading,0.925303342809,0.925303342809,0.925303342809,0.925303342809,True,False,True,float64,PASS
Canon 5DMarkII,FL11,0.2,0.8,1.0,0.03,1.0,specular,2.98439216252,2.98439216252,2.98439216252,2.98439216252,True,False,True,float64,PASS
Canon 5DMarkII,FL11,0.2,0.8,1.0,0.03,1.0,exposure,1.01483510768,1.01483510768,1.01483510768,1.01483510768,True,False,True,float64,PASS
Canon 5DMarkII,FL11,0.8,0.2,1.0,0.03,1.0,m,-0.563434069408,-0.563434069408,-0.563434069408,0.563434069408,True,False,True,float64,PASS
Canon 5DMarkII,FL11,0.8,0.2,1.0,0.03,1.0,h,-0.0508064721465,-0.0508064721465,-0.0508064721465,0.0508064721465,True,False,True,float64,PASS
Canon 5DMarkII,FL11,0.8,0.2,1.0,0.03,1.0,shading,0.294406977309,0.294406977309,0.294406977309,0.294406977309,True,False,True,float64,PASS
Canon 5DMarkII,FL11,0.8,0.2,1.0,0.03,1.0,specular,2.98439216252,2.98439216252,2.98439216252,2.98439216252,True,False,True,float64,PASS
Canon 5DMarkII,FL11,0.8,0.2,1.0,0.03,1.0,exposure,0.383938742185,0.383938742185,0.383938742185,0.383938742185,True,False,True,float64,PASS
Nokia N900,D65,0.2,0.2,1.0,0.03,1.0,m,-2.45220027594,-2.45220027594,-2.45220027594,2.45220027594,True,False,True,float64,PASS
Nokia N900,D65,0.2,0.2,1.0,0.03,1.0,h,-0.243596145983,-0.243596145983,-0.243596145983,0.243596145983,True,False,True,float64,PASS
Nokia N900,D65,0.2,0.2,1.0,0.03,1.0,shading,1.02765578824,1.02765578824,1.02765578824,1.02765578824,True,False,True,float64,PASS
Nokia N900,D65,0.2,0.2,1.0,0.03,1.0,specular,2.98550764755,2.98550764755,2.98550764755,2.98550764755,True,False,True,float64,PASS
Nokia N900,D65,0.2,0.2,1.0,0.03,1.0,exposure,1.11722101767,1.11722101767,1.11722101767,1.11722101767,True,False,True,float64,PASS
Nokia N900,D65,0.5,0.5,1.0,0.03,1.0,m,-1.02969064354,-1.02969064354,-1.02969064354,1.02969064354,True,False,True,float64,PASS
Nokia N900,D65,0.5,0.5,1.0,0.03,1.0,h,-0.0825939376059,-0.0825939376059,-0.0825939376059,0.0825939376059,True,False,True,float64,PASS
Nokia N900,D65,0.5,0.5,1.0,0.03,1.0,shading,0.499339277044,0.499339277044,0.499339277044,0.499339277044,True,False,True,float64,PASS
Nokia N900,D65,0.5,0.5,1.0,0.03,1.0,specular,2.98550764755,2.98550764755,2.98550764755,2.98550764755,True,False,True,float64,PASS
Nokia N900,D65,0.5,0.5,1.0,0.03,1.0,exposure,0.58890450647,0.58890450647,0.58890450647,0.58890450647,True,False,True,float64,PASS
Nokia N900,D65,0.8,0.8,1.0,0.03,1.0,m,-0.498270764558,-0.498270764558,-0.498270764558,0.498270764558,True,False,True,float64,PASS
Nokia N900,D65,0.8,0.8,1.0,0.03,1.0,h,-0.0336723133537,-0.0336723133537,-0.0336723133537,0.0336723133537,True,False,True,float64,PASS
Nokia N900,D65,0.8,0.8,1.0,0.03,1.0,shading,0.265505416657,0.265505416657,0.265505416657,0.265505416657,True,False,True,float64,PASS
