trainability_strategy,label_smoothing_alpha,loss,source_experiment_dir,source_config,input_height,input_width,backbone,input_view,model_display_name,model_id,fold,best_epoch,macro_auc,balanced_accuracy,macro_f1,sensitivity,specificity
full_finetune,0.05,weighted_ce_label_smoothing,experiments\500Data\R3DPR_ResNet34_ControlVsPatient_Binary_224x224_manual_shift_eye_roi_fullbaseline_ls005_5fold,config\train\R3DPR\r3dpr_resnet34_binary_224x224_manual_shift_eye_roi_fullbaseline_ls005_5fold.yaml,224,224,resnet34,eye_roi,Eye ROI ResNet34,eye_roi_resnet34,1,6,0.8402032749858837,0.7374364765669114,0.7023809523809523,0.7792207792207793,0.6956521739130435
full_finetune,0.05,weighted_ce_label_smoothing,experiments\500Data\R3DPR_ResNet34_ControlVsPatient_Binary_224x224_manual_shift_eye_roi_fullbaseline_ls005_5fold,config\train\R3DPR\r3dpr_resnet34_binary_224x224_manual_shift_eye_roi_fullbaseline_ls005_5fold.yaml,224,224,resnet34,eye_roi,Eye ROI ResNet34,eye_roi_resnet34,2,13,0.8435911914172785,0.7416713721061547,0.7236478484011054,0.8311688311688312,0.6521739130434783
full_finetune,0.05,weighted_ce_label_smoothing,experiments\500Data\R3DPR_ResNet34_ControlVsPatient_Binary_224x224_manual_shift_eye_roi_fullbaseline_ls005_5fold,config\train\R3DPR\r3dpr_resnet34_binary_224x224_manual_shift_eye_roi_fullbaseline_ls005_5fold.yaml,224,224,resnet34,eye_roi,Eye ROI ResNet34,eye_roi_resnet34,3,6,0.7939017504234896,0.6383399209486166,0.4874886946035573,0.3636363636363636,0.9130434782608696
full_finetune,0.05,weighted_ce_label_smoothing,experiments\500Data\R3DPR_ResNet34_ControlVsPatient_Binary_224x224_manual_shift_eye_roi_fullbaseline_ls005_5fold,config\train\R3DPR\r3dpr_resnet34_binary_224x224_manual_shift_eye_roi_fullbaseline_ls005_5fold.yaml,224,224,resnet34,eye_roi,Eye ROI ResNet34,eye_roi_resnet34,4,9,0.8379446640316206,0.6437041219649915,0.65625,0.8961038961038961,0.391304347826087
full_finetune,0.05,weighted_ce_label_smoothing,experiments\500Data\R3DPR_ResNet50_ControlVsPatient_Binary_224x224_manual_shift_eye_roi_fullbaseline_ls005_5fold,config\train\R3DPR\r3dpr_resnet50_binary_224x224_manual_shift_eye_roi_fullbaseline_ls005_5fold.yaml,224,224,resnet50,eye_roi,Eye ROI ResNet50,eye_roi_resnet50,0,3,0.7769621682665161,0.6309994353472614,0.6112852664576802,0.7402597402597403,0.5217391304347826
full_finetune,0.05,weighted_ce_label_smoothing,experiments\500Data\R3DPR_ResNet50_ControlVsPatient_Binary_224x224_manual_shift_eye_roi_fullbaseline_ls005_5fold,config\train\R3DPR\r3dpr_resnet50_binary_224x224_manual_shift_eye_roi_fullbaseline_ls005_5fold.yaml,224,224,resnet50,eye_roi,Eye ROI ResNet50,eye_roi_resnet50,1,8,0.8458498023715414,0.7529644268774703,0.6615351020853806,0.6363636363636364,0.8695652173913043
full_finetune,0.05,weighted_ce_label_smoothing,experiments\500Data\R3DPR_ResNet50_ControlVsPatient_Binary_224x224_manual_shift_eye_roi_fullbaseline_ls005_5fold,config\train\R3DPR\r3dpr_resnet50_binary_224x224_manual_shift_eye_roi_fullbaseline_ls005_5fold.yaml,224,224,resnet50,eye_roi,Eye ROI ResNet50,eye_roi_resnet50,2,2,0.8345567476002258,0.7569169960474309,0.7304582210242587,0.8181818181818182,0.6956521739130435
full_finetune,0.05,weighted_ce_label_smoothing,experiments\500Data\R3DPR_ResNet50_ControlVsPatient_Binary_224x224_manual_shift_eye_roi_fullbaseline_ls005_5fold,config\train\R3DPR\r3dpr_resnet50_binary_224x224_manual_shift_eye_roi_fullbaseline_ls005_5fold.yaml,224,224,resnet50,eye_roi,Eye ROI ResNet50,eye_roi_resnet50,3,14,0.7645398080180689,0.733201581027668,0.6815662224318906,0.7272727272727273,0.7391304347826086
full_finetune,0.05,weighted_ce_label_smoothing,experiments\500Data\R3DPR_ResNet50_ControlVsPatient_Binary_224x224_manual_shift_eye_roi_fullbaseline_ls005_5fold,config\train\R3DPR\r3dpr_resnet50_binary_224x224_manual_shift_eye_roi_fullbaseline_ls005_5fold.yaml,224,224,resnet50,eye_roi,Eye ROI ResNet50,eye_roi_resnet50,4,30,0.8661773009599097,0.7961603613777527,0.7380952380952381,0.7662337662337663,0.8260869565217391
full_finetune,0.05,weighted_ce_label_smoothing,experiments\500Data\R3DPR_ResNet18_ControlVsPatient_Binary_224x224_manual_shift_lip_roi_fullbaseline_ls005_5fold,config\train\R3DPR\r3dpr_resnet18_binary_224x224_manual_shift_lip_roi_fullbaseline_ls005_5fold.yaml,224,224,resnet18,lip_roi,Lip ROI ResNet18,lip_roi_resnet18,0,2,0.7577639751552795,0.7046866177300959,0.6984649122807017,0.8441558441558441,0.5652173913043478
