fold,split_role,target,representation,HONOR/BVL-AN00_valid_n,HONOR/BVL-AN00_mean,HONOR/BVL-AN00_median,HONOR/BVL-AN00_std,Xiaomi/M2006J10C_valid_n,Xiaomi/M2006J10C_mean,Xiaomi/M2006J10C_median,Xiaomi/M2006J10C_std,mean_difference_honor_minus_xiaomi,median_difference_honor_minus_xiaomi,pooled_std,standardized_mean_difference
1,val,forehead_minus_cheek_log2_bg,raw,54,-0.0913219478855299,-0.085296616644521095,0.10664792629051401,43,-0.17781770570618069,-0.1622867671113449,0.12858339750386949,0.086495757820650804,0.076990150466823698,0.1168546255833941,0.7401996916153093
1,val,forehead_minus_cheek_log2_bg,calibrated,54,-0.1216525914623543,-0.1022685092819285,0.1096764279205858,43,-0.1413968331780007,-0.1235766483624772,0.1265886029131133,0.019744241715646298,0.0213081390805487,0.11745409059982249,0.16810178014929189
2,train,cheek_mean_log2_y,raw,209,-1.7300406337651506,-1.7189166100963291,0.2326523770391343,191,-2.2888173170577111,-2.2958158024260227,0.4653416651703991,0.55877668329256036,0.57689919232969356,0.36285297198230548,1.5399534424092001
2,train,cheek_mean_log2_y,calibrated,209,-1.9942094515860247,-1.9969715168885891,0.2084117255023834,191,-1.999753008552146,-1.9780929609000504,0.46049419316951518,0.0055435569661209999,-0.018878555988538898,0.35204001461806828,0.015746951300792698
2,train,cheek_mean_log2_rg,raw,209,0.92852863189427515,0.93495795811233595,0.1171050808781635,191,1.0373059357769376,1.0480690519919311,0.15219547471640499,-0.1087773038826622,-0.1131110938795951,0.13499941068943541,-0.8057613238986886
2,train,cheek_mean_log2_rg,calibrated,209,0.97995449240638921,0.98554218738636445,0.1170564385835816,191,0.98103365909090678,0.99156560846621344,0.1497154150308069,-0.0010791666845175001,-0.0060234210798487996,0.13364670374460999,-0.0080747721738036998
2,train,cheek_mean_log2_bg,raw,209,-0.60714587364552686,-0.59938824761185816,0.13915064141957251,191,-0.55836279295035485,-0.5566029984358668,0.1388273762757366,-0.048783080695172003,-0.042785249175991399,0.1389964126488428,-0.35096647291478228
2,train,cheek_mean_log2_bg,calibrated,209,-0.58408304883156348,-0.57216598832007404,0.13050696582679061,191,-0.58359907769443042,-0.58000894909574041,0.1372473514780374,-0.00048397113713309999,0.0078429607756662998,0.1337671128728963,-0.0036180128787935001
2,train,forehead_minus_cheek_log2_y,raw,205,-0.036708797486308502,-0.0169431850261345,0.26097805017603909,184,0.024607617156536001,0.0406233986407546,0.41368166467988482,-0.061316414642844499,-0.057566583666889097,0.3417979434287321,-0.179393749499343
2,train,forehead_minus_cheek_log2_y,calibrated,205,-0.0080005166518371997,0.0023624605941533999,0.25374681726323411,184,-0.0073771522514344996,0.0145581086675964,0.41073939197210207,-0.00062336440040269999,-0.012195648073443,0.3372191814734492,-0.0018485437206714
