fold,split_role,target,valid_n,representation,scope,camera_id,condition,spearman_rho
0,train,forehead_minus_cheek_log2_y,217,calibrated,camera_id,HONOR/BVL-AN00,relative_optical_exposure,-0.018727952936723399
0,train,forehead_minus_cheek_log2_y,217,calibrated,camera_id,HONOR/BVL-AN00,log2_iso_condition,-0.0184801040385753
0,train,forehead_minus_cheek_log2_y,173,calibrated,camera_id,Xiaomi/M2006J10C,relative_optical_exposure,-0.035291288927090998
0,train,forehead_minus_cheek_log2_y,173,calibrated,camera_id,Xiaomi/M2006J10C,log2_iso_condition,-0.032248326148959998
0,train,forehead_minus_cheek_log2_rg,390,raw,overall,ALL,relative_optical_exposure,-0.1288337538530544
0,train,forehead_minus_cheek_log2_rg,390,raw,overall,ALL,log2_iso_condition,0.18701336696119489
0,train,forehead_minus_cheek_log2_rg,217,raw,camera_id,HONOR/BVL-AN00,relative_optical_exposure,0.14303395636661681
0,train,forehead_minus_cheek_log2_rg,217,raw,camera_id,HONOR/BVL-AN00,log2_iso_condition,0.17664414600277289
0,train,forehead_minus_cheek_log2_rg,173,raw,camera_id,Xiaomi/M2006J10C,relative_optical_exposure,0.0168396382555424
0,train,forehead_minus_cheek_log2_rg,173,raw,camera_id,Xiaomi/M2006J10C,log2_iso_condition,-0.0272848165756681
0,train,forehead_minus_cheek_log2_rg,390,residual,overall,ALL,relative_optical_exposure,0.0090317515910879002
0,train,forehead_minus_cheek_log2_rg,390,residual,overall,ALL,log2_iso_condition,0.0025871804585264999
0,train,forehead_minus_cheek_log2_rg,217,residual,camera_id,HONOR/BVL-AN00,relative_optical_exposure,0.012522156187335201
0,train,forehead_minus_cheek_log2_rg,217,residual,camera_id,HONOR/BVL-AN00,log2_iso_condition,0.0089474902265430003
0,train,forehead_minus_cheek_log2_rg,173,residual,camera_id,Xiaomi/M2006J10C,relative_optical_exposure,0.022096854486281101
0,train,forehead_minus_cheek_log2_rg,173,residual,camera_id,Xiaomi/M2006J10C,log2_iso_condition,-0.020840250445134101
0,train,forehead_minus_cheek_log2_rg,390,calibrated,overall,ALL,relative_optical_exposure,0.0090317515910879002
0,train,forehead_minus_cheek_log2_rg,390,calibrated,overall,ALL,log2_iso_condition,0.0025871804585264999
0,train,forehead_minus_cheek_log2_rg,217,calibrated,camera_id,HONOR/BVL-AN00,relative_optical_exposure,0.012522156187335201
0,train,forehead_minus_cheek_log2_rg,217,calibrated,camera_id,HONOR/BVL-AN00,log2_iso_condition,0.0089474902265430003
0,train,forehead_minus_cheek_log2_rg,173,calibrated,camera_id,Xiaomi/M2006J10C,relative_optical_exposure,0.022096854486281101
0,train,forehead_minus_cheek_log2_rg,173,calibrated,camera_id,Xiaomi/M2006J10C,log2_iso_condition,-0.020840250445134101
0,train,forehead_minus_cheek_log2_bg,390,raw,overall,ALL,relative_optical_exposure,-0.20631361982384269
0,train,forehead_minus_cheek_log2_bg,390,raw,overall,ALL,log2_iso_condition,0.1076432306864475
0,train,forehead_minus_cheek_log2_bg,217,raw,camera_id,HONOR/BVL-AN00,relative_optical_exposure,-0.099908296441682004
0,train,forehead_minus_cheek_log2_bg,217,raw,camera_id,HONOR/BVL-AN00,log2_iso_condition,-0.066034532594468495
0,train,forehead_minus_cheek_log2_bg,173,raw,camera_id,Xiaomi/M2006J10C,relative_optical_exposure,0.12872533361159449
0,train,forehead_minus_cheek_log2_bg,173,raw,camera_id,Xiaomi/M2006J10C,log2_iso_condition,0.12555025371042111
0,train,forehead_minus_cheek_log2_bg,390,residual,overall,ALL,relative_optical_exposure,-0.00045581589881410001
0,train,forehead_minus_cheek_log2_bg,390,residual,overall,ALL,log2_iso_condition,0.0229383572630379
0,train,forehead_minus_cheek_log2_bg,217,residual,camera_id,HONOR/BVL-AN00,relative_optical_exposure,0.0136240562407247
0,train,forehead_minus_cheek_log2_bg,217,residual,camera_id,HONOR/BVL-AN00,log2_iso_condition,0.033219786367691198
0,train,forehead_minus_cheek_log2_bg,173,residual,camera_id,Xiaomi/M2006J10C,relative_optical_exposure,0.019297769163620301
0,train,forehead_minus_cheek_log2_bg,173,residual,camera_id,Xiaomi/M2006J10C,log2_iso_condition,0.027383321902245201
0,train,forehead_minus_cheek_log2_bg,390,calibrated,overall,ALL,relative_optical_exposure,-0.00045581589881410001
0,train,forehead_minus_cheek_log2_bg,390,calibrated,overall,ALL,log2_iso_condition,0.0229383572630379
0,train,forehead_minus_cheek_log2_bg,217,calibrated,camera_id,HONOR/BVL-AN00,relative_optical_exposure,0.0136240562407247
0,train,forehead_minus_cheek_log2_bg,217,calibrated,camera_id,HONOR/BVL-AN00,log2_iso_condition,0.033219786367691198
0,train,forehead_minus_cheek_log2_bg,173,calibrated,camera_id,Xiaomi/M2006J10C,relative_optical_exposure,0.019297769163620301
0,train,forehead_minus_cheek_log2_bg,173,calibrated,camera_id,Xiaomi/M2006J10C,log2_iso_condition,0.027383321902245201
0,val,cheek_mean_log2_y,100,raw,overall,ALL,relative_optical_exposure,-0.42411673380094339
0,val,cheek_mean_log2_y,100,raw,overall,ALL,log2_iso_condition,0.32418109267218043
0,val,cheek_mean_log2_y,46,raw,camera_id,HONOR/BVL-AN00,relative_optical_exposure,0.10814731515036841
0,val,cheek_mean_log2_y,46,raw,camera_id,HONOR/BVL-AN00,log2_iso_condition,0.53501865504554647
0,val,cheek_mean_log2_y,54,raw,camera_id,Xiaomi/M2006J10C,relative_optical_exposure,-0.21844476389112311
0,val,cheek_mean_log2_y,54,raw,camera_id,Xiaomi/M2006J10C,log2_iso_condition,-0.1030479800147395
0,val,cheek_mean_log2_y,100,residual,overall,ALL,relative_optical_exposure,0.016323426680068399
0,val,cheek_mean_log2_y,100,residual,overall,ALL,log2_iso_condition,0.1397341612757145
0,val,cheek_mean_log2_y,46,residual,camera_id,HONOR/BVL-AN00,relative_optical_exposure,-0.1160183919335017
0,val,cheek_mean_log2_y,46,residual,camera_id,HONOR/BVL-AN00,log2_iso_condition,0.15895571628467911
0,val,cheek_mean_log2_y,54,residual,camera_id,Xiaomi/M2006J10C,relative_optical_exposure,-0.0024289937937384
0,val,cheek_mean_log2_y,54,residual,camera_id,Xiaomi/M2006J10C,log2_iso_condition,0.1932483206417738
0,val,cheek_mean_log2_y,100,calibrated,overall,ALL,relative_optical_exposure,0.016323426680068399
0,val,cheek_mean_log2_y,100,calibrated,overall,ALL,log2_iso_condition,0.1397341612757145
0,val,cheek_mean_log2_y,46,calibrated,camera_id,HONOR/BVL-AN00,relative_optical_exposure,-0.1160183919335017
0,val,cheek_mean_log2_y,46,calibrated,camera_id,HONOR/BVL-AN00,log2_iso_condition,0.15895571628467911
