,Canon 1DMarkIII,Canon 20D,Canon 300D,Canon 40D,Canon 500D,Canon 50D,Canon 5DMarkII,Canon 600D,Canon 60D,Hasselblad H2,Nikon D3X,Nikon D200,Nikon D3,Nikon D300s,Nikon D40,Nikon D50,Nikon D5100,Nikon D700,Nikon D80,Nikon D90,Nokia N900,Olympus E-PL2,Pentax K-5,Pentax Q,Point Grey Grasshopper 50S5C,Point Grey Grasshopper2 14S5C,Phase One,SONY NEX-5N
Nikon D3X,0.18645486652240809,0.18894425419654573,0.1812379603888279,0.20617007783689675,0.25821788786076444,0.2330323659215582,0.2170367261864142,0.20905607799420287,0.18983923744059564,0.2537282778139916,0.0,0.10187427095879609,0.09737430169054954,0.08647852433052806,0.15662266962209892,0.14478085690622292,0.14278762698659606,0.08235963516409477,0.14402544755179214,0.08047638299948263,0.2746730171959744,0.18448498469229968,0.10776430028937477,0.23808463131636715,0.5492573341667487,0.23871018077033032,0.2950020162612706,0.151444560459105
Nikon D200,0.19787080508416618,0.16447969869105106,0.2052111768785582,0.1916866714761105,0.2870112484335748,0.25931325700228297,0.23194760279060767,0.2121591630506434,0.22288083252274996,0.27248630186287026,0.10187427095879609,0.0,0.0447825652878851,0.08761349047544142,0.15102315808944744,0.13867092811635043,0.10888256420776836,0.058690105198093735,0.12206232095362783,0.08286028754416236,0.309876968842632,0.21844995584382676,0.10359263271961457,0.27908213739382864,0.5725787861756135,0.2554528049451693,0.3011161937891114,0.1679879151071407
Nikon D3,0.18372217774968372,0.15051791936687298,0.19910362580636878,0.17504141567898937,0.27149652229588217,0.24480796936960914,0.2111066803298296,0.1956340320143689,0.20580014776071123,0.25853542847090644,0.09737430169054954,0.0447825652878851,0.0,0.07252932958877199,0.15194397112342728,0.13692032796729856,0.11018423332775724,0.030851770158911242,0.12256720362740155,0.07927789511920087,0.3030909650993341,0.21212823992714244,0.10027986412708367,0.2723713614786587,0.5635078688444114,0.2505386963330822,0.2865517298169644,0.16653827040351257
Nikon D300s,0.17379562869902596,0.14851743523879535,0.17022295024868508,0.17202388981416306,0.23776062021488462,0.2175387079031654,0.1855187846887418,0.18207547695418105,0.18435947061119065,0.2245114633427618,0.08647852433052806,0.08761349047544142,0.07252932958877199,0.0,0.1451651614265951,0.1275632213378303,0.11718584401960741,0.07220051982903532,0.1261009173700187,0.052042672734509375,0.27658796227450994,0.1810676649182874,0.10098929985477799,0.25200982172999375,0.5306004394089507,0.22255405229382652,0.2528823415931834,0.13826343366119964
Nikon D40,0.2326510719387802,0.23641684920910766,0.17134500948574835,0.2475686144256641,0.28568536912756254,0.2684455994175909,0.2457781481100569,0.2478104505726265,0.2285082339033191,0.28845075149088023,0.15662266962209892,0.15102315808944744,0.15194397112342728,0.1451651614265951,0.0,0.07579229557836854,0.17830985896912646,0.1451236563326562,0.18670237634808617,0.14237539109602834,0.3023092763781779,0.23629832723945765,0.15758752293185516,0.30248024068847273,0.6247485583414439,0.271734234584784,0.2830396166421251,0.11045856926464387
Nikon D50,0.2224492895709426,0.21145297986360526,0.17984049012186176,0.23075886096196493,0.29018723263732676,0.2687310430211122,0.23771341142575644,0.24100355224425477,0.22634662911811929,0.23670683972200557,0.14478085690622292,0.13867092811635043,0.13692032796729856,0.1275632213378303,0.07579229557836854,0.0,0.17963248738191473,0.1267246697285222,0.17260613151642246,0.12870379679601673,0.27527449916526564,0.20973724724146703,0.15284432975209591,0.2878318422646165,0.5751230206831078,0.21960346167398573,0.3032197686216293,0.14281386234325552
Nikon D5100,0.21309122693348925,0.1592923135826415,0.19208795695250033,0.16587455876870977,0.2527838422536173,0.2367388532097343,0.22327709456943035,0.18293648883007688,0.21772821143404966,0.3026112522714468,0.14278762698659606,0.10888256420776836,0.11018423332775724,0.11718584401960741,0.17830985896912646,0.17963248738191473,0.0,0.12144421561541265,0.17146641210562985,0.12511842229248957,0.3290588403039784,0.2525835885051164,0.08515916878489223,0.2909061127380477,0.5643340193811593,0.2860597998227654,0.28740036938237545,0.15029310582683125
Nikon D700,0.18194462998693625,0.15841129103123644,0.19498887829515496,0.18165601501924647,0.26487824082344846,0.23848173790040206,0.2061593806381743,0.19635533347758546,0.19553656839801112,0.25576381571247303,0.08235963516409477,0.058690105198093735,0.030851770158911242,0.07220051982903532,0.1451236563326562,0.1267246697285222,0.12144421561541265,0.0,0.12420507896927907,0.07479613178442751,0.29487218434243245,0.2047533944290708,0.09826042912280754,0.2630206155380479,0.5575762863101632,0.24108716716971712,0.2906302901620411,0.15886194355806535
Nikon D80,0.22852806816220037,0.18897427343897985,0.2309515554718168,0.2329281512199467,0.31277516686305123,0.29139878593630925,0.2471664744183318,0.255679099063534,0.25988194839361617,0.2926600094288167,0.14402544755179214,0.12206232095362783,0.12256720362740155,0.1261009173700187,0.18670237634808617,0.17260613151642246,0.17146641210562985,0.12420507896927907,0.0,0.13793933291994362,0.3150617848796817,0.23382917666156622,0.17100920206249046,0.3159778558477983,0.5800911099898101,0.26905284207287533,0.3011493518324504,0.2065867900502575
Nikon D90,0.1782553154747533,0.1695525242030076,0.18356621172413465,0.18435245713321383,0.2470661482630466,0.21994756354467784,0.1949377957683456,0.1921110006660329,0.181371572107217,0.23559056079200724,0.08047638299948263,0.08286028754416236,0.07927789511920087,0.052042672734509375,0.14237539109602834,0.12870379679601673,0.12511842229248957,0.07479613178442751,0.13793933291994362,0.0,0.2867869952030672,0.19845708316550947,0.09467999318696141,0.2500668473903332,0.5442337185878278,0.23595346099447675,0.270585071132542,0.1390013846198336
Nokia N900,0.30275896008453146,0.2948386041732296,0.30507747778154765,0.2993172354390006,0.3138273552168754,0.28803577337027214,0.3061780515997964,0.3070060340035085,0.28748670621979944,0.26020170270880494,0.2746730171959744,0.309876968842632,0.3030909650993341,0.27658796227450994,0.3023092763781779,0.27527449916526564,0.3290588403039784,0.29487218434243245,0.3150617848796817,0.2867869952030672,0.0,0.19145626024830653,0.2980364339624775,0.2284484261376332,0.499548831387852,0.2786492683816223,0.3678507676601499,0.3129938425020115
