,Canon 1DMarkIII,Canon 20D,Canon 300D,Canon 40D,Canon 500D,Canon 50D,Canon 5DMarkII,Canon 600D,Canon 60D,Hasselblad H2,Nikon D3X,Nikon D200,Nikon D3,Nikon D300s,Nikon D40,Nikon D50,Nikon D5100,Nikon D700,Nikon D80,Nikon D90,Nokia N900,Olympus E-PL2,Pentax K-5,Pentax Q,Point Grey Grasshopper 50S5C,Point Grey Grasshopper2 14S5C,Phase One,SONY NEX-5N
Nikon D3X,0.09625434705936502,0.09808709658792068,0.09182321282523842,0.11545554066441278,0.16411191689450536,0.15021854533585627,0.12391970946404222,0.11722795714308915,0.10955422206749527,0.14415734890494392,0.0,0.05695147728368618,0.054517228482134535,0.047456997086015806,0.0848765696756521,0.08009004580244107,0.06969397020535414,0.049165468329978486,0.0726937490796021,0.04523509716748303,0.17888571394535213,0.10139029348743422,0.05880740419232087,0.1491024309889498,0.2867183657934674,0.13154896444306388,0.16771338410527495,0.0785639678042626
Nikon D200,0.09775295746223493,0.09302450878021613,0.11311115177098029,0.11762537812007323,0.1853331240117404,0.16785630623634148,0.1336355664497801,0.12802939860916818,0.13503522879720767,0.15199255935641606,0.05695147728368618,0.0,0.024648747778582614,0.057711589211140925,0.0870432325925487,0.07965512237549298,0.06665345479417634,0.029633665210011623,0.05670264595064509,0.05410175111942248,0.20966546090650065,0.13305639868949468,0.07123672873301011,0.17723461687442285,0.3047853466804483,0.14541894677417097,0.17866642973178745,0.10389659218756205
Nikon D3,0.08944403464743099,0.08698261482325154,0.11099780363414946,0.10916080786431541,0.17796632368009987,0.16092252802266171,0.12333920528061727,0.119639558461344,0.12382092052435496,0.1399012192217225,0.054517228482134535,0.024648747778582614,0.0,0.050029325576147504,0.08976477770310005,0.07786141873378975,0.06432554608423989,0.014042697159795467,0.05925863284349342,0.05115727517126941,0.20316304782766173,0.12645979263315862,0.06947026006033709,0.1732512330734742,0.29931917175233397,0.1434222292363572,0.16380194193110872,0.10006732073452214
Nikon D300s,0.08353111027617342,0.08320141992503712,0.08733269890408131,0.09664845822416455,0.14322007894107425,0.13267268422608744,0.10276795052454261,0.1008256796442339,0.10104388244748393,0.11708730350847645,0.047456997086015806,0.057711589211140925,0.050029325576147504,0.0,0.08479815138687918,0.07042767688554932,0.05595035517707597,0.04665653596736116,0.07849016237404145,0.02637533267987194,0.1758011510049647,0.106298478058114,0.05470015135569367,0.14996338507959286,0.2815585994224689,0.12293990772952212,0.13957095916286077,0.07354864469861681
Nikon D40,0.11575704253748413,0.13005847053944805,0.09612335106988025,0.13603521375824515,0.16909854395256577,0.16316805968191436,0.1356899888847298,0.13566918641609257,0.12841320147671134,0.14904153679894896,0.0848765696756521,0.0870432325925487,0.08976477770310005,0.08479815138687918,0.0,0.0383197892189602,0.09972287535895723,0.0838898524555774,0.10811093493639141,0.07794396692451656,0.1922002264419048,0.14146132515985524,0.08913855570748612,0.18252168651611766,0.3334566467450569,0.14395580479845738,0.16800149623189076,0.06918309364537474
Nikon D50,0.1034686049590215,0.11192101529397767,0.09988020088130323,0.12019647132695392,0.17066034739384592,0.15832390691294027,0.12420660061960266,0.12624198984831506,0.12172534131041139,0.12486234651426471,0.08009004580244107,0.07965512237549298,0.07786141873378975,0.07042767688554932,0.0383197892189602,0.0,0.09945601392191981,0.06958949312727948,0.09792923319644693,0.0668589978657343,0.1759070451429666,0.12311384665912839,0.08952694116814557,0.17420647012392623,0.3067272972957933,0.11738502955027535,0.17594525047744644,0.0845715128530924
Nikon D5100,0.10670604663024068,0.08684337163800097,0.10052263336519862,0.09337888155423535,0.1489388089871608,0.13816175678285392,0.1126108633526406,0.1000528006571225,0.10959927871794094,0.15835502975759316,0.06969397020535414,0.06665345479417634,0.06432554608423989,0.05595035517707597,0.09972287535895723,0.09945601392191981,0.0,0.06433533048547331,0.10395722872396544,0.05424443960742987,0.20689992862384443,0.13928260937021444,0.043323279327219945,0.16419508024214122,0.3006632273414938,0.15798418440210035,0.16513329392911993,0.06727652323394893
Nikon D700,0.08564135728612711,0.08777133614441873,0.1057782347473707,0.10943117674281738,0.17017626828798416,0.15453727306187406,0.11876285457713469,0.11726866234177158,0.11841928543517448,0.13761323057495636,0.049165468329978486,0.029633665210011623,0.014042697159795467,0.04665653596736116,0.0838898524555774,0.06958949312727948,0.06433533048547331,0.0,0.06048901160109008,0.047959678946981214,0.1972408598118219,0.1214361935992662,0.06754141449251184,0.1678212247718448,0.29613043093151914,0.13548318608884782,0.16589176302769218,0.09459927233622513
Nikon D80,0.11722182981107727,0.10804440092725202,0.12817298224232168,0.14010894708749466,0.19137613997080394,0.18128183402823903,0.14500042044711406,0.14851957503677862,0.15074956941811138,0.15853062808307053,0.0726937490796021,0.05670264595064509,0.05925863284349342,0.07849016237404145,0.10811093493639141,0.09792923319644693,0.10395722872396544,0.06048901160109008,0.0,0.0818554318400899,0.203929824738763,0.13725459278046098,0.106415019197955,0.19104480217736522,0.3003153646886918,0.1490040325162203,0.17453201924496353,0.12510212579020416
Nikon D90,0.08407762147824782,0.08939904513542635,0.09267991589846514,0.10003732922414339,0.15078639980454267,0.13449274930028832,0.10847537637721698,0.10628403944357902,0.10474714215699864,0.1279886205639346,0.04523509716748303,0.05410175111942248,0.05115727517126941,0.02637533267987194,0.07794396692451656,0.0668589978657343,0.05424443960742987,0.047959678946981214,0.0818554318400899,0.0,0.1860307152429532,0.1119186984253314,0.0529612087320919,0.1521025811960043,0.2920479019280376,0.13373781534607462,0.15020683305913007,0.066907024781538
Nokia N900,0.18029332964706937,0.1835000000377149,0.18315717603310913,0.17951211914400708,0.17727074076663632,0.16353460243382367,0.1796793858789698,0.18138262005452888,0.1696560389346511,0.14619749992786585,0.17888571394535213,0.20966546090650065,0.20316304782766173,0.1758011510049647,0.1922002264419048,0.1759070451429666,0.20689992862384443,0.1972408598118219,0.203929824738763,0.1860307152429532,0.0,0.1156661186871379,0.19221121844705424,0.12388464543169325,0.26635537082981675,0.1717143840103655,0.19724639929099666,0.19835988620755515
