camera_name,light_name,latent_id,exposure_ev,appearance_id,overall_low_clip_fraction,overall_high_clip_fraction,nonfinite_count,all_zero_fraction,all_one_fraction,m_base,h_base,channel,pre_min,pre_p01,pre_p05,pre_median,pre_p95,pre_max,pre_mean,pre_std,pre_negative_fraction,pre_le_minus_1e6_fraction,pre_gt_one_fraction,post_exact_zero_fraction,post_le_1e6_fraction,post_exact_one_fraction,post_ge_1me6_fraction,post_mean,post_std,post_min,post_max
Nikon D50,D65,HM03,0.0,appearance0,0.0,0.0,0,0.0,0.0,0.85,0.1875,B,0.023732362315058708,0.029931628704071046,0.03482136130332947,0.051029013469815254,0.07571297138929367,0.28941550850868225,0.054653242230415344,0.02468736283481121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054653242230415344,0.02468736283481121,0.023732362315058708,0.28941550850868225
Nikon D50,A,HM03,0.0,appearance0,0.0,0.0,0,0.0,0.0,0.85,0.1875,R,0.4576951265335083,0.47865174412727357,0.48837218433618546,0.5327184796333313,0.5802678763866425,0.6164832711219788,0.5329281091690063,0.027131251990795135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5329281091690063,0.027131251990795135,0.4576951265335083,0.6164832711219788
Nikon D50,A,HM03,0.0,appearance0,0.0,0.0,0,0.0,0.0,0.85,0.1875,G,0.21620526909828186,0.23114326894283294,0.23714639618992805,0.26431335508823395,0.2960149869322777,0.39440855383872986,0.2651788592338562,0.018840651959180832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2651788592338562,0.018840651959180832,0.21620526909828186,0.39440855383872986
Nikon D50,A,HM03,0.0,appearance0,0.0,0.0,0,0.0,0.0,0.85,0.1875,B,0.058612991124391556,0.06278140135109425,0.0674667302519083,0.08367931470274925,0.10568925179541111,0.29679355025291443,0.08665767312049866,0.021619677543640137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08665767312049866,0.021619677543640137,0.058612991124391556,0.29679355025291443
Nikon D50,FL2,HM03,0.0,appearance0,0.0015716552734375,0.0,0,0.0,0.0,0.85,0.1875,R,0.38585007190704346,0.4054906815290451,0.41385311633348465,0.452930212020874,0.49561839550733566,0.5453713536262512,0.45320937037467957,0.024152787402272224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45320937037467957,0.024152787402272224,0.38585007190704346,0.5453713536262512
Nikon D50,FL2,HM03,0.0,appearance0,0.0015716552734375,0.0,0,0.0,0.0,0.85,0.1875,G,0.2367703765630722,0.2526022806763649,0.25860466808080673,0.2870634198188782,0.3199014738202095,0.4107239842414856,0.287858784198761,0.019219674170017242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.287858784198761,0.019219674170017242,0.2367703765630722,0.4107239842414856
Nikon D50,FL2,HM03,0.0,appearance0,0.0015716552734375,0.0,0,0.0,0.0,0.85,0.1875,B,-0.004783609416335821,0.0012951272947248071,0.004444583668373525,0.016457820311188698,0.04629675857722759,0.28265711665153503,0.021736305207014084,0.027831818908452988,0.0047149658203125,0.0047149658203125,0.0,0.0047149658203125,0.0047149658203125,0.0,0.0,0.021747061982750893,0.027822811156511307,0.0,0.28265711665153503
Nikon D50,FL11,HM03,0.0,appearance0,0.0,0.0,0,0.0,0.0,0.85,0.1875,R,0.420244961977005,0.4407391041517258,0.4496145099401474,0.49130915105342865,0.5364300161600113,0.5798199772834778,0.49156126379966736,0.025601718574762344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49156126379966736,0.025601718574762344,0.420244961977005,0.5798199772834778
Nikon D50,FL11,HM03,0.0,appearance0,0.0,0.0,0,0.0,0.0,0.85,0.1875,G,0.22027753293514252,0.2354086771607399,0.24134933203458786,0.26871809363365173,0.30056607723236084,0.3976256251335144,0.26957184076309204,0.018888870254158974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26957184076309204,0.018888870254158974,0.22027753293514252,0.3976256251335144
Nikon D50,FL11,HM03,0.0,appearance0,0.0,0.0,0,0.0,0.0,0.85,0.1875,B,0.006439403165131807,0.012558546150103211,0.016312409192323685,0.029942477121949196,0.05809204559773207,0.2847042679786682,0.034713298082351685,0.026590455323457718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034713298082351685,0.026590455323457718,0.006439403165131807,0.2847042679786682
Nikon D50,D65,HM04,0.0,appearance0,0.0,0.0,0,0.0,0.0,0.85,0.5,R,0.34295594692230225,0.38425310254096984,0.42519672214984894,0.48854485154151917,0.5435726642608643,0.5994254946708679,0.48538708686828613,0.036592997610569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48538708686828613,0.036592997610569,0.34295594692230225,0.5994254946708679
