camera_name,light_name,latent_id,m_base,h_base,AUDIT_ONLY
Nikon D300s,D65,HM08,0.9375,0.8125,True
Nikon D300s,A,HM08,0.9375,0.8125,True
Nikon D300s,FL2,HM08,0.9375,0.8125,True
Nikon D300s,FL11,HM08,0.9375,0.8125,True
Nikon D300s,D65,HM09,0.9791666667,0.1875,True
Nikon D300s,A,HM09,0.9791666667,0.1875,True
Nikon D300s,FL2,HM09,0.9791666667,0.1875,True
Nikon D300s,FL11,HM09,0.9791666667,0.1875,True
Nikon D300s,D65,HM10,0.9791666667,0.5,True
Nikon D300s,A,HM10,0.9791666667,0.5,True
Nikon D300s,FL2,HM10,0.9791666667,0.5,True
Nikon D300s,FL11,HM10,0.9791666667,0.5,True
Nikon D300s,D65,HM11,0.9791666667,0.8125,True
Nikon D300s,A,HM11,0.9791666667,0.8125,True
Nikon D300s,FL2,HM11,0.9791666667,0.8125,True
Nikon D300s,FL11,HM11,0.9791666667,0.8125,True
Nikon D40,D65,HM00,0.75,0.1875,True
Nikon D40,A,HM00,0.75,0.1875,True
