camera_name,light_name,latent_id
Canon 1DMarkIII,A,HM08
Canon 1DMarkIII,FL2,HM08
Canon 1DMarkIII,FL11,HM08
Canon 1DMarkIII,D65,HM09
Canon 1DMarkIII,A,HM09
Canon 1DMarkIII,FL2,HM09
Canon 1DMarkIII,FL11,HM09
Canon 1DMarkIII,D65,HM10
Canon 1DMarkIII,A,HM10
Canon 1DMarkIII,FL2,HM10
Canon 1DMarkIII,FL11,HM10
Canon 1DMarkIII,D65,HM11
Canon 1DMarkIII,A,HM11
Canon 1DMarkIII,FL2,HM11
Canon 1DMarkIII,FL11,HM11
Nikon D5100,D65,HM00
Nikon D5100,A,HM00
Nikon D5100,FL2,HM00
Nikon D5100,FL11,HM00
Nikon D5100,D65,HM01
Nikon D5100,A,HM01
Nikon D5100,FL2,HM01
Nikon D5100,FL11,HM01
Nikon D5100,D65,HM02
Nikon D5100,A,HM02
Nikon D5100,FL2,HM02
Nikon D5100,FL11,HM02
Nikon D5100,D65,HM03
Nikon D5100,A,HM03
Nikon D5100,FL2,HM03
Nikon D5100,FL11,HM03
Nikon D5100,D65,HM04
Nikon D5100,A,HM04
Nikon D5100,FL2,HM04
Nikon D5100,FL11,HM04
Nikon D5100,D65,HM05
Nikon D5100,A,HM05
Nikon D5100,FL2,HM05
Nikon D5100,FL11,HM05
Nikon D5100,D65,HM06
Nikon D5100,A,HM06
Nikon D5100,FL2,HM06
Nikon D5100,FL11,HM06
Nikon D5100,D65,HM07
Nikon D5100,A,HM07
Nikon D5100,FL2,HM07
Nikon D5100,FL11,HM07
Nikon D5100,D65,HM08
Nikon D5100,A,HM08
Nikon D5100,FL2,HM08
Nikon D5100,FL11,HM08
Nikon D5100,D65,HM09
Nikon D5100,A,HM09
Nikon D5100,FL2,HM09
Nikon D5100,FL11,HM09
Nikon D5100,D65,HM10
Nikon D5100,A,HM10
Nikon D5100,FL2,HM10
Nikon D5100,FL11,HM10
Nikon D5100,D65,HM11
Nikon D5100,A,HM11
Nikon D5100,FL2,HM11
Nikon D5100,FL11,HM11
