camera_name,light_name,latent_id,exposure_ev,appearance_id,overall_low_clip_fraction,overall_high_clip_fraction,nonfinite_count,all_zero_fraction,all_one_fraction,original_sample_id,variable_isolation,channel,pre_min,pre_p01,pre_p05,pre_median,pre_p95,pre_max,pre_mean,pre_std,pre_negative_fraction,pre_le_minus_1e6_fraction,pre_gt_one_fraction,post_exact_zero_fraction,post_le_1e6_fraction,post_exact_one_fraction,post_ge_1me6_fraction,post_mean,post_std,post_min,post_max
Canon 20D,FL2,L030,-0.0039225276175316,appearance2,0.0,0.0,0,0.0,0.0,L030_A4,camera_only,R,0.43349483609199524,0.4376723265647888,0.446914279460907,0.47217807173728943,0.4939901649951935,0.5438194870948792,0.4713607430458069,0.015210791490972042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4713607430458069,0.015210791490972042,0.43349483609199524,0.5438194870948792
Canon 20D,FL2,L030,-0.0039225276175316,appearance2,0.0,0.0,0,0.0,0.0,L030_A4,camera_only,G,0.2796104848384857,0.28243461608886716,0.28927095532417296,0.3111450672149658,0.3341583847999573,0.4244484603404999,0.31191539764404297,0.016848403960466385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31191539764404297,0.016848403960466385,0.2796104848384857,0.4244484603404999
Canon 20D,FL2,L030,-0.0039225276175316,appearance2,0.0,0.0,0,0.0,0.0,L030_A4,camera_only,B,0.04761151596903801,0.05356712132692337,0.0597541444003582,0.07881665974855423,0.14958927929401383,0.31688788533210754,0.08555251359939575,0.033711355179548264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08555251359939575,0.033711355179548264,0.04761151596903801,0.31688788533210754
Canon 300D,FL2,L030,-0.0039225276175316,appearance2,0.0,0.0,0,0.0,0.0,L030_A4,camera_only,R,0.4304991066455841,0.4346436858177185,0.4438109934329987,0.4689760208129883,0.4907773375511169,0.5417542457580566,0.46819183230400085,0.01522047445178032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46819183230400085,0.01522047445178032,0.4304991066455841,0.5417542457580566
Canon 300D,FL2,L030,-0.0039225276175316,appearance2,0.0,0.0,0,0.0,0.0,L030_A4,camera_only,G,0.2822435796260834,0.28510518312454225,0.2919993996620178,0.3139680325984955,0.3370183825492859,0.4257727861404419,0.3146936893463135,0.016752125695347786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3146936893463135,0.016752125695347786,0.2822435796260834,0.4257727861404419
Canon 300D,FL2,L030,-0.0039225276175316,appearance2,0.0,0.0,0,0.0,0.0,L030_A4,camera_only,B,0.020057838410139084,0.02659121699631214,0.033228600025177,0.055243298411369324,0.14000479280948636,0.3153195083141327,0.06276591122150421,0.03833523392677307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06276591122150421,0.03833523392677307,0.020057838410139084,0.3153195083141327
Nikon D3X,FL2,L031,-0.2630662848115773,appearance0,0.0,0.0,0,0.0,0.0,L031_A0,camera_only,R,0.2729226052761078,0.2928119969367981,0.31733520030975343,0.38264814019203186,0.4279035866260529,0.4602011740207672,0.37823930382728577,0.03399304673075676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37823930382728577,0.03399304673075676,0.2729226052761078,0.4602011740207672
Nikon D3X,FL2,L031,-0.2630662848115773,appearance0,0.0,0.0,0,0.0,0.0,L031_A0,camera_only,G,0.15529952943325043,0.1692462706565857,0.18527325987815857,0.2281208038330078,0.25772079825401306,0.27626875042915344,0.22541633248329163,0.02234427072107792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22541633248329163,0.02234427072107792,0.15529952943325043,0.27626875042915344
Nikon D3X,FL2,L031,-0.2630662848115773,appearance0,0.0,0.0,0,0.0,0.0,L031_A0,camera_only,B,0.007609653286635876,0.007913026735186577,0.008865860663354397,0.01382653508335352,0.020382377505302432,0.02356860414147377,0.014012150466442108,0.003219893667846918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014012150466442108,0.003219893667846918,0.007609653286635876,0.02356860414147377
Canon 20D,FL2,L031,-0.2630662848115773,appearance0,0.0,0.0,0,0.0,0.0,L031_A0,camera_only,R,0.27278372645378113,0.2926529026031494,0.31717297434806824,0.38244500756263733,0.4276649594306946,0.45998990535736084,0.378042995929718,0.033975064754486084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.378042995929718,0.033975064754486084,0.27278372645378113,0.45998990535736084
