sample_id,latent_id,camera_name,light_name,acquisition_role,low_clip_fraction,all_zero_fraction,nonfinite_count
L027_A0,L027,Pentax Q,D65,reference,0.0,0.0,0
L027_A1,L027,SONY NEX-5N,D65,camera_only,0.0,0.0,0
L027_A2,L027,Pentax Q,A,light_only,0.0,0.0,0
L027_A3,L027,Pentax Q,D65,appearance_only,0.0,0.0,0
L027_A4,L027,SONY NEX-5N,A,joint,0.0,0.0,0
L028_A0,L028,SONY NEX-5N,A,reference,0.0,0.0,0
L028_A1,L028,Olympus E-PL2,A,camera_only,0.0,0.0,0
L028_A2,L028,SONY NEX-5N,FL2,light_only,0.0,0.0,0
L028_A3,L028,SONY NEX-5N,A,appearance_only,0.0,0.0,0
L028_A4,L028,Olympus E-PL2,FL2,joint,0.0,0.0,0
L029_A0,L029,Olympus E-PL2,FL2,reference,0.0,0.0,0
L029_A1,L029,Canon 5DMarkII,FL2,camera_only,0.0,0.0,0
L029_A2,L029,Olympus E-PL2,D65,light_only,0.0,0.0,0
L029_A3,L029,Olympus E-PL2,FL2,appearance_only,0.0,0.0,0
L029_A4,L029,Canon 5DMarkII,D65,joint,0.0,0.0,0
L030_A0,L030,Canon 5DMarkII,A,reference,0.0,0.0,0
L030_A1,L030,Nikon D3X,A,camera_only,0.0,0.0,0
L030_A2,L030,Canon 5DMarkII,FL2,light_only,0.0,0.0,0
L030_A3,L030,Canon 5DMarkII,A,appearance_only,0.0,0.0,0
L030_A4,L030,Nikon D3X,FL2,joint,0.0,0.0,0
L031_A0,L031,Nikon D3X,FL2,reference,0.0,0.0,0
L031_A1,L031,Nikon D80,FL2,camera_only,0.0,0.0,0
L031_A2,L031,Nikon D3X,D65,light_only,0.0,0.0,0
L031_A3,L031,Nikon D3X,FL2,appearance_only,0.0,0.0,0
L031_A4,L031,Nikon D80,D65,joint,0.0,0.0,0
L032_A0,L032,Canon 5DMarkII,D65,reference,0.0,0.0,0
L032_A1,L032,Nikon D3X,D65,camera_only,0.0,0.0,0
L032_A2,L032,Canon 5DMarkII,A,light_only,0.0,0.0,0
L032_A3,L032,Canon 5DMarkII,D65,appearance_only,0.0,0.0,0
L032_A4,L032,Nikon D3X,A,joint,0.0,0.0,0
L033_A0,L033,Nikon D3X,A,reference,0.0,0.0,0
L033_A1,L033,Nikon D80,A,camera_only,0.0,0.0,0
L033_A2,L033,Nikon D3X,FL2,light_only,0.0,0.0,0
L033_A3,L033,Nikon D3X,A,appearance_only,0.0,0.0,0
L033_A4,L033,Nikon D80,FL2,joint,0.0,0.0,0
L034_A0,L034,Nikon D80,FL2,reference,0.0,0.0,0
L034_A1,L034,Pentax Q,FL2,camera_only,0.0,0.0,0
L034_A2,L034,Nikon D80,D65,light_only,0.0,0.0,0
