camera_name,light_name,latent_id,exposure_ev,appearance_id,overall_low_clip_fraction,overall_high_clip_fraction,nonfinite_count,all_zero_fraction,all_one_fraction,channel,pre_min,pre_p01,pre_p05,pre_median,pre_p95,pre_max,pre_mean,pre_std,pre_negative_fraction,pre_le_minus_1e6_fraction,pre_gt_one_fraction,post_exact_zero_fraction,post_le_1e6_fraction,post_exact_one_fraction,post_ge_1me6_fraction,post_mean,post_std,post_min,post_max
Canon 5DMarkII,FL11,HM03,0.0,appearance0,0.0,0.0,0,0.0,0.0,G,0.2218095362186432,0.23701902404427527,0.2430114895105362,0.2705502510070801,0.302590474486351,0.3990364670753479,0.2713921070098877,0.01894805207848549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2713921070098877,0.01894805207848549,0.2218095362186432,0.3990364670753479
Canon 5DMarkII,FL11,HM03,0.0,appearance0,0.0,0.0,0,0.0,0.0,B,0.026369014754891396,0.031436659209430215,0.03619053214788437,0.051583826541900635,0.0753130093216896,0.2872046232223511,0.05525936186313629,0.02423347346484661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05525936186313629,0.02423347346484661,0.026369014754891396,0.2872046232223511
Canon 5DMarkII,D65,HM04,0.0,appearance0,0.0,0.0,0,0.0,0.0,R,0.33909177780151367,0.37997500896453856,0.4204865097999573,0.483263298869133,0.5377532988786697,0.5938388109207153,0.48014432191848755,0.03623923659324646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48014432191848755,0.03623923659324646,0.33909177780151367,0.5938388109207153
Canon 5DMarkII,D65,HM04,0.0,appearance0,0.0,0.0,0,0.0,0.0,G,0.1670052856206894,0.19022471383213996,0.21382933855056763,0.24943966418504715,0.2836563363671303,0.36894890666007996,0.2482571005821228,0.022353045642375946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2482571005821228,0.022353045642375946,0.1670052856206894,0.36894890666007996
Canon 5DMarkII,D65,HM04,0.0,appearance0,0.0,0.0,0,0.0,0.0,B,0.03739664703607559,0.047204649075865746,0.054783605970442295,0.07183757051825523,0.09232616052031517,0.24736127257347107,0.07318030297756195,0.0162875484675169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07318030297756195,0.0162875484675169,0.03739664703607559,0.24736127257347107
Canon 5DMarkII,A,HM04,0.0,appearance0,0.0,0.0,0,0.0,0.0,R,0.37005558609962463,0.4141393557190895,0.45760369300842285,0.5253040790557861,0.5835910886526108,0.6382248401641846,0.5219618082046509,0.03895663470029831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5219618082046509,0.03895663470029831,0.37005558609962463,0.6382248401641846
Canon 5DMarkII,A,HM04,0.0,appearance0,0.0,0.0,0,0.0,0.0,G,0.16571390628814697,0.18876975327730178,0.21228374913334846,0.2477763146162033,0.2816600054502487,0.36722201108932495,0.24656188488006592,0.022211184725165367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24656188488006592,0.022211184725165367,0.16571390628814697,0.36722201108932495
Canon 5DMarkII,A,HM04,0.0,appearance0,0.0,0.0,0,0.0,0.0,B,0.061965350061655045,0.07425931617617607,0.08554410934448242,0.10521525144577026,0.1271786093711853,0.26292115449905396,0.10599297285079956,0.016339687630534172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10599297285079956,0.016339687630534172,0.061965350061655045,0.26292115449905396
Canon 5DMarkII,FL2,HM04,0.0,appearance0,0.0,0.0,0,0.0,0.0,R,0.30909106135368347,0.3469008669257164,0.3846024051308632,0.4426502585411072,0.49341654777526855,0.5522292852401733,0.43969881534576416,0.033675700426101685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43969881534576416,0.033675700426101685,0.30909106135368347,0.5522292852401733
Canon 5DMarkII,FL2,HM04,0.0,appearance0,0.0,0.0,0,0.0,0.0,G,0.18361201882362366,0.20850649550557138,0.23390495404601097,0.2721951901912689,0.30800533294677734,0.3881109058856964,0.2706242799758911,0.02346174418926239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2706242799758911,0.02346174418926239,0.18361201882362366,0.3881109058856964
Canon 5DMarkII,FL2,HM04,0.0,appearance0,0.0,0.0,0,0.0,0.0,B,0.0252318624407053,0.031721645034849644,0.036908360198140144,0.052810804918408394,0.07243824005126953,0.23965881764888763,0.05444108694791794,0.016604136675596237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05444108694791794,0.016604136675596237,0.0252318624407053,0.23965881764888763
Canon 5DMarkII,FL11,HM04,0.0,appearance0,0.0,0.0,0,0.0,0.0,R,0.34079447388648987,0.38185827285051344,0.4226001277565956,0.48566944897174835,0.540659099817276,0.5977228283882141,0.482524037361145,0.036486901342868805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.482524037361145,0.036486901342868805,0.34079447388648987,0.5977228283882141
Canon 5DMarkII,FL11,HM04,0.0,appearance0,0.0,0.0,0,0.0,0.0,G,0.16974754631519318,0.19324106127023696,0.21717455238103867,0.2532760351896286,0.2874850183725357,0.3716105818748474,0.2519451975822449,0.022434253245592117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2519451975822449,0.022434253245592117,0.16974754631519318,0.3716105818748474
