model_id,model_display_name,input_view,backbone,input_width,input_height,source_config,source_experiment_dir,loss,label_smoothing_alpha,trainability_strategy,fold,protocol,selected_epoch,inner_best_macro_auc,macro_auc,balanced_accuracy,macro_f1,sensitivity,specificity
eye_roi_resnet50,Eye ROI ResNet50,eye_roi,resnet50,224,224,config\train\R3DPR\nested-direct\r3dpr_resnet50_binary_224x224_manual_shift_eye_roi_fullbaseline_ls005_nested_direct_5fold.yaml,experiments\500Data\nested-direct\R3DPR_ResNet50_ControlVsPatient_Binary_224x224_manual_shift_eye_roi_fullbaseline_ls005_nested_direct_5fold,weighted_ce_label_smoothing,0.05,full_finetune,2,outer_5fold_inner_holdout_direct_test,2,0.822260569456428,0.7775268210050819,0.6764539808018069,0.6710526315789473,0.8311688311688312,0.5217391304347826
eye_roi_resnet50,Eye ROI ResNet50,eye_roi,resnet50,224,224,config\train\R3DPR\nested-direct\r3dpr_resnet50_binary_224x224_manual_shift_eye_roi_fullbaseline_ls005_nested_direct_5fold.yaml,experiments\500Data\nested-direct\R3DPR_ResNet50_ControlVsPatient_Binary_224x224_manual_shift_eye_roi_fullbaseline_ls005_nested_direct_5fold,weighted_ce_label_smoothing,0.05,full_finetune,3,outer_5fold_inner_holdout_direct_test,4,0.826574633304573,0.7340485601355167,0.6309994353472614,0.6112852664576802,0.7402597402597403,0.5217391304347826
eye_roi_resnet50,Eye ROI ResNet50,eye_roi,resnet50,224,224,config\train\R3DPR\nested-direct\r3dpr_resnet50_binary_224x224_manual_shift_eye_roi_fullbaseline_ls005_nested_direct_5fold.yaml,experiments\500Data\nested-direct\R3DPR_ResNet50_ControlVsPatient_Binary_224x224_manual_shift_eye_roi_fullbaseline_ls005_nested_direct_5fold,weighted_ce_label_smoothing,0.05,full_finetune,4,outer_5fold_inner_holdout_direct_test,4,0.7221742881794649,0.7718802936194241,0.67871259175607,0.6621621621621622,0.7922077922077922,0.5652173913043478
lip_roi_resnet18,Lip ROI ResNet18,lip_roi,resnet18,224,224,config\train\R3DPR\nested-direct\r3dpr_resnet18_binary_224x224_manual_shift_lip_roi_fullbaseline_ls005_nested_direct_5fold.yaml,experiments\500Data\nested-direct\R3DPR_ResNet18_ControlVsPatient_Binary_224x224_manual_shift_lip_roi_fullbaseline_ls005_nested_direct_5fold,weighted_ce_label_smoothing,0.05,full_finetune,0,outer_5fold_inner_holdout_direct_test,7,0.7213114754098361,0.6979107848673066,0.6290231507622812,0.5863970588235294,0.6493506493506493,0.6086956521739131
lip_roi_resnet18,Lip ROI ResNet18,lip_roi,resnet18,224,224,config\train\R3DPR\nested-direct\r3dpr_resnet18_binary_224x224_manual_shift_lip_roi_fullbaseline_ls005_nested_direct_5fold.yaml,experiments\500Data\nested-direct\R3DPR_ResNet18_ControlVsPatient_Binary_224x224_manual_shift_lip_roi_fullbaseline_ls005_nested_direct_5fold,weighted_ce_label_smoothing,0.05,full_finetune,1,outer_5fold_inner_holdout_direct_test,5,0.7394305435720449,0.6713721061547149,0.5680406549971767,0.5535714285714286,0.7012987012987013,0.4347826086956521
lip_roi_resnet18,Lip ROI ResNet18,lip_roi,resnet18,224,224,config\train\R3DPR\nested-direct\r3dpr_resnet18_binary_224x224_manual_shift_lip_roi_fullbaseline_ls005_nested_direct_5fold.yaml,experiments\500Data\nested-direct\R3DPR_ResNet18_ControlVsPatient_Binary_224x224_manual_shift_lip_roi_fullbaseline_ls005_nested_direct_5fold,weighted_ce_label_smoothing,0.05,full_finetune,2,outer_5fold_inner_holdout_direct_test,13,0.72648835202761,0.7391304347826088,0.6219649915302089,0.6336996336996337,0.8961038961038961,0.3478260869565217
lip_roi_resnet18,Lip ROI ResNet18,lip_roi,resnet18,224,224,config\train\R3DPR\nested-direct\r3dpr_resnet18_binary_224x224_manual_shift_lip_roi_fullbaseline_ls005_nested_direct_5fold.yaml,experiments\500Data\nested-direct\R3DPR_ResNet18_ControlVsPatient_Binary_224x224_manual_shift_lip_roi_fullbaseline_ls005_nested_direct_5fold,weighted_ce_label_smoothing,0.05,full_finetune,3,outer_5fold_inner_holdout_direct_test,2,0.7963761863675582,0.8012422360248447,0.6067193675889329,0.6186370419499254,0.9090909090909092,0.3043478260869565
lip_roi_resnet18,Lip ROI ResNet18,lip_roi,resnet18,224,224,config\train\R3DPR\nested-direct\r3dpr_resnet18_binary_224x224_manual_shift_lip_roi_fullbaseline_ls005_nested_direct_5fold.yaml,experiments\500Data\nested-direct\R3DPR_ResNet18_ControlVsPatient_Binary_224x224_manual_shift_lip_roi_fullbaseline_ls005_nested_direct_5fold,weighted_ce_label_smoothing,0.05,full_finetune,4,outer_5fold_inner_holdout_direct_test,3,0.8334771354616047,0.7859966120835686,0.6219649915302089,0.6336996336996337,0.8961038961038961,0.3478260869565217
lip_roi_resnet34,Lip ROI ResNet34,lip_roi,resnet34,224,224,config\train\R3DPR\nested-direct\r3dpr_resnet34_binary_224x224_manual_shift_lip_roi_fullbaseline_ls005_nested_direct_5fold.yaml,experiments\500Data\nested-direct\R3DPR_ResNet34_ControlVsPatient_Binary_224x224_manual_shift_lip_roi_fullbaseline_ls005_nested_direct_5fold,weighted_ce_label_smoothing,0.05,full_finetune,0,outer_5fold_inner_holdout_direct_test,14,0.7627264883520276,0.7560700169395822,0.6809712027103332,0.6527777777777778,0.7532467532467533,0.6086956521739131
lip_roi_resnet34,Lip ROI ResNet34,lip_roi,resnet34,224,224,config\train\R3DPR\nested-direct\r3dpr_resnet34_binary_224x224_manual_shift_lip_roi_fullbaseline_ls005_nested_direct_5fold.yaml,experiments\500Data\nested-direct\R3DPR_ResNet34_ControlVsPatient_Binary_224x224_manual_shift_lip_roi_fullbaseline_ls005_nested_direct_5fold,weighted_ce_label_smoothing,0.05,full_finetune,1,outer_5fold_inner_holdout_direct_test,13,0.7420189818809317,0.7944664031620553,0.6829474872953134,0.6801557502433597,0.8441558441558441,0.5217391304347826
lip_roi_resnet34,Lip ROI ResNet34,lip_roi,resnet34,224,224,config\train\R3DPR\nested-direct\r3dpr_resnet34_binary_224x224_manual_shift_lip_roi_fullbaseline_ls005_nested_direct_5fold.yaml,experiments\500Data\nested-direct\R3DPR_ResNet34_ControlVsPatient_Binary_224x224_manual_shift_lip_roi_fullbaseline_ls005_nested_direct_5fold,weighted_ce_label_smoothing,0.05,full_finetune,2,outer_5fold_inner_holdout_direct_test,2,0.7333908541846419,0.7131564088085828,0.6002258610954263,0.6101364522417154,0.8961038961038961,0.3043478260869565
lip_roi_resnet34,Lip ROI ResNet34,lip_roi,resnet34,224,224,config\train\R3DPR\nested-direct\r3dpr_resnet34_binary_224x224_manual_shift_lip_roi_fullbaseline_ls005_nested_direct_5fold.yaml,experiments\500Data\nested-direct\R3DPR_ResNet34_ControlVsPatient_Binary_224x224_manual_shift_lip_roi_fullbaseline_ls005_nested_direct_5fold,weighted_ce_label_smoothing,0.05,full_finetune,3,outer_5fold_inner_holdout_direct_test,12,0.7842968075927523,0.7763975155279503,0.720214568040655,0.6640018537828757,0.7012987012987013,0.7391304347826086
