AUDIT_ONLY,TRAINING_FORBIDDEN,ATTRIBUTION_ONLY,NOT_PART_OF_FORMAL_DATASET,pair_id,latent_id,m_hash_equal,h_hash_equal,mask_hash_equal
True,True,True,True,R1V072_A0_A4,R1V072,True,True,True
True,True,True,True,R1V073_A0_A1,R1V073,True,True,True
True,True,True,True,R1V073_A0_A2,R1V073,True,True,True
True,True,True,True,R1V073_A0_A3,R1V073,True,True,True
True,True,True,True,R1V073_A0_A4,R1V073,True,True,True
True,True,True,True,R1V074_A0_A1,R1V074,True,True,True
True,True,True,True,R1V074_A0_A2,R1V074,True,True,True
True,True,True,True,R1V074_A0_A3,R1V074,True,True,True
True,True,True,True,R1V074_A0_A4,R1V074,True,True,True
True,True,True,True,R1V075_A0_A1,R1V075,True,True,True
True,True,True,True,R1V075_A0_A2,R1V075,True,True,True
True,True,True,True,R1V075_A0_A3,R1V075,True,True,True
True,True,True,True,R1V075_A0_A4,R1V075,True,True,True
True,True,True,True,R1V076_A0_A1,R1V076,True,True,True
True,True,True,True,R1V076_A0_A2,R1V076,True,True,True
True,True,True,True,R1V076_A0_A3,R1V076,True,True,True
True,True,True,True,R1V076_A0_A4,R1V076,True,True,True
True,True,True,True,R1V077_A0_A1,R1V077,True,True,True
True,True,True,True,R1V077_A0_A2,R1V077,True,True,True
True,True,True,True,R1V077_A0_A3,R1V077,True,True,True
True,True,True,True,R1V077_A0_A4,R1V077,True,True,True
True,True,True,True,R1V078_A0_A1,R1V078,True,True,True
True,True,True,True,R1V078_A0_A2,R1V078,True,True,True
True,True,True,True,R1V078_A0_A3,R1V078,True,True,True
True,True,True,True,R1V078_A0_A4,R1V078,True,True,True
True,True,True,True,R1V079_A0_A1,R1V079,True,True,True
True,True,True,True,R1V079_A0_A2,R1V079,True,True,True
True,True,True,True,R1V079_A0_A3,R1V079,True,True,True
True,True,True,True,R1V079_A0_A4,R1V079,True,True,True
True,True,True,True,R1V080_A0_A1,R1V080,True,True,True
True,True,True,True,R1V080_A0_A2,R1V080,True,True,True
True,True,True,True,R1V080_A0_A3,R1V080,True,True,True
True,True,True,True,R1V080_A0_A4,R1V080,True,True,True
True,True,True,True,R1V081_A0_A1,R1V081,True,True,True
True,True,True,True,R1V081_A0_A2,R1V081,True,True,True
True,True,True,True,R1V081_A0_A3,R1V081,True,True,True
True,True,True,True,R1V081_A0_A4,R1V081,True,True,True
True,True,True,True,R1V082_A0_A1,R1V082,True,True,True
True,True,True,True,R1V082_A0_A2,R1V082,True,True,True
True,True,True,True,R1V082_A0_A3,R1V082,True,True,True
True,True,True,True,R1V082_A0_A4,R1V082,True,True,True
True,True,True,True,R1V083_A0_A1,R1V083,True,True,True
True,True,True,True,R1V083_A0_A2,R1V083,True,True,True
True,True,True,True,R1V083_A0_A3,R1V083,True,True,True
True,True,True,True,R1V083_A0_A4,R1V083,True,True,True
True,True,True,True,R1V084_A0_A1,R1V084,True,True,True
True,True,True,True,R1V084_A0_A2,R1V084,True,True,True
True,True,True,True,R1V084_A0_A3,R1V084,True,True,True
True,True,True,True,R1V084_A0_A4,R1V084,True,True,True
True,True,True,True,R1V085_A0_A1,R1V085,True,True,True
True,True,True,True,R1V085_A0_A2,R1V085,True,True,True
True,True,True,True,R1V085_A0_A3,R1V085,True,True,True
True,True,True,True,R1V085_A0_A4,R1V085,True,True,True
True,True,True,True,R1V086_A0_A1,R1V086,True,True,True
True,True,True,True,R1V086_A0_A2,R1V086,True,True,True
True,True,True,True,R1V086_A0_A3,R1V086,True,True,True
True,True,True,True,R1V086_A0_A4,R1V086,True,True,True
True,True,True,True,R1V087_A0_A1,R1V087,True,True,True
True,True,True,True,R1V087_A0_A2,R1V087,True,True,True
True,True,True,True,R1V087_A0_A3,R1V087,True,True,True
True,True,True,True,R1V087_A0_A4,R1V087,True,True,True
True,True,True,True,R1V088_A0_A1,R1V088,True,True,True
True,True,True,True,R1V088_A0_A2,R1V088,True,True,True
True,True,True,True,R1V088_A0_A3,R1V088,True,True,True
True,True,True,True,R1V088_A0_A4,R1V088,True,True,True
True,True,True,True,R1V089_A0_A1,R1V089,True,True,True
True,True,True,True,R1V089_A0_A2,R1V089,True,True,True
True,True,True,True,R1V089_A0_A3,R1V089,True,True,True
True,True,True,True,R1V089_A0_A4,R1V089,True,True,True
True,True,True,True,R1V090_A0_A1,R1V090,True,True,True
True,True,True,True,R1V090_A0_A2,R1V090,True,True,True
True,True,True,True,R1V090_A0_A3,R1V090,True,True,True
True,True,True,True,R1V090_A0_A4,R1V090,True,True,True
True,True,True,True,R1V091_A0_A1,R1V091,True,True,True
True,True,True,True,R1V091_A0_A2,R1V091,True,True,True
True,True,True,True,R1V091_A0_A3,R1V091,True,True,True
True,True,True,True,R1V091_A0_A4,R1V091,True,True,True
True,True,True,True,R1V092_A0_A1,R1V092,True,True,True
True,True,True,True,R1V092_A0_A2,R1V092,True,True,True
True,True,True,True,R1V092_A0_A3,R1V092,True,True,True
True,True,True,True,R1V092_A0_A4,R1V092,True,True,True
True,True,True,True,R1V093_A0_A1,R1V093,True,True,True
True,True,True,True,R1V093_A0_A2,R1V093,True,True,True
True,True,True,True,R1V093_A0_A3,R1V093,True,True,True
True,True,True,True,R1V093_A0_A4,R1V093,True,True,True
True,True,True,True,R1V094_A0_A1,R1V094,True,True,True
True,True,True,True,R1V094_A0_A2,R1V094,True,True,True
True,True,True,True,R1V094_A0_A3,R1V094,True,True,True
True,True,True,True,R1V094_A0_A4,R1V094,True,True,True
True,True,True,True,R1V095_A0_A1,R1V095,True,True,True
True,True,True,True,R1V095_A0_A2,R1V095,True,True,True
True,True,True,True,R1V095_A0_A3,R1V095,True,True,True
True,True,True,True,R1V095_A0_A4,R1V095,True,True,True
True,True,True,True,R1V096_A0_A1,R1V096,True,True,True
True,True,True,True,R1V096_A0_A2,R1V096,True,True,True
True,True,True,True,R1V096_A0_A3,R1V096,True,True,True
True,True,True,True,R1V096_A0_A4,R1V096,True,True,True
True,True,True,True,R1V097_A0_A1,R1V097,True,True,True
True,True,True,True,R1V097_A0_A2,R1V097,True,True,True
True,True,True,True,R1V097_A0_A3,R1V097,True,True,True
True,True,True,True,R1V097_A0_A4,R1V097,True,True,True
True,True,True,True,R1V098_A0_A1,R1V098,True,True,True
True,True,True,True,R1V098_A0_A2,R1V098,True,True,True
True,True,True,True,R1V098_A0_A3,R1V098,True,True,True
True,True,True,True,R1V098_A0_A4,R1V098,True,True,True
True,True,True,True,R1V099_A0_A1,R1V099,True,True,True
True,True,True,True,R1V099_A0_A2,R1V099,True,True,True
True,True,True,True,R1V099_A0_A3,R1V099,True,True,True
True,True,True,True,R1V099_A0_A4,R1V099,True,True,True
True,True,True,True,R1V100_A0_A1,R1V100,True,True,True
True,True,True,True,R1V100_A0_A2,R1V100,True,True,True
True,True,True,True,R1V100_A0_A3,R1V100,True,True,True
True,True,True,True,R1V100_A0_A4,R1V100,True,True,True
True,True,True,True,R1V101_A0_A1,R1V101,True,True,True
True,True,True,True,R1V101_A0_A2,R1V101,True,True,True
True,True,True,True,R1V101_A0_A3,R1V101,True,True,True
True,True,True,True,R1V101_A0_A4,R1V101,True,True,True
True,True,True,True,R1V102_A0_A1,R1V102,True,True,True
True,True,True,True,R1V102_A0_A2,R1V102,True,True,True
True,True,True,True,R1V102_A0_A3,R1V102,True,True,True
True,True,True,True,R1V102_A0_A4,R1V102,True,True,True
True,True,True,True,R1V103_A0_A1,R1V103,True,True,True
True,True,True,True,R1V103_A0_A2,R1V103,True,True,True
True,True,True,True,R1V103_A0_A3,R1V103,True,True,True
True,True,True,True,R1V103_A0_A4,R1V103,True,True,True
True,True,True,True,R1V104_A0_A1,R1V104,True,True,True
True,True,True,True,R1V104_A0_A2,R1V104,True,True,True
True,True,True,True,R1V104_A0_A3,R1V104,True,True,True
True,True,True,True,R1V104_A0_A4,R1V104,True,True,True
True,True,True,True,R1V105_A0_A1,R1V105,True,True,True
True,True,True,True,R1V105_A0_A2,R1V105,True,True,True
True,True,True,True,R1V105_A0_A3,R1V105,True,True,True
True,True,True,True,R1V105_A0_A4,R1V105,True,True,True
True,True,True,True,R1V106_A0_A1,R1V106,True,True,True
True,True,True,True,R1V106_A0_A2,R1V106,True,True,True
True,True,True,True,R1V106_A0_A3,R1V106,True,True,True
True,True,True,True,R1V106_A0_A4,R1V106,True,True,True
True,True,True,True,R1V107_A0_A1,R1V107,True,True,True
True,True,True,True,R1V107_A0_A2,R1V107,True,True,True
True,True,True,True,R1V107_A0_A3,R1V107,True,True,True
True,True,True,True,R1V107_A0_A4,R1V107,True,True,True
True,True,True,True,R1V108_A0_A1,R1V108,True,True,True
True,True,True,True,R1V108_A0_A2,R1V108,True,True,True
True,True,True,True,R1V108_A0_A3,R1V108,True,True,True
True,True,True,True,R1V108_A0_A4,R1V108,True,True,True
True,True,True,True,R1V109_A0_A1,R1V109,True,True,True
True,True,True,True,R1V109_A0_A2,R1V109,True,True,True
True,True,True,True,R1V109_A0_A3,R1V109,True,True,True
True,True,True,True,R1V109_A0_A4,R1V109,True,True,True
True,True,True,True,R1V110_A0_A1,R1V110,True,True,True
True,True,True,True,R1V110_A0_A2,R1V110,True,True,True
True,True,True,True,R1V110_A0_A3,R1V110,True,True,True
True,True,True,True,R1V110_A0_A4,R1V110,True,True,True
True,True,True,True,R1V111_A0_A1,R1V111,True,True,True
True,True,True,True,R1V111_A0_A2,R1V111,True,True,True
True,True,True,True,R1V111_A0_A3,R1V111,True,True,True
True,True,True,True,R1V111_A0_A4,R1V111,True,True,True
True,True,True,True,R1V112_A0_A1,R1V112,True,True,True
True,True,True,True,R1V112_A0_A2,R1V112,True,True,True
True,True,True,True,R1V112_A0_A3,R1V112,True,True,True
True,True,True,True,R1V112_A0_A4,R1V112,True,True,True
True,True,True,True,R1V113_A0_A1,R1V113,True,True,True
True,True,True,True,R1V113_A0_A2,R1V113,True,True,True
True,True,True,True,R1V113_A0_A3,R1V113,True,True,True
True,True,True,True,R1V113_A0_A4,R1V113,True,True,True
