latent_id,M_mean,H_mean,camera,light,latent_split,acquisition_role,attempt_count,rejection_reason,final_exposure,final_P_mean,final_P_max,final_S_mean
R1V034,0.718122124671936,0.9687739610671997,Olympus E-PL2,D65,train_like_id,appearance_only,1,,-0.42595737415164364,0.0005697128362953663,0.055749885737895966,1.0
R1V034,0.718122124671936,0.9687739610671997,Canon 300D,A,train_like_id,joint,1,,0.13970339733064008,0.0004055115859955549,0.0760859027504921,1.0
R1V035,0.7400578856468201,0.11434002965688705,Canon 300D,A,train_like_id,reference,1,,0.021330951167476075,0.0,0.0,1.0
R1V035,0.7400578856468201,0.11434002965688705,Canon 5DMarkII,A,train_like_id,camera_only,1,,0.030145196808982977,0.0,0.0,1.0
R1V035,0.7400578856468201,0.11434002965688705,Canon 300D,FL2,train_like_id,light_only,1,,-0.2747147144196036,0.0,0.0,1.0
R1V035,0.7400578856468201,0.11434002965688705,Canon 300D,A,train_like_id,appearance_only,1,,0.06417338795389627,0.00018055966938845813,0.023613570258021355,1.0
R1V035,0.7400578856468201,0.11434002965688705,Canon 5DMarkII,FL2,train_like_id,joint,1,,-0.19747956667711875,0.0012835976667702198,0.06961117684841156,1.0
R1V036,0.7607932686805725,0.26065772771835327,Canon 5DMarkII,D65,train_like_id,reference,1,,-0.1602881527030398,8.750128472456709e-05,0.045985303819179535,1.0
R1V036,0.7607932686805725,0.26065772771835327,Nikon D80,D65,train_like_id,camera_only,1,,-0.36015129870221546,8.750128472456709e-05,0.045985303819179535,1.0
R1V036,0.7607932686805725,0.26065772771835327,Canon 5DMarkII,A,train_like_id,light_only,1,,0.27500873996196695,8.750128472456709e-05,0.045985303819179535,1.0
R1V036,0.7607932686805725,0.26065772771835327,Canon 5DMarkII,D65,train_like_id,appearance_only,1,,-0.12137927631010809,0.00034890277311205864,0.06948524713516235,1.0
R1V036,0.7607932686805725,0.26065772771835327,Nikon D80,A,train_like_id,joint,1,,-0.19680549333533687,0.00036469954648055136,0.05432809144258499,1.0
R1V037,0.7818163633346558,0.4058094620704651,Nikon D80,A,train_like_id,reference,1,,0.08341923544729113,0.0013024754589423537,0.07160281389951706,1.0
R1V037,0.7818163633346558,0.4058094620704651,Olympus E-PL2,A,train_like_id,camera_only,1,,-0.29887377686494176,0.0013024754589423537,0.07160281389951706,1.0
R1V037,0.7818163633346558,0.4058094620704651,Nikon D80,FL2,train_like_id,light_only,1,,0.2086937790204576,0.0013024754589423537,0.07160281389951706,1.0
R1V037,0.7818163633346558,0.4058094620704651,Nikon D80,A,train_like_id,appearance_only,1,,-0.12731873647096786,0.0003238665813114494,0.025428462773561478,1.0
R1V037,0.7818163633346558,0.4058094620704651,Olympus E-PL2,FL2,train_like_id,joint,1,,-0.0685939920627861,0.0,0.0,0.9999999403953552
R1V038,0.8030979037284851,0.5523531436920166,Olympus E-PL2,FL2,train_like_id,reference,1,,0.25887559881089006,0.0005687932134605944,0.05945026874542236,1.0
R1V038,0.8030979037284851,0.5523531436920166,Canon 300D,FL2,train_like_id,camera_only,1,,-0.4166711669483179,0.0005687932134605944,0.05945026874542236,1.0
R1V038,0.8030979037284851,0.5523531436920166,Olympus E-PL2,D65,train_like_id,light_only,1,,0.14916285215630953,0.0005687932134605944,0.05945026874542236,1.0
R1V038,0.8030979037284851,0.5523531436920166,Olympus E-PL2,FL2,train_like_id,appearance_only,1,,0.2625301897564404,0.0004371397662907839,0.04722872003912926,1.0
R1V038,0.8030979037284851,0.5523531436920166,Canon 300D,D65,train_like_id,joint,1,,0.05325130606978623,0.0,0.0,1.0
R1V039,0.8231127262115479,0.6973944902420044,Canon 300D,D65,train_like_id,reference,1,,-0.36578272689747465,0.0,0.0,1.0
R1V039,0.8231127262115479,0.6973944902420044,Canon 5DMarkII,D65,train_like_id,camera_only,1,,0.27227761163006226,0.0,0.0,1.0
R1V039,0.8231127262115479,0.6973944902420044,Canon 300D,A,train_like_id,light_only,1,,0.027146045356113868,0.0,0.0,1.0
R1V039,0.8231127262115479,0.6973944902420044,Canon 300D,D65,train_like_id,appearance_only,1,,-0.25171166664577416,0.0002956008247565478,0.02425978146493435,1.0
R1V039,0.8231127262115479,0.6973944902420044,Canon 5DMarkII,A,train_like_id,joint,1,,-0.42794738596452087,0.00016034580767154694,0.0729186087846756,1.0
R1V040,0.843944787979126,0.844351053237915,Canon 5DMarkII,FL2,train_like_id,reference,1,,0.29325158009196695,0.0,0.0,1.0
R1V040,0.843944787979126,0.844351053237915,Nikon D80,FL2,train_like_id,camera_only,1,,-0.16831927514567913,0.0,0.0,1.0
