2026-07-22 22:01:05,392 | INFO | trainers.e2_trainer | fold=3 epoch=3 train_loss=0.40870 val_loss=1.01212 val_macro_auc=0.6807 best=0.6949 patience=1/10
2026-07-22 22:01:10,252 | INFO | trainers.e2_trainer | fold=3 epoch=4 train_loss=0.21415 val_loss=1.47529 val_macro_auc=0.6453 best=0.6949 patience=2/10
2026-07-22 22:01:15,256 | INFO | trainers.e2_trainer | fold=3 epoch=5 train_loss=0.12882 val_loss=1.33322 val_macro_auc=0.7084 best=0.7084 patience=0/10
2026-07-22 22:01:20,106 | INFO | trainers.e2_trainer | fold=3 epoch=6 train_loss=0.09468 val_loss=1.22960 val_macro_auc=0.6843 best=0.7084 patience=1/10
2026-07-22 22:01:24,949 | INFO | trainers.e2_trainer | fold=3 epoch=7 train_loss=0.09172 val_loss=1.58718 val_macro_auc=0.6632 best=0.7084 patience=2/10
2026-07-22 22:01:29,793 | INFO | trainers.e2_trainer | fold=3 epoch=8 train_loss=0.06708 val_loss=1.56801 val_macro_auc=0.6736 best=0.7084 patience=3/10
2026-07-22 22:01:34,640 | INFO | trainers.e2_trainer | fold=3 epoch=9 train_loss=0.05302 val_loss=1.49797 val_macro_auc=0.6812 best=0.7084 patience=4/10
2026-07-22 22:01:39,478 | INFO | trainers.e2_trainer | fold=3 epoch=10 train_loss=0.03442 val_loss=1.51713 val_macro_auc=0.6866 best=0.7084 patience=5/10
2026-07-22 22:01:44,361 | INFO | trainers.e2_trainer | fold=3 epoch=11 train_loss=0.02981 val_loss=1.69083 val_macro_auc=0.6982 best=0.7084 patience=6/10
2026-07-22 22:01:49,222 | INFO | trainers.e2_trainer | fold=3 epoch=12 train_loss=0.03960 val_loss=1.41161 val_macro_auc=0.6882 best=0.7084 patience=7/10
2026-07-22 22:01:54,086 | INFO | trainers.e2_trainer | fold=3 epoch=13 train_loss=0.02298 val_loss=2.02127 val_macro_auc=0.6686 best=0.7084 patience=8/10
2026-07-22 22:01:58,962 | INFO | trainers.e2_trainer | fold=3 epoch=14 train_loss=0.01573 val_loss=1.64276 val_macro_auc=0.7047 best=0.7084 patience=9/10
2026-07-22 22:02:03,807 | INFO | trainers.e2_trainer | fold=3 epoch=15 train_loss=0.02114 val_loss=2.28711 val_macro_auc=0.6926 best=0.7084 patience=10/10
2026-07-22 22:02:04,765 | INFO | train_e2_equal_fusion | fold=4 n_train=400 n_val=100 counts=[92, 190, 118] weights=[1.4492753744125366, 0.7017543911933899, 1.1299434900283813] total_params=22356099 trainable_params=22356099
2026-07-22 22:02:09,836 | INFO | trainers.e2_trainer | fold=4 epoch=1 train_loss=0.99674 val_loss=1.03488 val_macro_auc=0.6794 best=0.6794 patience=0/10
2026-07-22 22:02:14,870 | INFO | trainers.e2_trainer | fold=4 epoch=2 train_loss=0.64765 val_loss=1.03402 val_macro_auc=0.6811 best=0.6811 patience=0/10
2026-07-22 22:02:19,730 | INFO | trainers.e2_trainer | fold=4 epoch=3 train_loss=0.37138 val_loss=1.16824 val_macro_auc=0.6782 best=0.6811 patience=1/10
2026-07-22 22:02:24,612 | INFO | trainers.e2_trainer | fold=4 epoch=4 train_loss=0.17396 val_loss=1.15487 val_macro_auc=0.6742 best=0.6811 patience=2/10
2026-07-22 22:02:29,645 | INFO | trainers.e2_trainer | fold=4 epoch=5 train_loss=0.12961 val_loss=1.43007 val_macro_auc=0.7097 best=0.7097 patience=0/10
2026-07-22 22:02:34,513 | INFO | trainers.e2_trainer | fold=4 epoch=6 train_loss=0.08010 val_loss=1.46619 val_macro_auc=0.6787 best=0.7097 patience=1/10
2026-07-22 22:02:39,364 | INFO | trainers.e2_trainer | fold=4 epoch=7 train_loss=0.08008 val_loss=1.42130 val_macro_auc=0.6928 best=0.7097 patience=2/10
2026-07-22 22:02:44,232 | INFO | trainers.e2_trainer | fold=4 epoch=8 train_loss=0.06186 val_loss=1.59831 val_macro_auc=0.6872 best=0.7097 patience=3/10
2026-07-22 22:02:49,106 | INFO | trainers.e2_trainer | fold=4 epoch=9 train_loss=0.06248 val_loss=1.72605 val_macro_auc=0.6449 best=0.7097 patience=4/10
2026-07-22 22:02:53,960 | INFO | trainers.e2_trainer | fold=4 epoch=10 train_loss=0.07985 val_loss=1.81193 val_macro_auc=0.6867 best=0.7097 patience=5/10
2026-07-22 22:02:58,820 | INFO | trainers.e2_trainer | fold=4 epoch=11 train_loss=0.07200 val_loss=1.85633 val_macro_auc=0.6914 best=0.7097 patience=6/10
2026-07-22 22:03:03,665 | INFO | trainers.e2_trainer | fold=4 epoch=12 train_loss=0.12174 val_loss=2.60829 val_macro_auc=0.6639 best=0.7097 patience=7/10
2026-07-22 22:03:08,526 | INFO | trainers.e2_trainer | fold=4 epoch=13 train_loss=0.13406 val_loss=1.92707 val_macro_auc=0.6899 best=0.7097 patience=8/10
2026-07-22 22:03:13,370 | INFO | trainers.e2_trainer | fold=4 epoch=14 train_loss=0.09926 val_loss=1.67059 val_macro_auc=0.6879 best=0.7097 patience=9/10
2026-07-22 22:03:18,211 | INFO | trainers.e2_trainer | fold=4 epoch=15 train_loss=0.03100 val_loss=1.83184 val_macro_auc=0.6733 best=0.7097 patience=10/10
