candidate,subject_id,reference_f_mel,actual_f_mel,abs_delta_f_mel,reference_f_blood,actual_f_blood,abs_delta_f_blood,reference_logrmse,actual_logrmse,abs_delta_logrmse
V2R-PSG,p003,0.08830536533063,0.08830536566768228,3.370522749790439e-10,0.0698979349877186,0.06989793289125336,2.0964652375221604e-09,0.0549556024735899,0.054955602473589965,6.245004513516506e-17
V2R-PSG,p004,0.1056931577227067,0.10569315733004374,3.9266295770445936e-10,0.0573678503416929,0.057367851914789596,1.573096694573728e-09,0.0531977641200647,0.05319776412006476,5.551115123125783e-17
V2R-PSG,p005,0.1217424242604008,0.12174242494079905,6.803982516290219e-10,0.0867658394456572,0.08676583480581994,4.639837264397428e-09,0.0586827658805668,0.05868276588056724,4.440892098500626e-16
V2R-PSG,p006,0.1188963160438021,0.1188963166989931,6.551909986773907e-10,0.0878323784004624,0.08783237390121335,4.49924905665533e-09,0.0537830756352162,0.05378307563521644,2.42861286636753e-16
V2R-PSG,p007,0.1389812888479508,0.1389812896543318,8.06380989759603e-10,0.0931665767913423,0.09316657082664855,5.964693752802397e-09,0.0671739459139691,0.06717394591396988,7.91033905045424e-16
V2R-PSG,p008,0.1055662497324102,0.10556624860280224,1.1296079627243216e-09,0.0999999999999999,0.09999999999999999,9.71445146547012e-17,0.2489037438527724,0.24890374385277267,2.7755575615628914e-16
V2R-PSG,p009,0.1544864781056672,0.1544864782630071,1.5733989111588187e-10,0.0999999999999999,0.09999999999999999,9.71445146547012e-17,0.1006311177394053,0.10063111773940538,6.938893903907228e-17
V2R-PSG,p010,0.0931012266964598,0.09310122669595164,5.08162956158742e-13,0.0999999999999999,0.09999999999999999,9.71445146547012e-17,0.0662779812117494,0.06627798121174942,2.7755575615628914e-17
V2R-PSG,p011,0.0580357350415462,0.05803573539758032,3.560341188535432e-10,0.0417245455409438,0.04172454407506328,1.4658805211342774e-09,0.0624501867837217,0.06245018678372146,2.42861286636753e-16
V2R-PSG,p012,0.0802735678273532,0.08027356781851365,8.839554088702073e-12,0.0999999997678486,0.09999999986227139,9.442278903204482e-11,0.0478359809162351,0.04783598091621012,2.4980018054066022e-14
V2R-PSG,p013,0.089335669037385,0.08933566905883095,2.1445942244291416e-11,0.0999999999999999,0.09999999999999999,9.71445146547012e-17,0.0529735012096345,0.05297350120963454,3.469446951953614e-17
V2R-PSG,p014,0.1751071492376023,0.17510714932893628,9.133399592187175e-11,0.0999999999999999,0.09999999999999999,9.71445146547012e-17,0.111899581425865,0.11189958142586505,5.551115123125783e-17
V2R-PSG,p015,0.0980498492595606,0.09804984923592006,2.364054785264358e-11,0.0999999999999999,0.09999999999999995,5.551115123125783e-17,0.049563300617021,0.0495633006170211,9.71445146547012e-17
V2R-PSG,p017,0.0822958151493864,0.08229581548783824,3.3845183600167417e-10,0.0373962107706673,0.0373962093684628,1.4022044983463822e-09,0.0711389938444774,0.07113899384447793,5.273559366969494e-16
V2R-PSG,p018,0.1476490779200136,0.14764907813451583,2.1450222154051346e-10,0.0999999999999999,0.09999999999999999,9.71445146547012e-17,0.093890898427428,0.09389089842742801,1.3877787807814457e-17
V2R-PSG,p019,0.1108332791348677,0.11083327912945833,5.409367398456766e-12,0.0999999999999999,0.09999999999999999,9.71445146547012e-17,0.0713523437436161,0.0713523437436162,9.71445146547012e-17
V2R-PSG,p020,0.0683940726384458,0.06839407279561253,1.5716673795740377e-10,0.0999999999999999,0.09999999999999999,9.71445146547012e-17,0.1890467007061136,0.18904670070611374,1.3877787807814457e-16
V2R-PSG,p021,0.0758356511908905,0.07583565119089052,1.3877787807814457e-17,0.0999999999999999,0.09999999999999999,9.71445146547012e-17,0.1566680730882536,0.15666807308825367,8.326672684688674e-17
