candidate,subject_id,outer_fold,setting,value,f_mel,f_blood,logrmse,rmse,sam_deg,delta_f_mel,delta_f_blood,logrmse_change,boundary_any,converged,prediction_above_one_count
V2R-PS,p005,4,delta_bs_shift,-0.1,0.11007005332791249,0.09591132316337476,0.05933994888868497,0.016502609191833863,3.4370418137117382,-0.002696853603823157,0.010875729089598787,-0.0008542020643911644,False,True,0
V2R-PS,p005,4,delta_bs_shift,0.0,0.1127669070085883,0.08503559355366191,0.06019415095307621,0.017074355950981113,3.5239709884737547,7.685264924450763e-11,-5.201140629296219e-10,7.632783294297951e-17,False,True,0
V2R-PS,p005,4,bandwidth_420_680,260.0,0.1127669070085883,0.08503559355366191,0.06019415095307621,0.017074355950981113,3.5239709884737547,7.685264924450763e-11,-5.201140629296219e-10,7.632783294297951e-17,False,True,0
V2R-PS,p005,4,bandwidth_430_670,240.0,0.11540983438669111,0.07255824050867146,0.054213646027317666,0.016574552898857287,3.3483647258118348,0.0026429274549554654,-0.012477353565104515,-0.0059805049257584675,False,True,0
V2R-PS,p005,4,bandwidth_440_660,220.0,0.11629610610376945,0.07121874504093387,0.05214303574765855,0.015116686316120238,3.2056568470450557,0.0035291991720338006,-0.01381684903284211,-0.008051115205417583,False,True,0
V2R-PS,p006,1,diameter_um,0.0,0.11114807023979749,0.07604390449827386,0.057445334139158664,0.01487298975777413,3.22697131964437,5.296806155273559e-05,-0.008642243655576212,0.0026599758036216295,False,True,0
V2R-PS,p006,1,diameter_um,7.5,0.11112097843090242,0.08032888798560883,0.05595899047398332,0.014610314426849434,3.1699314568407306,2.5876252657666687e-05,-0.004357260168241242,0.001173632138446283,False,True,0
V2R-PS,p006,1,diameter_um,15.0,0.11109510217824475,0.08468614815385007,0.054785358335537035,0.014430003436950981,3.1276928310422942,0.0,0.0,0.0,False,True,0
V2R-PS,p006,1,diameter_um,30.0,0.11106141736394763,0.09338942945363943,0.05338220077804966,0.014310060895235932,3.08718987434708,-3.368481429712189e-05,0.008703281299789353,-0.0014031575574873778,False,True,0
V2R-PS,p006,1,s0,0.5,0.11144071046453953,0.07128347648288771,0.0552728887572298,0.015188374793734128,3.2322585953765057,0.0003456082862947768,-0.01340267167096236,0.00048753042169276395,False,True,0
V2R-PS,p006,1,s0,0.7,0.11109510217824475,0.08468614815385007,0.054785358335537035,0.014430003436950981,3.1276928310422942,0.0,0.0,0.0,False,True,0
V2R-PS,p006,1,s0,0.9,0.11325115793871303,0.0876308770649355,0.06130135028476444,0.016052179483565666,3.4190362472969267,0.0021560557604682756,0.002944728911085423,0.006515991949227404,False,True,0
V2R-PS,p006,1,epidermis_thickness_mm,0.05,0.11829714631503262,0.09999999999999999,0.06623816864808241,0.01737896221735172,3.6292118094984085,0.0072020441367878635,0.015313851846149917,0.011452810312545372,True,True,0
V2R-PS,p006,1,epidermis_thickness_mm,0.06,0.11109510217824475,0.08468614815385007,0.054785358335537035,0.014430003436950981,3.1276928310422942,0.0,0.0,0.0,False,True,0
V2R-PS,p006,1,epidermis_thickness_mm,0.07,0.10681229444630591,0.06092590968564313,0.057337770961121096,0.016433740320259713,3.4397708174347623,-0.0042828077319388425,-0.02376023846820694,0.0025524126255840607,False,True,0
V2R-PS,p006,1,whole_blood_hb_g_l,100.0,0.11370999663981937,0.09999999999999949,0.06298684125055785,0.016671443204342048,3.1053486187745682,0.0026148944615746184,0.015313851846149418,0.008201482915020819,True,True,0
V2R-PS,p006,1,whole_blood_hb_g_l,150.0,0.11109510217824475,0.08468614815385007,0.054785358335537035,0.014430003436950981,3.1276928310422942,0.0,0.0,0.0,False,True,0
V2R-PS,p006,1,whole_blood_hb_g_l,200.0,0.11106361221958935,0.06556276900933333,0.05961098541113839,0.015605397402055006,3.209573583956329,-3.148995865540072e-05,-0.01912337914451674,0.0048256270756013575,False,True,0
V2R-PS,p006,1,scattering_amplitude_multiplier,0.9,0.10229183066761381,0.09101606525246776,0.05932626443910927,0.015269389942804103,3.290945422049823,-0.008803271510630942,0.006329917098617688,0.004540906103572238,False,True,0
V2R-PS,p006,1,scattering_amplitude_multiplier,1.0,0.11109510217824475,0.08468614815385007,0.054785358335537035,0.014430003436950981,3.1276928310422942,0.0,0.0,0.0,False,True,0
V2R-PS,p006,1,scattering_amplitude_multiplier,1.05,0.11540300789192427,0.080824643059485,0.05413144110274573,0.014567547982154518,3.1379538821917694,0.004307905713679519,-0.0038615050943650725,-0.000653917232791304,False,True,0
V2R-PS,p006,1,delta_bs_shift,-0.1,0.10814820131335885,0.09723230409830119,0.055876868771364406,0.014525556991557564,3.1518992871356843,-0.0029469008648859013,0.012546155944451118,0.0010915104358273711,False,True,0
V2R-PS,p006,1,delta_bs_shift,0.0,0.11109510217824475,0.08468614815385007,0.054785358335537035,0.014430003436950981,3.1276928310422942,0.0,0.0,0.0,False,True,0
V2R-PS,p006,1,bandwidth_420_680,260.0,0.11109510217824475,0.08468614815385007,0.054785358335537035,0.014430003436950981,3.1276928310422942,0.0,0.0,0.0,False,True,0
V2R-PS,p006,1,bandwidth_430_670,240.0,0.1143010262008546,0.06896547711316721,0.045021792952430556,0.012646383129935233,2.75059980317359,0.0032059240226098434,-0.015720671040682865,-0.009763565383106479,False,True,0
V2R-PS,p006,1,bandwidth_440_660,220.0,0.11556543168149089,0.06557670221664162,0.04328706616357048,0.011291616218467467,2.5548591170590402,0.004470329503246134,-0.019109445937208452,-0.011498292171966552,False,True,0
V2R-PS,p007,5,diameter_um,0.0,0.1267967958134644,0.0833337199405769,0.07175029884860062,0.016019737901670397,3.8062174084002556,0.00017454906878519583,-0.009397429303866764,0.002496014305130259,False,True,0
V2R-PS,p007,5,diameter_um,7.5,0.1267094604217471,0.08797565167384684,0.07039127016923419,0.015751455793995568,3.744881949470082,8.72136770679044e-05,-0.004755497570596817,0.0011369856257638228,False,True,0
V2R-PS,p007,5,diameter_um,15.0,0.12662224945735948,0.09273112956375479,0.06925428454347303,0.01553707064031841,3.6944333176263107,2.712680274852275e-09,-1.9680688870260532e-08,2.6645352591003757e-15,False,True,0
V2R-PS,p007,5,diameter_um,30.0,0.12676923486853367,0.09999999999999999,0.06770434475028665,0.015277189611308986,3.628561312451738,0.00014698812385446902,0.007268850755556333,-0.0015499397931837133,True,True,0
