candidate,subject_id,outer_fold,f_mel,f_blood,logrmse,rmse,sam_deg,converged,prediction_above_one_count
V2R-PSG,p013,2,0.08933566905883095,0.09999999999999999,0.05297350120963454,0.01606084383126251,2.897817904730227,True,0
V2R-PSG,p014,3,0.17510714932893628,0.09999999999999999,0.11189958142586505,0.023096103173655274,6.060917555516347,True,0
V2R-PSG,p015,3,0.09804984923592006,0.09999999999999995,0.0495633006170211,0.0172225318918321,2.875113427479934,True,0
V2R-PSG,p017,5,0.08229581548783824,0.0373962093684628,0.07113899384447793,0.03112381263185268,4.195069207211388,True,0
V2R-PSG,p018,2,0.14764907813451583,0.09999999999999999,0.09389089842742801,0.01876782365885066,4.780914275358888,True,0
V2R-PSG,p019,1,0.11083327912945833,0.09999999999999999,0.0713523437436162,0.01755871011392623,3.655279303245335,True,0
V2R-PSG,p020,2,0.06839407279561253,0.09999999999999999,0.18904670070611374,0.07013898903961294,10.837952078796377,True,0
V2R-PSG,p021,3,0.07583565119089052,0.09999999999999999,0.15666807308825367,0.061163219528989406,8.737743998128034,True,0
V2R-PSG,p022,3,0.08026753758730372,0.09999999999999999,0.1925758221844429,0.07433168604161215,11.018035981038564,True,0
V2R-PSG,p023,2,0.1131070922449148,0.09999999999999999,0.05252249699796347,0.014115523115604005,2.9473488818043334,True,0
V2R-PSG,p024,5,0.12045974398960821,0.09999999999999999,0.06152118032265101,0.01834446868120396,3.625296747040629,True,0
V2R-PSG,p025,4,0.10162756984669602,0.044794664587876246,0.059385661934439775,0.020524166134225426,3.478670513399206,True,0
V2R-PSG,p026,4,0.11972228477378115,0.09999999999999978,0.05765276975414145,0.015899038995175616,3.2837157054335275,True,0
V2R-PSG,p027,4,0.1195604265247922,0.06485869608439422,0.053100094699834954,0.015099891669676527,3.100479231332005,True,0
V2R-PSG,p028,3,0.11124582278233539,0.09338759959701404,0.05239383148652014,0.016180751689647523,2.972437347566467,True,0
V2R-PSG,p029,4,0.1153123696395803,0.07818299642297388,0.055026332180259006,0.014454330259056554,3.010206991678799,True,0
V2R-PSG,p031,4,0.08782599192403243,0.08255194358898295,0.04608392363193064,0.015615277661936775,2.572312037796589,True,0
V2R-PSG,p032,1,0.09776094022280411,0.09999999999999999,0.04617001030485454,0.012295618359812435,2.3667135701205804,True,0
V2R-PSG,p033,3,0.09819612307176245,0.06639477466778192,0.03872986155797214,0.01344885778222584,2.1529078279793072,True,0
V2R-PSG,p034,4,0.06768497692529098,0.04766111382831353,0.04804242158684044,0.020825748610946975,2.789028039787559,True,0
V2R-PSG,p037,2,0.09140168686984067,0.04585530705712746,0.03928156429810972,0.011976153620290617,2.0441860974149995,True,0
V2R-PSG,p038,2,0.1247087252920321,0.09999999999999999,0.06149214156376697,0.013053132848272262,2.92300755835899,True,0
V2R-PSG,p040,5,0.08026298219847063,0.07431714170417648,0.052358501255875066,0.02144928878049649,3.102263626617548,True,0
V2R-PSG,p041,2,0.1072557536377516,0.04085828947858791,0.059996909684903024,0.02061939310911485,3.5294233436630447,True,0
V2R-PSG,p042,5,0.08229667563119283,0.045625277153044236,0.050875957152538044,0.020584120963283468,3.117235724723482,True,0
V2R-PSG,p043,3,0.10346710505049236,0.031158123256454597,0.0537172766864209,0.021561026279983547,3.2615707962866067,True,0
V2R-PSG,p044,1,0.1471959985386315,0.09999999999999999,0.058955373750193656,0.013024724545132989,3.349806321327173,True,0
V2R-PSG,p045,5,0.11522161772864781,0.061657135870888224,0.06060342347906609,0.019014613711404307,3.4992954008620814,True,0
V2R-PSG,p046,3,0.1734925693045978,0.09999999999999999,0.10809921415145975,0.023149287101708944,5.9714293301109835,True,0
V2R-PSG,p047,5,0.13123544226487127,0.09999999999999999,0.07741006728006926,0.018983490154926234,4.238582989113344,True,0
V2R-PSG,p048,4,0.10889241450196784,0.09999999999999999,0.09192408775975862,0.026352358910163184,5.128662563591917,True,0
V2R-PSG,p049,1,0.12815872396814124,0.09999999999999999,0.064437139977631,0.013428445031369432,3.103254936748164,True,0
V2R-PSG,p050,1,0.09808599855445499,0.09999999999999999,0.05377778399021962,0.014442092508663058,2.7209929106544677,True,0
V2R-PSG,p051,1,0.10308871554510073,0.09999999999999999,0.05279765399162204,0.013572051751875132,2.6557309800295537,True,0
