base_candidate,subject_id,outer_fold,setting,value,f_mel,f_blood,s,logrmse,delta_f_mel,delta_f_blood,delta_s,logrmse_change,boundary_any,converged,prediction_above_one_count
V2R-PS,p051,1,scattering_amplitude_multiplier,1.0,0.09322278642716955,0.09999999999999999,0.5118389974908288,0.04737635606376042,9.307006554326591e-11,0.0,7.221849673832992e-09,1.3877787807814457e-17,True,True,0
V2R-PS,p051,1,scattering_amplitude_multiplier,1.05,0.09725780727553017,0.09999999999999999,0.5638760842205472,0.04699104581083595,0.004035020941430684,0.0,0.05203709395156808,-0.000385310252924459,True,True,0
V2R-PS,p051,1,delta_bs_shift,-0.1,0.091658768371075,0.09999999999999999,0.4560751462652649,0.05076321311345679,-0.0015640179630244805,0.0,-0.05576384400371426,0.003386857049696379,True,True,0
V2R-PS,p051,1,delta_bs_shift,0.0,0.09322278642716955,0.09999999999999999,0.5118389974908288,0.04737635606376042,9.307006554326591e-11,0.0,7.221849673832992e-09,1.3877787807814457e-17,True,True,0
V2R-PS,p051,1,bandwidth_420_680,260.0,0.09322278642716955,0.09999999999999999,0.5118389974908288,0.04737635606376042,9.307006554326591e-11,0.0,7.221849673832992e-09,1.3877787807814457e-17,True,True,0
V2R-PS,p051,1,bandwidth_430_670,240.0,0.09476246391774266,0.09999999999999999,0.566420381696223,0.03167051224299563,0.0015396775836431786,0.0,0.05458139142724383,-0.01570584382076478,True,True,0
V2R-PS,p051,1,bandwidth_440_660,220.0,0.09541545162318842,0.09999999999999999,0.560430011785468,0.027325373900981442,0.0021926652890889298,0.0,0.048591021516488864,-0.020050982162778966,True,True,0
V2R-PSG,p003,2,diameter_um,0.0,0.08800099866684823,0.06499974815859935,0.732673908125327,0.054966011625777945,-0.0004339807435155413,-0.010689569684837724,-0.08146242848255625,0.001236867054925185,False,True,0
V2R-PSG,p003,2,diameter_um,7.5,0.08824523250286911,0.07015208226175632,0.7761723194745224,0.05431542228460329,-0.0001897469074946534,-0.005537235581680761,-0.03796401713336084,0.0005862777137505271,False,True,0
V2R-PSG,p003,2,diameter_um,15.0,0.08843498010803733,0.07568931052561773,0.8141362963079184,0.05372914457085394,6.976735578145821e-10,-7.317819350483035e-09,-4.0299964809698e-08,1.1796119636642288e-15,False,True,0
