base_candidate,subject_id,outer_fold,base_logrmse,best_o_logrmse,logrmse_change,delta_f_mel,delta_f_blood
V2R-PSG,p031,4,0.04608392363193064,0.04056346598070488,-0.00552045765122576,0.0001877287872555089,0.013419956792666152
V2R-PSG,p032,1,0.04617001030485454,0.04522173265823824,-0.0009482776466162995,-0.0009147564812544279,-1.3877787807814457e-17
V2R-PSG,p033,3,0.03872986155797214,0.034264140993601915,-0.004465720564370224,-0.0004572541658811602,-0.006647134360373959
V2R-PSG,p034,4,0.04804242158684044,0.04270892189608575,-0.005333499690754688,0.0005955000764296947,0.004759230343590853
V2R-PSG,p037,2,0.03928156429810972,0.03916028317398347,-0.0001212811241262518,-0.00012399542067659253,-0.0006292197502325569
V2R-PSG,p038,2,0.06149214156376697,0.06084343771809011,-0.0006487038456768623,5.447846093117881e-06,-0.00874755759395017
V2R-PSG,p040,5,0.052358501255875066,0.04024505050821977,-0.012113450747655297,0.00043713858752955637,0.01725452736357312
V2R-PSG,p041,2,0.059996909684903024,0.05390835863757497,-0.006088551047328056,0.0010700684066755478,0.006460147064012031
V2R-PSG,p042,5,0.050875957152538044,0.049677663503859604,-0.0011982936486784404,0.0003634101090839448,0.0024470163462750327
V2R-PSG,p043,3,0.0537172766864209,0.051392622489226984,-0.0023246541971939164,0.0008395088477946011,0.0020895880178303586
V2R-PSG,p044,1,0.058955373750193656,0.05895512213383622,-2.516163574370345e-07,2.4596508869018097e-05,0.0
V2R-PSG,p045,5,0.06060342347906609,0.05337289264256779,-0.0072305308364983,0.000971935367862789,0.0141953667489753
V2R-PSG,p046,3,0.10809921415145975,0.09161902072661782,-0.01648019342484193,-0.007980616140463193,0.0
V2R-PSG,p047,5,0.07741006728006926,0.06587048059657341,-0.011539586683495848,-0.0050352652927092845,0.0
V2R-PSG,p048,4,0.09192408775975862,0.06729628714522783,-0.024627800614530793,-0.006178470780240225,0.0
V2R-PSG,p049,1,0.064437139977631,0.06431421931919967,-0.00012292065843132194,-0.0005004015528223826,0.0
V2R-PSG,p050,1,0.05377778399021962,0.04776613389932018,-0.006011650090899434,-0.002414791967305041,0.0
V2R-PSG,p051,1,0.05279765399162204,0.047271372016073225,-0.005526281975548816,-0.0023972344288957365,0.0
