camera_name,light_name,latent_id,exposure_ev,appearance_id,overall_low_clip_fraction,overall_high_clip_fraction,nonfinite_count,all_zero_fraction,all_one_fraction,original_sample_id,variable_isolation,channel,pre_min,pre_p01,pre_p05,pre_median,pre_p95,pre_max,pre_mean,pre_std,pre_negative_fraction,pre_le_minus_1e6_fraction,pre_gt_one_fraction,post_exact_zero_fraction,post_le_1e6_fraction,post_exact_one_fraction,post_ge_1me6_fraction,post_mean,post_std,post_min,post_max
Canon 60D,FL2,L055,0.3889419872807398,appearance0,0.0,0.0,0,0.0,0.0,L055_A0,camera_only,R,0.30191147327423096,0.33145901560783386,0.37124429643154144,0.45475172996520996,0.5087437331676483,0.5482200384140015,0.449139803647995,0.041942764073610306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.449139803647995,0.041942764073610306,0.30191147327423096,0.5482200384140015
Canon 60D,FL2,L055,0.3889419872807398,appearance0,0.0,0.0,0,0.0,0.0,L055_A0,camera_only,G,0.16547174751758575,0.1830470860004425,0.20782162249088287,0.25900256633758545,0.29348355531692505,0.31836023926734924,0.2558498978614807,0.0259572584182024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2558498978614807,0.0259572584182024,0.16547174751758575,0.31836023926734924
Canon 60D,FL2,L055,0.3889419872807398,appearance0,0.0,0.0,0,0.0,0.0,L055_A0,camera_only,B,0.014396804384887218,0.01689542457461357,0.021418394520878792,0.03257257491350174,0.043671512976288795,0.05228028818964958,0.0325898602604866,0.006689555011689663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0325898602604866,0.006689555011689663,0.014396804384887218,0.05228028818964958
Nikon D200,FL2,L055,0.3889419872807398,appearance0,0.0,0.0,0,0.0,0.0,L055_A0,camera_only,R,0.3033434748649597,0.33297455310821533,0.37293121218681335,0.45674583315849304,0.5110167264938354,0.5506820678710938,0.4511412978172302,0.04211252182722092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4511412978172302,0.04211252182722092,0.3033434748649597,0.5506820678710938
Nikon D200,FL2,L055,0.3889419872807398,appearance0,0.0,0.0,0,0.0,0.0,L055_A0,camera_only,G,0.16568608582019806,0.18329628556966782,0.20808396488428116,0.2593379616737366,0.29380451142787933,0.3186941146850586,0.256173312664032,0.025979936122894287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.256173312664032,0.025979936122894287,0.16568608582019806,0.3186941146850586
Nikon D200,FL2,L055,0.3889419872807398,appearance0,0.0,0.0,0,0.0,0.0,L055_A0,camera_only,B,0.012200980447232723,0.014165442902594805,0.01791484747081995,0.027279255911707878,0.037264470010995865,0.0457385815680027,0.02745387889444828,0.005868952255696058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02745387889444828,0.005868952255696058,0.012200980447232723,0.0457385815680027
Nikon D3,FL2,L055,0.3889419872807398,appearance0,0.0,0.0,0,0.0,0.0,L055_A0,camera_only,R,0.3028472363948822,0.3324360251426697,0.37233832478523254,0.45603692531585693,0.510232537984848,0.5498419404029846,0.4504399597644806,0.04205416515469551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4504399597644806,0.04205416515469551,0.3028472363948822,0.5498419404029846
Nikon D3,FL2,L055,0.3889419872807398,appearance0,0.0,0.0,0,0.0,0.0,L055_A0,camera_only,G,0.16543255746364594,0.18301766365766525,0.20778042823076248,0.25897279381752014,0.2934075593948364,0.3182678818702698,0.25581246614456177,0.025950422510504723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25581246614456177,0.025950422510504723,0.16543255746364594,0.3182678818702698
Nikon D3,FL2,L055,0.3889419872807398,appearance0,0.0,0.0,0,0.0,0.0,L055_A0,camera_only,B,0.014139275997877121,0.016518025659024715,0.020924664102494717,0.031858522444963455,0.04298403672873974,0.05169253423810005,0.03191997855901718,0.006638943217694759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03191997855901718,0.006638943217694759,0.014139275997877121,0.05169253423810005
Nikon D300s,FL2,L055,0.3889419872807398,appearance0,0.0,0.0,0,0.0,0.0,L055_A0,camera_only,R,0.302796870470047,0.33237913250923157,0.37227752804756165,0.45596301555633545,0.510153591632843,0.5497590899467468,0.45036745071411133,0.04204833135008812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45036745071411133,0.04204833135008812,0.302796870470047,0.5497590899467468
Nikon D300s,FL2,L055,0.3889419872807398,appearance0,0.0,0.0,0,0.0,0.0,L055_A0,camera_only,G,0.16457292437553406,0.18208592385053635,0.20675142854452133,0.2577430009841919,0.292050838470459,0.3168123960494995,0.25459638237953186,0.02584945224225521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25459638237953186,0.02584945224225521,0.16457292437553406,0.3168123960494995
