candidate,subject_id,capture_id,outer_fold,solver_converged,selected_start_index,f_mel,f_blood,c_tHb_eq_g_l,logrmse,rmse,sam_deg,centered_logrmse,mean_log_residual,reference_logrmse,model_to_reference_error_ratio,model_better_than_reference,f_mel_at_lower,f_mel_at_upper,f_blood_at_lower,f_blood_at_upper,diameter_um,scattering_amplitude,delta_bs,g0,selected_nfev,selected_status,selected_optimality
V2R-P,p032,p032_neutral_front,1,True,26,0.0604229525188631,0.0999999999999999,14.999999999999998,0.1018567411211878,0.0313992555916747,5.093396932337749,0.1014565550713946,0.0090201521535811,0.0257088923405327,3.9619264716667737,False,False,False,False,True,15.0,1.0,0.0,1.0,,,
V2R-P,p044,p044_neutral_front,1,True,6,0.0987643111495017,0.0999999999999999,14.999999999999998,0.1288676463578858,0.0308703144199426,6.529316619678435,0.1285505500291143,0.009034731043773,0.3098442047484866,0.4159111075273881,True,False,False,False,True,15.0,1.0,0.0,1.0,,,
V2R-P,p049,p049_neutral_front,1,True,19,0.0838231220935415,0.0999999999999999,14.999999999999998,0.1269588964105524,0.0315300618150638,6.075582639359254,0.126455136392364,0.011298666194467,0.2047297877318145,0.6201290873063477,True,False,False,False,True,15.0,1.0,0.0,1.0,,,
V2R-P,p050,p050_neutral_front,1,True,31,0.060253117559227,0.0999999999999999,14.999999999999998,0.1107098840567801,0.0353019997080597,5.602090578837444,0.1097267931986442,0.0147210489506578,0.0339307747016101,3.2628162790378816,False,False,False,False,True,15.0,1.0,0.0,1.0,,,
V2R-P,p051,p051_neutral_front,1,True,16,0.0641865577359733,0.0999999999999999,14.999999999999998,0.1121799221077766,0.034611006221027,5.645503583170683,0.1112598356772504,0.0143381968593705,0.0553890470777392,2.0253087573492774,False,False,False,False,True,15.0,1.0,0.0,1.0,,,
V2R-P,p003,p003_neutral_front,2,True,7,0.0527485758297486,0.0761178080983345,11.417671214750188,0.0744363745295801,0.0235254436666876,3.821277483372809,0.0743812941285587,0.0028630293167826,0.12492241791591,0.5958608212313506,True,False,False,False,False,15.0,1.0,0.0,1.0,,,
V2R-P,p010,p010_neutral_front,2,True,21,0.0551785363154862,0.0999999999999999,14.999999999999998,0.0766674362668897,0.0208004667476258,3.622567431841648,0.0765746662081692,0.0037704480960569,0.0727337682326018,1.0540831051363666,False,False,False,False,True,15.0,1.0,0.0,1.0,,,
V2R-P,p013,p013_neutral_front,2,True,22,0.0518737917672186,0.0999999999999999,14.999999999999998,0.0970785607967785,0.0315206742502071,4.921919155136603,0.0966499334304613,0.0091124823325601,0.0755801276441504,1.284445578788222,False,False,False,False,True,15.0,1.0,0.0,1.0,,,
V2R-P,p018,p018_neutral_front,2,True,2,0.096028066195286,0.0999999999999999,14.999999999999998,0.1742869040625973,0.0408426410745368,8.771636894720615,0.1738380920391613,0.0124997073529374,0.2863075203985125,0.6087402238684012,True,False,False,False,True,15.0,1.0,0.0,1.0,,,
V2R-P,p020,p020_neutral_front,2,True,2,0.033325031141545,0.0999999999999999,14.999999999999996,0.2241318749124526,0.0883737384236162,12.569144824833684,0.2192030391774025,0.0467453202701772,0.2705528085486448,0.8284219118433368,True,False,False,False,True,15.0,1.0,0.0,1.0,,,
V2R-P,p023,p023_neutral_front,2,True,28,0.070258606266325,0.0999999999999999,14.999999999999998,0.0990135622718644,0.0311064590617481,5.298621220077268,0.0982721231373703,0.0120944337543312,0.0892167842191436,1.109808688336681,False,False,False,False,True,15.0,1.0,0.0,1.0,,,
V2R-P,p037,p037_neutral_front,2,True,14,0.0576794761953354,0.0510322984579699,7.654844768695493,0.0810954557867628,0.0254275569875335,3.811289469868897,0.0808400602753541,0.006430987788817,0.137458735883587,0.5899621822176659,True,False,False,False,False,15.0,1.0,0.0,1.0,,,
V2R-P,p038,p038_neutral_front,2,True,4,0.079301981376771,0.0999999999999999,14.999999999999998,0.127991001011494,0.0335155728759335,6.305945348237017,0.1277346566638893,0.0080965317811134,0.1553245037958918,0.8240232409155733,True,False,False,False,True,15.0,1.0,0.0,1.0,,,
V2R-P,p041,p041_neutral_front,2,True,22,0.0678114642690092,0.0574542450810651,8.618136762159775,0.084437992054074,0.0220536138370381,3.9280296035906095,0.0844355376882673,0.0006437992055346,0.0782387437641309,1.07923501824917,False,False,False,False,False,15.0,1.0,0.0,1.0,,,
V2R-P,p008,p008_neutral_front,3,True,1,0.0476040882096339,0.0999999999999999,14.999999999999998,0.2872900228967297,0.1007564019561881,16.364588856449533,0.2818537950532481,0.0556236952214174,0.244548020468925,1.174779588670749,False,False,False,False,True,15.0,1.0,0.0,1.0,,,
V2R-P,p014,p014_neutral_front,3,True,30,0.1004817312307546,0.0999999999999999,14.999999999999998,0.202596228205392,0.0471929325557017,10.549077959597566,0.2020706560363154,0.0145836090219255,0.3163864289197167,0.6403442426312191,True,False,False,False,True,15.0,1.0,0.0,1.0,,,
V2R-P,p015,p015_neutral_front,3,True,14,0.0463030488734216,0.0999999999999999,14.999999999999998,0.0832972261086142,0.0284601358121946,4.271664291517402,0.0830010965318872,0.0070175388772666,0.1363362173921327,0.6109691738698695,True,False,False,False,True,15.0,1.0,0.0,1.0,,,
V2R-P,p021,p021_neutral_front,3,True,19,0.0279948058257465,0.0999999999999999,14.999999999999998,0.1749433810694803,0.0707168693630326,9.48096073092701,0.1718906132588792,0.0325392632600651,0.3130906041516113,0.5587627950175265,True,False,False,False,True,15.0,1.0,0.0,1.0,,,
V2R-P,p022,p022_neutral_front,3,True,24,0.0305822182489284,0.0999999999999999,14.999999999999998,0.2093342939737456,0.0848980451305282,11.671897886713548,0.2045256408885634,0.0446106360928524,0.3035463164089812,0.6896288396782927,True,False,False,False,True,15.0,1.0,0.0,1.0,,,
V2R-P,p028,p028_neutral_front,3,True,26,0.0571024004055557,0.0924039500558747,13.86059250838121,0.0780638989481169,0.0252950411013112,4.151049287051121,0.0778835038355475,0.0053039748566587,0.0719508387437177,1.0849616253421777,False,False,False,False,False,15.0,1.0,0.0,1.0,,,
