candidate,subject_id,outer_fold,reference_logrmse,model_logrmse,error_ratio,model_better,reference_source
V2R-PS,p028,3,0.07195083874371776,0.051841279884560776,0.7205097367831198,True,outer_fold_train_subject_log_geometric_mean
V2R-PS,p033,3,0.17494066234247999,0.03704222447724487,0.21174164988999292,True,outer_fold_train_subject_log_geometric_mean
V2R-PS,p043,3,0.20894111726852152,0.06512761345204524,0.3117031932415017,True,outer_fold_train_subject_log_geometric_mean
V2R-PS,p046,3,0.3075360483278093,0.11238811255401253,0.3654469554548468,True,outer_fold_train_subject_log_geometric_mean
V2R-PS,p005,4,0.1358455305140367,0.06019415095307591,0.44310733467124375,True,outer_fold_train_subject_log_geometric_mean
V2R-PS,p012,4,0.13496989706723028,0.04807383656314662,0.3561819161735036,True,outer_fold_train_subject_log_geometric_mean
V2R-PS,p025,4,0.09451058246231865,0.0627624321965348,0.6640783556863398,True,outer_fold_train_subject_log_geometric_mean
V2R-PS,p026,4,0.13291356377868016,0.059106241399009586,0.44469683694156165,True,outer_fold_train_subject_log_geometric_mean
V2R-PS,p027,4,0.10488889580578718,0.055025757275989066,0.5246099394341518,True,outer_fold_train_subject_log_geometric_mean
V2R-PS,p029,4,0.08665319273132167,0.05602507240400312,0.6465436602863023,True,outer_fold_train_subject_log_geometric_mean
V2R-PS,p031,4,0.1111794200646268,0.04927597815709358,0.4432113256972401,True,outer_fold_train_subject_log_geometric_mean
V2R-PS,p034,4,0.3058002406024518,0.05370547700799424,0.17562274281468843,True,outer_fold_train_subject_log_geometric_mean
V2R-PS,p048,4,0.08452821904465835,0.08915272416537738,1.0547096008053334,False,outer_fold_train_subject_log_geometric_mean
V2R-PS,p007,5,0.22317993423397947,0.06925428454347111,0.31030694932845376,True,outer_fold_train_subject_log_geometric_mean
V2R-PS,p009,5,0.3132877392838114,0.10180930418799182,0.32497059866029887,True,outer_fold_train_subject_log_geometric_mean
V2R-PS,p017,5,0.2346034856449402,0.07925577178012286,0.33782861990410584,True,outer_fold_train_subject_log_geometric_mean
V2R-PS,p024,5,0.13018393302235823,0.06321482064176347,0.48558081764903155,True,outer_fold_train_subject_log_geometric_mean
V2R-PS,p040,5,0.18414069462273758,0.05825258367748176,0.3163482346845061,True,outer_fold_train_subject_log_geometric_mean
V2R-PS,p042,5,0.21314144996902937,0.05424613205561623,0.2545076617593551,True,outer_fold_train_subject_log_geometric_mean
V2R-PS,p045,5,0.07831358278563605,0.0649289225025532,0.8290889037765002,True,outer_fold_train_subject_log_geometric_mean
