candidate,outer_fold,parameter,value,loss,loss_kind,solver_success,nfev,grid_kind,profile_source,profile_identifiable,acceptable_normalized_span
V2R-PS,1,delta_bs,0.20000000000000007,0.06874052631562129,centered_logrmse,True,37,uniform_or_exact_optimum,estimated_in_fold,False,0.43999999999999995
V2R-PS,1,delta_bs,0.21999999999999997,0.06850216235189334,centered_logrmse,True,30,uniform_or_exact_optimum,estimated_in_fold,False,0.43999999999999995
V2R-PS,1,delta_bs,0.24,0.0682771538660158,centered_logrmse,True,28,uniform_or_exact_optimum,estimated_in_fold,False,0.43999999999999995
V2R-PS,1,delta_bs,0.26,0.0680593767964024,centered_logrmse,True,40,uniform_or_exact_optimum,estimated_in_fold,False,0.43999999999999995
V2R-PS,1,delta_bs,0.28,0.06784722760049657,centered_logrmse,True,24,uniform_or_exact_optimum,estimated_in_fold,False,0.43999999999999995
V2R-PS,1,delta_bs,0.30000000000000004,0.06764081638687798,centered_logrmse,True,37,uniform_or_exact_optimum,estimated_in_fold,False,0.43999999999999995
V2R-PS,1,delta_bs,0.32000000000000006,0.06744008402012636,centered_logrmse,True,32,uniform_or_exact_optimum,estimated_in_fold,False,0.43999999999999995
V2R-PS,1,delta_bs,0.33999999999999997,0.06724466515319723,centered_logrmse,True,26,uniform_or_exact_optimum,estimated_in_fold,False,0.43999999999999995
V2R-PS,1,delta_bs,0.36,0.06705462118195409,centered_logrmse,True,42,uniform_or_exact_optimum,estimated_in_fold,False,0.43999999999999995
V2R-PS,1,delta_bs,0.38,0.06687004000006487,centered_logrmse,True,42,uniform_or_exact_optimum,estimated_in_fold,False,0.43999999999999995
V2R-PS,1,delta_bs,0.4,0.06669087124670268,centered_logrmse,True,30,uniform_or_exact_optimum,estimated_in_fold,False,0.43999999999999995
V2R-PS,1,delta_bs,0.42000000000000004,0.06651689641203924,centered_logrmse,True,23,uniform_or_exact_optimum,estimated_in_fold,False,0.43999999999999995
V2R-PS,1,delta_bs,0.44000000000000006,0.0663479486712543,centered_logrmse,True,38,uniform_or_exact_optimum,estimated_in_fold,False,0.43999999999999995
V2R-PS,1,delta_bs,0.45999999999999996,0.06618406959959088,centered_logrmse,True,42,uniform_or_exact_optimum,estimated_in_fold,False,0.43999999999999995
V2R-PS,1,delta_bs,0.48,0.06602519817610686,centered_logrmse,True,35,uniform_or_exact_optimum,estimated_in_fold,False,0.43999999999999995
V2R-PS,1,delta_bs,0.5,0.06587095577850585,centered_logrmse,True,4,uniform_or_exact_optimum,estimated_in_fold,False,0.43999999999999995
V2R-PS,2,A_s,0.6,0.10058665078269498,centered_logrmse,True,24,uniform_or_exact_optimum,estimated_in_fold,False,0.40000000000000013
V2R-PS,2,A_s,0.62,0.09917138747364937,centered_logrmse,True,74,uniform_or_exact_optimum,estimated_in_fold,False,0.40000000000000013
V2R-PS,2,A_s,0.64,0.09773722621485116,centered_logrmse,True,43,uniform_or_exact_optimum,estimated_in_fold,False,0.40000000000000013
V2R-PS,2,A_s,0.6599999999999999,0.09631708131633604,centered_logrmse,True,40,uniform_or_exact_optimum,estimated_in_fold,False,0.40000000000000013
V2R-PS,2,A_s,0.6799999999999999,0.0949400518889947,centered_logrmse,True,26,uniform_or_exact_optimum,estimated_in_fold,False,0.40000000000000013
V2R-PS,2,A_s,0.7,0.0936140188715521,centered_logrmse,True,20,uniform_or_exact_optimum,estimated_in_fold,False,0.40000000000000013
V2R-PS,2,A_s,0.72,0.09233282173050097,centered_logrmse,True,19,uniform_or_exact_optimum,estimated_in_fold,False,0.40000000000000013
V2R-PS,2,A_s,0.74,0.09023470580561638,centered_logrmse,True,17,uniform_or_exact_optimum,estimated_in_fold,False,0.40000000000000013
V2R-PS,2,A_s,0.76,0.08906184170374475,centered_logrmse,True,18,uniform_or_exact_optimum,estimated_in_fold,False,0.40000000000000013
V2R-PS,2,A_s,0.78,0.08791933324601045,centered_logrmse,True,21,uniform_or_exact_optimum,estimated_in_fold,False,0.40000000000000013
V2R-PS,2,A_s,0.8,0.08679979381151896,centered_logrmse,True,20,uniform_or_exact_optimum,estimated_in_fold,False,0.40000000000000013
V2R-PS,2,A_s,0.82,0.0856936185005114,centered_logrmse,True,20,uniform_or_exact_optimum,estimated_in_fold,False,0.40000000000000013
V2R-PS,2,A_s,0.84,0.08459925227328252,centered_logrmse,True,23,uniform_or_exact_optimum,estimated_in_fold,False,0.40000000000000013
V2R-PS,2,A_s,0.86,0.08351600143636935,centered_logrmse,True,27,uniform_or_exact_optimum,estimated_in_fold,False,0.40000000000000013
V2R-PS,2,A_s,0.88,0.08244284397349975,centered_logrmse,True,33,uniform_or_exact_optimum,estimated_in_fold,False,0.40000000000000013
V2R-PS,2,A_s,0.8999999999999999,0.08138005172704725,centered_logrmse,True,19,uniform_or_exact_optimum,estimated_in_fold,False,0.40000000000000013
V2R-PS,2,A_s,0.9199999999999999,0.07987692235319878,centered_logrmse,True,17,uniform_or_exact_optimum,estimated_in_fold,False,0.40000000000000013
V2R-PS,2,A_s,0.94,0.0788756715091103,centered_logrmse,True,17,uniform_or_exact_optimum,estimated_in_fold,False,0.40000000000000013
V2R-PS,2,A_s,0.96,0.0778988355019721,centered_logrmse,True,17,uniform_or_exact_optimum,estimated_in_fold,False,0.40000000000000013
V2R-PS,2,A_s,0.98,0.07694853004481614,centered_logrmse,True,18,uniform_or_exact_optimum,estimated_in_fold,False,0.40000000000000013
V2R-PS,2,A_s,1.0,0.07602435297543009,centered_logrmse,True,18,uniform_or_exact_optimum,estimated_in_fold,False,0.40000000000000013
V2R-PS,2,A_s,1.02,0.07512577191473346,centered_logrmse,True,17,uniform_or_exact_optimum,estimated_in_fold,False,0.40000000000000013
V2R-PS,2,A_s,1.04,0.07425288940972997,centered_logrmse,True,17,uniform_or_exact_optimum,estimated_in_fold,False,0.40000000000000013
V2R-PS,2,A_s,1.06,0.07340638109180762,centered_logrmse,True,17,uniform_or_exact_optimum,estimated_in_fold,False,0.40000000000000013
V2R-PS,2,A_s,1.08,0.07258745068291374,centered_logrmse,True,18,uniform_or_exact_optimum,estimated_in_fold,False,0.40000000000000013
V2R-PS,2,A_s,1.1,0.07179777747083035,centered_logrmse,True,17,uniform_or_exact_optimum,estimated_in_fold,False,0.40000000000000013
V2R-PS,2,A_s,1.12,0.07103939098189342,centered_logrmse,True,18,uniform_or_exact_optimum,estimated_in_fold,False,0.40000000000000013
V2R-PS,2,A_s,1.1400000000000001,0.07022511634835406,centered_logrmse,True,18,uniform_or_exact_optimum,estimated_in_fold,False,0.40000000000000013
V2R-PS,2,A_s,1.1600000000000001,0.0695390638542156,centered_logrmse,True,22,uniform_or_exact_optimum,estimated_in_fold,False,0.40000000000000013
V2R-PS,2,A_s,1.18,0.06888288540957534,centered_logrmse,True,23,uniform_or_exact_optimum,estimated_in_fold,False,0.40000000000000013
V2R-PS,2,A_s,1.2,0.06824388476779987,centered_logrmse,True,26,uniform_or_exact_optimum,estimated_in_fold,False,0.40000000000000013
V2R-PS,2,A_s,1.22,0.06765322970181165,centered_logrmse,True,25,uniform_or_exact_optimum,estimated_in_fold,False,0.40000000000000013
V2R-PS,2,A_s,1.24,0.06709258025517906,centered_logrmse,True,28,uniform_or_exact_optimum,estimated_in_fold,False,0.40000000000000013
V2R-PS,2,A_s,1.26,0.06656371143090992,centered_logrmse,True,25,uniform_or_exact_optimum,estimated_in_fold,False,0.40000000000000013
V2R-PS,2,A_s,1.28,0.06607079972599961,centered_logrmse,True,24,uniform_or_exact_optimum,estimated_in_fold,False,0.40000000000000013
V2R-PS,2,A_s,1.3,0.06561851402587986,centered_logrmse,True,25,uniform_or_exact_optimum,estimated_in_fold,False,0.40000000000000013
V2R-PS,2,A_s,1.3199999999999998,0.06520879571556053,centered_logrmse,True,27,uniform_or_exact_optimum,estimated_in_fold,False,0.40000000000000013
V2R-PS,2,A_s,1.3399999999999999,0.0648427904300448,centered_logrmse,True,29,uniform_or_exact_optimum,estimated_in_fold,False,0.40000000000000013
V2R-PS,2,A_s,1.3599999999999999,0.0645214581635429,centered_logrmse,True,40,uniform_or_exact_optimum,estimated_in_fold,False,0.40000000000000013
V2R-PS,2,A_s,1.38,0.06424523141701544,centered_logrmse,True,44,uniform_or_exact_optimum,estimated_in_fold,False,0.40000000000000013
V2R-PS,2,A_s,1.4,0.0640136882119268,centered_logrmse,True,63,uniform_or_exact_optimum,estimated_in_fold,False,0.40000000000000013
V2R-PS,2,A_s,1.42,0.06382391862076445,centered_logrmse,True,12,uniform_or_exact_optimum,estimated_in_fold,False,0.40000000000000013
V2R-PS,2,A_s,1.44,0.063678719815413,centered_logrmse,True,15,uniform_or_exact_optimum,estimated_in_fold,False,0.40000000000000013
V2R-PS,2,A_s,1.46,0.0635844768934941,centered_logrmse,True,18,uniform_or_exact_optimum,estimated_in_fold,False,0.40000000000000013
V2R-PS,2,A_s,1.48,0.06354046619046498,centered_logrmse,True,16,uniform_or_exact_optimum,estimated_in_fold,False,0.40000000000000013
V2R-PS,2,A_s,1.4878127891963353,0.06353672382142639,centered_logrmse,True,4,uniform_or_exact_optimum,estimated_in_fold,False,0.40000000000000013
V2R-PS,2,A_s,1.5,0.06354576402319086,centered_logrmse,True,25,uniform_or_exact_optimum,estimated_in_fold,False,0.40000000000000013
V2R-PS,2,A_s,1.52,0.06359930996827673,centered_logrmse,True,48,uniform_or_exact_optimum,estimated_in_fold,False,0.40000000000000013
V2R-PS,2,A_s,1.54,0.06370004086783211,centered_logrmse,True,55,uniform_or_exact_optimum,estimated_in_fold,False,0.40000000000000013
V2R-PS,2,A_s,1.56,0.06384681566162459,centered_logrmse,True,80,uniform_or_exact_optimum,estimated_in_fold,False,0.40000000000000013
V2R-PS,2,A_s,1.58,0.06403911604147154,centered_logrmse,True,58,uniform_or_exact_optimum,estimated_in_fold,False,0.40000000000000013
V2R-PS,2,A_s,1.6,0.06427540266692651,centered_logrmse,True,82,uniform_or_exact_optimum,estimated_in_fold,False,0.40000000000000013
V2R-PS,2,delta_bs,-0.5,0.08120925868581576,centered_logrmse,True,67,uniform_or_exact_optimum,estimated_in_fold,False,0.4
V2R-PS,2,delta_bs,-0.48,0.08071665421508122,centered_logrmse,True,46,uniform_or_exact_optimum,estimated_in_fold,False,0.4
V2R-PS,2,delta_bs,-0.46,0.08022573034969806,centered_logrmse,True,23,uniform_or_exact_optimum,estimated_in_fold,False,0.4
V2R-PS,2,delta_bs,-0.44,0.07973833682757017,centered_logrmse,True,25,uniform_or_exact_optimum,estimated_in_fold,False,0.4
V2R-PS,2,delta_bs,-0.42,0.07925450436173169,centered_logrmse,True,26,uniform_or_exact_optimum,estimated_in_fold,False,0.4
V2R-PS,2,delta_bs,-0.4,0.07877426926352356,centered_logrmse,True,23,uniform_or_exact_optimum,estimated_in_fold,False,0.4
V2R-PS,2,delta_bs,-0.38,0.07829767228871352,centered_logrmse,True,27,uniform_or_exact_optimum,estimated_in_fold,False,0.4
