candidate,subject_id,capture_id,outer_fold,solver_converged,selected_start_index,selected_nfev,selected_status,selected_optimality,f_mel,f_blood,c_tHb_eq_g_l,logrmse,rmse,sam_deg,centered_logrmse,mean_log_residual,reference_logrmse,model_to_reference_error_ratio,model_better_than_reference,f_mel_at_lower,f_mel_at_upper,f_blood_at_lower,f_blood_at_upper,diameter_um,scattering_amplitude,delta_bs,g0
V2R-PS,p020,p020_neutral_front,2,True,0,6,2,1.4777040199049868e-07,0.059542958148752066,0.09999999999999999,14.999999999999998,0.18114392407814842,0.06693621037178696,10.360924847557005,0.1796123615335005,0.023505761310561812,0.27055280854864483,0.669532595318001,True,False,False,False,True,15.0,1.4878127891963353,0.4999999999999999,1.0
V2R-PS,p023,p023_neutral_front,2,True,29,11,1,2.2708021044285628e-09,0.10292087404294034,0.09999999999999999,14.999999999999998,0.05103417825702526,0.013650328756279613,2.8627931026281366,0.05102350877305995,0.0010435050815901525,0.08921678421914363,0.5720244089012417,True,False,False,False,True,15.0,1.4878127891963353,0.4999999999999999,1.0
V2R-PS,p037,p037_neutral_front,2,True,15,10,1,7.164985292090763e-09,0.08332945083696386,0.04297245206672854,6.445867810009281,0.041376716062523244,0.012811589659698636,2.15585245146952,0.041334050715085655,-0.0018785322998010941,0.13745873588358706,0.30101190583889065,True,False,False,False,False,15.0,1.4878127891963353,0.4999999999999999,1.0
V2R-PS,p038,p038_neutral_front,2,True,3,14,2,1.5226574388897107e-08,0.11447465172760143,0.09717365279181965,14.576047918772948,0.06363654304557684,0.013300571559629064,2.9833357353375765,0.06359794703368318,-0.0022160198312248802,0.15532450379589183,0.4097006041570883,True,False,False,False,False,15.0,1.4878127891963353,0.4999999999999999,1.0
V2R-PS,p041,p041_neutral_front,2,True,20,9,2,1.3779379421004224e-08,0.09826475524626405,0.03987072129791454,5.98060819468718,0.0644633130918,0.022389152676691032,3.7768849738260952,0.06427015956175355,-0.004986514281356542,0.07823874376413094,0.8239308300519216,True,False,False,False,False,15.0,1.4878127891963353,0.4999999999999999,1.0
V2R-PS,p008,p008_neutral_front,3,True,12,10,1,8.16855590451927e-09,0.07605818755212397,0.09999999999999999,14.999999999999998,0.23407616459592723,0.07721120990841682,13.70081590693982,0.23278462253285,0.02455545446897976,0.24454802046892507,0.9571787338416484,True,False,False,False,True,15.0,1.443266727231977,0.4999999999999999,1.0
V2R-PS,p014,p014_neutral_front,3,True,1,9,2,1.0701974039255405e-08,0.13925407674868245,0.09999999999999999,14.999999999999998,0.11880098159726887,0.02417720290820994,6.2985760648172935,0.11877163934874617,-0.002640249019692225,0.3163864289197167,0.375493291551436,True,False,False,False,True,15.0,1.443266727231977,0.4999999999999999,1.0
V2R-PS,p015,p015_neutral_front,3,True,8,13,1,2.1131785657931244e-09,0.07169148586103588,0.09719282447911709,14.578923671867564,0.04649885963946625,0.014781044461489949,2.5483440429160433,0.046494190732316705,-0.0006589202666014931,0.13633621739213275,0.34106021517177176,True,False,False,False,False,15.0,1.443266727231977,0.4999999999999999,1.0
V2R-PS,p021,p021_neutral_front,3,True,22,9,1,7.18939760678945e-11,0.050647093121039044,0.09999999999999999,14.999999999999998,0.13530037331303377,0.051416188145405495,7.454298496690444,0.13421635076131602,0.017092753053902284,0.3130906041516113,0.4321444703831348,True,False,False,False,True,15.0,1.443266727231977,0.4999999999999999,1.0
V2R-PS,p022,p022_neutral_front,3,True,24,8,2,1.6173250733344767e-07,0.054246567178901535,0.09999999999999999,14.999999999999998,0.1689777213672086,0.06450373303034942,9.591898944852865,0.16715585103425828,0.024746550940824716,0.3035463164089812,0.556678543710402,True,False,False,False,True,15.0,1.443266727231977,0.4999999999999999,1.0
