candidate,subject_id,outer_fold,wavelength_nm,signed_residual,log_residual,band_role
V2R-PSG,p022,3,660,0.11199850833768421,0.23057668608154658,fit
V2R-PSG,p022,3,670,0.07965640792070705,0.15387700256391335,fit
V2R-PSG,p022,3,680,0.1466488621683421,0.2957762266875076,fit
V2R-PSG,p022,3,690,0.10315770235270338,0.19349871288059828,edge_diagnostic
V2R-PSG,p022,3,700,0.14753265618697003,0.2834516648210814,edge_diagnostic
V2R-PSG,p028,3,400,-0.1617990283547314,-0.5387651347244597,edge_diagnostic
V2R-PSG,p028,3,410,-0.09148082763634141,-0.34135597530230655,edge_diagnostic
V2R-PSG,p028,3,420,-0.013028903649874135,-0.056702021060931695,fit
V2R-PSG,p028,3,430,0.010207634054808568,0.047046368698178354,fit
V2R-PSG,p028,3,440,0.020946410416143535,0.09932701593455828,fit
V2R-PSG,p028,3,450,0.017404892461494903,0.08109692431222193,fit
V2R-PSG,p028,3,460,-0.015056736476832783,-0.06418419364462058,fit
V2R-PSG,p028,3,470,-0.000702230718408331,-0.0030391703310526097,fit
V2R-PSG,p028,3,480,0.010541297569461955,0.04594242553336336,fit
V2R-PSG,p028,3,490,0.0006760038034582527,0.0028398986792217418,fit
V2R-PSG,p028,3,500,-0.012823591720386524,-0.05161163972500571,fit
V2R-PSG,p028,3,510,-0.01757935154431292,-0.06930061849171643,fit
V2R-PSG,p028,3,520,-0.014914857745319837,-0.05917601669317607,fit
V2R-PSG,p028,3,530,-0.01286478571521249,-0.05250495488629725,fit
V2R-PSG,p028,3,540,0.0018049864300922758,0.00772939532551753,fit
V2R-PSG,p028,3,550,-0.0037618153798960607,-0.01568772050694145,fit
V2R-PSG,p028,3,560,-0.007378223899406872,-0.02981935787480583,fit
V2R-PSG,p028,3,570,-0.010448411683952108,-0.04251728063773075,fit
V2R-PSG,p028,3,580,0.0005308004017139378,0.002214208330621137,fit
V2R-PSG,p028,3,590,0.02518158671078513,0.09505759635197464,fit
V2R-PSG,p028,3,600,0.01857761296677557,0.057946229173322594,fit
V2R-PSG,p028,3,610,0.004897924380453944,0.013634628745242017,fit
V2R-PSG,p028,3,620,0.011844393194828495,0.031024978776595713,fit
V2R-PSG,p028,3,630,-0.004272375883123292,-0.010389556814724754,fit
V2R-PSG,p028,3,640,-0.00839619343786091,-0.019458357262827852,fit
