candidate,subject_id,outer_fold,start_index,selected,success,valid,logrmse,cost,nfev,status,optimality,initial_theta,final_theta
V2R-PS,p011,1,32,False,True,True,0.06952233906580424,0.06525030099393878,10,2,3.4475293834876426e-07,"[0.215,0.05]","[0.05288854919873428,0.03875957987927069]"
V2R-PS,p019,1,0,False,True,True,0.07199964434433503,0.06998330860709492,9,1,6.850092748516779e-09,"[0.016477210065349936,0.056774855032563215]","[0.10270063229084198,0.09999999999999999]"
V2R-PS,p019,1,1,False,True,True,0.07199964434433513,0.06998330860709512,11,1,2.9767366129434608e-09,"[0.4003581885341555,0.011626215279102327]","[0.10270063228075324,0.09999999999999999]"
V2R-PS,p019,1,2,False,True,True,0.0719996443443351,0.06998330860709508,8,2,1.2665369537567157e-08,"[0.26862318117171524,0.07930149612948299]","[0.10270063238364237,0.09999999999999999]"
V2R-PS,p019,1,3,False,True,True,0.07199964434433506,0.069983308607095,10,1,3.0243219460309934e-09,"[0.2023606093041599,0.02796576088294387]","[0.10270063226869192,0.09999999999999999]"
V2R-PS,p019,1,4,False,True,True,0.07199964434433499,0.06998330860709485,6,1,2.8966784216034867e-09,"[0.10764482910744845,0.09918469600379468]","[0.10270063223578013,0.09999999999999999]"
V2R-PS,p019,1,5,False,True,True,0.0719996443443351,0.06998330860709505,10,1,2.4001838157330297e-09,"[0.2813680220860988,0.044331442564725876]","[0.10270063225577929,0.09999999999999999]"
V2R-PS,p019,1,6,False,True,True,0.07199964434433509,0.06998330860709503,10,1,7.354971541184076e-09,"[0.35980739563703534,0.06552325440570712]","[0.10270063230961107,0.09999999999999999]"
V2R-PS,p019,1,7,False,True,True,0.07199964434433508,0.069983308607095,13,3,1.7389717758289505e-08,"[0.08336081879213453,0.016860882844775917]","[0.10270063238163926,0.09999999999999999]"
V2R-PS,p019,1,8,False,True,True,0.07199964434433505,0.06998330860709495,8,1,2.4524919427226605e-09,"[0.06876371199265122,0.08289536852389574]","[0.10270063226931964,0.09999999999999999]"
V2R-PS,p019,1,9,False,True,True,0.07199964434433509,0.06998330860709501,11,1,6.137076152755904e-10,"[0.34835930563509465,0.034623601101338865]","[0.1027006322609551,0.09999999999999999]"
V2R-PS,p019,1,10,False,True,True,0.07199964434433508,0.069983308607095,10,1,6.8349353105734764e-09,"[0.3205305649805814,0.055619337130337954]","[0.10270063226195678,0.09999999999999999]"
V2R-PS,p019,1,11,False,True,True,0.07199964434433509,0.06998330860709502,10,1,6.511841206316494e-09,"[0.1499571833293885,0.0011567295528948308]","[0.10270063230102869,0.09999999999999999]"
V2R-PS,p019,1,12,False,True,True,0.07199964434433503,0.06998330860709494,7,2,1.7063830585144057e-08,"[0.16320156490430235,0.07208267245441675]","[0.10270063239322012,0.09999999999999999]"
V2R-PS,p019,1,13,False,True,True,0.07199964434433508,0.06998330860709503,10,2,1.1574678452920909e-08,"[0.22631429981440304,0.020356339029967786]","[0.10270063234898358,0.09999999999999999]"
V2R-PS,p019,1,14,False,True,True,0.07199964434433503,0.06998330860709494,10,2,1.3522685091354012e-08,"[0.4149517968390137,0.08861831994727254]","[0.10270063234356837,0.09999999999999999]"
V2R-PS,p019,1,15,False,True,True,0.07199964434433515,0.06998330860709513,9,2,1.1852451186198826e-08,"[0.027921827202662824,0.043079028371721506]","[0.10270063235274476,0.09999999999999999]"
V2R-PS,p019,1,16,False,True,True,0.07199964434433499,0.06998330860709485,9,1,1.6025995589493161e-09,"[0.050300769433379175,0.09121342897415162]","[0.10270063224450364,0.09999999999999999]"
V2R-PS,p019,1,17,False,True,True,0.07199964434433512,0.06998330860709512,11,1,5.499695131250858e-09,"[0.42059949288144705,0.03948517628014088]","[0.1027006322477154,0.09999999999999999]"
V2R-PS,p019,1,18,False,True,True,0.07199964434433503,0.06998330860709491,9,1,4.251963149818643e-09,"[0.2348520319443196,0.07024744367226958]","[0.10270063227380277,0.09999999999999999]"
V2R-PS,p019,1,19,False,True,True,0.07199964434433506,0.06998330860709497,10,1,2.586781930733756e-09,"[0.1818567800987512,0.02471007136628032]","[0.10270063223263673,0.09999999999999999]"
V2R-PS,p019,1,20,False,True,True,0.07199964434433503,0.06998330860709495,7,1,2.982202229861295e-09,"[0.1413765850290656,0.05205071344971657]","[0.10270063225891117,0.09999999999999999]"
V2R-PS,p019,1,21,False,True,True,0.07199964434433503,0.06998330860709492,12,1,2.9318836636990154e-09,"[0.3019111933372915,0.003777074441313744]","[0.10270063226971743,0.09999999999999999]"
V2R-PS,p019,1,22,False,True,True,0.07199964434433508,0.06998330860709502,10,1,1.9751446558626526e-09,"[0.32591819784604015,0.08727271547541023]","[0.10270063227814634,0.09999999999999999]"
V2R-PS,p019,1,23,False,True,True,0.07199964434433509,0.06998330860709503,9,1,7.131154234293925e-09,"[0.06318510160781443,0.03281197948381305]","[0.10270063230595708,0.09999999999999999]"
V2R-PS,p019,1,24,False,True,True,0.07199964434433513,0.06998330860709512,7,2,1.1826336251773449e-08,"[0.10212762379087507,0.06752942260354758]","[0.10270063235808988,0.09999999999999999]"
V2R-PS,p019,1,25,False,True,True,0.07199964434433509,0.06998330860709503,11,1,3.455771546339515e-10,"[0.36843047886155544,0.012678088434040547]","[0.10270063227427474,0.09999999999999999]"
V2R-PS,p019,1,26,False,True,True,0.07199964434433513,0.06998330860709515,9,1,1.718548493141421e-09,"[0.28711418537423017,0.09636980453506112]","[0.10270063227593516,0.09999999999999999]"
V2R-PS,p019,1,27,False,True,True,0.07199964434433503,0.06998330860709497,8,1,2.6623785121899527e-09,"[0.1301484901085496,0.04770551370456815]","[0.10270063226853851,0.09999999999999999]"
V2R-PS,p019,1,28,False,True,True,0.07199964434433512,0.06998330860709509,8,1,3.6063436597987605e-09,"[0.1966572865564376,0.07514383625239135]","[0.102700632290167,0.09999999999999999]"
V2R-PS,p019,1,29,False,True,True,0.07199964434433505,0.06998330860709497,10,1,3.4382886874455884e-09,"[0.24608359972946345,0.029997068084776403]","[0.10270063228217416,0.09999999999999999]"
V2R-PS,p019,1,30,False,True,True,0.07199964434433503,0.06998330860709494,11,1,5.185013102308542e-10,"[0.38165347220376133,0.06017263466492295]","[0.10270063223936653,0.09999999999999999]"
V2R-PS,p019,1,31,False,True,True,0.07199964434433515,0.06998330860709515,11,1,9.416119486258404e-10,"[0.0077850155532360075,0.00883502783253789]","[0.10270063228510126,0.09999999999999999]"
V2R-PS,p019,1,32,True,True,True,0.07199964434433495,0.06998330860709479,9,2,1.9180473727922055e-08,"[0.215,0.05]","[0.10270063238747941,0.09999999999999999]"
V2R-PS,p032,1,0,False,True,True,0.046836692832417114,0.0296146232389556,12,1,6.76067912989032e-09,"[0.041064830124378206,0.055778583791106943]","[0.09006866223996501,0.09999999999999999]"
V2R-PS,p032,1,1,False,True,True,0.046836692832417,0.029614623238955456,14,1,3.3554347470205882e-09,"[0.33232555699534716,0.047059996612370016]","[0.09006866226578616,0.09999999999999999]"
V2R-PS,p032,1,2,True,True,True,0.04683669283241692,0.029614623238955355,13,1,3.1764929445773866e-09,"[0.3009582488145679,0.09596768990159035]","[0.09006866226018734,0.09999999999999999]"
V2R-PS,p032,1,3,False,True,True,0.046836692832417044,0.029614623238955508,14,1,7.919786816000804e-10,"[0.18565791172906757,0.0012196694500744344]","[0.09006866224674505,0.09999999999999999]"
V2R-PS,p032,1,4,False,True,True,0.04683669283241706,0.02961462323895552,11,1,8.392913301950432e-09,"[0.14573626638390125,0.08419402912259102]","[0.09006866223081443,0.09999999999999999]"
V2R-PS,p032,1,5,False,True,True,0.04683669283241703,0.029614623238955494,14,1,1.7503610709568111e-09,"[0.23416365306824447,0.012981164921075107]","[0.09006866225140556,0.09999999999999999]"
V2R-PS,p032,1,6,False,True,True,0.046836692832417044,0.029614623238955515,14,1,4.137370102703804e-09,"[0.42599720234051347,0.06755224457010627]","[0.09006866227098762,0.09999999999999999]"
V2R-PS,p032,1,7,False,True,True,0.04683669283241696,0.029614623238955407,12,1,1.56673226764941e-09,"[0.05410942587070167,0.03529850114136934]","[0.09006866225290808,0.09999999999999999]"
V2R-PS,p032,1,8,False,True,True,0.046836692832417044,0.029614623238955515,7,1,8.974589792398728e-10,"[0.09439503199420869,0.0888323623687029]","[0.09006866225811436,0.09999999999999999]"
V2R-PS,p032,1,9,False,True,True,0.046836692832416926,0.029614623238955362,15,1,1.3441507069261704e-09,"[0.38565575486049053,0.008537467662245035]","[0.09006866225338407,0.09999999999999999]"
V2R-PS,p032,1,10,False,True,True,0.04683669283241695,0.02961462323895539,13,1,1.9905677124099477e-09,"[0.24762805975973606,0.05939828483387828]","[0.09006866224494166,0.09999999999999999]"
