candidate,reference,metric,fold,delta_candidate_minus_reference
global_stage2a,global_mask,auc_severe,4,0.012380952380952492
global_stage2a,global_mask,recall_normal,0,-0.08695652173913049
global_stage2a,global_mask,recall_normal,1,-0.21739130434782616
global_stage2a,global_mask,recall_normal,2,-0.26086956521739135
global_stage2a,global_mask,recall_normal,3,0.08695652173913046
global_stage2a,global_mask,recall_normal,4,0.04347826086956519
global_stage2a,global_mask,recall_mild,0,0.25000000000000006
global_stage2a,global_mask,recall_mild,1,0.18749999999999994
global_stage2a,global_mask,recall_mild,2,0.021276595744680882
global_stage2a,global_mask,recall_mild,3,0.17021276595744683
global_stage2a,global_mask,recall_mild,4,0.12765957446808512
global_stage2a,global_mask,recall_severe,0,-0.24137931034482757
global_stage2a,global_mask,recall_severe,1,0.03448275862068964
global_stage2a,global_mask,recall_severe,2,0.033333333333333326
global_stage2a,global_mask,recall_severe,3,-0.06666666666666665
global_stage2a,global_mask,recall_severe,4,0.0
global_stage2a,global_mask,severe_vs_rest_auc,0,-0.04711024769305483
global_stage2a,global_mask,severe_vs_rest_auc,1,0.04273919378338997
global_stage2a,global_mask,severe_vs_rest_auc,2,-0.013333333333333308
global_stage2a,global_mask,severe_vs_rest_auc,3,0.010476190476190528
global_stage2a,global_mask,severe_vs_rest_auc,4,0.012380952380952492
global_stage2a,global_mask,normal_vs_abnormal_auc,0,-0.02371541501976282
global_stage2a,global_mask,normal_vs_abnormal_auc,1,0.03783173348390745
global_stage2a,global_mask,normal_vs_abnormal_auc,2,0.012422360248447228
global_stage2a,global_mask,normal_vs_abnormal_auc,3,0.04517221908526259
global_stage2a,global_mask,normal_vs_abnormal_auc,4,0.03783173348390745
global_stage2b,global_mask,macro_auc,0,-0.014796054608674725
global_stage2b,global_mask,macro_auc,1,0.017193328684369957
global_stage2b,global_mask,macro_auc,2,0.0058653624974118745
global_stage2b,global_mask,macro_auc,3,0.032699453650180565
global_stage2b,global_mask,macro_auc,4,0.03520215154882578
global_stage2b,global_mask,accuracy,0,0.030000000000000027
global_stage2b,global_mask,accuracy,1,0.010000000000000009
global_stage2b,global_mask,accuracy,2,-0.06
global_stage2b,global_mask,accuracy,3,0.07
global_stage2b,global_mask,accuracy,4,0.06000000000000005
global_stage2b,global_mask,balanced_accuracy,0,-0.011015325670497955
global_stage2b,global_mask,balanced_accuracy,1,-0.018698983841412664
global_stage2b,global_mask,balanced_accuracy,2,-0.08293760920957965
global_stage2b,global_mask,balanced_accuracy,3,0.07861034021996105
global_stage2b,global_mask,balanced_accuracy,4,0.04995374653098983
global_stage2b,global_mask,macro_f1,0,-0.017414209562483796
global_stage2b,global_mask,macro_f1,1,0.00884705190464552
global_stage2b,global_mask,macro_f1,2,-0.056861484536363194
global_stage2b,global_mask,macro_f1,3,0.0903634438146701
global_stage2b,global_mask,macro_f1,4,0.05746459678614946
global_stage2b,global_mask,auc_normal,0,-0.008469791078486777
global_stage2b,global_mask,auc_normal,1,0.0383963862224731
global_stage2b,global_mask,auc_normal,2,0.01637492941840768
global_stage2b,global_mask,auc_normal,3,0.03839638622247321
global_stage2b,global_mask,auc_normal,4,0.04856013551665728
global_stage2b,global_mask,auc_mild,0,0.029647435897435903
global_stage2b,global_mask,auc_mild,1,0.0248397435897435
global_stage2b,global_mask,auc_mild,2,0.016459253311922994
global_stage2b,global_mask,auc_mild,3,0.07065435568044975
global_stage2b,global_mask,auc_mild,4,0.02609393817743877
global_stage2b,global_mask,auc_severe,0,-0.0655658086449733
global_stage2b,global_mask,auc_severe,1,-0.011656143759106397
global_stage2b,global_mask,auc_severe,2,-0.015238095238095273
global_stage2b,global_mask,auc_severe,3,-0.010952380952380936
global_stage2b,global_mask,auc_severe,4,0.030952380952380953
global_stage2b,global_mask,recall_normal,0,0.0
global_stage2b,global_mask,recall_normal,1,-0.17391304347826086
global_stage2b,global_mask,recall_normal,2,-0.26086956521739135
global_stage2b,global_mask,recall_normal,3,0.21739130434782608
global_stage2b,global_mask,recall_normal,4,0.04347826086956519
global_stage2b,global_mask,recall_mild,0,0.20833333333333331
global_stage2b,global_mask,recall_mild,1,0.08333333333333331
global_stage2b,global_mask,recall_mild,2,-0.021276595744680826
global_stage2b,global_mask,recall_mild,3,0.08510638297872342
global_stage2b,global_mask,recall_mild,4,0.10638297872340424
global_stage2b,global_mask,recall_severe,0,-0.24137931034482757
global_stage2b,global_mask,recall_severe,1,0.03448275862068964
global_stage2b,global_mask,recall_severe,2,0.033333333333333326
global_stage2b,global_mask,recall_severe,3,-0.06666666666666665
global_stage2b,global_mask,recall_severe,4,0.0
global_stage2b,global_mask,severe_vs_rest_auc,0,-0.0655658086449733
global_stage2b,global_mask,severe_vs_rest_auc,1,-0.011656143759106397
global_stage2b,global_mask,severe_vs_rest_auc,2,-0.015238095238095273
global_stage2b,global_mask,severe_vs_rest_auc,3,-0.010952380952380936
global_stage2b,global_mask,severe_vs_rest_auc,4,0.030952380952380953
global_stage2b,global_mask,normal_vs_abnormal_auc,0,-0.008469791078486777
global_stage2b,global_mask,normal_vs_abnormal_auc,1,0.0383963862224731
global_stage2b,global_mask,normal_vs_abnormal_auc,2,0.01637492941840768
global_stage2b,global_mask,normal_vs_abnormal_auc,3,0.03839638622247321
global_stage2b,global_mask,normal_vs_abnormal_auc,4,0.04856013551665728
global_stage2a,global_raw,macro_auc,0,0.015229119180554584
