candidate,reference,metric,oof_delta_candidate_minus_reference,fold_delta_mean,fold_delta_sample_std_ddof1,fold_delta_median,fold_delta_min,fold_delta_max,candidate_better_folds,reference_better_folds,equal_folds
global_stage2a,global_raw,auc_mild,0.0034011968362450684,-0.003077199713841572,0.047288399354683444,0.018466479325572105,-0.07788036932958631,0.033253205128205066,3,2,0
global_stage2a,global_raw,auc_severe,0.01111409705159705,0.00243067601008351,0.032755491816794644,0.003399708596406037,-0.03761904761904755,0.05047619047619056,3,2,0
global_stage2a,global_raw,recall_normal,0.10434782608695647,0.10434782608695652,0.2974370674171664,0.0,-0.26086956521739124,0.5217391304347826,2,1,2
global_stage2a,global_raw,recall_mild,-0.03797468354430378,-0.03874113475177301,0.17702371310152631,0.021276595744680882,-0.34042553191489355,0.125,3,2,0
global_stage2a,global_raw,recall_severe,0.013513513513513487,0.011954022988505753,0.1208991067041012,0.0,-0.10344827586206895,0.16666666666666669,2,2,1
global_stage2a,global_raw,severe_vs_rest_auc,0.01111409705159705,0.00243067601008351,0.032755491816794644,0.003399708596406037,-0.03761904761904755,0.05047619047619056,3,2,0
global_stage2a,global_raw,normal_vs_abnormal_auc,0.01824957651044612,0.00914737436476567,0.024363309829160858,0.008469791078486666,-0.012422360248447228,0.04912478825522304,3,2,0
global_stage2b,global_raw,macro_auc,0.006232807285782349,-0.0010250279916843353,0.01116286974905898,-0.0031527673663710454,-0.016303605139138977,0.01001918291204984,2,3,0
global_stage2b,global_raw,accuracy,-0.006000000000000005,-0.006000000000000005,0.015165750888103116,-0.010000000000000009,-0.020000000000000018,0.020000000000000018,1,4,0
global_stage2b,global_raw,balanced_accuracy,0.02432961304727954,0.023593575552649237,0.04666525065922455,-0.007092198581560294,-0.013045560553056834,0.08667900092506942,2,3,0
global_stage2b,global_raw,macro_f1,0.004898228590811571,0.005797320192550715,0.025698936079892938,0.010918306930185917,-0.027809871465171332,0.030620113133101756,3,2,0
global_stage2b,global_raw,auc_normal,0.01849802371541498,0.01389045736871819,0.028914962026429594,0.0016939582156972888,-0.008469791078486777,0.05985319028797287,3,2,0
global_stage2b,global_raw,auc_mild,0.005037621729155561,-0.0038736567025908332,0.033785530548071506,-0.001204335608189444,-0.0574066639903652,0.028445512820512775,2,3,0
global_stage2b,global_raw,auc_severe,-0.004837223587223716,-0.01309188464118045,0.03701889593592727,-0.015055852355512434,-0.0694511898980088,0.0290476190476191,2,3,0
global_stage2b,global_raw,recall_normal,0.15652173913043477,0.15652173913043482,0.2690738860307096,0.0434782608695653,-0.13043478260869562,0.5217391304347826,3,1,1
global_stage2b,global_raw,recall_mild,-0.09704641350210963,-0.09769503546099288,0.15163611247608802,-0.0625,-0.36170212765957444,0.02083333333333337,1,4,0
global_stage2b,global_raw,recall_severe,0.013513513513513487,0.011954022988505753,0.1208991067041012,0.0,-0.10344827586206895,0.16666666666666669,2,2,1
global_stage2b,global_raw,severe_vs_rest_auc,-0.004837223587223716,-0.01309188464118045,0.03701889593592727,-0.015055852355512434,-0.0694511898980088,0.0290476190476191,2,3,0
global_stage2b,global_raw,normal_vs_abnormal_auc,0.01849802371541498,0.01389045736871819,0.028914962026429594,0.0016939582156972888,-0.008469791078486777,0.05985319028797287,3,2,0
global_stage2b,global_stage2a,macro_auc,-0.004688816180313804,-0.003858644878686879,0.014737749673522803,-0.0052099362685047446,-0.019145484678233404,0.016591178647799798,2,3,0
global_stage2b,global_stage2a,accuracy,-0.016000000000000014,-0.015999999999999993,0.015165750888103069,-0.010000000000000009,-0.039999999999999925,0.0,0,4,1
global_stage2b,global_stage2a,balanced_accuracy,-0.00229927230477589,-0.0022599958885805237,0.016518124601284136,-0.007092198581560294,-0.02022946859903385,0.015109466543324124,2,3,0
global_stage2b,global_stage2a,macro_f1,-0.010950566701831366,-0.008435027213753277,0.019271024278821252,-0.011127422146498533,-0.032008298765948684,0.015334705419595085,2,3,0
global_stage2b,global_stage2a,auc_normal,0.0002484472049688602,0.004743083003952519,0.00861535002722106,0.0039525691699604515,-0.006775832862789377,0.015245623941276043,4,1,0
global_stage2b,global_stage2a,auc_mild,0.001636424892910493,-0.0007964569887492611,0.01655705821976414,-0.0036057692307692735,-0.01967081493376155,0.020473705339221104,2,3,0
global_stage2b,global_stage2a,auc_severe,-0.015951320638820765,-0.01552256065126396,0.026937059885583942,-0.01845556095191847,-0.05439533754249637,0.01857142857142846,1,4,0
global_stage2b,global_stage2a,recall_normal,0.05217391304347829,0.05217391304347828,0.05668871656697955,0.0434782608695653,0.0,0.13043478260869562,3,0,2
global_stage2b,global_stage2a,recall_mild,-0.05907172995780585,-0.058953900709219874,0.03433495874297352,-0.04255319148936171,-0.10416666666666663,-0.021276595744680882,0,5,0
global_stage2b,global_stage2a,recall_severe,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5
global_stage2b,global_stage2a,severe_vs_rest_auc,-0.015951320638820765,-0.01552256065126396,0.026937059885583942,-0.01845556095191847,-0.05439533754249637,0.01857142857142846,1,4,0
global_stage2b,global_stage2a,normal_vs_abnormal_auc,0.0002484472049688602,0.004743083003952519,0.00861535002722106,0.0039525691699604515,-0.006775832862789377,0.015245623941276043,4,1,0
