variant,fold,feature,train_valid_n,val_valid_n,train_availability_ratio,val_availability_ratio,train_mean,train_std,train_median,train_min,train_max,val_mean,val_std,val_median,val_min,val_max,standardized_mean_difference,train_unavailable_n,val_unavailable_n,forehead_feature
global_raw,0,forehead_minus_cheek_log2_bg,390.0,96.0,0.975,0.96,-0.1368832363135477,0.1190560191294392,-0.1347556818954141,-0.4281583056300497,0.1978571372089537,-0.15596605603874,0.105548351184477,-0.1558042033558156,-0.4771851620127993,0.112878630856776,-0.1602843759158886,10.0,4.0,True
global_raw,1,cheek_mean_log2_y,400.0,100.0,0.9725,0.97,-1.9671159716685196,0.4597551960712257,-1.8399651231198844,-4.457309391604292,-0.988649048859598,-1.9833392081191772,0.4099274150327178,-1.881531030197979,-3.0805020701838264,-1.3238537506803607,-0.035286684281747,11.0,3.0,False
global_raw,1,cheek_mean_log2_rg,400.0,100.0,0.9725,0.97,0.9670068129493192,0.1500622854808792,0.9583118435275556,0.3889769033788075,1.4927992180506124,0.9742897017495652,0.1393543748316927,0.9781077613429442,0.644580635410616,1.2743704815742052,0.0485324395593984,11.0,3.0,False
global_raw,1,cheek_mean_log2_bg,400.0,100.0,0.9725,0.97,-0.5837124908031902,0.1411114823101988,-0.5842091819443329,-1.0548843422010488,-0.1967235338498867,-0.5973793826090218,0.1305965832055854,-0.5896535040387214,-0.9423552866088948,-0.3167697619341431,-0.0968517344023662,11.0,3.0,False
global_raw,1,forehead_minus_cheek_log2_y,389.0,97.0,0.9725,0.97,-0.0072462345568649,0.3229733055929483,-0.0169431850261345,-1.332536600976181,1.2722628297120335,-0.0143885194147666,0.3503247570976746,0.0543377603537542,-1.6423573811402985,0.5484023164763858,-0.022114164651438,11.0,3.0,True
global_raw,1,forehead_minus_cheek_log2_rg,389.0,97.0,0.9725,0.97,-0.0514967594507196,0.1164695476137021,-0.0406918723449336,-0.4940569609269917,0.2887594431356359,-0.0647931508154622,0.1169050930412841,-0.0725749205283884,-0.3304460946390569,0.3962370708623289,-0.1141619559547282,11.0,3.0,True
global_raw,1,forehead_minus_cheek_log2_bg,389.0,97.0,0.9725,0.97,-0.1433924344751112,0.1148887827018175,-0.1466602154920125,-0.4771851620127993,0.1978571372089537,-0.12966542815654,0.1233684844688032,-0.1041227486478068,-0.4122537282061545,0.139332851597854,0.1194808230686734,11.0,3.0,True
global_raw,2,cheek_mean_log2_y,400.0,100.0,0.9725,0.97,-1.996856500037348,0.457059893439401,-1.897774151758752,-4.457309391604292,-0.988649048859598,-1.8643770946438616,0.4050861421081225,-1.7073273523769497,-3.2220963600557555,-1.2337928228081956,0.2898513024115323,11.0,3.0,False
global_raw,2,cheek_mean_log2_rg,400.0,100.0,0.9725,0.97,0.9804697944982464,0.1452096826592536,0.9820866413546032,0.6216178370013828,1.4927992180506124,0.920437775553856,0.1493664951195433,0.9067154785662306,0.3889769033788075,1.4194929144350832,-0.4134160879977998,11.0,3.0,False
global_raw,2,cheek_mean_log2_bg,400.0,100.0,0.9725,0.97,-0.5838519526135824,0.1407733823844799,-0.5806529258958404,-1.0548843422010488,-0.1967235338498867,-0.596821535367453,0.1321043058953411,-0.5972828048963345,-0.9535190928218084,-0.2061282866387571,-0.092130930820772,11.0,3.0,False
global_raw,2,forehead_minus_cheek_log2_y,389.0,97.0,0.9725,0.97,-0.0077056604830092,0.3422898970001851,0.0070654790064739,-1.6423573811402985,1.2722628297120335,-0.0125460793604355,0.2668605673482331,-0.0194594592674821,-0.6432303428369889,0.7423837193022391,-0.0141412846825089,11.0,3.0,True
global_raw,2,forehead_minus_cheek_log2_rg,389.0,97.0,0.9725,0.97,-0.0595794480732479,0.1187598579184049,-0.0574391773839675,-0.4940569609269917,0.3962370708623289,-0.032379069638519,0.1051454629600083,-0.0157194106690965,-0.3925268938263012,0.2011109900334471,0.2290368051249871,11.0,3.0,True
global_raw,2,forehead_minus_cheek_log2_bg,389.0,97.0,0.9725,0.97,-0.1434514988297597,0.1156544631305961,-0.1404203422189207,-0.4771851620127993,0.1802670755512905,-0.1294285618270733,0.1204379521103802,-0.1192365013390861,-0.3951520524135423,0.1978571372089537,0.1212485590534613,11.0,3.0,True
global_raw,3,cheek_mean_log2_y,400.0,100.0,0.9675,0.99,-1.977946919970355,0.4570513023668309,-1.8438674028091675,-4.457309391604292,-1.143608068573536,-1.940015414911835,0.4207324450674667,-1.868968644034527,-3.2793321559869275,-0.988649048859598,0.0829917885849849,13.0,1.0,False
global_raw,3,cheek_mean_log2_rg,400.0,100.0,0.9675,0.99,0.9715476496033923,0.1482750570765869,0.9645987117893614,0.3889769033788075,1.4927992180506124,0.956126355133272,0.1463031407467563,0.954690108819076,0.6216178370013828,1.3835661566505295,-0.1040046436276536,13.0,1.0,False
global_raw,3,cheek_mean_log2_bg,400.0,100.0,0.9675,0.99,-0.5895680900606021,0.1395112181990259,-0.5902743378023714,-1.0548843422010488,-0.1967235338498867,-0.5739569855793739,0.1371357399418602,-0.5762615185111422,-0.9908616414099708,-0.3184472660739003,0.1118985604366054,13.0,1.0,False
global_raw,3,forehead_minus_cheek_log2_y,387.0,99.0,0.9675,0.99,0.000806090535707,0.313830089470541,0.0152824304188965,-1.6423573811402985,0.833716711447652,-0.0457215016481967,0.3787241531199223,-0.0386900421248828,-1.332536600976181,1.2722628297120335,-0.1482572696021591,13.0,1.0,True
global_raw,3,forehead_minus_cheek_log2_rg,387.0,99.0,0.9675,0.99,-0.0565607668265119,0.1177626062041774,-0.0477831014201957,-0.4940569609269917,0.3962370708623289,-0.0447288716522188,0.1118389495859429,-0.0356848705276675,-0.3069897906243227,0.1805601328147299,0.1004724297098086,13.0,1.0,True
global_raw,3,forehead_minus_cheek_log2_bg,387.0,99.0,0.9675,0.99,-0.1389738951683514,0.1178638537327296,-0.1376755599003102,-0.4771851620127993,0.1978571372089537,-0.1472152132510164,0.1120972216104421,-0.153968406311033,-0.4281583056300497,0.0630408700683269,-0.0699223538147088,13.0,1.0,True
global_raw,4,cheek_mean_log2_y,400.0,100.0,0.9725,0.97,-1.9392268665250465,0.4161295768739518,-1.8334781718320297,-3.2793321559869275,-0.988649048859598,-2.0948956286930693,0.5492803398675413,-1.9973419121351648,-4.457309391604292,-1.2852638829928016,-0.374087233446461,11.0,3.0,False
global_raw,4,cheek_mean_log2_rg,400.0,100.0,0.9725,0.97,0.9598671357052544,0.144892441281189,0.955506621063424,0.3889769033788075,1.4194929144350832,1.0028484107258244,0.1551890527438277,1.0104538596815995,0.635408447109806,1.4927992180506124,0.2966426311856893,11.0,3.0,False
global_raw,4,cheek_mean_log2_bg,400.0,100.0,0.9725,0.97,-0.5873970985320469,0.1375618033305568,-0.5828656564836172,-0.9908616414099708,-0.2061282866387571,-0.5826409516935946,0.1454083930211293,-0.5891298981079316,-1.0548843422010488,-0.1967235338498867,0.0345746182682949,11.0,3.0,False
global_raw,4,forehead_minus_cheek_log2_y,389.0,97.0,0.9725,0.97,-6.216378374386083e-05,0.3259681402388968,0.0163074260360465,-1.6423573811402985,1.2722628297120335,-0.0431988650925411,0.3368752816190452,-0.0447613197745961,-0.9818480754420916,0.833716711447652,-0.1323341025818753,11.0,3.0,True
global_raw,4,forehead_minus_cheek_log2_rg,389.0,97.0,0.9725,0.97,-0.05182392792372,0.1138200147246296,-0.0426601935774224,-0.4940569609269917,0.3962370708623289,-0.0634811040526049,0.1270687625305544,-0.0546328830828869,-0.3432647773895575,0.2887594431356359,-0.1024176297735305,11.0,3.0,True
global_raw,4,forehead_minus_cheek_log2_bg,389.0,97.0,0.9725,0.97,-0.1405634049356816,0.1161455965606471,-0.1395112987907153,-0.4771851620127993,0.1978571372089537,-0.1410107115672421,0.1191888526725797,-0.1403455931925277,-0.4253694552572919,0.1802670755512905,-0.003851257773056,11.0,3.0,True
