model_type,feature_group,metric,oof_value,fold_mean,fold_std,bootstrap_ci_low_95,bootstrap_ci_high_95,bootstrap_valid_repeats,bootstrap_requested_repeats,bootstrap_seed,bootstrap_unit
multinomial_logistic,E0_log2_fnumber,balanced_accuracy,0.5569620253164557,0.5570921985815602,0.02098696559685397,0.5367206303361962,0.5763917349726775,2000,2000,2026,patient_group_id
multinomial_logistic,E0_log2_fnumber,macro_precision,0.36302261657906154,0.36496027118715774,0.015812386720408453,0.33235028968367464,0.39258369519445463,2000,2000,2026,patient_group_id
multinomial_logistic,E0_log2_fnumber,macro_recall,0.5569620253164557,0.5570921985815602,0.02098696559685397,0.5367206303361962,0.5763917349726775,2000,2000,2026,patient_group_id
multinomial_logistic,E0_log2_fnumber,macro_f1,0.430623973727422,0.43137492413885675,0.02416252423746928,0.4007469815076869,0.45841163181383493,2000,2000,2026,patient_group_id
multinomial_logistic,E0_log2_fnumber,normal_auc,0.8301298701298702,0.8467532467532468,0.034237470977828754,0.7951206423350499,0.8627089652504032,2000,2000,2026,patient_group_id
multinomial_logistic,E0_log2_fnumber,mild_auc,0.6300396271518185,0.6390837463586861,0.02927873132330729,0.5816763142424048,0.6793069830609901,2000,2000,2026,patient_group_id
multinomial_logistic,E0_log2_fnumber,severe_auc,0.6310081388206389,0.6458627859108675,0.046558681075960916,0.5743905881131175,0.6849698164514515,2000,2000,2026,patient_group_id
multinomial_logistic,E0_log2_fnumber,macro_auc,0.6970592120341093,0.7105665930076001,0.026953235608731946,0.6712335956895232,0.7228164910184118,2000,2000,2026,patient_group_id
multinomial_logistic,E0_log2_iso_gain,accuracy,0.384,0.38399999999999995,0.0642650760522385,0.34012015063906864,0.43,2000,2000,2026,patient_group_id
multinomial_logistic,E0_log2_iso_gain,balanced_accuracy,0.4175189774254166,0.41765898079329133,0.04680354959564559,0.3767992532881479,0.46129525704890173,2000,2000,2026,patient_group_id
multinomial_logistic,E0_log2_iso_gain,macro_precision,0.3854062773051126,0.3899902023367453,0.10794762598956072,0.34045396786753024,0.43319463490264093,2000,2000,2026,patient_group_id
multinomial_logistic,E0_log2_iso_gain,macro_recall,0.4175189774254166,0.41765898079329133,0.04680354959564559,0.3767992532881479,0.46129525704890173,2000,2000,2026,patient_group_id
multinomial_logistic,E0_log2_iso_gain,macro_f1,0.3738480703900253,0.3574111515754392,0.06214654843020908,0.3305612383957379,0.4174854661980307,2000,2000,2026,patient_group_id
multinomial_logistic,E0_log2_iso_gain,normal_auc,0.6788706945228684,0.6792772444946358,0.033264828153566586,0.6286360415948679,0.7287819730847803,2000,2000,2026,patient_group_id
multinomial_logistic,E0_log2_iso_gain,mild_auc,0.579799778601338,0.5816626715148895,0.05969053525165629,0.5281098344149375,0.6316692151446556,2000,2000,2026,patient_group_id
multinomial_logistic,E0_log2_iso_gain,severe_auc,0.5384386517199017,0.5553398783505631,0.09397462135549947,0.4827657320638989,0.5955930909883811,2000,2000,2026,patient_group_id
multinomial_logistic,E0_log2_iso_gain,macro_auc,0.5990363749480361,0.6054265981200295,0.023826596358420073,0.5684554761859287,0.63064327004597,2000,2000,2026,patient_group_id
multinomial_logistic,E1_four_core_transformed,accuracy,0.468,0.46799999999999997,0.03768288736283355,0.4262874501992032,0.5110663983903421,2000,2000,2026,patient_group_id
multinomial_logistic,E1_four_core_transformed,balanced_accuracy,0.5789141921227777,0.5788702988931067,0.03913126941440214,0.5485136624669411,0.6100575660093523,2000,2000,2026,patient_group_id
multinomial_logistic,E1_four_core_transformed,macro_precision,0.5159714681453812,0.5464316308210184,0.07373614690693213,0.45589008959401794,0.5732184677539333,2000,2000,2026,patient_group_id
multinomial_logistic,E1_four_core_transformed,macro_recall,0.5789141921227777,0.5788702988931067,0.03913126941440214,0.5485136624669411,0.6100575660093523,2000,2000,2026,patient_group_id
multinomial_logistic,E1_four_core_transformed,macro_f1,0.4476093967088575,0.4450691602085093,0.045963277813580346,0.4102917118677645,0.4857072155542869,2000,2000,2026,patient_group_id
multinomial_logistic,E1_four_core_transformed,normal_auc,0.8431281761716545,0.8459062676453982,0.03921207353025722,0.8070373670104113,0.8742164263987936,2000,2000,2026,patient_group_id
multinomial_logistic,E1_four_core_transformed,mild_auc,0.6186087179734,0.6262872945166702,0.03726110035997521,0.5683439718131396,0.6673274821767589,2000,2000,2026,patient_group_id
multinomial_logistic,E1_four_core_transformed,severe_auc,0.6264972358722358,0.636866255001272,0.06803215107305233,0.5737841206161444,0.6792056677255951,2000,2000,2026,patient_group_id
multinomial_logistic,E1_four_core_transformed,macro_auc,0.6960780433390967,0.7030199390544467,0.030062320979852657,0.6688956380255446,0.7217545628421396,2000,2000,2026,patient_group_id
multinomial_logistic,E2_compact_physical,accuracy,0.472,0.472,0.04147288270665546,0.4288505582593759,0.5140746417623154,2000,2000,2026,patient_group_id
multinomial_logistic,E2_compact_physical,balanced_accuracy,0.5580452218867188,0.5578504896487926,0.040959589291265266,0.5247834106813,0.5907078982023883,2000,2000,2026,patient_group_id
multinomial_logistic,E2_compact_physical,macro_precision,0.4837927469731555,0.48899255369522504,0.04421650088906819,0.4379685359427751,0.5289025445533688,2000,2000,2026,patient_group_id
multinomial_logistic,E2_compact_physical,macro_recall,0.5580452218867188,0.5578504896487926,0.040959589291265266,0.5247834106813,0.5907078982023883,2000,2000,2026,patient_group_id
multinomial_logistic,E2_compact_physical,macro_f1,0.4693632645314815,0.46733787554797973,0.046125575087314484,0.42771050169682645,0.5082131891911594,2000,2000,2026,patient_group_id
multinomial_logistic,E2_compact_physical,normal_auc,0.8435573122529644,0.8461321287408243,0.0396796629986628,0.8070392437072759,0.8751090136362003,2000,2000,2026,patient_group_id
multinomial_logistic,E2_compact_physical,mild_auc,0.6176461150952175,0.6242731525800573,0.02772520707332747,0.5689758931261517,0.6672125464329126,2000,2000,2026,patient_group_id
multinomial_logistic,E2_compact_physical,severe_auc,0.6299907862407862,0.6405398829760169,0.06341008288676499,0.5763703646277062,0.6827615835409699,2000,2000,2026,patient_group_id
multinomial_logistic,E2_compact_physical,macro_auc,0.6970647378629894,0.7036483880989663,0.025635735473155813,0.6704643285432436,0.7221686853868412,2000,2000,2026,patient_group_id
multinomial_logistic,E3_device_centered_physical,accuracy,0.44,0.43999999999999995,0.04898979485566356,0.39838716002133195,0.484,2000,2000,2026,patient_group_id
multinomial_logistic,E3_device_centered_physical,balanced_accuracy,0.494904398068955,0.49498308469878527,0.05113086935441433,0.4524790187587042,0.5359631263517881,2000,2000,2026,patient_group_id
multinomial_logistic,E3_device_centered_physical,macro_precision,0.44566807667588165,0.447528955914275,0.044245127300923046,0.4027575502213424,0.49015144039534725,2000,2000,2026,patient_group_id
multinomial_logistic,E3_device_centered_physical,macro_recall,0.494904398068955,0.49498308469878527,0.05113086935441433,0.4524790187587042,0.5359631263517881,2000,2000,2026,patient_group_id
multinomial_logistic,E3_device_centered_physical,macro_f1,0.44014567127774673,0.4385181838605391,0.05408785580607921,0.3979145193253952,0.48324473325206496,2000,2000,2026,patient_group_id
multinomial_logistic,E3_device_centered_physical,normal_auc,0.7951778656126484,0.7979107848673065,0.06338915477226707,0.7559261706397824,0.832562222296185,2000,2000,2026,patient_group_id
multinomial_logistic,E3_device_centered_physical,mild_auc,0.5861690009786462,0.5921045893421445,0.03753342450242425,0.5327981964371035,0.6381020559625512,2000,2000,2026,patient_group_id
multinomial_logistic,E3_device_centered_physical,severe_auc,0.6310657248157249,0.6386066745299382,0.08673640312766365,0.5785048953524252,0.6827270201234551,2000,2000,2026,patient_group_id
multinomial_logistic,E3_device_centered_physical,macro_auc,0.6708041971356731,0.6762073495797964,0.03720838557271147,0.6445507517822674,0.697511614953835,2000,2000,2026,patient_group_id
multinomial_logistic,E4_camera_only,accuracy,0.446,0.446,0.030495901363953814,0.4051870818050787,0.4900408287484981,2000,2000,2026,patient_group_id
multinomial_logistic,E4_camera_only,balanced_accuracy,0.5765765765765766,0.5764750957854405,0.03286945468167808,0.5530803974706413,0.6,2000,2000,2026,patient_group_id
multinomial_logistic,E4_camera_only,macro_precision,0.2993522045940428,0.30067641311619325,0.02367924049396411,0.2717519914074953,0.3284958536278706,2000,2000,2026,patient_group_id
multinomial_logistic,E4_camera_only,macro_recall,0.5765765765765766,0.5764750957854405,0.03286945468167808,0.5530803974706413,0.6,2000,2000,2026,patient_group_id
multinomial_logistic,E4_camera_only,macro_f1,0.3938004893135762,0.3942338227624288,0.02918104483287877,0.36489049891706443,0.42226441906811973,2000,2000,2026,patient_group_id
multinomial_logistic,E4_camera_only,normal_auc,0.8301298701298702,0.8467532467532468,0.03423747097782876,0.7958245387469183,0.8619484605984953,2000,2000,2026,patient_group_id
multinomial_logistic,E4_camera_only,mild_auc,0.6156246490510341,0.630377049686564,0.02687409805258657,0.5647496271868331,0.664720215360007,2000,2000,2026,patient_group_id
multinomial_logistic,E4_camera_only,severe_auc,0.6186367475429975,0.6387770299960684,0.04098748141652176,0.5652747288427138,0.6719584747995017,2000,2000,2026,patient_group_id
multinomial_logistic,E4_camera_only,macro_auc,0.6881304222413006,0.7053024421452931,0.02074203050551061,0.6626321945003527,0.7139826001393146,2000,2000,2026,patient_group_id
multinomial_logistic,E5_E3_plus_camera,accuracy,0.49,0.49000000000000005,0.031622776601683805,0.44621513944223107,0.5320032128514056,2000,2000,2026,patient_group_id
multinomial_logistic,E5_E3_plus_camera,balanced_accuracy,0.5728418291709431,0.5727313116491399,0.032935745327819975,0.540996508391163,0.6055208451697925,2000,2000,2026,patient_group_id
multinomial_logistic,E5_E3_plus_camera,macro_precision,0.5034581357713879,0.5078181168713477,0.031102884548132568,0.4573838738557534,0.5473390679562311,2000,2000,2026,patient_group_id
multinomial_logistic,E5_E3_plus_camera,macro_recall,0.5728418291709431,0.5727313116491399,0.032935745327819975,0.540996508391163,0.6055208451697925,2000,2000,2026,patient_group_id
multinomial_logistic,E5_E3_plus_camera,macro_f1,0.48709639123603915,0.4869304036683021,0.035950625351367574,0.4444826605769794,0.5269124650160136,2000,2000,2026,patient_group_id
multinomial_logistic,E5_E3_plus_camera,normal_auc,0.8483681535855448,0.8578769057029927,0.03234060575312238,0.8138629063900595,0.8787252640667287,2000,2000,2026,patient_group_id
multinomial_logistic,E5_E3_plus_camera,mild_auc,0.6295503040220757,0.6383996811598679,0.031176874097948254,0.5808584922650246,0.6779635567076265,2000,2000,2026,patient_group_id
multinomial_logistic,E5_E3_plus_camera,severe_auc,0.6212185196560196,0.6312752376326927,0.055163475464457316,0.5674579613040515,0.6741911856927107,2000,2000,2026,patient_group_id
multinomial_logistic,E5_E3_plus_camera,macro_auc,0.6997123257545468,0.7091839414985179,0.018309530581708013,0.673738595052148,0.7250200881528363,2000,2000,2026,patient_group_id
random_forest_shallow,E0_BrightnessValue,accuracy,0.486,0.48599999999999993,0.020736441353327723,0.4451042804171217,0.5302449964085151,2000,2000,2026,patient_group_id
random_forest_shallow,E0_BrightnessValue,balanced_accuracy,0.5628158152649071,0.5628091184904002,0.03553509025971523,0.5312679330428132,0.597201694796726,2000,2000,2026,patient_group_id
random_forest_shallow,E0_BrightnessValue,macro_precision,0.49435974653365955,0.49577661341498863,0.03307483996421341,0.4525984497428418,0.5387625073473512,2000,2000,2026,patient_group_id
random_forest_shallow,E0_BrightnessValue,macro_recall,0.5628158152649071,0.5628091184904002,0.03553509025971523,0.5312679330428132,0.597201694796726,2000,2000,2026,patient_group_id
random_forest_shallow,E0_BrightnessValue,macro_f1,0.48337961786838246,0.4788291651720943,0.029097780245716656,0.4432961487915295,0.5255746047826421,2000,2000,2026,patient_group_id
random_forest_shallow,E0_BrightnessValue,normal_auc,0.849655561829475,0.8596837944664031,0.022632821543275165,0.8146746868753667,0.8810856614830405,2000,2000,2026,patient_group_id
