cohort,level,variable,camera_id,total_n,n,missing_or_invalid_n,unique_n,min,p1,p5,p25,median,p75,p95,p99,max,mean,std,iqr,mad,mode,mode_proportion
all_exif_522,image,combined_exposure_gain,Xiaomi/M2006J10C,239,239,0,192,-9.715772987412716,-9.253980107782137,-8.466642911559388,-7.047380741233191,-6.336293778892591,-5.457330391423186,-4.288797226022997,-3.4697118334837476,-2.6794690970086115,-6.310592666266271,1.2819465204888763,1.5900503498100047,0.8304829428671754,-7.766644333665939,0.016736401673640166
all_exif_522,image,sensitivity_value,Xiaomi/M2006J10C,239,239,0,169,4.0,4.226215807281312,4.602160441374091,5.43828302937586,5.941106310946432,6.438047256364954,7.231421881810945,8.01062831502555,8.478971805032943,5.954684194733598,0.826235642977216,0.9997642269890941,0.5081469036703252,4.7136958148433585,0.016736401673640166
all_exif_522,image,brightness_apex_pred,Xiaomi/M2006J10C,239,239,0,192,-2.320530902991389,-1.5302881665162507,-0.7112027739770027,0.457330391423187,1.3362937788925908,2.047380741233191,3.466642911559389,4.253980107782138,4.715772987412716,1.310592666266272,1.2819465204888765,1.5900503498100038,0.8304829428671754,2.7666443336659388,0.016736401673640166
all_exif_522,image,brightness_residual,Xiaomi/M2006J10C,239,239,0,217,3.1995098512188385,3.709074518416798,5.781473256227457,6.0459138256731535,6.1623041888991965,6.300293057927918,6.4829442913774145,6.6402757709880875,6.908693675880719,6.114511936244189,0.4362087007359389,0.2543792322547649,0.13117330687865802,6.133355666334062,0.012552301255230125
all_exif_522,image,device_centered_brightness,Xiaomi/M2006J10C,239,239,0,57,-2.1176470588235285,-1.667058823529411,-1.2352941176470584,-0.47058823529411775,0.0,0.5294117647058822,1.24705882352941,1.8011764705882343,2.0588235294117636,0.014767413241446994,0.7622201628214266,1.0,0.47058823529411775,-0.11764705882352944,0.05439330543933055
all_exif_522,patient_group_median,ExposureTime,HONOR/BVL-AN00,267,267,0,35,0.0022222222222222222,0.0035714285714285713,0.0058823529411764705,0.01,0.015,0.02,0.030303030303030304,0.04,0.04,0.016237532945154114,0.00805184533815738,0.01,0.005000000000000001,0.01,0.36704119850187267
all_exif_522,patient_group_median,FNumber,HONOR/BVL-AN00,267,267,0,3,1.9,1.9,1.9,1.9,1.9,1.9,1.9,2.0,2.0,1.9043071161048686,0.020107494626335768,0.0,0.0,1.9,0.9550561797752809
all_exif_522,patient_group_median,ISOSpeedRatings,HONOR/BVL-AN00,267,267,0,26,50.0,50.0,80.0,200.0,320.0,500.0,1000.0,1250.0,1600.0,389.64606741573033,280.76948377662217,300.0,120.0,320.0,0.12734082397003746
all_exif_522,patient_group_median,BrightnessValue,HONOR/BVL-AN00,267,267,0,215,-2.67,-2.3772,-1.75,-0.615,0.55,1.545,3.3569999999999998,4.364199999999997,5.43,0.5549250936329587,1.562433034356719,2.16,1.03,1.28,0.0149812734082397
all_exif_522,patient_group_median,log2_exposure_time,HONOR/BVL-AN00,267,267,0,35,-8.813781191217037,-8.129283016944967,-7.409390936137702,-6.643856189774724,-6.066089190457772,-5.643856189774724,-5.044394119358453,-4.643856189774724,-4.643856189774724,-6.13535655897326,0.7627375182566746,1.0,0.5777669993169523,-6.643856189774724,0.36704119850187267
