cohort,level,variable,label_3class,label_3class_name,total_n,n,missing_or_invalid_n,unique_n,min,p1,p5,p25,median,p75,p95,p99,max,mean,std,iqr,mad,mode,mode_proportion
all_exif_522,patient_group_median,log2_iso_gain,1.0,mild,244,244,0,97,-1.0,-1.0,-0.3219280948873623,0.7463079504278585,1.4087093027011508,2.0364387100650627,3.2920397884778776,3.643856189774725,3.643856189774725,1.455350676027768,1.0465934896365283,1.2901307596372042,0.6602480696971152,2.0,0.09836065573770492
all_exif_522,patient_group_median,log2_fnumber,1.0,mild,244,244,0,5,0.9183862344463479,0.9183862344463479,0.9183862344463479,0.9183862344463479,0.925999418556223,0.925999418556223,0.925999418556223,1.0,1.0,0.9266097399336616,0.015818706828543597,0.007613184109875104,0.0,0.925999418556223,0.6147540983606558
all_exif_522,patient_group_median,aperture_value_from_f,1.0,mild,244,244,0,5,1.8367724688926959,1.8367724688926959,1.8367724688926959,1.8367724688926959,1.851998837112446,1.851998837112446,1.851998837112446,2.0,2.0,1.8532194798673232,0.03163741365708719,0.015226368219750208,0.0,1.851998837112446,0.6147540983606558
all_exif_522,patient_group_median,time_value_from_t,1.0,mild,244,244,0,33,4.321668433148858,4.643567679616601,4.643856189774724,5.058605178895445,5.643856189774724,6.643856189774724,7.30796168422864,7.845490050944375,8.129283016944967,5.831119262279182,0.8011151200099446,1.5852510108792792,0.5852510108792792,6.643856189774724,0.22540983606557377
all_exif_522,patient_group_median,EV100,1.0,mild,244,244,0,35,6.158440902041554,6.480340148509297,6.643856189774724,6.8963929564708994,7.49585502688717,8.49585502688717,9.159960521341086,9.69748888805682,9.981281854057414,7.6843387421465055,0.7972785066192248,1.599462070416271,0.6004773790990292,8.49585502688717,0.22540983606557377
all_exif_522,patient_group_median,relative_optical_exposure,1.0,mild,244,244,0,35,-9.981281854057414,-9.69748888805682,-9.159960521341086,-8.49585502688717,-7.49585502688717,-6.8963929564708994,-6.643856189774724,-6.480340148509297,-6.158440902041554,-7.6843387421465055,0.7972785066192248,1.599462070416271,0.6004773790990292,-8.49585502688717,0.22540983606557377
all_exif_522,patient_group_median,combined_exposure_gain,1.0,mild,244,244,0,136,-9.715772987412716,-9.49585502688717,-8.817783121774532,-7.173926931999808,-6.173419277658429,-5.173926931999809,-4.0154214651656375,-3.297742951781438,-2.7228123079894635,-6.2289880661187365,1.461111464541773,1.9999999999999991,1.0005076543413791,-5.49585502688717,0.05737704918032787
all_exif_522,patient_group_median,sensitivity_value,1.0,mild,244,244,0,97,4.0,4.0,4.678071905112637,5.746307950427859,6.408709302701151,7.036438710065063,8.292039788477878,8.643856189774725,8.643856189774725,6.455350676027767,1.0465934896365288,1.2901307596372042,0.6602480696971158,7.0,0.09836065573770492
all_exif_522,patient_group_median,brightness_apex_pred,1.0,mild,244,244,0,136,-2.2771876920105365,-1.7022570482185628,-0.9845785348343626,0.1739269319998078,1.1734192776584291,2.173926931999808,3.817783121774533,4.49585502688717,4.715772987412716,1.2289880661187367,1.461111464541773,2.0,1.0005076543413787,0.4958550268871704,0.05737704918032787
all_exif_522,patient_group_median,brightness_residual,1.0,mild,244,244,0,209,-1.527783121774533,-1.313705111077056,-1.0572046933083243,-0.9339269319998078,-0.7858550268871705,6.056564932856316,6.350123944535782,6.582049963597833,6.908693675880719,1.5265242289632304,3.348806369197913,6.990491864856123,0.21403595255631902,-0.8939269319998078,0.020491803278688523
