cohort,level,variable,SEX,sex_name,total_n,n,missing_or_invalid_n,unique_n,min,p1,p5,p25,median,p75,p95,p99,max,mean,std,iqr,mad,mode,mode_proportion
all_exif_522,image,relative_optical_exposure,0,female,229,229,0,23,-10.665780028329483,-9.320762528588368,-8.49585502688717,-7.49585502688717,-7.480340148509297,-6.895377647788141,-6.480340148509297,-6.480340148509297,-6.158440902041554,-7.51144212940896,0.7185694184919441,0.6004773790990292,0.5849625007211561,-6.895377647788141,0.2183406113537118
all_exif_522,image,combined_exposure_gain,0,female,229,229,0,144,-9.626872482823785,-9.139711216661896,-8.587333215077933,-7.047380741233191,-6.063500406596468,-5.173926931999809,-4.218321051358261,-3.28197335233309,-2.6794690970086115,-6.122029283762919,1.3602044266046156,1.8734538092333821,0.9079708615076543,-5.49585502688717,0.048034934497816595
all_exif_522,image,sensitivity_value,0,female,229,229,0,119,4.0,4.356143810225276,4.678071905112637,5.748461233004035,6.3334237337251915,7.0,8.0,8.643856189774725,8.643856189774725,6.389412845646041,0.9893424059385859,1.2515387669959646,0.6665762662748085,7.0,0.07860262008733625
all_exif_522,image,brightness_apex_pred,0,female,229,229,0,145,-2.320530902991389,-1.7180266476669104,-0.7816789486417379,0.1739269319998078,1.063500406596468,2.047380741233191,3.587333215077933,4.139711216661895,4.626872482823785,1.12202928376292,1.3602044266046163,1.873453809233383,0.9079708615076543,0.4958550268871704,0.048034934497816595
all_exif_522,image,brightness_residual,0,female,229,229,0,204,-1.527783121774533,-1.18910338863761,-1.0260379703645819,-0.8777831217745331,5.830691163879447,6.153083585215894,6.366232611016909,6.632028360088132,6.6552837612214235,2.897315694403019,3.490345986505518,7.030866706990427,0.6545034339742326,-0.7858550268871705,0.013100436681222707
all_exif_522,image,device_centered_brightness,0,female,229,229,0,145,-2.1176470588235285,-1.7284250474383296,-1.1685551640010838,-0.6682027649769586,-0.17050691244239635,0.3870967741935483,1.1000813228517208,1.6259040390349684,1.7926267281105992,-0.11160762375100775,0.7321421963005372,1.055299539170507,0.5234480889129842,-0.11764705882352944,0.034934497816593885
all_exif_522,image,ExposureTime,1,male,293,293,0,28,0.0024390243902439024,0.003965714285714286,0.006952380952380953,0.01,0.02,0.020004,0.030303030303030304,0.040008,0.040008,0.018593288622986676,0.008783467659112322,0.010004,0.01,0.01,0.24914675767918087
all_exif_522,image,FNumber,1,male,293,293,0,3,1.89,1.89,1.89,1.89,1.9,1.9,1.9,2.0,2.0,1.898771331058021,0.017668724708118005,0.010000000000000009,0.0,1.9,0.5767918088737202
all_exif_522,image,ISOSpeedRatings,1,male,293,293,0,107,50.0,50.0,64.0,160.0,215.0,400.0,800.0,1250.0,1600.0,300.518771331058,240.6406770147175,240.0,105.0,200.0,0.08873720136518772
all_exif_522,image,BrightnessValue,1,male,293,293,0,197,-2.67,-2.062,-1.438,0.36,2.3,7.2,9.1,10.408,10.9,3.4690102389078494,3.6954255380712326,6.84,3.11,7.6,0.023890784982935155
