cohort,level,variable,camera_id,label_3class,label_3class_name,total_n,n,missing_or_invalid_n,unique_n,min,p1,p5,p25,median,p75,p95,p99,max,mean,std,iqr,mad,mode,mode_proportion
all_exif_522,image,sensitivity_value,Xiaomi/M2006J10C,0.0,normal,115,115,0,92,4.0,4.206016705861115,4.553738666598234,5.356143810225276,5.815575428862573,6.2326476946978975,7.189033824390017,7.58444951227648,8.478971805032943,5.829049371585264,0.7814535503138976,0.8765038844726218,0.42931163026096186,5.356143810225276,0.02608695652173913
all_exif_522,image,brightness_apex_pred,Xiaomi/M2006J10C,0.0,normal,115,115,0,100,-2.320530902991389,-1.100678668875972,-0.6863752964571246,0.797782602655217,1.5392338375628656,2.2233421588257913,3.5306380480289095,4.274179209202334,4.626872482823785,1.5043787064678642,1.2179704923981838,1.4255595561705743,0.7023194513593154,2.1241963382840217,0.02608695652173913
all_exif_522,image,brightness_residual,Xiaomi/M2006J10C,0.0,normal,115,115,0,109,3.3977317566033403,3.6690666098324773,5.666012338019981,6.022709936172376,6.170157098574836,6.312306338313598,6.467872155273332,6.63950190049215,6.6552837612214235,6.076490858749527,0.5269052863393727,0.28959640214122206,0.14744716240246003,6.004622352211859,0.017391304347826087
all_exif_522,image,device_centered_brightness,Xiaomi/M2006J10C,0.0,normal,115,115,0,46,-1.823529411764705,-1.4035294117647052,-1.0529411764705876,-0.32352941176470584,0.1764705882352939,0.5588235294117645,1.2705882352941162,1.8152941176470574,1.999999999999999,0.10639386189258285,0.7261409927451152,0.8823529411764703,0.4705882352941172,-0.11764705882352944,0.05217391304347826
all_exif_522,image,ExposureTime,Xiaomi/M2006J10C,1.0,mild,84,84,0,7,0.008496,0.009745980000000001,0.01000215,0.020004,0.030006,0.030006,0.040008,0.04170817000000002,0.050009,0.026058738095238097,0.008819916354982785,0.010002,0.010002,0.030006,0.40476190476190477
all_exif_522,image,FNumber,Xiaomi/M2006J10C,1.0,mild,84,84,0,1,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.8899999999999995,2.457160399611194e-15,0.0,0.0,1.89,1.0
all_exif_522,image,ISOSpeedRatings,Xiaomi/M2006J10C,1.0,mild,84,84,0,81,50.0,59.13,77.75,151.0,210.5,307.5,565.7499999999999,906.8700000000003,1082.0,259.8095238095238,177.6197696170295,156.5,76.0,135.0,0.023809523809523808
all_exif_522,image,BrightnessValue,Xiaomi/M2006J10C,1.0,mild,84,84,0,45,3.8,4.132000000000001,5.015,6.5,7.3,8.125,9.909999999999997,10.485000000000001,10.9,7.283333333333333,1.4267524277042039,1.625,0.7999999999999998,6.6,0.07142857142857142
all_exif_522,image,log2_exposure_time,Xiaomi/M2006J10C,1.0,mild,84,84,0,7,-6.87900051852002,-6.683591262230182,-6.6435460445997245,-5.643567679616601,-5.058605178895445,-5.058605178895445,-4.643567679616601,-4.588844807717084,-4.321668433148858,-5.358143582802064,0.5603762079897954,0.5849625007211561,0.4150374992788439,-5.058605178895445,0.40476190476190477
all_exif_522,image,log2_iso_gain,Xiaomi/M2006J10C,1.0,mild,84,84,0,81,-1.0,-0.761888647335826,-0.36345482949134594,0.5941619647484977,1.0738161634119292,1.6205352469603262,2.5000992123394608,3.175875217612892,3.4356285940520905,1.1043476410857498,0.8876321893293944,1.0263732822118286,0.5387393763388587,0.43295940727610627,0.023809523809523808
