cohort,level,variable,scale,total_n,n,missing_or_invalid_n,unique_n,min,p1,p5,p25,median,p75,p95,p99,max,mean,std,iqr,mad,mode,mode_proportion,missing_n,invalid_n
all_exif_522,image,relative_optical_exposure,raw_or_derived,522,522,0,39,-10.665780028329483,-9.792521332693813,-8.756733610455552,-8.49585502688717,-7.49585502688717,-6.8963929564708994,-6.643856189774724,-6.480340148509297,-6.158440902041554,-7.663086809360856,0.7567171129496963,1.599462070416271,0.6004773790990292,-8.49585502688717,0.20881226053639848,0,0
all_exif_522,image,combined_exposure_gain,raw_or_derived,522,522,0,257,-10.261389773250148,-9.61414057593429,-8.954233690546152,-7.3366855819652335,-6.406523985097368,-5.404835055082894,-4.218321051358261,-3.5744648615835373,-2.6794690970086115,-6.374264632428059,1.4140414001853268,1.9318505268823394,0.9862312202580092,-6.49585502688717,0.04597701149425287,0,0
all_exif_522,image,sensitivity_value,raw_or_derived,522,522,0,179,4.0,4.0,4.585917941868542,5.678071905112637,6.272020096977553,7.0,8.0,8.643856189774725,9.0,6.288822176932798,1.0227949438542872,1.3219280948873626,0.6799479725431916,6.678071905112637,0.07471264367816093,0,0
all_exif_522,image,brightness_apex_pred,raw_or_derived,522,522,0,258,-2.320530902991389,-1.4255351384164623,-0.7816789486417379,0.4048350550828943,1.406523985097368,2.3366855819652335,3.954233690546152,4.614140575934288,5.261389773250148,1.374264632428059,1.4140414001853259,1.9318505268823392,0.9862312202580092,1.4958550268871704,0.04597701149425287,0,0
all_exif_522,image,brightness_residual,raw_or_derived,522,522,0,412,-1.527783121774533,-1.2945697636742781,-1.037783121774533,-0.905193757401572,-0.7417815750520078,6.146036662310891,6.386272937558976,6.597280046862972,6.908693675880719,2.336175980598761,3.497156676272934,7.051230419712463,0.3260015467225249,-0.7858550268871705,0.011494252873563218,0,0
all_exif_522,image,device_centered_brightness,raw_or_derived,522,522,0,276,-2.1176470588235285,-1.4117647058823524,-1.1013824884792627,-0.5034562211981568,0.0,0.47058823529411675,1.2900921658986175,1.7867633505014897,2.2442396313364052,0.010089538225375325,0.7420647396949402,0.9740444564922736,0.47695852534562216,-0.11764705882352944,0.02490421455938697,0,0
all_exif_522,patient_group_median,ExposureTime,raw_or_derived,505,505,0,45,0.0022222222222222222,0.004347826086956522,0.008604000000000002,0.010002,0.020002,0.030006,0.04,0.040008,0.050009,0.02021609563634881,0.009150000932844356,0.020004,0.010001999999999999,0.020004,0.21188118811881188,0,0
all_exif_522,patient_group_median,FNumber,raw_or_derived,505,505,0,5,1.89,1.89,1.89,1.89,1.9,1.9,1.9,2.0,2.0,1.8975841584158415,0.016257029814438814,0.010000000000000009,0.0,1.9,0.504950495049505,0,0
all_exif_522,patient_group_median,ISOSpeedRatings,raw_or_derived,505,505,0,187,50.0,50.0,76.0,160.0,244.0,400.0,800.0,1250.0,1600.0,314.3168316831683,242.77589569317718,240.0,108.0,320.0,0.06732673267326733,0,0
all_exif_522,patient_group_median,BrightnessValue,raw_or_derived,505,505,0,274,-2.67,-2.1172,-1.43,0.41,3.27,7.3,9.1,10.195999999999998,10.9,3.7785643564356435,3.7185842491161365,6.89,3.53,7.2,0.02574257425742574,0,0
all_exif_522,patient_group_median,log2_exposure_time,log2,505,505,0,45,-8.813781191217037,-7.845490050944375,-6.861220417602234,-6.643567679616601,-5.643856189774724,-5.058605178895445,-4.643856189774724,-4.643567679616601,-4.321668433148858,-5.80238010503045,0.7498790050383473,1.584962500721156,0.5852510108792792,-5.643567679616601,0.21188118811881188,0,0
all_exif_522,patient_group_median,log2_iso_gain,log2,505,505,0,187,-1.0,-1.0,-0.3959286763311392,0.6780719051126377,1.2750070474998698,2.0,3.0,3.643856189774725,4.0,1.2880360197246148,1.0189482334863953,1.3219280948873622,0.6614753945819427,1.6780719051126378,0.06732673267326733,0,0
all_exif_522,patient_group_median,log2_fnumber,log2,505,505,0,5,0.9183862344463479,0.9183862344463479,0.9183862344463479,0.9183862344463479,0.925999418556223,0.925999418556223,0.925999418556223,1.0,1.0,0.924111660244467,0.012077298129550211,0.007613184109875104,0.0,0.925999418556223,0.504950495049505,0,0
all_exif_522,patient_group_median,aperture_value_from_f,raw_or_derived,505,505,0,5,1.8367724688926959,1.8367724688926959,1.8367724688926959,1.8367724688926959,1.851998837112446,1.851998837112446,1.851998837112446,2.0,2.0,1.848223320488934,0.024154596259100422,0.015226368219750208,0.0,1.851998837112446,0.504950495049505,0,0
