subject_id,capture_id,roi,mean_log_residual,centered_logrmse,sam_deg,centered_log_residual_400nm,centered_log_residual_410nm,centered_log_residual_420nm,centered_log_residual_430nm,centered_log_residual_440nm,centered_log_residual_450nm,centered_log_residual_460nm,centered_log_residual_470nm,centered_log_residual_480nm,centered_log_residual_490nm,centered_log_residual_500nm,centered_log_residual_510nm,centered_log_residual_520nm,centered_log_residual_530nm,centered_log_residual_540nm,centered_log_residual_550nm,centered_log_residual_560nm,centered_log_residual_570nm,centered_log_residual_580nm,centered_log_residual_590nm,centered_log_residual_600nm,centered_log_residual_610nm,centered_log_residual_620nm,centered_log_residual_630nm,centered_log_residual_640nm,centered_log_residual_650nm,centered_log_residual_660nm,centered_log_residual_670nm,centered_log_residual_680nm,centered_log_residual_690nm,centered_log_residual_700nm
p011,p011_neutral_front,right_cheek,-0.0044824035605146315,0.14252842157519147,6.947706617827609,-0.3863137030234606,-0.3254299941353094,-0.08582494891296591,0.0034391397131414434,0.056987546926895866,0.11631029995126238,0.14940030386163958,0.20218101844609912,0.19710170201375574,0.19392251899975296,0.1788081220004236,0.14891941943132778,0.09876951335145409,0.012796627527604992,-0.0745410287876063,-0.13936175774900497,-0.11208707999962966,-0.18366200155518356,-0.21659193763323595,-0.004299066247249544,0.051644786494080414,-0.01871397217424345,0.043892215832810416,-0.005845855632748558,0.016622446846150746,-0.012655000263128185,0.05673978320027959,-0.04658488333502528,0.11813862841496695,-0.05683572517878041,0.023072881615926105
p012,p012_neutral_front,left_cheek,-0.008126997225310368,0.12857232637364008,5.984714920297432,-0.36056821456509786,-0.28177476824787645,-0.0690739802783578,0.01952938786062038,0.12012290892702589,0.13726813014236147,0.11960724392959006,0.1796129178016541,0.20492821182821339,0.1803106943635002,0.12351370481812392,0.09791488185431581,0.05461693245664696,0.01913595379752771,-0.05758581698501346,-0.08912470716408709,-0.06599102401363015,-0.11630755911262929,-0.21174608365154327,0.040701282559377175,0.14139908410032373,0.0319474160900592,0.04714482373297908,-0.011396362717700653,0.005699437695309301,-0.07657494761964022,-0.011102471729754742,-0.05251268681399267,0.0006591234379820961,-0.0731618673782861,-0.047191645118000766
p012,p012_neutral_front,right_cheek,0.02018953416199317,0.2233740143605498,12.914303503155175,-0.824732659890468,-0.6250213174609157,-0.333221065599374,-0.22253554998389466,-0.08782256825601395,-0.0468878975775627,0.039459144936742,0.12922307313544104,0.13585808489882636,0.1578735767020131,0.1478558012277055,0.1207580824428606,0.1023993215258078,0.09808346554829797,0.05719708121221349,-0.026471766324310884,-0.04196929348098862,-0.03948024597476726,-0.012009557193068808,0.054141679059761895,0.058842728305925775,0.012518273300684037,0.10622101710916412,0.07192659687710004,0.10998044299674783,0.0977337531373366,0.16915114601678696,0.08175722385506037,0.2512465013324941,0.08708491512229202,0.17084001299810272
p013,p013_neutral_front,left_cheek,-0.008868340574132808,0.13873327475907246,6.273107450513715,-0.38730525232416163,-0.29721255961917076,-0.07246207336014905,0.024501695431193217,0.14698525503086105,0.14796686480502966,0.13022738684675209,0.1913383329451999,0.21870799372365338,0.19821014502234238,0.1441488218676781,0.1084146451871875,0.050599377967767846,0.004557068233744391,-0.07336869909741113,-0.09595065173768087,-0.07926826869439703,-0.14187634684560188,-0.23705896283031788,0.0309158192603323,0.13824945374357747,0.025804699452785997,0.04557378939512372,-0.009465807795766742,0.009237220363084645,-0.07236848685399895,-0.007662368718872789,-0.047040625214409125,0.006417053337460491,-0.06350785265039284,-0.037307666871443455
p013,p013_neutral_front,right_cheek,0.024056579973691285,0.2554599395074337,15.094163272719426,-0.9158121033455252,-0.7154954284843055,-0.4132548288853951,-0.29451245773140344,-0.13254007194309772,-0.09298679012559155,-0.003704973190388785,0.09595218421073634,0.11790063603764386,0.15989299730487402,0.15481350178953499,0.12129847081417874,0.1063471017632783,0.10215478115806462,0.0776907865945485,0.01992208111759983,-0.022320557994674497,-0.01133618964903418,0.02952392419072467,0.089112528643123,0.06938876164915894,0.028039236279148037,0.1241152684982901,0.0949403859053791,0.13429199747862072,0.12810992799418783,0.198765566978336,0.11670786729235025,0.2885543435649698,0.1303005937028001,0.2141404583818681
p014,p014_neutral_front,left_cheek,-0.0023734169660179225,0.19634418374918836,9.39264225350033,-0.6961259891162228,-0.5010680042489037,-0.24471960030766635,-0.15710426117892615,-0.0212709470939971,0.0418265169503689,0.10262210516885431,0.21059618873300903,0.2686064948776637,0.25728685848953586,0.21733116433769853,0.18964094331996287,0.15650684541031515,0.1488387333491972,0.06903015548018068,-0.07241342588105557,-0.019079830455728447,-0.02122296077944738,-0.10935140785968753,0.018716679520547813,0.1112750997750869,0.03621789413961965,0.06079225761225973,0.019155516957717472,0.04111416662001291,-0.044874970816752485,0.015394253268205121,-0.028424836279423132,0.02681010216777982,-0.050831858812762726,-0.025273883347442266
p014,p014_neutral_front,right_cheek,0.0166831218001332,0.3902167625804465,24.874133691223804,-1.2779509358326937,-1.0064719364817047,-0.6695693699135298,-0.5391461468862092,-0.3174983488107902,-0.2635066292158571,-0.20593616364656453,-0.07755536510329819,-0.021092714858744196,0.06383805360662176,0.11384175293953092,0.1250003441045756,0.15972606153245572,0.18417853008061236,0.157233858461315,0.03202609483672225,0.091256492204146,0.08077661413933368,0.06998269557865056,0.14736525294376246,0.19194547652913518,0.17251459046879136,0.2683748794875641,0.26099717671832867,0.316728774984396,0.28790883183420013,0.3513380779679002,0.27277148406980867,0.43194109317784835,0.26066942072474897,0.33831205435894385
p015,p015_neutral_front,left_cheek,-0.007502168327598202,0.13070961055255095,5.988649855395381,-0.3848080984818577,-0.2827559672153328,-0.06166758518201387,0.02634530570217719,0.111162318526006,0.13806882714407798,0.12338844171892283,0.18843769673554545,0.21314568859823801,0.18169944808457894,0.12221151600595082,0.0939671105958968,0.04438143024487262,0.01904421942145751,-0.0598952879786554,-0.10266430955297778,-0.06492490635704784,-0.11775590578673922,-0.21686480173173095,0.02217863957403221,0.1338780527406811,0.03591060066980023,0.039106395503250346,-0.011016121982133975,0.008822293904341527,-0.06980125420115141,-0.011353492927615116,-0.034782002828880554,-0.001251070414994837,-0.04972044747844806,-0.032486733050250016
p015,p015_neutral_front,right_cheek,0.020791354411539825,0.22099109975737244,12.818164232415642,-0.8280494802992737,-0.6216859375941187,-0.3207177703731378,-0.21918684193232876,-0.0854811029835582,-0.042736064396570336,0.033597695567347,0.12289396765995193,0.13482349978580474,0.14882853786241887,0.13603402353040525,0.10792815681425212,0.1069264829803734,0.11965933762869436,0.07995667878653652,-0.02263014599129602,-0.01287093526622211,-0.01181085257529017,0.017091513097863793,0.06923961394056961,0.055165790598891,-0.012431446707078447,0.07805551359983405,0.05152441793686609,0.09621466207097858,0.07804148335765156,0.15922533992355545,0.07539632540897485,0.24777383521365812,0.08676372389004523,0.172459978464202
p017,p017_neutral_front,left_cheek,-0.012229692691863728,0.15584793736061822,6.964666134584513,-0.4239407544299653,-0.32663959820631844,-0.08763532791559121,0.028198498873431434,0.15375759930475089,0.18544099063083055,0.1368149160718173,0.1984237959310933,0.23638935814613585,0.21049414973270134,0.17086063451604996,0.1467398941903009,0.0981960941295859,0.032627117063018386,-0.0698641581877208,-0.15141098676484452,-0.05446457246275057,-0.1393817616050714,-0.2643920136230295,0.028552160998761157,0.16274577073885102,0.0471035975158666,0.04209916285651353,-0.011504019121658179,0.007023626321856305,-0.08068873482721313,-0.015357035075481548,-0.07532780672786867,-0.008048784780684512,-0.10596824957867391,-0.0708435637146927
