cohort,subject_id,capture_id,solver_converged,selected_start_index,selected_nfev,selected_status,selected_optimality,f_mel,f_blood,c_tHb_eq_g_l,logrmse,rmse,sam_deg,centered_logrmse,mean_log_residual,reference_logrmse,reference_rmse,reference_sam_deg,model_to_reference_error_ratio,model_better_than_reference,f_mel_at_lower,f_mel_at_upper,f_blood_at_lower,f_blood_at_upper,prediction_above_one_count,A_s,delta_bs,g0,diameter_um,s0
train,p013,p013_neutral_front,True,7,12,1,5.296369903839842e-09,0.07991359719665878,0.09999999999999999,14.999999999999998,0.05315877285274024,0.01580114740211243,2.862188679818762,0.053156186920142144,-0.0005243313076112033,0.07353403149847622,0.022309426412168883,1.0773612229498961,0.7229138912891211,True,False,False,False,True,0,1.483455915077612,0.4999999999999999,1.0,15.0,0.7
train,p014,p014_neutral_front,True,0,9,2,1.2274846512776759e-08,0.14189122418297254,0.09999999999999999,14.999999999999998,0.11564955637264668,0.023321856404825623,6.114510938364331,0.1156116456912951,-0.002960957571534493,0.3255186972323953,0.08355524824185445,4.294181452621933,0.35527776854575516,True,False,False,False,True,0,1.483455915077612,0.4999999999999999,1.0,15.0,0.7
train,p015,p015_neutral_front,True,22,13,1,4.440348878896912e-09,0.07325497249456721,0.09770676106357197,14.656014159535795,0.046080069994775916,0.01477035832651521,2.5429388262705634,0.046072502075376796,-0.0008351067224301743,0.12405927815362293,0.03830573800470651,1.4158068706822453,0.3714359029053421,True,False,False,False,False,0,1.483455915077612,0.4999999999999999,1.0,15.0,0.7
train,p017,p017_neutral_front,True,10,11,2,1.0790199808048638e-07,0.07273576388760687,0.035353011329515086,5.302951699427263,0.07839295954188504,0.03465005735100106,4.620616944442711,0.07778370904203082,-0.009754522715146938,0.23888972604404626,0.08844748510678045,3.527528622332677,0.32815542484832944,True,False,False,False,False,0,1.483455915077612,0.4999999999999999,1.0,15.0,0.7
train,p018,p018_neutral_front,True,26,8,1,1.2082106402643147e-09,0.1357258657692377,0.09999999999999999,14.999999999999998,0.09592277749953358,0.01904378943675015,4.848716505419411,0.0958943249686044,-0.002336168238959579,0.2878933110079129,0.07292360577985996,3.1972749396194176,0.33318862867535365,True,False,False,False,True,0,1.483455915077612,0.4999999999999999,1.0,15.0,0.7
train,p019,p019_neutral_front,True,15,12,3,2.908958640943781e-08,0.1030625303705884,0.09999999999999999,14.999999999999998,0.07194053749576979,0.01771122399529627,3.675954768005762,0.0719331425437227,-0.0010314741706553697,0.09351711552073268,0.022458707332921813,2.104354414864925,0.769276694380299,True,False,False,False,True,0,1.483455915077612,0.4999999999999999,1.0,15.0,0.7
train,p020,p020_neutral_front,True,25,10,2,1.1185758103952471e-08,0.05937079581365128,0.09999999999999999,14.999999999999998,0.1812925371011828,0.06702247346122649,10.369845897236896,0.17974726481539205,0.023620008466744252,0.2688837699699905,0.0767845826926403,10.72627423231106,0.6742412794993778,True,False,False,False,True,0,1.483455915077612,0.4999999999999999,1.0,15.0,0.7
train,p021,p021_neutral_front,True,5,10,2,4.3602928842964635e-08,0.05211566961778226,0.09999999999999999,14.999999999999998,0.13409320825231763,0.05072633398926755,7.383017227517009,0.13308279896713993,0.016430371829975546,0.2956141703390817,0.08601194153148294,7.9522614738767,0.4536088648879963,True,False,False,False,True,0,1.483455915077612,0.4999999999999999,1.0,15.0,0.7
train,p022,p022_neutral_front,True,19,11,2,3.1065968099520175e-08,0.055793454509002256,0.09999999999999999,14.999999999999998,0.16768068874764752,0.06371830564301087,9.513600631515724,0.16598361911685708,0.023796040926077653,0.2851041717977101,0.08099073818344739,10.236616255370263,0.5881383204263386,True,False,False,False,True,0,1.483455915077612,0.4999999999999999,1.0,15.0,0.7
train,p023,p023_neutral_front,True,29,10,1,3.914240684696664e-09,0.10270123953223899,0.09999999999999999,14.999999999999998,0.05105878421444177,0.013660436973740087,2.864003354360666,0.051047657679760085,0.001065875633908101,0.09128153796001298,0.023628678213045495,1.7225976964365328,0.5593549950572558,True,False,False,False,True,0,1.483455915077612,0.4999999999999999,1.0,15.0,0.7
train,p024,p024_neutral_front,True,7,14,1,5.903873087256485e-09,0.10726965788571294,0.09999999999999999,14.999999999999998,0.06168434150653473,0.018501979343916668,3.6323288825310716,0.06165194587723605,-0.0019988888526278315,0.12280807966311269,0.02721247248530667,3.256709119851877,0.5022824367561752,True,False,False,False,True,0,1.483455915077612,0.4999999999999999,1.0,15.0,0.7
train,p025,p025_neutral_front,True,27,10,2,2.514094529968787e-08,0.09331877079222356,0.04340916732687208,6.511375099030812,0.06238858191373078,0.021897974234815445,3.6669885493361134,0.06224881012113383,-0.0041738221942629475,0.08769035858424502,0.03047345900214791,3.3657341923451134,0.7114645546099966,True,False,False,False,False,0,1.483455915077612,0.4999999999999999,1.0,15.0,0.7
train,p026,p026_neutral_front,True,19,12,3,3.640891718895899e-08,0.10974854730148553,0.09999999999999994,14.999999999999991,0.058709509704225046,0.01623691448145484,3.333906124080524,0.05868230870641677,-0.0017869456050193728,0.13356412410028493,0.030803175630385014,2.699053505528131,0.43956047403974857,True,False,False,False,True,0,1.483455915077612,0.4999999999999999,1.0,15.0,0.7
train,p027,p027_neutral_front,True,4,7,2,7.783865328928271e-08,0.11012256229585309,0.06377688528554014,9.56653279283102,0.05496280244390914,0.015642394606124585,3.1963702743508047,0.05492328293552192,-0.0020839011667520063,0.1040403587649937,0.024064787020170158,2.697551855130236,0.5282834766848419,True,False,False,False,False,0,1.483455915077612,0.4999999999999999,1.0,15.0,0.7
train,p028,p028_neutral_front,True,18,11,1,2.3541245600296753e-09,0.08796719866594147,0.07470673757936452,11.20601063690468,0.052426131117615765,0.017034935555709278,3.081762766370172,0.05241688216724916,-0.0009847272851697562,0.06794664418536331,0.02153998170994957,2.5224448465048876,0.7715779306862238,True,False,False,False,False,0,1.483455915077612,0.4999999999999999,1.0,15.0,0.7
train,p029,p029_neutral_front,True,24,14,1,4.288508818666125e-09,0.1061596312369892,0.07506348673483366,11.259523010225049,0.05651686551396153,0.014582890490865677,3.044866779413743,0.056507142150566944,-0.0010483193687202388,0.08688031654348594,0.022707301209351795,1.670759598769562,0.6505140377299767,True,False,False,False,False,0,1.483455915077612,0.4999999999999999,1.0,15.0,0.7
train,p031,p031_neutral_front,True,32,11,2,4.8389167142843485e-08,0.08009828190092616,0.07749525339759819,11.624288009639729,0.04887260641315177,0.01678118332101865,2.715512484709943,0.0487690424008939,-0.0031799624077426657,0.10649500880790351,0.03757352784790696,2.3835214150065314,0.458919220348707,True,False,False,False,False,0,1.483455915077612,0.4999999999999999,1.0,15.0,0.7
train,p032,p032_neutral_front,True,9,11,1,2.5507688304265703e-09,0.09039932136012986,0.09999999999999999,14.999999999999998,0.04661232142634131,0.012006998901752452,2.3300901549547874,0.04660330925394291,-0.0009165562360907626,0.0223237080350773,0.006947526502178541,1.349914807112011,2.0880187714827323,False,False,False,False,True,0,1.483455915077612,0.4999999999999999,1.0,15.0,0.7
train,p033,p033_neutral_front,True,29,7,1,5.441495377607394e-10,0.07660722148376695,0.05230138524505874,7.845207786758811,0.03701662280291505,0.0121898247784243,1.9947703716929257,0.03699307716813819,-0.0013200777876561972,0.16457175497855348,0.052205673099752686,2.3550910572554664,0.2249269493889699,True,False,False,False,False,0,1.483455915077612,0.4999999999999999,1.0,15.0,0.7
train,p034,p034_neutral_front,True,15,10,1,8.606871798810735e-09,0.061194316148643194,0.043926718501331424,6.589007775199714,0.05339327401667131,0.023805085340049617,3.1193431383449646,0.053058905272939126,-0.0059660943218005245,0.30224911340461447,0.10549262450442164,2.7279299813995683,0.17665320309871305,True,False,False,False,False,0,1.483455915077612,0.4999999999999999,1.0,15.0,0.7
train,p037,p037_neutral_front,True,29,9,1,2.550302118396317e-09,0.0831726835943625,0.042986029517802476,6.447904427670371,0.04140449579063635,0.012792236386961683,2.154245260017313,0.041362753987325696,-0.001858723825853495,0.13588521628700553,0.042893293540990064,2.506166108217107,0.3047019898263634,True,False,False,False,False,0,1.483455915077612,0.4999999999999999,1.0,15.0,0.7
train,p038,p038_neutral_front,True,4,17,2,1.3363607505863374e-08,0.11419355926291523,0.09752068902415142,14.628103353622715,0.06380327874708298,0.013338297731930373,2.99136792232615,0.06376494708975775,-0.0022113121711699758,0.1569475366003405,0.040721116681114285,2.1244501471159705,0.406526155995395,True,False,False,False,False,0,1.483455915077612,0.4999999999999999,1.0,15.0,0.7
train,p040,p040_neutral_front,True,28,10,2,2.7276187512944616e-07,0.07064789803038854,0.06826722758120998,10.240084137181498,0.05695010955838891,0.023760057668502924,3.3778151716583884,0.05668580255224074,-0.005480398500189373,0.1888485231104303,0.06768328335800129,2.8121019786991353,0.30156502481667274,True,False,False,False,False,0,1.483455915077612,0.4999999999999999,1.0,15.0,0.7
train,p041,p041_neutral_front,True,7,11,2,1.4325271620614927e-08,0.09808097398219358,0.039932145437185214,5.989821815577782,0.06434418488221572,0.022315495427358126,3.7665742862193645,0.06415071226916975,-0.004986004764834121,0.07768369921529925,0.02594957986789926,3.5973211967902796,0.8282842543824637,True,False,False,False,False,0,1.483455915077612,0.4999999999999999,1.0,15.0,0.7
train,p042,p042_neutral_front,True,0,11,1,6.558856589351704e-09,0.07282127159420138,0.04203713879837726,6.305570819756589,0.05314674654904289,0.022297619563372863,3.3011330838461617,0.05304008667695452,-0.003365393595012986,0.21783142744178044,0.07369563099805565,3.056356991661802,0.24398107827323198,True,False,False,False,False,0,1.483455915077612,0.4999999999999999,1.0,15.0,0.7
train,p043,p043_neutral_front,True,11,11,2,7.994552580919967e-08,0.08083591577520408,0.027635030629482277,4.145254594422341,0.06696593749416499,0.029032728708825544,4.118483970272342,0.06665433575654915,-0.006452620345691047,0.2026674045256057,0.07188014763708908,4.159643811943688,0.3304228307009492,True,False,False,False,False,0,1.483455915077612,0.4999999999999999,1.0,15.0,0.7
train,p044,p044_neutral_front,True,18,11,1,1.528328499197981e-09,0.13837157608966502,0.09999999999999999,14.999999999999998,0.05972892204725911,0.013071650567727645,3.359632568247631,0.05971970810857829,-0.0010490912037392764,0.2992553153021787,0.0727316073469712,2.1310980076252113,0.19959185014624287,True,False,False,False,True,0,1.483455915077612,0.4999999999999999,1.0,15.0,0.7
train,p045,p045_neutral_front,True,9,10,2,1.8237145765726132e-08,0.10293253107512623,0.06130059919589353,9.19508987938403,0.06423234808635113,0.019964012083446253,3.64880100847245,0.06408332986113481,-0.004372799400288345,0.07099067442346137,0.016718917997207206,3.22898716565767,0.9047998009316459,True,False,False,False,False,0,1.483455915077612,0.4999999999999999,1.0,15.0,0.7
train,p046,p046_neutral_front,True,27,9,1,3.3588576019122275e-09,0.1402849639225032,0.09999999999999999,14.999999999999998,0.10917686737912642,0.022892143015075656,5.881323610677265,0.10917320149227287,-0.0008946768393951148,0.31630040055987113,0.08271466249826825,3.857598632620981,0.3451682868117671,True,False,False,False,True,0,1.483455915077612,0.4999999999999999,1.0,15.0,0.7
train,p047,p047_neutral_front,True,3,6,2,3.609323008842845e-08,0.11712697425898633,0.09999999999999999,14.999999999999998,0.07864917999197833,0.019167651242055855,4.254268837867347,0.07863502090626005,0.0014923138016683863,0.17979961826830254,0.050854343124188364,2.317248532768904,0.43742684633854784,True,False,False,False,True,0,1.483455915077612,0.4999999999999999,1.0,15.0,0.7
train,p048,p048_neutral_front,True,19,7,1,9.645253228481821e-09,0.09907508264170826,0.09999999999999999,14.999999999999998,0.09000461197895217,0.02560921786016831,4.9785341338367965,0.08986731172186155,0.0049695534374336525,0.08950391848216183,0.030075399418689485,3.5257220820262236,1.0055940958259848,False,False,False,False,True,0,1.483455915077612,0.4999999999999999,1.0,15.0,0.7
train,p049,p049_neutral_front,True,16,6,1,7.461099318531744e-09,0.11986738066397101,0.09999999999999999,14.999999999999998,0.0651836707014073,0.013649875939511513,3.149474135362665,0.06517420734842196,-0.0011106856505814203,0.1941819329745693,0.04862203581434206,2.6251650421018233,0.3356834989892905,True,False,False,False,True,0,1.483455915077612,0.4999999999999999,1.0,15.0,0.7
train,p050,p050_neutral_front,True,15,8,1,2.4668972254305936e-09,0.09065274489721385,0.09999999999999999,14.999999999999998,0.051758265149509354,0.01357124182011014,2.5930947827333943,0.051731352082230675,0.001668898748037785,0.0304992767028287,0.009199804867344948,1.7070809514532033,1.6970325445360137,False,False,False,False,True,0,1.483455915077612,0.4999999999999999,1.0,15.0,0.7
train,p051,p051_neutral_front,True,3,8,1,5.864774854455084e-09,0.09551069443032967,0.09999999999999999,14.999999999999998,0.05124944681975686,0.012932426635400493,2.561957270937681,0.05123539345857253,0.0012001068603878342,0.0464982428616628,0.013930228041247961,1.6228434201233641,1.1021802903870883,False,False,False,False,True,0,1.483455915077612,0.4999999999999999,1.0,15.0,0.7
