candidate,parameter,value,centered_logrmse,solver_success,nfev,grid_kind,normalized_value
V2R-PS,delta_bs,0.09999999999999998,0.06836408629297458,True,22,uniform_or_exact_optimum,0.6
V2R-PS,delta_bs,0.12,0.06802325413748175,True,23,uniform_or_exact_optimum,0.62
V2R-PS,delta_bs,0.14,0.06769439180666172,True,29,uniform_or_exact_optimum,0.64
V2R-PS,delta_bs,0.16000000000000003,0.06737805164761487,True,19,uniform_or_exact_optimum,0.66
V2R-PS,delta_bs,0.18000000000000005,0.06707419315495503,True,30,uniform_or_exact_optimum,0.68
V2R-PS,delta_bs,0.20000000000000007,0.0667829778500658,True,29,uniform_or_exact_optimum,0.7000000000000001
V2R-PS,delta_bs,0.21999999999999997,0.06650471402801633,True,31,uniform_or_exact_optimum,0.72
V2R-PS,delta_bs,0.24,0.06623984800531635,True,45,uniform_or_exact_optimum,0.74
V2R-PS,delta_bs,0.26,0.06598489370237616,True,26,uniform_or_exact_optimum,0.76
V2R-PS,delta_bs,0.28,0.06573591822473036,True,40,uniform_or_exact_optimum,0.78
V2R-PS,delta_bs,0.30000000000000004,0.06549304137374547,True,45,uniform_or_exact_optimum,0.8
V2R-PS,delta_bs,0.32000000000000006,0.06525623517715085,True,34,uniform_or_exact_optimum,0.8200000000000001
V2R-PS,delta_bs,0.33999999999999997,0.0650252326480882,True,25,uniform_or_exact_optimum,0.84
V2R-PS,delta_bs,0.36,0.06480011921726234,True,55,uniform_or_exact_optimum,0.86
V2R-PS,delta_bs,0.38,0.06458099632847955,True,46,uniform_or_exact_optimum,0.88
V2R-PS,delta_bs,0.4,0.06436763140465089,True,32,uniform_or_exact_optimum,0.9
V2R-PS,delta_bs,0.42000000000000004,0.0641597935743518,True,31,uniform_or_exact_optimum,0.92
V2R-PS,delta_bs,0.44000000000000006,0.06395738163137811,True,25,uniform_or_exact_optimum,0.9400000000000001
V2R-PS,delta_bs,0.45999999999999996,0.06376047111599029,True,45,uniform_or_exact_optimum,0.96
V2R-PS,delta_bs,0.48,0.06356904902611048,True,27,uniform_or_exact_optimum,0.98
V2R-PS,delta_bs,0.5,0.06338284428416627,True,4,uniform_or_exact_optimum,1.0
