camera_name,illuminant_name,camera_light_qualified,m,h,observation_space,sigma_max,sigma_min,sigma_ratio,condition_number,numerical_rank,finite,status
Canon 1DMarkIII,D65,True,0.8,0.35,linear_srgb_unclipped,0.374229587586,0.011639329657,0.0311021096223,32.152159842,2,True,PASS
Canon 1DMarkIII,D65,True,0.8,0.35,chromaticity,0.321874869859,0.0202838964592,0.0630179562266,15.8684930435,2,True,PASS
Canon 1DMarkIII,D65,True,0.8,0.5,camera_rgb_wb,0.295880532492,0.00480231415477,0.0162305850754,61.6120734621,2,True,PASS
Canon 1DMarkIII,D65,True,0.8,0.5,linear_srgb_unclipped,0.365569061863,0.00983748864802,0.0269100689153,37.160811559,2,True,PASS
Canon 1DMarkIII,D65,True,0.8,0.5,chromaticity,0.320153719037,0.017862847921,0.0557945975911,17.9228821996,2,True,PASS
Canon 1DMarkIII,D65,True,0.8,0.65,camera_rgb_wb,0.28750912214,0.00415299237191,0.0144447325392,69.229388449,2,True,PASS
Canon 1DMarkIII,D65,True,0.8,0.65,linear_srgb_unclipped,0.357866729474,0.00847396520147,0.0236791087395,42.231319219,2,True,PASS
Canon 1DMarkIII,D65,True,0.8,0.65,chromaticity,0.318599415346,0.0159738052207,0.0501375848521,19.9451170803,2,True,PASS
Canon 1DMarkIII,D65,True,0.8,0.8,camera_rgb_wb,0.280027835452,0.00364245327595,0.0130074685971,76.8789094155,2,True,PASS
Canon 1DMarkIII,D65,True,0.8,0.8,linear_srgb_unclipped,0.350914826065,0.00740640938759,0.0211060030454,47.3798851375,2,True,PASS
Canon 1DMarkIII,D65,True,0.8,0.8,chromaticity,0.317152944262,0.0144518534414,0.0455674579186,21.9454857848,2,True,PASS
Canon 20D,D65,True,0.2,0.2,camera_rgb_wb,1.48486940212,0.0311277725303,0.020963306595,47.702398258,2,True,PASS
Canon 20D,D65,True,0.2,0.2,linear_srgb_unclipped,1.45025857097,0.0613117451723,0.0422764232529,23.6538458804,2,True,PASS
Canon 20D,D65,True,0.2,0.2,chromaticity,0.500032869782,0.0301159777788,0.0602279961953,16.6035741378,2,True,PASS
Canon 20D,D65,True,0.2,0.35,camera_rgb_wb,1.41728755121,0.0262117492955,0.0184943057413,54.0706968937,2,True,PASS
Canon 20D,D65,True,0.2,0.35,linear_srgb_unclipped,1.39027360594,0.0512703715873,0.0368779004134,27.1165112111,2,True,PASS
