m,h,shading,specular,illuminant_name,deltae00
0.0,0.5,0.5,0.1,A,0.0279477652724
0.0,0.5,0.5,0.1,FL2,0.0313122836164
0.0,0.5,0.5,0.1,FL11,0.101016233967
0.0,0.5,1.0,0.0,D65,0.0819832839985
0.0,0.5,1.0,0.0,A,0.0397293701639
0.0,0.5,1.0,0.0,FL2,0.0463477606998
0.0,0.5,1.0,0.0,FL11,0.137923441052
0.0,0.5,1.0,0.03,D65,0.0792608419213
0.0,0.5,1.0,0.03,A,0.0384833058912
0.0,0.5,1.0,0.03,FL2,0.0448857248278
0.0,0.5,1.0,0.03,FL11,0.134505046416
0.0,0.5,1.0,0.1,D65,0.0737168332967
0.0,0.5,1.0,0.1,A,0.0360063092949
0.0,0.5,1.0,0.1,FL2,0.0418361732459
0.0,0.5,1.0,0.1,FL11,0.127303887667
0.0,0.5,1.5,0.0,D65,0.0910205857761
0.0,0.5,1.5,0.0,A,0.0438473771713
0.0,0.5,1.5,0.0,FL2,0.0508956802855
0.0,0.5,1.5,0.0,FL11,0.148513818816
0.0,0.5,1.5,0.03,D65,0.0890873043057
0.0,0.5,1.5,0.03,A,0.0429059893188
0.0,0.5,1.5,0.03,FL2,0.0499388075452
0.0,0.5,1.5,0.03,FL11,0.146174243875
0.0,0.5,1.5,0.1,D65,0.0849445351825
0.0,0.5,1.5,0.1,A,0.0409468128512
0.0,0.5,1.5,0.1,FL2,0.0478232028089
0.0,0.5,1.5,0.1,FL11,0.141152507355
0.0,0.6,0.5,0.0,D65,0.068383294788
0.0,0.6,0.5,0.0,A,0.0333253572969
0.0,0.6,0.5,0.0,FL2,0.0388578933695
0.0,0.6,0.5,0.0,FL11,0.120172183605
0.0,0.6,0.5,0.03,D65,0.0636998119675
0.0,0.6,0.5,0.03,A,0.0312850629056
0.0,0.6,0.5,0.03,FL2,0.0361718600575
0.0,0.6,0.5,0.03,FL11,0.113546457953
0.0,0.6,0.5,0.1,D65,0.055418228141
0.0,0.6,0.5,0.1,A,0.0277161298952
0.0,0.6,0.5,0.1,FL2,0.0313724968304
0.0,0.6,0.5,0.1,FL11,0.101266431329
0.0,0.6,1.0,0.0,D65,0.0825302195067
0.0,0.6,1.0,0.0,A,0.0393475770771
0.0,0.6,1.0,0.0,FL2,0.0464867596608
0.0,0.6,1.0,0.0,FL11,0.137676198447
