case_id,patch_id,shape,dtype,unique,binary_0_255,valid_fraction,pass
101044067,P04,"(256, 256)",uint8,"[0, 255]",True,0.643951416015625,True
101044067,P05,"(256, 256)",uint8,"[0, 255]",True,0.4713897705078125,True
101044067,P06,"(256, 256)",uint8,"[0, 255]",True,0.6573028564453125,True
101044067,P07,"(256, 256)",uint8,"[0, 255]",True,0.832916259765625,True
101044067,P08,"(256, 256)",uint8,"[0, 255]",True,0.5482330322265625,True
101044067,P09,"(256, 256)",uint8,"[0, 255]",True,0.7562255859375,True
101044067,P10,"(256, 256)",uint8,"[0, 255]",True,0.9590606689453125,True
101044067,P11,"(256, 256)",uint8,"[0, 255]",True,0.982757568359375,True
101044067,P12,"(256, 256)",uint8,"[0, 255]",True,0.8227691650390625,True
101044067,P13,"(256, 256)",uint8,"[0, 255]",True,0.50030517578125,True
101044067,P14,"(256, 256)",uint8,"[0, 255]",True,0.81671142578125,True
101044067,P15,"(256, 256)",uint8,"[0, 255]",True,0.5974273681640625,True
101044067,P16,"(256, 256)",uint8,"[0, 255]",True,0.652496337890625,True
101044067,P17,"(256, 256)",uint8,"[0, 255]",True,0.0730743408203125,True
101044067,P18,"(256, 256)",uint8,"[0, 255]",True,0.6375732421875,True
101044067,P19,"(256, 256)",uint8,"[0, 255]",True,0.7298126220703125,True
101044067,P20,"(256, 256)",uint8,"[0, 255]",True,0.1218414306640625,True
101295911,P01,"(256, 256)",uint8,"[0, 255]",True,0.4856414794921875,True
101295911,P02,"(256, 256)",uint8,"[0, 255]",True,0.995849609375,True
101295911,P03,"(256, 256)",uint8,[255],True,1.0,True
101295911,P04,"(256, 256)",uint8,"[0, 255]",True,0.6084747314453125,True
101295911,P05,"(256, 256)",uint8,"[0, 255]",True,0.5993194580078125,True
101295911,P06,"(256, 256)",uint8,"[0, 255]",True,0.525604248046875,True
101295911,P07,"(256, 256)",uint8,"[0, 255]",True,0.8032073974609375,True
101295911,P08,"(256, 256)",uint8,"[0, 255]",True,0.5142059326171875,True
