case_id,patch_id,shape,dtype,finite,min,max,hwc_to_chw_shape,range_ok,full_slice_equal,pass
101044067,P17,"(256, 256, 3)",float32,True,0.0,0.8305593729019165,"(3, 256, 256)",True,True,True
101044067,P18,"(256, 256, 3)",float32,True,0.0,0.9814485311508179,"(3, 256, 256)",True,True,True
101044067,P19,"(256, 256, 3)",float32,True,0.0,0.9042869210243225,"(3, 256, 256)",True,True,True
101044067,P20,"(256, 256, 3)",float32,True,0.0,0.7179940938949585,"(3, 256, 256)",True,True,True
101295911,P01,"(256, 256, 3)",float32,True,0.0,0.537592887878418,"(3, 256, 256)",True,True,True
101295911,P02,"(256, 256, 3)",float32,True,0.0,0.6194514036178589,"(3, 256, 256)",True,True,True
101295911,P03,"(256, 256, 3)",float32,True,0.10605793446302414,0.6038274168968201,"(3, 256, 256)",True,True,True
101295911,P04,"(256, 256, 3)",float32,True,0.0,0.5259896516799927,"(3, 256, 256)",True,True,True
101295911,P05,"(256, 256, 3)",float32,True,0.0,0.5088814496994019,"(3, 256, 256)",True,True,True
101295911,P06,"(256, 256, 3)",float32,True,0.0,0.6066216230392456,"(3, 256, 256)",True,True,True
101295911,P07,"(256, 256, 3)",float32,True,0.0,0.5953123569488525,"(3, 256, 256)",True,True,True
101295911,P08,"(256, 256, 3)",float32,True,0.0,0.5149332284927368,"(3, 256, 256)",True,True,True
101295911,P09,"(256, 256, 3)",float32,True,0.0,0.544340968132019,"(3, 256, 256)",True,True,True
101295911,P10,"(256, 256, 3)",float32,True,0.0,0.5704254508018494,"(3, 256, 256)",True,True,True
101295911,P11,"(256, 256, 3)",float32,True,0.0,0.5689203143119812,"(3, 256, 256)",True,True,True
101295911,P12,"(256, 256, 3)",float32,True,0.0,0.4936422109603882,"(3, 256, 256)",True,True,True
101295911,P13,"(256, 256, 3)",float32,True,0.0,0.5412726402282715,"(3, 256, 256)",True,True,True
101295911,P14,"(256, 256, 3)",float32,True,0.0,0.5311830639839172,"(3, 256, 256)",True,True,True
101295911,P15,"(256, 256, 3)",float32,True,0.0,0.5174465775489807,"(3, 256, 256)",True,True,True
101295911,P16,"(256, 256, 3)",float32,True,0.0,0.4735315442085266,"(3, 256, 256)",True,True,True
101295911,P17,"(256, 256, 3)",float32,True,0.0,0.3736061453819275,"(3, 256, 256)",True,True,True
101295911,P18,"(256, 256, 3)",float32,True,0.0,0.35641980171203613,"(3, 256, 256)",True,True,True
101295911,P19,"(256, 256, 3)",float32,True,0.0,0.3237394392490387,"(3, 256, 256)",True,True,True
101295911,P20,"(256, 256, 3)",float32,True,0.0,0.35442325472831726,"(3, 256, 256)",True,True,True
101377780,P01,"(256, 256, 3)",float32,True,0.0,0.6247387528419495,"(3, 256, 256)",True,True,True
101377780,P02,"(256, 256, 3)",float32,True,0.08437621593475342,0.7118489742279053,"(3, 256, 256)",True,True,True
101377780,P03,"(256, 256, 3)",float32,True,0.08764538168907166,0.6944844722747803,"(3, 256, 256)",True,True,True
101377780,P04,"(256, 256, 3)",float32,True,0.0,0.5956370234489441,"(3, 256, 256)",True,True,True
101377780,P05,"(256, 256, 3)",float32,True,0.0,0.7011457085609436,"(3, 256, 256)",True,True,True
101377780,P06,"(256, 256, 3)",float32,True,0.0,0.7158620953559875,"(3, 256, 256)",True,True,True
101377780,P07,"(256, 256, 3)",float32,True,0.0,0.8438814878463745,"(3, 256, 256)",True,True,True
101377780,P08,"(256, 256, 3)",float32,True,0.0,0.8438814878463745,"(3, 256, 256)",True,True,True
101377780,P09,"(256, 256, 3)",float32,True,0.0,0.7146967649459839,"(3, 256, 256)",True,True,True
101377780,P10,"(256, 256, 3)",float32,True,0.0,0.7158620953559875,"(3, 256, 256)",True,True,True
101377780,P11,"(256, 256, 3)",float32,True,0.0,0.8438814878463745,"(3, 256, 256)",True,True,True
101377780,P12,"(256, 256, 3)",float32,True,0.0,0.8438814878463745,"(3, 256, 256)",True,True,True
101377780,P13,"(256, 256, 3)",float32,True,0.0,0.5840784907341003,"(3, 256, 256)",True,True,True
101377780,P14,"(256, 256, 3)",float32,True,0.0,0.6136432886123657,"(3, 256, 256)",True,True,True
101377780,P15,"(256, 256, 3)",float32,True,0.0,0.6515842080116272,"(3, 256, 256)",True,True,True
101377780,P16,"(256, 256, 3)",float32,True,0.0,0.5701274275779724,"(3, 256, 256)",True,True,True
101377780,P17,"(256, 256, 3)",float32,True,0.0,0.47399401664733887,"(3, 256, 256)",True,True,True
101377780,P18,"(256, 256, 3)",float32,True,0.0,0.6001125574111938,"(3, 256, 256)",True,True,True
101377780,P19,"(256, 256, 3)",float32,True,0.0,0.5798283815383911,"(3, 256, 256)",True,True,True
101377780,P20,"(256, 256, 3)",float32,True,0.0,0.6130183935165405,"(3, 256, 256)",True,True,True
101588739,P01,"(256, 256, 3)",float32,True,0.0,0.7494091987609863,"(3, 256, 256)",True,True,True
101588739,P02,"(256, 256, 3)",float32,True,0.0,0.9153574109077454,"(3, 256, 256)",True,True,True
101588739,P03,"(256, 256, 3)",float32,True,0.0,0.6613640785217285,"(3, 256, 256)",True,True,True
