case_id,model,channel,orientation,position,seam_abs_first_difference,matched_local_reference_difference,seam_amplification_ratio,valid_pair_count
100960732,B1_baseline,H_sensitive,vertical,241,0.03453408181667328,0.0041785165667533875,8.264675096224591,988
100960732,B1_baseline,H_sensitive,vertical,482,0.01751968264579773,0.004328727722167969,4.047305297588916,1027
100960732,B1_baseline,H_sensitive,vertical,723,0.044279083609580994,0.005486428737640381,8.070656836883296,951
100960732,B1_baseline,H_sensitive,horizontal,241,0.037358224391937256,0.006327316164970398,5.904276538741249,531
100960732,B1_baseline,H_sensitive,horizontal,482,0.02806035429239273,0.007154293358325958,3.9221699311246074,658
100960732,B1_baseline,H_sensitive,horizontal,723,0.05836969614028931,0.006911516189575195,8.445280967421363,741
100960732,B1_baseline,H_sensitive,horizontal,964,0.05474323034286499,0.012304127216339111,4.449176229722351,349
100960732,B2_proposed_lambda_0p50,M_sensitive,vertical,241,0.055509302765131,0.005035407841205597,11.023794795699596,988
100960732,B2_proposed_lambda_0p50,M_sensitive,vertical,482,0.025890648365020752,0.005599468946456909,4.623768540904118,1027
100960732,B2_proposed_lambda_0p50,M_sensitive,vertical,723,0.01983654499053955,0.004005908966064453,4.951821210524375,951
100960732,B2_proposed_lambda_0p50,M_sensitive,horizontal,241,0.0221521258354187,0.004298653453588486,5.153270918308846,531
100960732,B2_proposed_lambda_0p50,M_sensitive,horizontal,482,0.021780699491500854,0.006392344832420349,3.407309846244115,658
100960732,B2_proposed_lambda_0p50,M_sensitive,horizontal,723,0.010160878300666809,0.0048694908618927,2.0866407981369086,741
100960732,B2_proposed_lambda_0p50,M_sensitive,horizontal,964,0.02562183141708374,0.008665531873703003,2.9567523133670184,349
100960732,B2_proposed_lambda_0p50,H_sensitive,vertical,241,0.017703384160995483,0.0017187893390655518,10.299915032240255,988
100960732,B2_proposed_lambda_0p50,H_sensitive,vertical,482,0.016540810465812683,0.0017897486686706543,9.241973885001679,1027
100960732,B2_proposed_lambda_0p50,H_sensitive,vertical,723,0.019404858350753784,0.0016850829124450684,11.515669760772491,951
100960732,B2_proposed_lambda_0p50,H_sensitive,horizontal,241,0.012528687715530396,0.002635568380355835,4.753694802289732,531
100960732,B2_proposed_lambda_0p50,H_sensitive,horizontal,482,0.012322284281253815,0.003056071698665619,4.032066486726101,658
100960732,B2_proposed_lambda_0p50,H_sensitive,horizontal,723,0.013201102614402771,0.002419799566268921,5.455452919723448,741
100960732,B2_proposed_lambda_0p50,H_sensitive,horizontal,964,0.03167612850666046,0.002935543656349182,10.790549282876018,349
101044067,B1_baseline,M_sensitive,vertical,241,0.014825984835624695,0.004161350429058075,3.562782102784308,933
101044067,B1_baseline,M_sensitive,vertical,482,0.02278187870979309,0.0030324533581733704,7.512688906121643,1065
101044067,B1_baseline,M_sensitive,vertical,723,0.05735024809837341,0.006182976067066193,9.275508665572186,915
101044067,B1_baseline,M_sensitive,horizontal,241,0.021336480975151062,0.004793286323547363,4.451326194699186,351
101044067,B1_baseline,M_sensitive,horizontal,482,0.026550263166427612,0.00466763973236084,5.688156045263294,538
101044067,B1_baseline,M_sensitive,horizontal,723,0.016310065984725952,0.004454854875802994,3.661189070300489,823
101044067,B1_baseline,M_sensitive,horizontal,964,0.019117295742034912,0.004813984036445618,3.971200484532324,428
101044067,B1_baseline,H_sensitive,vertical,241,0.036461494863033295,0.0032515376806259155,11.213615966708065,933
101044067,B1_baseline,H_sensitive,vertical,482,0.022566139698028564,0.002132028341293335,10.584352585930025,1065
101044067,B1_baseline,H_sensitive,vertical,723,0.027352675795555115,0.0033405497670173645,8.188076123706153,915
101044067,B1_baseline,H_sensitive,horizontal,241,0.033148348331451416,0.004362031817436218,7.599290814741247,351
101044067,B1_baseline,H_sensitive,horizontal,482,0.018303319811820984,0.004336044192314148,4.221202320779691,538
101044067,B1_baseline,H_sensitive,horizontal,723,0.023734450340270996,0.003650657832622528,6.5014173943328535,823
101044067,B1_baseline,H_sensitive,horizontal,964,0.0367998406291008,0.0045724064111709595,8.048243596882804,428
101044067,B2_proposed_lambda_0p50,M_sensitive,vertical,241,0.0416378527879715,0.004001252353191376,10.40620513333911,933
101044067,B2_proposed_lambda_0p50,M_sensitive,vertical,482,0.0072678327560424805,0.003569558262825012,2.0360594277720314,1065
101044067,B2_proposed_lambda_0p50,M_sensitive,vertical,723,0.012554734945297241,0.006015196442604065,2.0871695651181335,915
