model,channel,orientation,position,seam_abs_first_difference,seam_abs_first_difference,seam_abs_first_difference,seam_abs_first_difference,seam_abs_first_difference,matched_local_reference_difference,matched_local_reference_difference,matched_local_reference_difference,matched_local_reference_difference,matched_local_reference_difference,seam_amplification_ratio,seam_amplification_ratio,seam_amplification_ratio,seam_amplification_ratio,seam_amplification_ratio
,,,,mean,median,<lambda_0>,<lambda_1>,<lambda_2>,mean,median,<lambda_0>,<lambda_1>,<lambda_2>,mean,median,<lambda_0>,<lambda_1>,<lambda_2>
B1_baseline,M_sensitive,vertical,723,0.02292795269191265,0.02163226157426834,0.017033489421010017,0.02699941210448742,0.03942262679338455,0.004765030302107334,0.00462601613253355,0.0036652609705924988,0.005644124001264572,0.007566600292921066,5.146348900808904,4.628440684676437,3.66099795142813,5.871797112070038,9.252814624324001
B2_proposed_lambda_0p50,H_sensitive,horizontal,241,0.015312303714454174,0.012668762356042862,0.010265786200761795,0.016365904361009598,0.02556198202073574,0.0025636540800333023,0.0025128237903118134,0.002222485840320587,0.0028077252209186554,0.00337744802236557,6.099671488223649,5.049331327988469,4.040447784788684,6.437629154604748,9.765543571606907
B2_proposed_lambda_0p50,H_sensitive,horizontal,482,0.01320304423570633,0.012871518731117249,0.010806955397129059,0.015409179031848907,0.019587331265211103,0.002558464050292969,0.0025516748428344727,0.002309262752532959,0.002778923138976097,0.003178635612130165,5.224719389359456,5.151847368853497,4.171670287233733,6.119039207871046,7.804573214424637
B2_proposed_lambda_0p50,H_sensitive,horizontal,723,0.010690764859318733,0.009831219911575317,0.007749062031507492,0.012664664536714554,0.01914538815617561,0.002173155665397644,0.00214337557554245,0.0019389428198337555,0.0023723766207695007,0.0027490705251693717,4.945329609205529,4.632601439933873,3.7127570403387304,5.7773191039234,8.678507509526266
B2_proposed_lambda_0p50,H_sensitive,horizontal,964,0.02071585500240326,0.019719552248716354,0.014390911906957626,0.025071848183870316,0.035786499455571164,0.0031988517362624407,0.003155093640089035,0.0028220284730196,0.003522109240293503,0.004092589020729064,6.6075960906048845,6.182081855957389,4.6160293735163,8.00079414583996,12.138994334896864
B2_proposed_lambda_0p50,H_sensitive,vertical,241,0.015889890477061273,0.015185371041297913,0.012274498119950294,0.018446708098053932,0.02540394328534603,0.001709887683391571,0.0017053335905075073,0.0015372280031442642,0.0018733330070972443,0.002183395996689796,9.638160040260695,8.936281392940739,7.03142380837623,11.533860185995632,17.153449588828902
B2_proposed_lambda_0p50,H_sensitive,vertical,482,0.013392736092209817,0.012413155287504196,0.009906476363539696,0.01616763137280941,0.022030787169933317,0.0017243727147579194,0.001680724322795868,0.0014920439571142197,0.0019016154110431671,0.002278948575258255,7.865860988983891,7.301491726460032,6.005739576605002,9.37516028649041,12.259426520793982
B2_proposed_lambda_0p50,H_sensitive,vertical,723,0.017892095901072026,0.01683364063501358,0.01244940236210823,0.021940551698207855,0.03205555379390716,0.001829264722764492,0.0018016844987869263,0.00162578746676445,0.0020029470324516296,0.002319872751832008,9.959619206749977,8.97289588353844,6.773751717994739,12.357829147157721,18.17117262943122
B2_proposed_lambda_0p50,M_sensitive,horizontal,241,0.02498784066364169,0.02396368980407715,0.01867460459470749,0.03018011525273323,0.039440842904150474,0.0038806713668163868,0.003727920353412628,0.002916630357503891,0.004615206271409988,0.00652029700577259,7.371108863581613,6.62535031772628,4.366263782319032,9.384972256918834,14.497072758416246
B2_proposed_lambda_0p50,M_sensitive,horizontal,482,0.02098551473580301,0.020198657177388668,0.01645505055785179,0.024384556338191032,0.03259757496416568,0.0054485651422292,0.005377739667892456,0.00444282591342926,0.0064476486295461655,0.007949566282331942,4.114578011023267,3.7548782660778377,3.0402675990975454,4.710292402721201,7.288075060408633
B2_proposed_lambda_0p50,M_sensitive,horizontal,723,0.014651089873164892,0.013992447406053543,0.011469647288322449,0.01719694212079048,0.02334272637963294,0.003847401705570519,0.0037632305175065994,0.003128260374069214,0.004544438794255257,0.005720146000385284,4.138267786013426,3.706392103173389,2.8117850499023422,4.785471807726952,7.948048787557382
