ID,skin_pixel_n,valid_skin_pixel_ratio,skin_median_r,skin_median_g,skin_median_b,skin_linear_luminance_median,skin_lab_l_median,overexposed_pixel_ratio,underexposed_pixel_ratio,saturated_pixel_ratio,laplacian_variance,high_frequency_noise_mad
203036405,17255,0.34388950892857145,0.5019607843137255,0.3568627450980392,0.27450980392156865,0.12375299213216388,41.806484508445266,0.0,0.0028977108084613156,0.0006374963778614895,0.022408635579081747,0.018013496363746728
203044159,21223,0.4229711415816326,0.596078431372549,0.403921568627451,0.3058823529411765,0.16856935060316106,48.079265806637665,0.0,0.004240682278659944,4.7118691985110494e-05,0.010301965684973107,0.012046455910723959
203077259-1,19153,0.3817163584183674,0.6901960784313725,0.5294117647058824,0.403921568627451,0.2747005700012413,59.4069154368393,0.0,0.0016707565394455176,0.00026105570928836215,0.02169552355468292,0.019152024388039215
203111429,20791,0.4143614477040816,0.6941176470588235,0.5411764705882353,0.4666666666666667,0.2905140992203859,60.826973908597566,0.0,0.0026934731374152277,0.0007214660189505074,0.005521737166936851,0.011436706724144482
203151068,17629,0.35134327168367346,0.7098039215686275,0.5333333333333333,0.4392156862745098,0.28476378992686824,60.31669903450101,0.0,0.0004537977196664587,5.6724714958307334e-05,0.008881711582740787,0.012683926993677673
203193470,18421,0.3671277104591837,0.6705882352941176,0.5176470588235295,0.4117647058823529,0.2615270268710614,58.18171134127343,0.0,0.001954291297975137,0.00027142934694099124,0.012540577524258535,0.016326966681503522
203205673,20807,0.41468032525510207,0.7411764705882353,0.5254901960784314,0.41568627450980394,0.28891962259604226,60.68616191315628,0.0,0.0009612149757293218,0.00019224299514586436,0.01109204136100218,0.016659562166051765
203214852,17733,0.35341597576530615,0.7137254901960784,0.5529411764705883,0.4470588235294118,0.3033140900650926,61.939123545982156,0.0,0.0007894885242203801,0.0,0.009091574812951113,0.01763332596296791
203215331,20389,0.40634964923469385,0.6627450980392157,0.49411764705882355,0.3803921568627451,0.2418612519145224,56.27366661488327,0.0,0.006719309431556231,0.0011280592476335279,0.010207245678194093,0.014771858941378137
203240952-1,18564,0.36997767857142855,0.7333333333333333,0.5647058823529412,0.4588235294117647,0.31681165290969965,63.07849069004527,0.0,0.0005386770092652446,0.0,0.013701377833298459,0.019148371681644755
