ID,Make,Model,camera_id,variable,value,iqr_lower,iqr_upper,iqr_outlier,robust_z,mad_outlier_abs_z_gt_3_5,historical_high_iso_outlier
A002343275,HONOR,BVL-AN00,HONOR/BVL-AN00,brightness_residual,0.3941449731128297,-1.252121335271099,-0.5205527659469233,True,9.667686419477187,True,False
A001266125,HONOR,BVL-AN00,HONOR/BVL-AN00,device_centered_brightness,2.2442396209942874,-2.041474644970163,1.9585253365966575,True,3.158427964860498,False,False
A001632964,Xiaomi,M2006J10C,Xiaomi/M2006J10C,ExposureTime,0.050009,0.005001,0.045009,True,2.0234018151003226,False,False
A001636890,Xiaomi,M2006J10C,Xiaomi/M2006J10C,ExposureTime,0.050009,0.005001,0.045009,True,2.0234018151003226,False,False
100960732,Xiaomi,M2006J10C,Xiaomi/M2006J10C,ISOSpeedRatings,547.0,-67.75,474.25,True,3.8006962114223652,True,False
201239406,Xiaomi,M2006J10C,Xiaomi/M2006J10C,ISOSpeedRatings,476.0,-67.75,474.25,True,3.040556969137892,False,False
204364833,Xiaomi,M2006J10C,Xiaomi/M2006J10C,ISOSpeedRatings,610.0,-67.75,474.25,True,4.475185961618447,True,False
205196366,Xiaomi,M2006J10C,Xiaomi/M2006J10C,ISOSpeedRatings,553.0,-67.75,474.25,True,3.864933330488659,True,False
205471698,Xiaomi,M2006J10C,Xiaomi/M2006J10C,ISOSpeedRatings,568.0,-67.75,474.25,True,4.025526128154392,True,False
206133320,Xiaomi,M2006J10C,Xiaomi/M2006J10C,ISOSpeedRatings,623.0,-67.75,474.25,True,4.614366386262082,True,False
A001028520,Xiaomi,M2006J10C,Xiaomi/M2006J10C,ISOSpeedRatings,871.0,-67.75,474.25,True,7.269500641002214,True,True
A001438120,Xiaomi,M2006J10C,Xiaomi/M2006J10C,ISOSpeedRatings,700.0,-67.75,474.25,True,5.4387427476128485,True,True
A001630535,Xiaomi,M2006J10C,Xiaomi/M2006J10C,ISOSpeedRatings,475.0,-67.75,474.25,True,3.0298507826268435,False,False
A001632964,Xiaomi,M2006J10C,Xiaomi/M2006J10C,ISOSpeedRatings,1082.0,-67.75,474.25,True,9.528505994833534,True,True
A001636890,Xiaomi,M2006J10C,Xiaomi/M2006J10C,ISOSpeedRatings,1115.0,-67.75,474.25,True,9.881810149698149,True,True
A001722742,Xiaomi,M2006J10C,Xiaomi/M2006J10C,ISOSpeedRatings,710.0,-67.75,474.25,True,5.545804612723338,True,True
A001632964,Xiaomi,M2006J10C,Xiaomi/M2006J10C,BrightnessValue,3.8,4.049999999999998,10.850000000000001,True,-3.0352038758823654,False,False
A001660452,Xiaomi,M2006J10C,Xiaomi/M2006J10C,BrightnessValue,10.9,4.049999999999998,10.850000000000001,True,2.950892657107855,False,False
101737098,Xiaomi,M2006J10C,Xiaomi/M2006J10C,log2_exposure_time,-6.643423446170754,-6.521011430698335,-4.181161427813711,True,-1.1528815357972773,False,False
201999677,Xiaomi,M2006J10C,Xiaomi/M2006J10C,log2_exposure_time,-6.643423446170754,-6.521011430698335,-4.181161427813711,True,-1.1528815357972773,False,False
202045494,Xiaomi,M2006J10C,Xiaomi/M2006J10C,log2_exposure_time,-6.643423446170754,-6.521011430698335,-4.181161427813711,True,-1.1528815357972773,False,False
203807236,Xiaomi,M2006J10C,Xiaomi/M2006J10C,log2_exposure_time,-6.643567679616601,-6.521011430698335,-4.181161427813711,True,-1.153047843861024,False,False
205292128,Xiaomi,M2006J10C,Xiaomi/M2006J10C,log2_exposure_time,-6.643423446170754,-6.521011430698335,-4.181161427813711,True,-1.1528815357972773,False,False
9300298484,Xiaomi,M2006J10C,Xiaomi/M2006J10C,log2_exposure_time,-6.643423446170754,-6.521011430698335,-4.181161427813711,True,-1.1528815357972773,False,False
9300706043,Xiaomi,M2006J10C,Xiaomi/M2006J10C,log2_exposure_time,-6.643567679616601,-6.521011430698335,-4.181161427813711,True,-1.153047843861024,False,False
9300858338,Xiaomi,M2006J10C,Xiaomi/M2006J10C,log2_exposure_time,-6.643567679616601,-6.521011430698335,-4.181161427813711,True,-1.153047843861024,False,False
A000327597,Xiaomi,M2006J10C,Xiaomi/M2006J10C,log2_exposure_time,-6.643423446170754,-6.521011430698335,-4.181161427813711,True,-1.1528815357972773,False,False
A001534217,Xiaomi,M2006J10C,Xiaomi/M2006J10C,log2_exposure_time,-6.643423446170754,-6.521011430698335,-4.181161427813711,True,-1.1528815357972773,False,False
A001545475,Xiaomi,M2006J10C,Xiaomi/M2006J10C,log2_exposure_time,-6.643423446170754,-6.521011430698335,-4.181161427813711,True,-1.1528815357972773,False,False
A001570399,Xiaomi,M2006J10C,Xiaomi/M2006J10C,log2_exposure_time,-6.643567679616601,-6.521011430698335,-4.181161427813711,True,-1.153047843861024,False,False
A001601356,Xiaomi,M2006J10C,Xiaomi/M2006J10C,log2_exposure_time,-6.643567679616601,-6.521011430698335,-4.181161427813711,True,-1.153047843861024,False,False
A001602118,Xiaomi,M2006J10C,Xiaomi/M2006J10C,log2_exposure_time,-6.643567679616601,-6.521011430698335,-4.181161427813711,True,-1.153047843861024,False,False
A001604205,Xiaomi,M2006J10C,Xiaomi/M2006J10C,log2_exposure_time,-6.643567679616601,-6.521011430698335,-4.181161427813711,True,-1.153047843861024,False,False
A001616193,Xiaomi,M2006J10C,Xiaomi/M2006J10C,log2_exposure_time,-6.643423446170754,-6.521011430698335,-4.181161427813711,True,-1.1528815357972773,False,False
A001623880,Xiaomi,M2006J10C,Xiaomi/M2006J10C,log2_exposure_time,-6.79010001393109,-6.521011430698335,-4.181161427813711,True,-1.3220066359982678,False,False
A001635014,Xiaomi,M2006J10C,Xiaomi/M2006J10C,log2_exposure_time,-6.643423446170754,-6.521011430698335,-4.181161427813711,True,-1.1528815357972773,False,False
