ID,Make,Model,camera_id,ExposureTime,FNumber,ISOSpeedRatings,BrightnessValue,log2_exposure_time,log2_iso_gain,aperture_value_from_f,time_value_from_t,EV100,relative_optical_exposure,combined_exposure_gain,sensitivity_value,brightness_apex_pred,brightness_residual,device_centered_brightness,skin_pixel_n,valid_skin_pixel_ratio,skin_median_r,skin_median_g,skin_median_b,skin_linear_luminance_median,skin_lab_l_median,overexposed_pixel_ratio,underexposed_pixel_ratio,saturated_pixel_ratio,laplacian_variance,high_frequency_noise_mad
A001922909,HONOR,BVL-AN00,HONOR/BVL-AN00,0.02,1.9,400.0,-0.26,-5.643856189774724,2.0,1.851998837112446,5.643856189774724,7.49585502688717,-7.49585502688717,-5.49585502688717,7.0,0.4958550268871704,-0.7558550268871704,-0.37788018259041395,21663,0.43174027423469385,0.7098039215686275,0.5411764705882353,0.43137254901960786,0.29101313931995815,60.87093942653482,0.0,0.00046161658126759914,9.232331625351982e-05,0.01417904883683239,0.017481209053663873
A001923658,HONOR,BVL-AN00,HONOR/BVL-AN00,0.0055555555555555,1.9,125.0,4.45,-7.491853096329689,0.32192809488736235,1.851998837112446,7.491853096329689,9.343851933442135,-9.343851933442135,-9.021923838554773,5.321928094887363,4.021923838554772,0.42807616144522775,1.7926267198496466,16881,0.3364357461734694,0.6235294117647059,0.4666666666666667,0.4,0.2156034937249055,53.55738620326645,0.0,0.0,0.0,0.009067360106219153,0.01301975770544283
A001923871,HONOR,BVL-AN00,HONOR/BVL-AN00,0.02,1.9,500.0,-0.79,-5.643856189774724,2.321928094887362,1.851998837112446,5.643856189774724,7.49585502688717,-7.49585502688717,-5.173926931999809,7.321928094887363,0.1739269319998078,-0.9639269319998078,-0.6221198128012912,15305,0.30502630739795916,0.6901960784313725,0.5294117647058824,0.43137254901960786,0.2771566495418959,59.630985033850095,0.0,0.001829467494282914,0.0,0.010981130286199894,0.015054302756997796
A001923871-1,HONOR,BVL-AN00,HONOR/BVL-AN00,0.0083333333333333,1.9,50.0,3.34,-6.906890595608524,-1.0,1.851998837112446,6.906890595608524,8.75888943272097,-8.75888943272097,-9.75888943272097,4.0,4.75888943272097,-1.4188894327209702,1.281105984879696,17186,0.3425143494897959,0.6941176470588235,0.5098039215686274,0.43529411764705883,0.2643899204927923,58.451414212740524,0.0,0.0002327475852438031,0.046316769463516816,0.007355839609995829,0.011606398093497531
A001926690-1,HONOR,BVL-AN00,HONOR/BVL-AN00,0.01,1.9,80.0,2.91,-6.643856189774724,-0.3219280948873623,1.851998837112446,6.643856189774724,8.49585502688717,-8.49585502688717,-8.817783121774532,4.678071905112637,3.817783121774533,-0.9077831217745329,1.0829493037652107,20333,0.40523357780612246,0.7176470588235294,0.5019607843137255,0.41568627450980394,0.2651295245787805,58.5207734150074,0.0,0.0007868981458712438,0.011262479712782178,0.013680299505913469,0.017629962265514654
A001929481,HONOR,BVL-AN00,HONOR/BVL-AN00,0.02,1.9,250.0,0.24,-5.643856189774724,1.3219280948873624,1.851998837112446,5.643856189774724,7.49585502688717,-7.49585502688717,-6.173926931999808,6.321928094887363,1.1739269319998078,-0.9339269319998078,-0.14746543710845425,20243,0.4034398915816326,0.7294117647058823,0.5333333333333333,0.41568627450980394,0.28830696162590247,60.63191860681722,0.0,0.0,0.018080324062638937,0.010880820897993587,0.01577925225267809
A001931767,HONOR,BVL-AN00,HONOR/BVL-AN00,0.0058823529411764,1.9,50.0,4.32,-7.409390936137719,-1.0,1.851998837112446,7.409390936137719,9.261389773250166,-9.261389773250166,-10.261389773250166,4.0,5.2613897732501655,-0.9413897732501653,1.7327188860243372,21270,0.4239078443877551,0.6823529411764706,0.5098039215686274,0.4196078431372549,0.25997197342669104,58.0343895086106,0.0,0.00014104372355430183,4.701457451810061e-05,0.015053559162241258,0.018848452474751858
A001932596,HONOR,BVL-AN00,HONOR/BVL-AN00,0.02,1.9,640.0,-1.09,-5.643856189774724,2.678071905112638,1.851998837112446,5.643856189774724,7.49585502688717,-7.49585502688717,-4.817783121774532,7.678071905112637,-0.18221687822546695,-0.9077831217745331,-0.7603686600904671,17760,0.3539540816326531,0.7137254901960784,0.5333333333333333,0.43529411764705883,0.2872494328676113,60.538106850395536,0.0,0.0008445945945945946,0.00039414414414414413,0.006695340814803593,0.012720486831540152
A001934939,HONOR,BVL-AN00,HONOR/BVL-AN00,0.01,1.9,200.0,1.74,-6.643856189774724,1.0,1.851998837112446,6.643856189774724,8.49585502688717,-8.49585502688717,-7.49585502688717,6.0,2.4958550268871704,-0.7558550268871704,0.5437787993374249,20826,0.41505899234693877,0.7686274509803922,0.592156862745098,0.5098039215686274,0.3569005298527156,66.28241908332133,0.0,0.001536540862383559,0.00014405070584845865,0.012550224833217724,0.016009024930127114
A001938232,HONOR,BVL-AN00,HONOR/BVL-AN00,0.01,1.9,400.0,0.68,-6.643856189774724,2.0,1.851998837112446,6.643856189774724,8.49585502688717,-8.49585502688717,-6.49585502688717,7.0,1.4958550268871704,-0.8158550268871704,0.05529953891567033,16414,0.32712850765306123,0.7764705882352941,0.5725490196078431,0.4627450980392157,0.3376397884226262,64.77479448291204,0.0,0.0012184720360667724,0.014621664432801267,0.01215995558410297,0.01549466195611832
A001939588,HONOR,BVL-AN00,HONOR/BVL-AN00,0.01,1.9,64.0,3.37,-6.643856189774724,-0.6438561897747247,1.851998837112446,6.643856189774724,8.49585502688717,-8.49585502688717,-9.139711216661896,4.356143810225276,4.139711216661895,-0.7697112166618947,1.2949308696086137,17042,0.33964445153061223,0.6901960784313725,0.5058823529411764,0.41568627450980394,0.25961634072991135,58.000615272456486,0.0,0.005163713179204318,0.00041074991198216174,0.010200098106929692,0.014512141343340649
A001943777,HONOR,BVL-AN00,HONOR/BVL-AN00,0.0166666666666666,1.9,500.0,-0.48,-5.906890595608524,2.321928094887362,1.851998837112446,5.906890595608524,7.75888943272097,-7.75888943272097,-5.436961337833608,7.321928094887363,0.43696133783360747,-0.9169613378336074,-0.47926267060247624,15733,0.3135562818877551,0.6941176470588235,0.5333333333333333,0.4235294117647059,0.27990462199487237,59.88012061245959,0.0,0.0,0.0,0.002599379842092692,0.007016098168527647
A001945791,HONOR,BVL-AN00,HONOR/BVL-AN00,0.01,1.9,200.0,1.52,-6.643856189774724,1.0,1.851998837112446,6.643856189774724,8.49585502688717,-8.49585502688717,-7.49585502688717,6.0,2.4958550268871704,-0.9758550268871704,0.4423963113253626,21030,0.419124681122449,0.7450980392156863,0.5294117647058824,0.43137254901960786,0.29447056729553045,61.174167543436326,0.0,0.0019020446980504042,0.0007132667617689016,0.00774864314775709,0.012166403417670108
A001947099,HONOR,BVL-AN00,HONOR/BVL-AN00,0.01,1.9,200.0,1.6,-6.643856189774724,1.0,1.851998837112446,6.643856189774724,8.49585502688717,-8.49585502688717,-7.49585502688717,6.0,2.4958550268871704,-0.8958550268871703,0.47926267060247624,19086,0.3803810586734694,0.6705882352941176,0.48627450980392156,0.3686274509803922,0.23699536183503853,55.78569974505369,0.0,0.0026197212616577595,0.00031436655139893113,0.014606985245019731,0.017938025911679218
A001956441,HONOR,BVL-AN00,HONOR/BVL-AN00,0.02,1.9,80.0,1.29,-5.643856189774724,-0.3219280948873623,1.851998837112446,5.643856189774724,7.49585502688717,-7.49585502688717,-7.817783121774533,4.678071905112637,2.817783121774533,-1.527783121774533,0.33640552840366117,18541,0.36951929209183676,0.7529411764705882,0.5803921568627451,0.5019607843137255,0.3384017152324672,64.83550846855097,0.0,0.0,0.0,0.011645115953025042,0.0173513693952206
A001960061,HONOR,BVL-AN00,HONOR/BVL-AN00,0.0303030303030303,1.9,500.0,-1.43,-5.044394119358453,2.321928094887362,1.851998837112446,5.044394119358453,6.8963929564708994,-6.8963929564708994,-4.574464861583538,7.321928094887363,-0.4255351384164632,-1.0044648615835368,-0.9170506870181997,16460,0.3280452806122449,0.7098039215686275,0.5411764705882353,0.4392156862745098,0.29229364845749406,60.98352302202768,0.0,0.0007897934386391251,6.075334143377886e-05,0.013180027065894103,0.01545469441644452
A001961400,HONOR,BVL-AN00,HONOR/BVL-AN00,0.02,1.9,400.0,-0.28,-5.643856189774724,2.0,1.851998837112446,5.643856189774724,7.49585502688717,-7.49585502688717,-5.49585502688717,7.0,0.4958550268871704,-0.7758550268871705,-0.38709677240969237,19907,0.3967434630102041,0.7254901960784313,0.5568627450980392,0.4392156862745098,0.31014924305660774,62.52023024600892,0.0,0.0004521022755814538,0.0,0.0075074716207690064,0.01419608568649321
A001967399,HONOR,BVL-AN00,HONOR/BVL-AN00,0.0066666666666666,1.9,125.0,4.12,-7.2288186904958955,0.32192809488736235,1.851998837112446,7.2288186904958955,9.080817527608342,-9.080817527608342,-8.75888943272098,5.321928094887363,3.75888943272098,0.36111056727902024,1.6405529878315532,17979,0.3583187181122449,0.611764705882353,0.4627450980392157,0.4,0.2091059892910942,52.85151168782998,0.0,0.0007230657989877079,0.0,0.0068266608920511205,0.010016699606340732
A001967514,HONOR,BVL-AN00,HONOR/BVL-AN00,0.01,1.9,400.0,0.61,-6.643856189774724,2.0,1.851998837112446,6.643856189774724,8.49585502688717,-8.49585502688717,-6.49585502688717,7.0,1.4958550268871704,-0.8858550268871704,0.02304147454819594,21101,0.42053970025510207,0.7176470588235294,0.5294117647058824,0.4196078431372549,0.2857429923566629,60.404074380763575,0.0,0.0010899957347992985,0.000142173356712952,0.014706504111560489,0.020390090295828705
A001970601,HONOR,BVL-AN00,HONOR/BVL-AN00,0.01,1.9,320.0,1.04,-6.643856189774724,1.6780719051126378,1.851998837112446,6.643856189774724,8.49585502688717,-8.49585502688717,-6.817783121774532,6.678071905112637,1.817783121774533,-0.777783121774533,0.2211981556626813,15979,0.31845902423469385,0.6431372549019608,0.4980392156862745,0.41568627450980394,0.239721093799237,56.05985868511735,0.0,0.0006884035296326428,0.0,0.01331356921381434,0.017254185169693733
A001972097,HONOR,BVL-AN00,HONOR/BVL-AN00,0.01,1.9,250.0,1.19,-6.643856189774724,1.3219280948873624,1.851998837112446,6.643856189774724,8.49585502688717,-8.49585502688717,-7.173926931999808,6.321928094887363,2.173926931999808,-0.9839269319998079,0.2903225793072692,16960,0.3380102040816326,0.6901960784313725,0.5450980392156862,0.47058823529411764,0.29088802521939816,60.85992143338027,0.0,0.0011202830188679245,0.0001179245283018868,0.01737108933485982,0.01906232104973383
A001972942,HONOR,BVL-AN00,HONOR/BVL-AN00,0.01,1.9,200.0,1.43,-6.643856189774724,1.0,1.851998837112446,6.643856189774724,8.49585502688717,-8.49585502688717,-7.49585502688717,6.0,2.4958550268871704,-1.0658550268871705,0.40092165713860983,17497,0.3487125318877551,0.6666666666666666,0.5294117647058824,0.4745098039215686,0.2726611819562358,59.219843739833834,0.0,0.0012573584042978795,0.0,0.016185900796936735,0.018316432666081336
A001984210,HONOR,BVL-AN00,HONOR/BVL-AN00,0.01,1.9,200.0,1.5,-6.643856189774724,1.0,1.851998837112446,6.643856189774724,8.49585502688717,-8.49585502688717,-7.49585502688717,6.0,2.4958550268871704,-0.9958550268871704,0.43317972150608425,18412,0.3669483418367347,0.7137254901960784,0.5215686274509804,0.4,0.2761297541593041,59.5374624398213,0.0,0.007766673908320661,0.0017923093634586139,0.013424720960179829,0.018516771923439083
A001987737-1,HONOR,BVL-AN00,HONOR/BVL-AN00,0.02,1.9,160.0,2.37,-5.643856189774724,0.6780719051126377,1.851998837112446,5.643856189774724,7.49585502688717,-7.49585502688717,-6.817783121774533,5.678071905112637,1.817783121774533,0.5522168782254671,0.8341013786446941,20368,0.4059311224489796,0.6274509803921569,0.5137254901960784,0.4588235294117647,0.25106235855941683,57.178784351623435,0.0,4.909662215239592e-05,0.0,0.0016414176968581767,0.006834376888279822
A001989181,HONOR,BVL-AN00,HONOR/BVL-AN00,0.02,1.9,200.0,0.48,-5.643856189774724,1.0,1.851998837112446,5.643856189774724,7.49585502688717,-7.49585502688717,-6.49585502688717,6.0,1.4958550268871704,-1.0158550268871704,-0.03686635927711358,20543,0.4094188456632653,0.7176470588235294,0.5607843137254902,0.47058823529411764,0.31096363066351956,62.58889612840625,0.0,0.0027259893881127393,0.0013629946940563696,0.010680845317389418,0.012908254994892841
A001999129,HONOR,BVL-AN00,HONOR/BVL-AN00,0.01,1.9,125.0,2.14,-6.643856189774724,0.32192809488736235,1.851998837112446,6.643856189774724,8.49585502688717,-8.49585502688717,-8.173926931999809,5.321928094887363,3.173926931999808,-1.0339269319998077,0.7281105957229927,21302,0.4245455994897959,0.7098039215686275,0.5372549019607843,0.4392156862745098,0.28804522134159116,60.60872131725627,0.0,0.003051356680123932,0.0004694394892498357,0.01103296239622017,0.01637395690892003
A001999759,HONOR,BVL-AN00,HONOR/BVL-AN00,0.01,1.9,125.0,2.26,-6.643856189774724,0.32192809488736235,1.851998837112446,6.643856189774724,8.49585502688717,-8.49585502688717,-8.173926931999809,5.321928094887363,3.173926931999808,-0.913926931999808,0.7834101346386629,18353,0.3657724808673469,0.7098039215686275,0.5568627450980392,0.47058823529411764,0.30575439882000766,62.14758481628955,0.0,0.0007628180678908081,0.0,0.008670826705501684,0.013978645382731044
A002000465,HONOR,BVL-AN00,HONOR/BVL-AN00,0.01,1.9,250.0,1.16,-6.643856189774724,1.3219280948873624,1.851998837112446,6.643856189774724,8.49585502688717,-8.49585502688717,-7.173926931999808,6.321928094887363,2.173926931999808,-1.0139269319998079,0.2764976945783516,18787,0.37442203443877553,0.6509803921568628,0.5019607843137255,0.43137254901960786,0.24418262022128154,56.504156728643366,0.0,0.0013307074040559961,5.3228296162239846e-05,0.007348987816326322,0.01200770810114542
A002005314,HONOR,BVL-AN00,HONOR/BVL-AN00,0.01,1.9,200.0,1.63,-6.643856189774724,1.0,1.851998837112446,6.643856189774724,8.49585502688717,-8.49585502688717,-7.49585502688717,6.0,2.4958550268871704,-0.8658550268871705,0.4930875553313937,19413,0.386898118622449,0.6666666666666666,0.5372549019607843,0.47843137254901963,0.27800561335859786,59.70812855812579,0.0,0.00015453562046051616,0.0,0.01123229487424747,0.012188913241642022
A002005558,HONOR,BVL-AN00,HONOR/BVL-AN00,0.01,1.9,125.0,2.16,-6.643856189774724,0.32192809488736235,1.851998837112446,6.643856189774724,8.49585502688717,-8.49585502688717,-8.173926931999809,5.321928094887363,3.173926931999808,-1.0139269319998077,0.7373271855422712,18058,0.35989317602040816,0.7019607843137254,0.5333333333333333,0.4627450980392157,0.2829934079856448,60.158216021666256,0.0,0.0007752796544467826,0.0,0.007130140688586972,0.012953548439340778
A002006943,HONOR,BVL-AN00,HONOR/BVL-AN00,0.02,1.9,400.0,-0.36,-5.643856189774724,2.0,1.851998837112446,5.643856189774724,7.49585502688717,-7.49585502688717,-5.49585502688717,7.0,0.4958550268871704,-0.8558550268871704,-0.4239631316868059,16225,0.3233617665816326,0.6627450980392157,0.5254901960784314,0.41568627450980394,0.2641563291560791,58.42948194436498,0.0,0.002033898305084746,0.00012326656394453004,0.010125152248921902,0.014405252358239388
A002006943-1,HONOR,BVL-AN00,HONOR/BVL-AN00,0.01,1.9,125.0,2.38,-6.643856189774724,0.32192809488736235,1.851998837112446,6.643856189774724,8.49585502688717,-8.49585502688717,-8.173926931999809,5.321928094887363,3.173926931999808,-0.7939269319998079,0.8387096735543332,17493,0.3486328125,0.7490196078431373,0.5647058823529412,0.45098039215686275,0.32263246713235405,63.55986037440303,0.0,0.001943634596695821,0.0001714971702966901,0.008892629903021405,0.013870648626071305
A002007995,HONOR,BVL-AN00,HONOR/BVL-AN00,0.0303030303030303,1.9,100.0,0.57,-5.044394119358453,0.0,1.851998837112446,5.044394119358453,6.8963929564708994,-6.8963929564708994,-6.8963929564708994,5.0,1.8963929564708994,-1.3263929564708996,0.004608294909639147,17425,0.34727758290816324,0.7019607843137254,0.5333333333333333,0.43137254901960786,0.28355739066513574,60.20877481195498,0.0,0.0004591104734576758,0.0,0.009752926395544065,0.015992353237141772
A002011029,HONOR,BVL-AN00,HONOR/BVL-AN00,0.01,1.9,100.0,2.73,-6.643856189774724,0.0,1.851998837112446,6.643856189774724,8.49585502688717,-8.49585502688717,-8.49585502688717,5.0,3.4958550268871704,-0.7658550268871704,0.9999999953917051,18290,0.3645169005102041,0.7215686274509804,0.5411764705882353,0.45098039215686275,0.2958190506685089,61.29179065140468,0.0,5.467468562055768e-05,0.0,0.01354639241571708,0.01832153920468761
A002011740,HONOR,BVL-AN00,HONOR/BVL-AN00,0.0071428571428571,1.9,80.0,4.07,-7.129283016944975,-0.3219280948873623,1.851998837112446,7.129283016944975,8.981281854057421,-8.981281854057421,-9.303209948944783,4.678071905112637,4.303209948944784,-0.23320994894478364,1.6175115132833573,19273,0.3841079400510204,0.5843137254901961,0.44313725490196076,0.39215686274509803,0.19030717694885305,50.72312496316532,0.0,0.0008820629896746744,0.0,0.006052502359245434,0.010164946739952645
A002012347,HONOR,BVL-AN00,HONOR/BVL-AN00,0.01,1.9,250.0,1.21,-6.643856189774724,1.3219280948873624,1.851998837112446,6.643856189774724,8.49585502688717,-8.49585502688717,-7.173926931999808,6.321928094887363,2.173926931999808,-0.9639269319998078,0.2995391691265476,14022,0.2794563137755102,0.6823529411764706,0.5098039215686274,0.41568627450980394,0.2584147600632183,57.886273136077925,0.0,0.017329910141206675,0.01640279560690344,0.014365019100993661,0.01642263788187334
A002021001,HONOR,BVL-AN00,HONOR/BVL-AN00,0.01,1.9,64.0,3.07,-6.643856189774724,-0.6438561897747247,1.851998837112446,6.643856189774724,8.49585502688717,-8.49585502688717,-9.139711216661896,4.356143810225276,4.139711216661895,-1.069711216661895,1.1566820223194376,16490,0.32864317602040816,0.6431372549019608,0.47058823529411764,0.40784313725490196,0.22174627113373227,54.21179846009237,0.0,0.002061855670103093,0.0,0.008705909947348345,0.014461807178208445
A002021058-1,HONOR,BVL-AN00,HONOR/BVL-AN00,0.01,1.9,64.0,3.24,-6.643856189774724,-0.6438561897747247,1.851998837112446,6.643856189774724,8.49585502688717,-8.49585502688717,-9.139711216661896,4.356143810225276,4.139711216661895,-0.8997112166618946,1.235023035783304,14696,0.2928890306122449,0.7098039215686275,0.5627450980392157,0.49019607843137253,0.3115704955256676,62.6399859580984,0.0,0.0027218290691344584,0.0010206859009254218,0.015096001697234776,0.018827764047733165
A002021647,HONOR,BVL-AN00,HONOR/BVL-AN00,0.01,1.9,200.0,1.55,-6.643856189774724,1.0,1.851998837112446,6.643856189774724,8.49585502688717,-8.49585502688717,-7.49585502688717,6.0,2.4958550268871704,-0.9458550268871704,0.45622119605428024,18883,0.37633529974489793,0.6941176470588235,0.5725490196078431,0.5019607843137255,0.3157082338043287,62.98657675645882,0.0,0.0012709844833977651,0.0,0.014271217536557966,0.017587908685488707
A002030651,HONOR,BVL-AN00,HONOR/BVL-AN00,0.01,1.9,250.0,1.28,-6.643856189774724,1.3219280948873624,1.851998837112446,6.643856189774724,8.49585502688717,-8.49585502688717,-7.173926931999808,6.321928094887363,2.173926931999808,-0.8939269319998078,0.33179723349402196,16032,0.319515306122449,0.6980392156862745,0.5725490196078431,0.5019607843137255,0.3167378052589924,63.072345909167396,0.0,0.001309880239520958,0.0,0.01378116277251157,0.018531791027749264
A002031804,HONOR,BVL-AN00,HONOR/BVL-AN00,0.02,1.9,640.0,-0.95,-5.643856189774724,2.678071905112638,1.851998837112446,5.643856189774724,7.49585502688717,-7.49585502688717,-4.817783121774532,7.678071905112637,-0.18221687822546695,-0.767783121774533,-0.6958525313555184,19043,0.37952407525510207,0.6823529411764706,0.5254901960784314,0.4392156862745098,0.27204761996660454,59.163379647392546,0.0,0.0009452292180853857,0.00010502546867615396,0.013361812468794873,0.01792092474800167
A002037682,HONOR,BVL-AN00,HONOR/BVL-AN00,0.02,1.9,160.0,1.07,-5.643856189774724,0.6780719051126377,1.851998837112446,5.643856189774724,7.49585502688717,-7.49585502688717,-6.817783121774533,5.678071905112637,1.817783121774533,-0.747783121774533,0.2350230403915989,18274,0.3641980229591837,0.6274509803921569,0.4823529411764706,0.4196078431372549,0.22726238439349428,54.78922790552433,0.0,0.0002188902265513845,0.0,0.004642577508158351,0.010856105706088491
A002038079,HONOR,BVL-AN00,HONOR/BVL-AN00,0.01,1.9,320.0,0.94,-6.643856189774724,1.6780719051126378,1.851998837112446,6.643856189774724,8.49585502688717,-8.49585502688717,-6.817783121774532,6.678071905112637,1.817783121774533,-0.8777831217745331,0.17511520656628934,19337,0.38538345025510207,0.6980392156862745,0.5882352941176471,0.5294117647058824,0.328745730024765,64.05922151458152,0.0,0.001292858251021358,0.0,0.02369328415330691,0.02178519844958276
A002041601,HONOR,BVL-AN00,HONOR/BVL-AN00,0.01,1.9,80.0,3.04,-6.643856189774724,-0.3219280948873623,1.851998837112446,6.643856189774724,8.49585502688717,-8.49585502688717,-8.817783121774532,4.678071905112637,3.817783121774533,-0.777783121774533,1.14285713759052,19974,0.39807876275510207,0.7372549019607844,0.5529411764705883,0.47843137254901963,0.3113461248603313,62.62110512580461,0.0,0.0037048162611394812,0.00030039050765995795,0.008103504452203057,0.01411890029090355
A002042791,HONOR,BVL-AN00,HONOR/BVL-AN00,0.01,1.9,320.0,0.92,-6.643856189774724,1.6780719051126378,1.851998837112446,6.643856189774724,8.49585502688717,-8.49585502688717,-6.817783121774532,6.678071905112637,1.817783121774533,-0.897783121774533,0.16589861674701098,20665,0.4118502869897959,0.6196078431372549,0.49411764705882355,0.43137254901960786,0.23165953342562248,55.242865912871466,0.0,0.0003871279941930801,0.0,0.010518663435026934,0.01346531330684094
A002053206,HONOR,BVL-AN00,HONOR/BVL-AN00,0.009090909090909,1.9,80.0,3.7,-6.781359713524674,-0.3219280948873623,1.851998837112446,6.781359713524674,8.63335855063712,-8.63335855063712,-8.955286645524481,4.678071905112637,3.955286645524482,-0.25528664552448177,1.447004601626707,22183,0.44210379464285715,0.6352941176470588,0.47843137254901963,0.41568627450980394,0.2244054717216331,54.4913459986557,0.0,0.0,9.015913086597846e-05,0.010064145047506119,0.012312609815654064
