scope,camera_id,variable,total_n,valid_n,missing_n,unique_n,min,p1,p5,p25,median,p75,p95,p99,max,mean,std,iqr,mad
device,Xiaomi/M2006J10C,log2_iso_gain,239,239,0,169,-1.0,-0.7737841927186881,-0.39783955862590964,0.43828302937586056,0.9411063109464314,1.4380472563649547,2.2314218818109453,3.0106283150255497,3.4789718050329426,0.954684194733598,0.8262356429772155,0.9997642269890941,0.5081469036703251
device,HONOR/BVL-AN00,aperture_value_from_f,283,283,0,2,1.851998837112446,1.851998837112446,1.851998837112446,1.851998837112446,1.851998837112446,1.851998837112446,1.851998837112446,2.0,2.0,1.8582745047967244,0.02987601193934641,0.0,0.0
device,Xiaomi/M2006J10C,aperture_value_from_f,239,239,0,1,1.8367724688926959,1.8367724688926959,1.8367724688926959,1.8367724688926959,1.8367724688926959,1.8367724688926959,1.8367724688926959,1.8367724688926959,1.8367724688926959,1.8367724688926959,6.6753178864176045e-15,0.0,0.0
device,HONOR/BVL-AN00,time_value_from_t,283,283,0,29,4.643856189774724,4.643856189774724,5.044394119358453,5.643856189774724,5.906890595608524,6.643856189774724,7.409390936137719,8.129283016944996,8.813781191217052,6.1407719429326,0.7685035394843953,1.0,0.7369655941662003
device,Xiaomi/M2006J10C,time_value_from_t,239,239,0,8,4.321668433148858,4.643567679616601,4.643567679616601,5.058605178895445,5.643567679616601,5.643567679616601,6.643437869515338,6.643567679616601,6.87900051852002,5.428504392107173,0.5266898220629239,0.5849625007211561,0.5849625007211561
device,HONOR/BVL-AN00,EV100,283,283,0,31,6.643856189774724,6.643856189774724,6.8963929564708994,7.49585502688717,7.75888943272097,8.49585502688717,9.261389773250166,9.981281854057443,10.665780028329497,7.999046447729324,0.7592208908871103,1.0,0.7369655941662003
device,Xiaomi/M2006J10C,EV100,239,239,0,8,6.158440902041554,6.480340148509297,6.480340148509297,6.895377647788141,7.480340148509297,7.480340148509297,8.480210338408034,8.480340148509297,8.715772987412716,7.26527686099987,0.5266898220629236,0.5849625007211561,0.5849625007211561
device,HONOR/BVL-AN00,relative_optical_exposure,283,283,0,31,-10.665780028329497,-9.981281854057443,-9.261389773250166,-8.49585502688717,-7.75888943272097,-7.49585502688717,-6.8963929564708994,-6.643856189774724,-6.643856189774724,-7.999046447729324,0.7592208908871103,1.0,0.7369655941662003
device,Xiaomi/M2006J10C,relative_optical_exposure,239,239,0,8,-8.715772987412716,-8.480340148509297,-8.480210338408034,-7.480340148509297,-7.480340148509297,-6.895377647788141,-6.480340148509297,-6.480340148509297,-6.158440902041554,-7.26527686099987,0.5266898220629236,0.5849625007211561,0.5849625007211561
device,HONOR/BVL-AN00,combined_exposure_gain,283,283,0,65,-10.261389773250166,-9.816836489800696,-9.139711216661896,-7.49585502688717,-6.49585502688717,-5.173926931999809,-4.218321051358261,-3.5744648615835373,-3.2525367666961746,-6.4280370702820075,1.5168474863437151,2.3219280948873617,1.0
device,Xiaomi/M2006J10C,combined_exposure_gain,239,239,0,192,-9.715772987412716,-9.253980107782137,-8.466642911559388,-7.047380741233191,-6.336293778892591,-5.457330391423186,-4.288797226022997,-3.4697118334837476,-2.6794690970086115,-6.310592666266273,1.2819465204888763,1.5900503498100047,0.8304829428671754
device,HONOR/BVL-AN00,sensitivity_value,283,283,0,16,4.0,4.0,4.388336619714012,6.0,6.678071905112637,7.321928094887363,8.321928094887362,8.643856189774725,9.0,6.571009377447316,1.0872073643909455,1.3219280948873626,0.6780719051126374
device,Xiaomi/M2006J10C,sensitivity_value,239,239,0,169,4.0,4.226215807281312,4.602160441374091,5.43828302937586,5.941106310946432,6.438047256364954,7.231421881810945,8.01062831502555,8.478971805032943,5.954684194733598,0.8262356429772156,0.9997642269890941,0.5081469036703252
device,HONOR/BVL-AN00,brightness_apex_pred,283,283,0,66,-1.7474632333038258,-1.4255351384164623,-0.7816789486417379,0.1739269319998078,1.4958550268871704,2.4958550268871704,4.139711216661895,4.816836489800699,5.2613897732501655,1.4280370702820075,1.5168474863437147,2.3219280948873626,1.0
device,Xiaomi/M2006J10C,brightness_apex_pred,239,239,0,192,-2.320530902991389,-1.5302881665162507,-0.7112027739770027,0.457330391423187,1.3362937788925908,2.047380741233191,3.466642911559389,4.253980107782138,4.715772987412716,1.310592666266272,1.281946520488876,1.5900503498100038,0.8304829428671754
device,HONOR/BVL-AN00,brightness_residual,283,283,0,195,-1.527783121774533,-1.347189379275639,-1.0633125509772803,-0.9777831217745331,-0.8958550268871703,-0.7948909794434892,-0.7263292884683243,0.5777639353051933,2.9341449731128293,-0.8547155155116898,0.34327729212121094,0.1828921423310439,0.08999999999999986
device,Xiaomi/M2006J10C,brightness_residual,239,239,0,217,3.1995098512188385,3.709074518416798,5.781473256227457,6.0459138256731535,6.1623041888991965,6.300293057927918,6.4829442913774145,6.6402757709880875,6.908693675880719,6.114511936244188,0.4362087007359388,0.2543792322547649,0.13117330687865802
device,HONOR/BVL-AN00,device_centered_brightness,283,283,0,220,-1.4884792558134596,-1.347649763374886,-1.0626728061627981,-0.5414746518826054,0.0,0.4585253435090998,1.2898617452080103,1.7435022961128932,2.2442396209942874,0.006138965303653612,0.7259406059572632,0.9999999953917051,0.47926267060247624
device,Xiaomi/M2006J10C,device_centered_brightness,239,239,0,57,-2.1176470463667814,-1.6670588137231828,-1.2352941103806225,-0.4705882325259517,0.0,0.5294117615916955,1.24705881619377,1.8011764599930788,2.058823517301037,0.014767413154579846,0.7622201583377786,0.9999999941176472,0.4705882325259517
