subject_id,n_cheeks,logrmse,rmse,sam_deg,signed_residual_400nm,signed_residual_410nm,signed_residual_420nm,signed_residual_430nm,signed_residual_440nm,signed_residual_450nm,signed_residual_460nm,signed_residual_470nm,signed_residual_480nm,signed_residual_490nm,signed_residual_500nm,signed_residual_510nm,signed_residual_520nm,signed_residual_530nm,signed_residual_540nm,signed_residual_550nm,signed_residual_560nm,signed_residual_570nm,signed_residual_580nm,signed_residual_590nm,signed_residual_600nm,signed_residual_610nm,signed_residual_620nm,signed_residual_630nm,signed_residual_640nm,signed_residual_650nm,signed_residual_660nm,signed_residual_670nm,signed_residual_680nm,signed_residual_690nm,signed_residual_700nm,loo_reference_logrmse,model_to_loo_error_ratio,model_better_than_loo
p013,2,0.1978032869153965,0.06065195874246372,10.68363536161657,-0.20326662948322638,-0.14013276431491367,-0.053853643010642396,-0.02508289282304585,0.00801605918082414,0.013275985916837485,0.021252078849679848,0.042079375992592497,0.04976989182205127,0.05128123006863418,0.04217512348378208,0.0324649108304681,0.02043023715980087,0.011835826927025714,-0.0021866457281467244,-0.011482259260442593,-0.013377998924722745,-0.02104302322256535,-0.031392699574910504,0.015801984572809458,0.03996806560024288,0.01197616383864697,0.03275439925956031,0.014499833461457945,0.027097793555305616,0.001689739664691825,0.0346179293577113,0.00926293213431914,0.05640360866752614,0.007811138336592499,0.03306459439253301,0.250094124265705,0.790915370347711,True
p014,2,0.2934658793341507,0.06756089622857171,17.133387972362065,-0.24911930088479983,-0.16304276531176998,-0.08091863279820602,-0.0565058706944622,-0.022887411505223387,-0.01312720648403748,-0.0028455629639784763,0.018223161153821235,0.02868957237861111,0.033733143675647406,0.0328960280879759,0.030395434739830182,0.028451152517854586,0.027999961937682574,0.017913458264457144,-0.004800676492316608,0.004779597963398885,0.004131324279549639,-0.006389075768452435,0.014100701394897039,0.03328195514820384,0.023995976371945033,0.03973544972926821,0.03393361954049756,0.04564404459763158,0.026715154287122567,0.048241194636242546,0.0318001041347733,0.0640058440180763,0.027936045616149457,0.045707063093262584,0.34568635677763343,0.8489368283716382,True
p015,2,0.17644586198486367,0.05637704704105165,9.403407043905512,-0.197101847029023,-0.12952768666263295,-0.04400179978170583,-0.018501951828539157,0.007336733482750074,0.016689875934129517,0.02514055293650265,0.04690731465588316,0.053523011640060125,0.050454578809934036,0.0389766992644508,0.030367198137840945,0.0207564031222921,0.016817854553613953,0.0003951872752092911,-0.017234348944727057,-0.010503996434451407,-0.018040015740530255,-0.03063005348175138,0.01291701123778874,0.03785107523167866,0.008491586290591269,0.02518146549309097,0.007833470663724335,0.022043611007828562,-0.004707779312581262,0.02893480334897852,0.006713131698863728,0.050164184623666036,0.005153452502720368,0.02895802390082952,0.214388489256651,0.8230192889396919,True
p017,2,0.16529821108095918,0.05513611381092291,7.817128624871277,-0.1753404610619142,-0.11906986420117756,-0.03308651545278771,-0.0039048619374916216,0.02473512506720553,0.03598817230156201,0.039512079030177255,0.05902188968698982,0.06665845925357616,0.0657906087233189,0.05735663493858456,0.04763450983963413,0.03238152982054768,0.010818806504974104,-0.016751395516676898,-0.038975045847010836,-0.02413212969446296,-0.044534436411610145,-0.06935859211958934,-0.0008534403358667619,0.036908430907355044,0.00021494355877296756,0.017727205511611194,-0.007422624255015886,0.005661264318401388,-0.030099151999698814,0.009459693887662046,-0.03657127637710289,0.02612817742795115,-0.05321440310018233,-0.019267246129359095,0.23025585117422653,0.717889296788744,True
p018,2,0.2629211633236235,0.06271529003749804,14.705917615649504,-0.24233279008110475,-0.1558477853192679,-0.07480987448063334,-0.05088888036539373,-0.017063707159198332,-0.00966313771622633,0.0025544786418183058,0.024319942124478522,0.03342804953916799,0.038316080913868455,0.03588375166361138,0.03168701580388181,0.0281894834007613,0.029504477117819783,0.020212816372058226,0.0009367338747443554,0.004106990055599766,0.005682174721091379,0.0007065541466917402,0.015962149306952195,0.029417522862453166,0.01847989913716397,0.03495269887246427,0.02737077130731913,0.03782476660373224,0.0199845750889891,0.04156280191144124,0.02579845918606316,0.0568429421860272,0.022128648089574765,0.039152934232945996,0.29953492385587066,0.8777646357195233,True
p019,2,0.2135257797312013,0.05776435825233213,11.337915807361306,-0.2183383113985632,-0.14827016874817325,-0.0645712342228578,-0.03751196217363664,-0.0049920023768377925,0.0010683018829681507,0.012156331482487973,0.03357640462167491,0.04355934759560075,0.04893218818648434,0.04167606887660129,0.03548767623652699,0.028710092707626728,0.02629969695694409,0.014778466520746505,0.004452417108312581,0.0012407780433117688,-0.0016749666746206787,-0.007330404627372222,0.021820691200896553,0.032192911107483846,0.007175123140182149,0.026119590050111163,0.010401388745169188,0.02245994484738076,0.0013108770024718164,0.03207679882601622,0.009781619082520815,0.0525602199618303,0.008070032369777602,0.03107258516405792,0.16724128227467647,1.2767528257796261,False
p020,2,0.2237361020826365,0.08211365945154811,12.38303764020709,-0.16777709747797612,-0.15406714033974248,-0.11882040212602887,-0.147699655601444,-0.10675514148625596,-0.05557681297137662,0.015262759053984637,0.05882739366057951,0.08941994407475473,0.08448586771335054,0.061206817540907066,0.04067224590852625,0.02067508368952148,0.027974980234952956,0.025026601194987785,0.00287475201741505,0.0028596869969790273,-0.023415614861399536,0.008728063927923857,0.03504933341064459,0.041443586494675944,0.05152903024048833,0.06944981833022623,0.06919287787972472,0.07333410436478421,0.07071946007264451,0.08040196614650622,0.048407316922734506,0.11499126916732633,0.0696704140873799,0.11179014027176587,0.2749657024720876,0.813687307439183,True
p021,2,0.19459253101428373,0.07231678385579421,10.41338128553016,-0.14251569250072538,-0.13019080062101318,-0.09592924684065593,-0.1252173676439348,-0.08910470096082798,-0.031513045509837745,0.026255146594170442,0.06644162514616381,0.09491210102717779,0.08848414371345698,0.06295080350470483,0.03873781360520728,0.011738323238220272,0.012075479328152672,0.005524037262107956,-0.015165142759000938,-0.006591776489708379,-0.038187677512846574,-0.005397302478100052,0.040089894066218046,0.048754989264953696,0.05156626879166931,0.06261533338500724,0.056382028845181925,0.05646912706227819,0.04801355276022498,0.05936621562658906,0.01624043275404141,0.08898521343636279,0.03412941027949523,0.08263625898326904,0.30492191094003795,0.638171689316711,True
p022,2,0.21308798599811102,0.07835691147547903,11.750384568613601,-0.14909992928628174,-0.13969864270761473,-0.10137842009150075,-0.13178401393990913,-0.09826406680905503,-0.04508623475555498,0.017443304970989726,0.0612026354681173,0.08602381147643706,0.07696026104927847,0.0493041784588904,0.03091739417257433,0.0053402621864746536,0.015644345641863455,0.010147562941777571,-0.015310033311159835,-0.0019122654847946452,-0.02470105742590148,0.004836060174335299,0.04002309186361433,0.05345887063619051,0.05890585856543579,0.07091970483637217,0.06952294552757252,0.07140744165820476,0.06738679273519024,0.07763808864463537,0.04412591323990683,0.10599690075994533,0.06649196402776558,0.10802996410149296,0.3065119543421772,0.6952028558084506,True
p023,2,0.17810726845258348,0.048489538923963335,9.50855419479616,-0.18592534498774382,-0.10895571445122279,-0.03496516682985561,-0.011816636347362436,0.0030866494538354383,0.014238393786192377,0.006480662200512216,0.030239231530288874,0.046318635222192595,0.0351804642568713,0.018498220663723322,0.010942199421017151,0.007378918833561635,0.005351062698678771,0.010401835686449312,-0.00473246008005615,-0.010852114055762696,-0.009102445382922777,0.0035310145767093876,0.019421194307765136,0.022599553489910995,0.015857033281233945,0.028466854532955554,0.01984137596854632,0.01857836280713318,0.017525759208927544,0.024035096307804926,-0.001496140725106343,0.063474714717076,0.006570887594798819,0.06024652630499172,0.15004516412391183,1.1870243835749157,False
p024,2,0.18531777793600318,0.048298896737733785,9.50359728925245,-0.18794957745263483,-0.11264974328125177,-0.03913529538347714,-0.014332185599670394,0.000702985305884668,0.015052126248229852,0.00611936732862961,0.02977470560147645,0.047158474828297894,0.0388000919752029,0.025746797844652752,0.020094350701804764,0.015745869765321815,0.009284107954497078,0.012184194723534894,-0.005830604535742065,-0.00457744206163721,-0.0063253320475680636,0.00667293288093504,0.02559872169458395,0.02659448993424099,0.015862782724796742,0.021819857243008334,0.009990423482872546,0.006971992037810099,0.003962305503811353,0.010250626378294353,-0.020403941870364484,0.04759506671648034,-0.017576860490461144,0.03725421374690788,0.1752656354886577,1.0573537557395043,False
p025,2,0.16564029680146736,0.04679751443538964,7.947784274080464,-0.1704924794408597,-0.10319244891286757,-0.025183254659622553,-0.0008212868600823847,0.004763182738853261,0.02957761728025045,0.026260384183830865,0.05231544607938332,0.06950183890989378,0.05298278021628092,0.037466917211130296,0.02785882063207712,0.015100215336991962,-0.00010825649267313942,-0.004454390609825429,-0.04714913421616196,-0.028334759676628768,-0.030936837238767043,-0.02455393484652231,0.002733413336287016,0.019557526517719526,0.011517650207235525,0.013467074003636975,0.00736490237266843,0.007238926816446861,-0.0013585709682136515,0.0066631928298225285,-0.031148244826033955,0.04651864097632222,-0.02767902606301867,0.036300330676034054,0.08504882581167744,1.9475906365626094,False
p026,2,0.19639856915358947,0.04991959496034244,10.146582150603605,-0.19294195907151998,-0.11937719746390545,-0.04304525965168303,-0.01807768157277835,-0.0024748357859696313,0.01337068758161504,0.006043823114719418,0.0309409766119995,0.049328424255404485,0.04094056075885591,0.027227093752278442,0.02182478100857005,0.015969356340529012,0.010348640264665532,0.010735920826888026,-0.009777141941968062,-0.005143212361982438,-0.0065368400034636065,0.001688746820026149,0.021154234202194297,0.027351246713216232,0.017711508715326174,0.022778180689519117,0.01353629524911762,0.012078229507297672,0.007181889342645659,0.013036484286327449,-0.013008296539524011,0.0485186462296395,-0.010321943327453481,0.041711926044335546,0.19325914940189567,1.0162446112456243,False
p027,2,0.18061379756281518,0.04655344938717195,9.062101405041002,-0.18271327931455414,-0.10904915899685982,-0.035365875517854986,-0.012489330920449335,0.0016388124601738885,0.018460946516339713,0.015760726732033062,0.04012874970478619,0.057902237731060735,0.047444077730897996,0.033672191519800915,0.025386249575246794,0.018959619021015506,0.008649683330224645,0.0073477374928402756,-0.01637139997350097,-0.01955075722669425,-0.020808414105029344,-0.012143671962848074,0.004054278933608296,0.013569156465940452,0.012040183179875319,0.02586112072377264,0.014649790782289174,0.009770207656731061,0.005827982440514107,0.010386220572053434,-0.024232700151913866,0.04882030176894381,-0.019823590554614884,0.03771964196356359,0.12487568548756262,1.4463487976672926,False
