fold,split_role,target,valid_n,representation,scope,camera_id,condition,spearman_rho
0,val,cheek_mean_log2_bg,46,raw,camera_id,HONOR/BVL-AN00,log2_iso_condition,-0.3549225724375149
0,val,cheek_mean_log2_bg,54,raw,camera_id,Xiaomi/M2006J10C,relative_optical_exposure,-0.0294361112292033
0,val,cheek_mean_log2_bg,54,raw,camera_id,Xiaomi/M2006J10C,log2_iso_condition,0.1286288881131081
0,val,cheek_mean_log2_bg,100,residual_nn,overall,ALL,relative_optical_exposure,0.058685155247186399
0,val,cheek_mean_log2_bg,100,residual_nn,overall,ALL,log2_iso_condition,-0.0063043384754651001
0,val,cheek_mean_log2_bg,46,residual_nn,camera_id,HONOR/BVL-AN00,relative_optical_exposure,0.044346798461068197
0,val,cheek_mean_log2_bg,46,residual_nn,camera_id,HONOR/BVL-AN00,log2_iso_condition,-0.082019661717874601
0,val,cheek_mean_log2_bg,54,residual_nn,camera_id,Xiaomi/M2006J10C,relative_optical_exposure,-0.0233018726653553
0,val,cheek_mean_log2_bg,54,residual_nn,camera_id,Xiaomi/M2006J10C,log2_iso_condition,0.12824765252296849
0,val,cheek_mean_log2_bg,100,calibrated_nn,overall,ALL,relative_optical_exposure,0.058685155247186399
0,val,cheek_mean_log2_bg,100,calibrated_nn,overall,ALL,log2_iso_condition,-0.0063043384754651001
0,val,cheek_mean_log2_bg,46,calibrated_nn,camera_id,HONOR/BVL-AN00,relative_optical_exposure,0.044346798461068197
0,val,cheek_mean_log2_bg,46,calibrated_nn,camera_id,HONOR/BVL-AN00,log2_iso_condition,-0.082019661717874601
0,val,cheek_mean_log2_bg,54,calibrated_nn,camera_id,Xiaomi/M2006J10C,relative_optical_exposure,-0.0233018726653553
0,val,cheek_mean_log2_bg,54,calibrated_nn,camera_id,Xiaomi/M2006J10C,log2_iso_condition,0.12824765252296849
0,val,forehead_minus_cheek_log2_y,96,raw,overall,ALL,relative_optical_exposure,0.10243193911503221
0,val,forehead_minus_cheek_log2_y,96,raw,overall,ALL,log2_iso_condition,-0.37653006987172322
0,val,forehead_minus_cheek_log2_y,46,raw,camera_id,HONOR/BVL-AN00,relative_optical_exposure,0.010430776550005899
0,val,forehead_minus_cheek_log2_y,46,raw,camera_id,HONOR/BVL-AN00,log2_iso_condition,-0.39224368835146839
0,val,forehead_minus_cheek_log2_y,50,raw,camera_id,Xiaomi/M2006J10C,relative_optical_exposure,-0.15796595769241401
0,val,forehead_minus_cheek_log2_y,50,raw,camera_id,Xiaomi/M2006J10C,log2_iso_condition,-0.2331244179611234
0,val,forehead_minus_cheek_log2_y,96,residual_nn,overall,ALL,relative_optical_exposure,0.020432672001768199
0,val,forehead_minus_cheek_log2_y,96,residual_nn,overall,ALL,log2_iso_condition,-0.31785164550058193
0,val,forehead_minus_cheek_log2_y,46,residual_nn,camera_id,HONOR/BVL-AN00,relative_optical_exposure,0.083638189882562997
0,val,forehead_minus_cheek_log2_y,46,residual_nn,camera_id,HONOR/BVL-AN00,log2_iso_condition,-0.23911552172777201
0,val,forehead_minus_cheek_log2_y,50,residual_nn,camera_id,Xiaomi/M2006J10C,relative_optical_exposure,-0.2955846446754411
0,val,forehead_minus_cheek_log2_y,50,residual_nn,camera_id,Xiaomi/M2006J10C,log2_iso_condition,-0.33138823319566357
0,val,forehead_minus_cheek_log2_y,96,calibrated_nn,overall,ALL,relative_optical_exposure,0.020432672001768199
0,val,forehead_minus_cheek_log2_y,96,calibrated_nn,overall,ALL,log2_iso_condition,-0.31785164550058193
0,val,forehead_minus_cheek_log2_y,46,calibrated_nn,camera_id,HONOR/BVL-AN00,relative_optical_exposure,0.083638189882562997
0,val,forehead_minus_cheek_log2_y,46,calibrated_nn,camera_id,HONOR/BVL-AN00,log2_iso_condition,-0.23911552172777201
0,val,forehead_minus_cheek_log2_y,50,calibrated_nn,camera_id,Xiaomi/M2006J10C,relative_optical_exposure,-0.2955846446754411
