fold,target,representation,HONOR/BVL-AN00_valid_n,HONOR/BVL-AN00_mean,HONOR/BVL-AN00_median,HONOR/BVL-AN00_std,Xiaomi/M2006J10C_valid_n,Xiaomi/M2006J10C_mean,Xiaomi/M2006J10C_median,Xiaomi/M2006J10C_std,mean_difference_honor_minus_xiaomi,median_difference_honor_minus_xiaomi,pooled_std,standardized_mean_difference
2,cheek_mean_log2_y,stage2b_mlp_calibrated,58,-1.9231627317589128,-1.921852305971935,0.16607159513681,42,-1.9027043563916508,-1.8850926406328767,0.40641380866941218,-0.020458375367262027,-0.036759665339058278,0.29179435548504645,-0.070112306775963168
2,cheek_mean_log2_rg,raw,58,0.86777961473457077,0.88510651397273654,0.12180142728762154,42,0.99315618811382134,0.97576127905272003,0.1563676641319113,-0.12537657337925057,-0.09065476507998349,0.1373255182418722,-0.91298816843657649
2,cheek_mean_log2_rg,stage2a_ridge_calibrated,58,0.91966471711534392,0.93500870588178975,0.1221644769208695,42,0.93671463394669563,0.910626173107278,0.15649595817143244,-0.017049916831351708,0.024382532774511745,0.13757400490469665,-0.1239326923946345
2,cheek_mean_log2_rg,stage2b_mlp_calibrated,58,0.92417579620666623,0.94458664491167377,0.12212984299838724,42,0.93854420400406857,0.9006940412633051,0.15459059811628692,-0.014368407797402338,0.043892603648368667,0.13665176923592434,-0.10514615271900213
2,cheek_mean_log2_bg,raw,58,-0.60309917159112392,-0.62949774741144893,0.14765739328790878,42,-0.58815241867762169,-0.57542586751730973,0.11009512265575172,-0.014946752913502226,-0.054071879894139196,0.13323726755085805,-0.11218147285853708
2,cheek_mean_log2_bg,stage2a_ridge_calibrated,58,-0.57432483704305215,-0.59684742408048674,0.14244480352384592,42,-0.61324050518148554,-0.59534025032208771,0.12029215429519634,0.03891566813843339,-0.0015071737583990386,0.13362443771242058,0.29123166992990929
2,cheek_mean_log2_bg,stage2b_mlp_calibrated,58,-0.576356643530202,-0.59652536303073445,0.13913684903937187,42,-0.60841380024098313,-0.59459420667152407,0.11663315631946659,0.032057156710781132,-0.0019311563592103731,0.13019614702554619,0.24622200766425981
2,forehead_minus_cheek_log2_y,raw,58,-0.021635191231528416,-0.024378589650611598,0.20719590098095342,39,0.0009710613709332874,-0.019459459267482101,0.34216328782974792,-0.022606252602461702,-0.0049191303831294976,0.26942229129262968,-0.083906392800691468
2,forehead_minus_cheek_log2_y,stage2a_ridge_calibrated,58,0.014720668942927636,0.02800655288810815,0.21001648979972207,39,-0.029908825865037274,0.0044946302361404998,0.34796918375358676,0.044629494807964909,0.023511922651967651,0.27367348561658844,0.16307569842732231
2,forehead_minus_cheek_log2_y,stage2b_mlp_calibrated,58,0.032287907958301811,0.043312312066599253,0.20894143598465034,39,-0.034645252540521948,0.017282377950013399,0.35648123127194203,0.066933160498823752,0.026029934116585853,0.27753461316106243,0.24117049666875334
