high_clip_element_fraction,low_clip_element_fraction,nonfinite_count,all_zero,all_one,R_zero_fraction,R_one_fraction,G_zero_fraction,G_one_fraction,B_zero_fraction,B_one_fraction,attempt,appearance_seed,exposure_ev,canonical_unclipped_hash
0.0,0.14149888143176734,0,False,False,0.0,0.0,0.0,0.0,0.42411912751677855,0.0,45,4208182951488007909,-0.4660026159072808,a293a59d038dffc881c34ee65939ab547bda8ef60749afc419f76d2801e02947
0.0,0.1417225950782998,0,False,False,0.0,0.0,0.0,0.0,0.42495805369127515,0.0,46,14817230120048120897,0.23531553700257457,51ff8983e7ba1648c2185a376ca75f78e20fa9659f29638d9b2832d71a8f2365
0.0,0.16746364653243848,0,False,False,0.0,0.0,0.0,0.0,0.5019295302013422,0.0,47,15921799165160524891,-0.3840494563571958,67cd6a6287c97df99dc8a2fc22924165b483497417777c45e6d2e7f6115e3059
0.0,0.16068232662192394,0,False,False,0.0,0.0,0.0,0.0,0.4815436241610738,0.0,48,3203157489769394242,-0.25712703742388654,0da36b1a48be83f49b4847c7ef0a05446557ad4156aabb5abd5f0a87a09ad968
0.0,0.16749161073825503,0,False,False,0.0,0.0,0.0,0.0,0.5019714765100671,0.0,49,2555359795401826293,-0.39848297908761954,faf0587b53f52cce08f161e440b433ec5c32dbbcfe358c0317f270bc34e5e565
0.0,0.14970637583892618,0,False,False,0.0,0.0,0.0,0.0,0.44865771812080535,0.0,50,1206252018875389582,-0.3779525398494693,03de541f6993694cb7d5d19fe86625554997595cc503436e67115f6430bcfeb1
0.0,0.1536493288590604,0,False,False,0.0,0.0,0.0,0.0,0.46057046979865773,0.0,51,18011175894645050078,0.06315823454776037,d93533f7b353517352deb65b0237b83dd93991bc7b6233f78ab32ff9e641dce8
0.0,0.1647371364653244,0,False,False,0.0,0.0,0.0,0.0,0.4937919463087248,0.0,52,6625425642484385267,-0.052020786203725966,4010992ec70b825e693a1359dedd82d06e3271ca019a52b933c07822e841816e
0.0,0.14435123042505593,0,False,False,0.0,0.0,0.0,0.0,0.4326761744966443,0.0,53,13328040723989667133,-0.16987330257509736,ca1444fc53cda3aa49ebeb6185065bf3afedb808eccdbc3c3c9d8d1f0dac9417
0.0,0.12318232662192394,0,False,False,0.0,0.0,0.0,0.0,0.3691275167785235,0.0,54,8939816466353514500,0.27667424324981826,0252f641c94ac0b3022041ffaa85571e66ff8851c53dd6125b78e1a2f27ff6fd
0.0,0.16743568232662193,0,False,False,0.0,0.0,0.0,0.0,0.5019714765100671,0.0,55,10743308679236925783,0.24491498813973478,3cfaa6365150e64d6ffa089becb863e4d4e6254016a10741d013b1cd25d7a5d4
0.0,0.16749161073825503,0,False,False,0.0,0.0,0.0,0.0,0.5019714765100671,0.0,56,13648815766487324163,-0.46296016297152004,c271564c9834272dbbf51f0c4242622fa8322ab80eb33a216f004b1bd0c0e5f4
0.0,0.16746364653243848,0,False,False,0.0,0.0,0.0,0.0,0.5019714765100671,0.0,57,15513339267798609813,-0.05552197407797177,9dfe8ce91b53edb333968b23ac3d43f972b4140add5644a6d91091be4caec398
0.0,0.14981823266219238,0,False,False,0.0,0.0,0.0,0.0,0.44916107382550335,0.0,58,2115469630035060203,0.06525698533530289,62f883b27e0d0cee9184bbbdae221577e325ef2c3a386f562896f2cd5fed9212
0.0,0.16753355704697986,0,False,False,0.0,0.0,0.0,0.0,0.5019714765100671,0.0,59,5611795944928565187,-0.36181687092899306,921b75a8f0b89789e6cd5144fc62e24050c8c79d2fdcf573a7838d925ca6c5bd
0.0,0.15128635346756153,0,False,False,0.0,0.0,0.0,0.0,0.4534815436241611,0.0,60,15199580761359264836,-0.3447600225812326,3db3ef5ade8c3fa3dec8075a36580a1f607a4d0961edd62af5aac102508f5eda
0.0,0.16754753914988815,0,False,False,0.0,0.0,0.0,0.0,0.5019714765100671,0.0,61,6219296388275663643,-0.4881370264149142,558286ad5c5c50b39102e61b81a6b68687dbca1990834438e70db66a1c6cda78
0.0,0.16747762863534676,0,False,False,0.0,0.0,0.0,0.0,0.5019714765100671,0.0,62,6875133679628662833,-0.18907742572167596,de998d54bcd40edc65eefc1ee585a4ac93df8ff23bd54e6f59e86e6916e217b7
0.0,0.15725671140939598,0,False,False,0.0,0.0,0.0,0.0,0.4714765100671141,0.0,63,13069026291373477846,0.14033274008326713,e904cd1168734379090bf47376fb778d1dead0993b471d88f4b243d4cea4155e
0.0,0.16736577181208054,0,False,False,0.0,0.0,0.0,0.0,0.501761744966443,0.0,64,5786033458585308617,0.09518962641043638,47e049aa17493eceec670d96fe1c896be70d5899076f2e9ef12e8acb851de85e
0.0,0.14892337807606265,0,False,False,0.0,0.0,0.0,0.0,0.4463926174496644,0.0,65,15197215664333831668,-0.18083352880615944,3c30a9f64b77489e9240a19093fbb95012ebafd774c04d5caf5a7a0abb38ede5
0.0,0.14008668903803131,0,False,False,0.0,0.0,0.0,0.0,0.4196728187919463,0.0,66,16099451794005002822,-0.488105871243083,7ff4e1ebbaec47b54ddf0de6426c81e93a0485ad46da6deffd60de0041d12aea
0.0,0.16743568232662193,0,False,False,0.0,0.0,0.0,0.0,0.5019714765100671,0.0,67,2614265907767155008,0.29263593873369376,cb3e2c453832850e4b99c8e6e41aff6d5e837d011f0fde2bbccfc95b47c18605
0.0,0.16746364653243848,0,False,False,0.0,0.0,0.0,0.0,0.5019714765100671,0.0,68,17195573906609060451,0.010959634767060411,a0ad320e3d1adaaa41130475c217d2a860645b29c184c288afb39e0805c7e25a
0.0,0.16743568232662193,0,False,False,0.0,0.0,0.0,0.0,0.5019714765100671,0.0,69,9377985015511719414,0.22925472434423266,26a8f2443381b98a6f08fc1017c9eaec8b8dce6dc650d67ede19ceadf79452b8
0.0,0.16743568232662193,0,False,False,0.0,0.0,0.0,0.0,0.5019714765100671,0.0,70,9184914236286816447,0.3075541038530294,556e74b9416290a6255471fd1809c4f4f33072eb302f5fb7a37138377a8e6e4b
0.0,0.16360458612975393,0,False,False,0.0,0.0,0.0,0.0,0.4902265100671141,0.0,71,8295100787788990855,-0.32390176504640544,09088cb0f801c17e99e8db9ae8abfc6df1dc9a22b771a7ac88af54a5cb7c4628
0.0,0.16749161073825503,0,False,False,0.0,0.0,0.0,0.0,0.5019714765100671,0.0,72,16919759791499385348,-0.386719347808774,0657062e66bf8799cee8c207a5b74e2732a9504b1551465ccd0f0d102778855c
0.0,0.16750559284116331,0,False,False,0.0,0.0,0.0,0.0,0.5019714765100671,0.0,73,8970768597323828449,-0.25000805532446896,d1d4b2eb3c6aa1013feb73469daea5f56fe47118634e6c26e02d58e3131e7c9b
0.0,0.14513422818791946,0,False,False,0.0,0.0,0.0,0.0,0.4348993288590604,0.0,74,9830676084311613326,-0.15119624664097875,897732fb2c55d07c139d5d6546f7c3515ff241e46c227ce633ece4eef67fc23c
