latent_id,m_base,h_base,mask_category,replicate,camera,light,valid_skin_fraction,retry_count,retry_exhausted,exposure_ev,high_clip_element_fraction,low_clip_element_fraction,nonfinite_count,all_zero,all_one,R_zero_fraction,R_one_fraction,G_zero_fraction,G_one_fraction,B_zero_fraction,B_one_fraction
AM3_M0.90_H0.02_Mild_4,0.9,0.02,Mild,4,Olympus E-PL2,A,0.928375244140625,1,False,0.24339684971106812,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
AM3_M0.90_H0.02_Mild_4,0.9,0.02,Mild,4,Olympus E-PL2,FL2,0.928375244140625,1,False,-0.4482787667061237,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
AM3_M0.90_H0.02_Mild_4,0.9,0.02,Mild,4,Olympus E-PL2,FL11,0.928375244140625,1,False,-0.3768396939476038,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
AM3_M0.90_H0.02_Mild_5,0.9,0.02,Mild,5,Olympus E-PL2,D65,0.900177001953125,1,False,0.25482176857833905,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
AM3_M0.90_H0.02_Mild_5,0.9,0.02,Mild,5,Olympus E-PL2,A,0.900177001953125,1,False,-0.42786401036672916,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
AM3_M0.90_H0.02_Mild_5,0.9,0.02,Mild,5,Olympus E-PL2,FL2,0.900177001953125,1,False,-0.3185343905744745,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
AM3_M0.90_H0.02_Mild_5,0.9,0.02,Mild,5,Olympus E-PL2,FL11,0.900177001953125,1,False,-0.2121976543304369,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
AM3_M0.90_H0.02_Mild_6,0.9,0.02,Mild,6,Olympus E-PL2,D65,0.7739105224609375,1,False,0.004803522213623457,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
AM3_M0.90_H0.02_Mild_6,0.9,0.02,Mild,6,Olympus E-PL2,A,0.7739105224609375,1,False,-0.1815892621337163,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
AM3_M0.90_H0.02_Mild_6,0.9,0.02,Mild,6,Olympus E-PL2,FL2,0.7739105224609375,1,False,-0.45790014174458554,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
AM3_M0.90_H0.02_Mild_6,0.9,0.02,Mild,6,Olympus E-PL2,FL11,0.7739105224609375,1,False,-0.12678194928099507,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
AM3_M0.90_H0.02_Mild_7,0.9,0.02,Mild,7,Olympus E-PL2,D65,0.7890472412109375,1,False,0.20502656950631337,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
AM3_M0.90_H0.02_Mild_7,0.9,0.02,Mild,7,Olympus E-PL2,A,0.7890472412109375,1,False,0.024325263992529544,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
AM3_M0.90_H0.02_Mild_7,0.9,0.02,Mild,7,Olympus E-PL2,FL2,0.7890472412109375,1,False,-0.2618952477994787,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
AM3_M0.90_H0.02_Mild_7,0.9,0.02,Mild,7,Olympus E-PL2,FL11,0.7890472412109375,1,False,-0.3635966945532632,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
AM3_M0.90_H0.02_Strong_0,0.9,0.02,Strong,0,Olympus E-PL2,D65,0.4972076416015625,1,False,-0.3589348712907978,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
AM3_M0.90_H0.02_Strong_0,0.9,0.02,Strong,0,Olympus E-PL2,A,0.4972076416015625,1,False,0.13666170118144727,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
AM3_M0.90_H0.02_Strong_0,0.9,0.02,Strong,0,Olympus E-PL2,FL2,0.4972076416015625,1,False,-0.22971362493915914,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
AM3_M0.90_H0.02_Strong_0,0.9,0.02,Strong,0,Olympus E-PL2,FL11,0.4972076416015625,1,False,-0.24322205081716342,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
AM3_M0.90_H0.02_Strong_1,0.9,0.02,Strong,1,Olympus E-PL2,D65,0.6162567138671875,1,False,-0.38187459080259434,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
AM3_M0.90_H0.02_Strong_1,0.9,0.02,Strong,1,Olympus E-PL2,A,0.6162567138671875,1,False,-0.44127364408999686,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
AM3_M0.90_H0.02_Strong_1,0.9,0.02,Strong,1,Olympus E-PL2,FL2,0.6162567138671875,1,False,-0.32798530358918615,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
AM3_M0.90_H0.02_Strong_1,0.9,0.02,Strong,1,Olympus E-PL2,FL11,0.6162567138671875,1,False,-0.17816843965390672,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
AM3_M0.90_H0.02_Strong_2,0.9,0.02,Strong,2,Olympus E-PL2,D65,0.542510986328125,1,False,-0.3428703810548632,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
AM3_M0.90_H0.02_Strong_2,0.9,0.02,Strong,2,Olympus E-PL2,A,0.542510986328125,1,False,-0.059846808508730365,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
AM3_M0.90_H0.02_Strong_2,0.9,0.02,Strong,2,Olympus E-PL2,FL2,0.542510986328125,1,False,0.02251251421443423,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
AM3_M0.90_H0.02_Strong_2,0.9,0.02,Strong,2,Olympus E-PL2,FL11,0.542510986328125,1,False,0.25735733100592495,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
AM3_M0.90_H0.02_Strong_3,0.9,0.02,Strong,3,Olympus E-PL2,D65,0.4360504150390625,1,False,0.23991350941781564,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
AM3_M0.90_H0.02_Strong_3,0.9,0.02,Strong,3,Olympus E-PL2,A,0.4360504150390625,1,False,0.0128339633037029,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
AM3_M0.90_H0.02_Strong_3,0.9,0.02,Strong,3,Olympus E-PL2,FL2,0.4360504150390625,1,False,0.08258885079651557,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
AM3_M0.90_H0.02_Strong_3,0.9,0.02,Strong,3,Olympus E-PL2,FL11,0.4360504150390625,1,False,-0.32598792718908143,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
AM3_M0.90_H0.02_Strong_4,0.9,0.02,Strong,4,Olympus E-PL2,D65,0.4163818359375,1,False,-0.21759198033485488,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
AM3_M0.90_H0.02_Strong_4,0.9,0.02,Strong,4,Olympus E-PL2,A,0.4163818359375,1,False,0.05512302980650141,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
AM3_M0.90_H0.02_Strong_4,0.9,0.02,Strong,4,Olympus E-PL2,FL2,0.4163818359375,1,False,-0.34888373411985496,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
AM3_M0.90_H0.02_Strong_4,0.9,0.02,Strong,4,Olympus E-PL2,FL11,0.4163818359375,1,False,-0.2802498741945327,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
AM3_M0.90_H0.02_Strong_5,0.9,0.02,Strong,5,Olympus E-PL2,D65,0.51800537109375,1,False,-0.4541759842714709,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
AM3_M0.90_H0.02_Strong_5,0.9,0.02,Strong,5,Olympus E-PL2,A,0.51800537109375,1,False,-0.3600810894918144,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
AM3_M0.90_H0.02_Strong_5,0.9,0.02,Strong,5,Olympus E-PL2,FL2,0.51800537109375,1,False,0.24477652576780629,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
AM3_M0.90_H0.02_Strong_5,0.9,0.02,Strong,5,Olympus E-PL2,FL11,0.51800537109375,1,False,-0.05883454610903205,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
AM3_M0.90_H0.02_Strong_6,0.9,0.02,Strong,6,Olympus E-PL2,D65,0.5965576171875,1,False,-0.07157360672784185,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
AM3_M0.90_H0.02_Strong_6,0.9,0.02,Strong,6,Olympus E-PL2,A,0.5965576171875,1,False,-0.1270502978197977,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
AM3_M0.90_H0.02_Strong_6,0.9,0.02,Strong,6,Olympus E-PL2,FL2,0.5965576171875,1,False,-0.37879650440791335,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
AM3_M0.90_H0.02_Strong_6,0.9,0.02,Strong,6,Olympus E-PL2,FL11,0.5965576171875,1,False,0.09543986244497904,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
AM3_M0.90_H0.02_Strong_7,0.9,0.02,Strong,7,Olympus E-PL2,D65,0.6287384033203125,1,False,-0.35810592993494267,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
AM3_M0.90_H0.02_Strong_7,0.9,0.02,Strong,7,Olympus E-PL2,A,0.6287384033203125,1,False,0.050122796424363014,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
AM3_M0.90_H0.02_Strong_7,0.9,0.02,Strong,7,Olympus E-PL2,FL2,0.6287384033203125,1,False,-0.4771815348602039,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
AM3_M0.90_H0.02_Strong_7,0.9,0.02,Strong,7,Olympus E-PL2,FL11,0.6287384033203125,1,False,0.02398112635900529,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
AM3_M0.90_H0.50_Full_0,0.9,0.5,Full,0,Olympus E-PL2,D65,1.0,1,False,0.2688815964450084,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
AM3_M0.90_H0.50_Full_0,0.9,0.5,Full,0,Olympus E-PL2,A,1.0,1,False,-0.47920766163126405,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
AM3_M0.90_H0.50_Full_0,0.9,0.5,Full,0,Olympus E-PL2,FL2,1.0,1,False,-0.1369859678316805,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
AM3_M0.90_H0.50_Full_0,0.9,0.5,Full,0,Olympus E-PL2,FL11,1.0,1,False,-0.36077743347602087,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
AM3_M0.90_H0.50_Full_1,0.9,0.5,Full,1,Olympus E-PL2,D65,1.0,1,False,-0.49542900888347213,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
AM3_M0.90_H0.50_Full_1,0.9,0.5,Full,1,Olympus E-PL2,A,1.0,1,False,0.20022497471519607,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
AM3_M0.90_H0.50_Full_1,0.9,0.5,Full,1,Olympus E-PL2,FL2,1.0,1,False,-0.12313015662817328,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
AM3_M0.90_H0.50_Full_1,0.9,0.5,Full,1,Olympus E-PL2,FL11,1.0,1,False,0.01783376325596664,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
AM3_M0.90_H0.50_Full_2,0.9,0.5,Full,2,Olympus E-PL2,D65,1.0,1,False,0.04643355814299566,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
AM3_M0.90_H0.50_Full_2,0.9,0.5,Full,2,Olympus E-PL2,A,1.0,1,False,-0.23315482028136986,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0
