candidate,subject_id,outer_fold,f_mel,f_blood,logrmse,rmse,sam_deg,f_mel_boundary,f_blood_boundary,converged
V2R-PSG,p041,2,0.10725576055479066,0.04085825993443704,0.05999690968491394,0.020619393724839875,3.529423539096134,False,False,True
V2R-PSG,p042,5,0.08229668043047357,0.0456252564363104,0.0508759571525423,0.020584121654939988,3.1172358602007484,False,False,True
V2R-PSG,p043,3,0.10346710041897504,0.031158139001504034,0.05371727668642854,0.021561025266188465,3.2615706210394926,False,False,True
V2R-PSG,p044,1,0.1471959986956921,0.09999999999999998,0.058955373750193704,0.013024724551096229,3.3498063212075317,False,True,True
V2R-PSG,p045,5,0.1152216268191756,0.06165708325604189,0.060603423479087044,0.019014613408625272,3.4992954917885726,False,False,True
V2R-PSG,p046,3,0.17349256898720708,0.09999999999999999,0.10809921415145976,0.0231492872092586,5.971429332516994,False,True,True
V2R-PSG,p047,5,0.1312354422187017,0.09999999999999999,0.07741006728006934,0.018983490173275882,4.238582988833545,False,True,True
V2R-PSG,p048,4,0.10889241480766816,0.09999999999999999,0.09192408775975869,0.026352358730964,5.1286625696153365,False,True,True
V2R-PSG,p049,1,0.1281587239047092,0.09999999999999999,0.06443713997763104,0.013428445029253838,3.103254937070711,False,True,True
V2R-PSG,p050,1,0.09808599851362498,0.09999999999999999,0.053777783990219645,0.014442092526790386,2.720992910044117,False,True,True
V2R-PSG,p051,1,0.10308871554595382,0.09999999999999999,0.05279765399162214,0.013572051751541848,2.6557309800384776,False,True,True
