camera_name,illuminant_name,matrix_rank,condition_number,matrix_3x3,training_deltae00_median,training_deltae00_p95,loocv_deltae00_median,loocv_deltae00_p95,negative_linear_srgb_rate,out_of_gamut_rate,finite,qualification_status,failure_reasons
Nikon D3,D65,3,8.61786893796,0.679192483909 0.304736430655 0.056154869097 0.184517650603 0.838450110742 -0.206657723829 0.0783668800788 -0.148649169704 1.22530490161,0.926162384823,1.80372047586,0.980596711856,2.04506190522,0.0138888888889,0.0138888888889,True,PASS,
Nikon D300s,D65,3,9.6430443943,0.717958699534 0.307217476708 0.0749862387804 0.150908328434 0.875375564994 -0.328424905919 0.0740975238895 -0.18748383823 1.32978556113,0.90616828553,2.0594029518,1.0241882593,2.31240539615,0.0138888888889,0.0138888888889,True,PASS,
Nikon D40,D65,3,9.0785169711,0.693572744173 0.319511602701 0.023284515497 0.145668107753 0.8522755139 -0.120099811894 0.105387725982 -0.178640628799 1.19084647055,0.663503423176,1.59982196849,0.816533993464,1.80012079918,0.0138888888889,0.0138888888889,True,PASS,
Nikon D50,D65,3,8.82603540871,0.654843849713 0.287615853979 0.0339329271194 0.195776092872 0.871620695287 -0.152125941713 0.0918311746076 -0.165661466431 1.2099307228,0.851094330891,2.20187222639,0.996965454278,2.40941277745,0.0138888888889,0.0138888888889,True,PASS,
Nikon D5100,D65,3,10.7872500928,0.714055815736 0.294863424765 0.0824256555788 0.156155805607 0.964960005811 -0.371894508083 0.0710122714688 -0.26570857052 1.36052572357,0.954627466753,2.0682074169,1.05038356365,2.33698541056,0.0138888888889,0.0138888888889,True,PASS,
Nikon D700,D65,3,8.66590860944,0.671862759742 0.295032252657 0.054091766575 0.195196455214 0.853378451161 -0.197474489301 0.074988557428 -0.153758107152 1.21918588464,0.84616607161,1.84887331895,0.952230218372,2.04176661419,0.0138888888889,0.0138888888889,True,PASS,
Nikon D80,D65,3,8.67939125706,0.661584336243 0.296962842835 0.0611048050244 0.187385214841 0.84434174069 -0.203208986195 0.0931698287426 -0.14639577422 1.21568297561,1.0613939687,2.16858489448,1.21917283565,2.36699659905,0.0138888888889,0.0138888888889,True,PASS,
Nikon D90,D65,3,9.53351979505,0.720658354361 0.316124186422 0.0651629279725 0.171615305862 0.890705331787 -0.299015606956 0.0500605653787 -0.212303197385 1.31029759962,0.941963450499,2.00480955601,0.991761918769,2.21022751438,0.0138888888889,0.0138888888889,True,PASS,
Nokia N900,D65,3,10.8508104515,0.595338904541 0.174027634369 -0.0611932439013 0.184104618059 0.952330505132 -0.495485473045 0.162742809651 -0.132856014997 1.65493569546,0.924119374866,2.46940056724,1.05253212613,2.73094650615,0.0138888888889,0.0138888888889,True,PASS,
Olympus E-PL2,D65,3,9.4567691559,0.549892062318 0.194975100693 0.0281110257456 0.286044566094 0.96489607693 -0.309476559089 0.104838172104 -0.166705209274 1.36627230777,0.973051737194,2.57471636055,1.20772521384,2.83986599639,0.0138888888889,0.0138888888889,True,PASS,
Pentax K-5,D65,3,10.4305923568,0.677313833519 0.273317177104 0.0611415593816 0.223517879451 1.00494503 -0.310274647995 0.0389980011266 -0.285637701307 1.32629535391,0.858829525373,2.18574284548,0.987905824426,2.46154611073,0.0138888888889,0.0138888888889,True,PASS,
Pentax Q,D65,3,11.1121709938,0.582191953198 0.148035515295 -0.00651945369565 0.287194190974 1.08417545333 -0.422702916764 0.0684732160284 -0.242023158222 1.51380491916,1.14504574947,2.69295426276,1.34321447832,3.05604061406,0.0138888888889,0.0138888888889,True,PASS,
Point Grey Grasshopper 50S5C,D65,3,9.41940574834,0.315494640844 -0.00827007601131 0.144954053459 0.582309971707 1.09944153602 -0.589927686206 0.0319873073934 -0.0910066850209 1.5026652185,4.50534280981,9.95165110457,5.23438089925,10.8803611323,0.0555555555556,0.0555555555556,True,FAIL,loocv_median_gt_4;loocv_p95_gt_8
Point Grey Grasshopper2 14S5C,D65,3,8.5264158324,0.492337891748 0.189384421246 0.0557666365842 0.39473300636 0.982438925447 -0.2703709178 0.0478388021347 -0.178670656714 1.29786482611,2.12523035167,4.53263710577,2.46164660329,5.16979187075,0.0138888888889,0.0138888888889,True,PASS,
Phase One,D65,3,11.6607891564,0.898097891401 0.434537342632 0.0436801377353 -0.170294747231 0.708679926938 -0.5463286916 0.226193115594 -0.145757603303 1.5871018148,1.28863708466,2.95026436356,1.49137122706,3.28853367823,0.0138888888889,0.0138888888889,True,PASS,
SONY NEX-5N,D65,3,10.6478884693,0.75600381978 0.328049969383 0.0526035446029 0.14341030998 0.96035285861 -0.288576526241 0.0458744829487 -0.295020219101 1.32317017928,0.627808622534,1.68079779194,0.671863097883,1.84714150263,0.0138888888889,0.0138888888889,True,PASS,
Canon 1DMarkIII,A,3,9.39490103031,0.92763874923 0.37740987934 0.0291146458876 0.153233754271 0.718537559071 -0.111020553644 0.0109410488658 -0.101570561713 0.432812814104,0.846939885691,1.86434206774,0.971084431463,2.0853440951,0.0138888888889,0.0138888888889,True,PASS,
Canon 20D,A,3,9.68635505084,0.889622154637 0.332313995762 0.0366328237319 0.204249139365 0.755440167821 -0.138195362543 -0.00374093185004 -0.0925981921591 0.450486024586,1.1896463539,2.76272126302,1.34314821003,3.18726653834,0.0277777777778,0.0277777777778,True,PASS,
Canon 300D,A,3,10.1567538022,0.892887146552 0.361107088362 0.0354507795947 0.196927468462 0.775007974833 -0.1525157718 0.00399722494283 -0.141117687923 0.46934067723,0.700440764047,2.08652885225,0.97205702531,2.32082807229,0.0277777777778,0.0277777777778,True,PASS,
Canon 40D,A,3,10.2999966796,0.864056046918 0.31789553881 0.0256768435599 0.248632401437 0.804974793369 -0.16979590429 -0.025922674237 -0.129399871086 0.493508780552,1.41821471291,2.20199739132,1.62538900233,2.67060564819,0.0277777777778,0.0277777777778,True,PASS,
Canon 500D,A,3,14.3097019656,1.02842237652 0.334349086595 -0.0149666542924 0.051591842414 0.858339656576 -0.300460575747 0.0101747708701 -0.198317124097 0.666463550525,0.865907825033,1.65387374933,1.00795077484,2.00217253972,0.0138888888889,0.0138888888889,True,PASS,
Canon 50D,A,3,13.6076533796,0.987936578096 0.319602197927 -0.0145724058299 0.108391609438 0.861052126468 -0.280966968629 -0.00632983717409 -0.186405469685 0.647048876123,0.816676810578,1.4748237551,0.877308586577,1.68303635399,0.0138888888889,0.0138888888889,True,PASS,
Canon 5DMarkII,A,3,10.7333897829,0.951814552834 0.33963361153 0.0317724425158 0.131127020238 0.771351757862 -0.152155730325 0.00708055865759 -0.116276410643 0.471084762725,0.963293799236,1.84172218847,1.09265861645,2.24669611332,0.0138888888889,0.0138888888889,True,PASS,
Canon 600D,A,3,11.511363095,0.912456211193 0.310332914233 0.0238521318973 0.185678759548 0.830125004044 -0.197948026771 -0.00904489187925 -0.145975705683 0.524023531157,1.05096052496,1.94481445939,1.22790376993,2.38718342805,0.0277777777778,0.0277777777778,True,PASS,
Canon 60D,A,3,11.2279737428,0.913804825258 0.317283931286 0.0208398497774 0.182777396256 0.81691544202 -0.18542384218 -0.00676111251592 -0.139602904851 0.515691963651,0.862133607953,1.89837974764,1.01991283384,2.31044428427,0.0277777777778,0.0277777777778,True,PASS,
Hasselblad H2,A,3,9.57426218288,0.80944810949 0.330384911105 0.0192669399684 0.336571843715 0.771105648304 -0.207766520841 -0.0608088557883 -0.108602769139 0.53865592468,1.74178861792,3.65717116033,1.94944718771,4.45400539139,0.0416666666667,0.0416666666667,True,PASS,
Nikon D3X,A,3,9.2867811938,0.876926295871 0.350593677251 0.0238273212415 0.234898763942 0.762849706448 -0.117721844604 -0.0180394779201 -0.117389889058 0.445197929136,0.654284072689,2.09848985908,0.731057248757,2.38147109936,0.0138888888889,0.0138888888889,True,PASS,
Nikon D200,A,3,8.35593561856,0.876251508943 0.364377773087 0.0207852037568 0.235251688095 0.729760272887 -0.0679742454905 -0.0193247218325 -0.0993312817638 0.39847854598,0.737509259522,1.93833366463,0.920590675097,2.20018845461,0.0138888888889,0.0138888888889,True,PASS,
Nikon D3,A,3,8.38246574901,0.887650750268 0.376817622854 0.0226414295311 0.21898019186 0.710022058079 -0.0835826821378 -0.0139713738752 -0.0916220510782 0.412029689181,0.730154436903,1.95335136523,0.845146660913,2.21748313443,0.0138888888889,0.0138888888889,True,PASS,
Nikon D300s,A,3,9.5208799012,0.911783583104 0.37013591593 0.0311282693337 0.19971883307 0.736735133647 -0.145736134655 -0.0183108248752 -0.111164711296 0.464963934305,0.761673784477,2.45141269904,0.826067129447,2.75398099412,0.0277777777778,0.0277777777778,True,PASS,
Nikon D40,A,3,8.35702386906,0.911270460969 0.392436933604 0.0114876853557 0.184050634049 0.703187739179 -0.0523018032352 -0.00492080232746 -0.102414878354 0.396051257535,0.729366495136,1.32608884104,0.839594805695,1.3597953247,0.0138888888889,0.0138888888889,True,PASS,
Nikon D50,A,3,8.22265012443,0.858972852265 0.358053801865 0.0159515212928 0.249261043341 0.731399346709 -0.0641402551014 -0.0204495874076 -0.0963042655224 0.402463099503,0.987084679034,1.85108199893,1.23324963772,2.17366562964,0.0138888888889,0.0138888888889,True,PASS,
Nikon D5100,A,3,10.4347426886,0.905306921449 0.345256246893 0.0324266285453 0.216083623308 0.806348189059 -0.157553351387 -0.029287911202 -0.156800950152 0.474722200379,0.774078256096,2.14226173942,0.869587092497,2.43008501793,0.0138888888889,0.0138888888889,True,PASS,
Nikon D700,A,3,8.40756442297,0.87787305268 0.365017869629 0.0226041322419 0.230364040846 0.722090140174 -0.0802296086593 -0.0160498315836 -0.0918669538891 0.408966993333,0.676959608026,1.94838256434,0.735863706195,2.21085629059,0.0138888888889,0.0138888888889,True,PASS,
Nikon D80,A,3,8.23003212664,0.882159969694 0.376609553066 0.0223727086053 0.217336646679 0.705487727371 -0.0708354135978 -0.006747315322 -0.0869274015382 0.399210367857,0.772642092059,2.28244803254,0.971904310103,2.62608212688,0.0138888888889,0.0138888888889,True,PASS,
